https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CVX,Volume USDT
1663459200,2022-09-18 00:00:00,CVX/USDT,4.8355,4.8355,4.8,4.8158,28.1451,135.56231471
1663372800,2022-09-17 00:00:00,CVX/USDT,4.7837,4.8614,4.7074,4.8614,1025.2973,4897.56018211
1663286400,2022-09-16 00:00:00,CVX/USDT,4.8403,4.9183,4.6922,4.75,2244.2343,10776.38772447
1663200000,2022-09-15 00:00:00,CVX/USDT,4.9545,5.0262,4.6075,4.8369,7288.6623,35316.20027106
1663113600,2022-09-14 00:00:00,CVX/USDT,4.9854,5.094,4.7425,4.9428,10701.4507,52953.4551657
1663027200,2022-09-13 00:00:00,CVX/USDT,5.325,5.562,4.7406,4.9957,12780.492,66574.36351918
1662940800,2022-09-12 00:00:00,CVX/USDT,5.5592,5.6322,5.2882,5.325,2171.6433,11850.66822684
1662854400,2022-09-11 00:00:00,CVX/USDT,5.6898,5.7166,5.5229,5.5719,2907.0267,16286.46195534
1662768000,2022-09-10 00:00:00,CVX/USDT,5.5152,5.7892,5.4754,5.7018,10840.8754,61215.22436068
1662681600,2022-09-09 00:00:00,CVX/USDT,5.31,5.6875,5.2789,5.5153,4023.5042,22170.74002829
1662595200,2022-09-08 00:00:00,CVX/USDT,5.3811,5.4044,5.1975,5.2998,4668.759,24801.71504051
1662508800,2022-09-07 00:00:00,CVX/USDT,5.141,5.7098,5.0295,5.3525,18784.5775,99436.08733821
1662422400,2022-09-06 00:00:00,CVX/USDT,5.3454,6.02,5.0076,5.1498,18217.6761,99818.45054663
1662336000,2022-09-05 00:00:00,CVX/USDT,5.3,5.4327,5.13,5.3389,2208.8486,11660.50602336
1662249600,2022-09-04 00:00:00,CVX/USDT,5.1498,5.3226,5.0774,5.277,971.5239,5048.13247571
1662163200,2022-09-03 00:00:00,CVX/USDT,5.3,5.3,5.1004,5.1498,291.6506,1512.60875469
1662076800,2022-09-02 00:00:00,CVX/USDT,5.25,5.4878,5.0825,5.2702,2003.8599,10560.0165162
1661990400,2022-09-01 00:00:00,CVX/USDT,5.0599,5.2786,4.9913,5.2359,4253.5406,21711.90330977
1661904000,2022-08-31 00:00:00,CVX/USDT,5.0795,5.4077,4.7512,5.0796,5951.6109,30855.23967291
1661817600,2022-08-30 00:00:00,CVX/USDT,5.1027,5.2154,4.9197,5.0668,3296.5756,16606.02403812
1661731200,2022-08-29 00:00:00,CVX/USDT,4.9794,5.1556,4.9178,5.148,2819.6656,14190.89105971
1661644800,2022-08-28 00:00:00,CVX/USDT,5.0965,5.25,4.971,4.9782,1832.8335,9500.45327173
1661558400,2022-08-27 00:00:00,CVX/USDT,5.1693,5.2383,5.0002,5.0901,2881.3558,14776.6633504
1661472000,2022-08-26 00:00:00,CVX/USDT,5.8498,5.9472,5.129,5.1695,4076.1461,23002.89016765
1661385600,2022-08-25 00:00:00,CVX/USDT,5.8032,5.933,5.723,5.8611,4250.5883,24810.1917644
1661299200,2022-08-24 00:00:00,CVX/USDT,5.7138,5.901,5.4616,5.781,4078.6228,23162.71700995
1661212800,2022-08-23 00:00:00,CVX/USDT,5.3101,5.8841,5.1794,5.6895,7690.6879,42982.35088528
1661126400,2022-08-22 00:00:00,CVX/USDT,5.386,5.3861,4.9121,5.32,2948.6725,15125.9912486
1661040000,2022-08-21 00:00:00,CVX/USDT,5.0295,5.4586,5.0295,5.3499,2136.9948,11343.16208194
1660953600,2022-08-20 00:00:00,CVX/USDT,5.2299,5.3659,4.8,5.0496,7412.9737,37886.29130953
1660867200,2022-08-19 00:00:00,CVX/USDT,5.6105,5.6105,5.0841,5.2231,10167.5702,54246.44889541
1660780800,2022-08-18 00:00:00,CVX/USDT,5.9255,6.012,5.5,5.6105,11208.6096,65500.18395822
1660694400,2022-08-17 00:00:00,CVX/USDT,6.2387,6.4794,5.6937,5.9266,5493.721,33553.13666576
1660608000,2022-08-16 00:00:00,CVX/USDT,6.6643,6.8245,6.1649,6.2085,5157.0289,33308.22442904
1660521600,2022-08-15 00:00:00,CVX/USDT,6.9703,7.1291,6.6102,6.6643,4650.9444,31550.67214805
1660435200,2022-08-14 00:00:00,CVX/USDT,7.226,7.3347,6.935,6.9501,1756.535,12557.99502503
1660348800,2022-08-13 00:00:00,CVX/USDT,7.4638,7.7547,7.174,7.1963,3171.4181,23578.11709496
1660262400,2022-08-12 00:00:00,CVX/USDT,7.3171,7.4805,7.1266,7.4572,2756.6107,20036.93768145
1660176000,2022-08-11 00:00:00,CVX/USDT,7.6548,8.4817,7.2929,7.3065,15488.2368,119825.68212211
1660089600,2022-08-10 00:00:00,CVX/USDT,7.0495,7.7791,6.8645,7.663,8247.4039,60240.69081913
1660003200,2022-08-09 00:00:00,CVX/USDT,7.4364,7.4891,6.9814,7.0487,2023.7285,14620.11637914
1659916800,2022-08-08 00:00:00,CVX/USDT,6.9529,7.593,6.9408,7.4272,4613.8016,34222.18548681
1659830400,2022-08-07 00:00:00,CVX/USDT,7.0008,7.0859,6.8531,6.9451,1205.4372,8413.21163943
1659744000,2022-08-06 00:00:00,CVX/USDT,7.2535,7.38,6.9545,7.0007,2670.1527,19268.3126161
1659657600,2022-08-05 00:00:00,CVX/USDT,6.727,7.2566,6.691,7.2445,5943.9589,41650.32204802
1659571200,2022-08-04 00:00:00,CVX/USDT,6.776,6.9788,6.5864,6.7325,3255.896,21885.1704005
1659484800,2022-08-03 00:00:00,CVX/USDT,6.856,7.104,6.5677,6.776,3964.7088,26875.53190356
1659398400,2022-08-02 00:00:00,CVX/USDT,7.1892,7.276,6.3248,6.856,4942.5162,33731.83692983
1659312000,2022-08-01 00:00:00,CVX/USDT,7.4076,7.5643,6.8441,7.1826,8848.0815,64194.7219453
1659225600,2022-07-31 00:00:00,CVX/USDT,7.4942,7.777,7.3186,7.4196,10954.2206,83166.69813413
1659139200,2022-07-30 00:00:00,CVX/USDT,7.7555,7.9191,7.4189,7.5331,10430.9885,79945.39814238
1659052800,2022-07-29 00:00:00,CVX/USDT,7.9928,8.4329,7.4076,7.7523,11555.0007,90694.33938608
1658966400,2022-07-28 00:00:00,CVX/USDT,7.0583,8.2274,6.7394,7.992,24349.125,180476.16590648
1658880000,2022-07-27 00:00:00,CVX/USDT,6.145,7.1487,6.0241,7.0583,28558.6532,181993.81196358
1658793600,2022-07-26 00:00:00,CVX/USDT,6.4718,6.5022,5.75,6.1832,32505.8114,201346.07834577
1658707200,2022-07-25 00:00:00,CVX/USDT,7.601,7.6178,6.4756,6.4756,19685.1877,136451.04379012
1658620800,2022-07-24 00:00:00,CVX/USDT,7.7162,8.5089,7.5603,7.6044,4924.9862,38901.81133142
1658534400,2022-07-23 00:00:00,CVX/USDT,7.7011,8.679,7.2649,7.6944,10849.4537,88098.56827503
1658448000,2022-07-22 00:00:00,CVX/USDT,7.682,8.276,7.5522,7.71,8687.615,68698.78837959
1658361600,2022-07-21 00:00:00,CVX/USDT,7.2533,7.8304,6.7815,7.7091,11800.8038,85253.23176738
1658275200,2022-07-20 00:00:00,CVX/USDT,7.4697,8.03,7.2013,7.2697,12984.18719564,98420.140853006758
1658188800,2022-07-19 00:00:00,CVX/USDT,7.7185,8.0706,6.9693,7.4793,19576.3044547,147775.124528443348
1658102400,2022-07-18 00:00:00,CVX/USDT,6.232,7.8749,6.1899,7.7503,13191.37428882,94698.13507213352
1658016000,2022-07-17 00:00:00,CVX/USDT,6.4378,6.5754,6.1645,6.2,2346.4329273,14901.982460031989
1657929600,2022-07-16 00:00:00,CVX/USDT,6.6475,6.8783,5.986,6.4079,11434.17469231,72788.792258495806
1657843200,2022-07-15 00:00:00,CVX/USDT,6.28,6.971,6.1618,6.6325,7226.42058406,47673.265996390018
