https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume GBP
1663545600000,2022-09-19 00:00:00,ETH/GBP,1169.06,1173.02,1165.69,1173.02,7.237648,8489.90585696
1663542000000,2022-09-18 23:00:00,ETH/GBP,1173.92,1175.36,1168.7,1169.06,29.454573,34434.163111379996
1663538400000,2022-09-18 22:00:00,ETH/GBP,1171.2,1175.33,1166.97,1173.92,11.120347,13054.397750240001
1663534800000,2022-09-18 21:00:00,ETH/GBP,1200.43,1200.43,1159.47,1171.2,16.4991,19323.745919999998
1663531200000,2022-09-18 20:00:00,ETH/GBP,1209.85,1209.85,1200.43,1200.43,6.109983,7334.60689269
1663527600000,2022-09-18 19:00:00,ETH/GBP,1203.09,1211.54,1203.09,1209.85,0.088664,107.2701404
1663524000000,2022-09-18 18:00:00,ETH/GBP,1201.52,1206.25,1199.78,1203.09,1.385197,1666.5166587299998
1663520400000,2022-09-18 17:00:00,ETH/GBP,1223.09,1223.09,1201.52,1201.52,5.741472,6898.49343744
1663516800000,2022-09-18 16:00:00,ETH/GBP,1243.38,1243.38,1217.02,1223.09,12.829382,15691.48883038
1663513200000,2022-09-18 15:00:00,ETH/GBP,1239.13,1245.79,1239.13,1243.38,0.022327,27.760945260000003
1663509600000,2022-09-18 14:00:00,ETH/GBP,1258.72,1258.72,1239.13,1239.13,0.270743,335.48577359000006
1663506000000,2022-09-18 13:00:00,ETH/GBP,1258.72,1258.72,1258.72,1258.72,0.0,0.0
1663502400000,2022-09-18 12:00:00,ETH/GBP,1254.29,1258.72,1252.93,1258.72,3.117278,3923.7801641600004
1663498800000,2022-09-18 11:00:00,ETH/GBP,1258.65,1258.65,1254.29,1254.29,0.014319,17.96017851
1663495200000,2022-09-18 10:00:00,ETH/GBP,1253.2,1258.65,1243.84,1258.65,8.597865,10821.702782250002
1663491600000,2022-09-18 09:00:00,ETH/GBP,1274.46,1274.85,1249.2,1253.2,0.707994,887.2580808
1663488000000,2022-09-18 08:00:00,ETH/GBP,1272.42,1276.18,1272.42,1274.46,0.020657,26.32652022
1663484400000,2022-09-18 07:00:00,ETH/GBP,1274.24,1274.24,1272.42,1272.42,0.039216,49.899222720000004
1663480800000,2022-09-18 06:00:00,ETH/GBP,1273.46,1277.44,1271.1,1274.24,3.723801,4745.01618624
1663477200000,2022-09-18 05:00:00,ETH/GBP,1275.51,1275.51,1273.46,1273.46,0.0685,87.23201
1663473600000,2022-09-18 04:00:00,ETH/GBP,1275.51,1275.51,1275.51,1275.51,0.0,0.0
1663470000000,2022-09-18 03:00:00,ETH/GBP,1275.51,1275.51,1275.51,1275.51,0.0,0.0
1663466400000,2022-09-18 02:00:00,ETH/GBP,1273.28,1275.51,1273.28,1275.51,2.305424,2940.59136624
1663462800000,2022-09-18 01:00:00,ETH/GBP,1271.87,1273.86,1271.87,1273.28,2.159695,2749.8964496000003
1663459200000,2022-09-18 00:00:00,ETH/GBP,1286.11,1286.11,1271.0,1271.87,1.360275,1730.0929642499998
1663455600000,2022-09-17 23:00:00,ETH/GBP,1283.23,1288.92,1283.23,1286.11,3.2,4115.552
1663452000000,2022-09-17 22:00:00,ETH/GBP,1272.77,1283.23,1272.77,1283.23,1.147841,1472.94400643
1663448400000,2022-09-17 21:00:00,ETH/GBP,1281.47,1281.47,1271.18,1272.77,1.3963,1777.1687510000002
1663444800000,2022-09-17 20:00:00,ETH/GBP,1281.92,1281.92,1279.83,1281.47,0.051848,66.44165656
1663441200000,2022-09-17 19:00:00,ETH/GBP,1289.69,1289.69,1280.69,1281.92,3.689665,4729.855356800001
1663437600000,2022-09-17 18:00:00,ETH/GBP,1284.96,1289.69,1284.96,1289.69,0.163446,210.79467174
1663434000000,2022-09-17 17:00:00,ETH/GBP,1284.15,1288.11,1279.64,1284.96,30.189611,38792.44255056
