https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume QUICK,Volume USDT
1663462800,2022-09-18 01:00:00,QUICK/USDT,59.81,60,59.81,60,0.0058,0.34743
1663459200,2022-09-18 00:00:00,QUICK/USDT,60.2,60.2,60.2,60.2,0,0
1663455600,2022-09-17 23:00:00,QUICK/USDT,60.17,60.2,60,60.2,5.5376,333.3069
1663452000,2022-09-17 22:00:00,QUICK/USDT,60.16,60.2,60.16,60.2,0.0036,0.216592
1663448400,2022-09-17 21:00:00,QUICK/USDT,60,60.15,59.9,60.15,0.0788,4.7283
1663444800,2022-09-17 20:00:00,QUICK/USDT,60.05,60.08,60.05,60.08,0.0938,5.635372
1663441200,2022-09-17 19:00:00,QUICK/USDT,59.77,59.87,59.6,59.87,0.9617,57.332815
1663437600,2022-09-17 18:00:00,QUICK/USDT,60.35,60.35,60.35,60.35,0,0
1663434000,2022-09-17 17:00:00,QUICK/USDT,60.12,60.35,59.82,60.35,0.0374,2.239873
1663430400,2022-09-17 16:00:00,QUICK/USDT,60.08,60.2,60.08,60.2,0.1017,6.111324
1663426800,2022-09-17 15:00:00,QUICK/USDT,59.97,59.97,59.65,59.65,0.1107,6.625911
1663423200,2022-09-17 14:00:00,QUICK/USDT,59.83,61.65,59.7,59.7,48.2185,2889.204868
1663419600,2022-09-17 13:00:00,QUICK/USDT,59.73,60.18,59.65,59.65,3.2354,193.26838
1663416000,2022-09-17 12:00:00,QUICK/USDT,60.07,60.16,59.42,59.71,6.2341,372.789875
1663412400,2022-09-17 11:00:00,QUICK/USDT,58.65,62.57,58,60.01,83.0877,4947.48204
1663408800,2022-09-17 10:00:00,QUICK/USDT,57.88,59,57.88,58.51,34.3523,2019.258513
1663405200,2022-09-17 09:00:00,QUICK/USDT,58.02,58.02,57.95,57.96,2.396,138.908264
1663401600,2022-09-17 08:00:00,QUICK/USDT,57.72,60.53,57.72,58.08,20.5116,1204.066707
1663398000,2022-09-17 07:00:00,QUICK/USDT,57.61,57.66,57.56,57.56,1.5801,91.097951
1663394400,2022-09-17 06:00:00,QUICK/USDT,57.42,57.42,57.42,57.42,0.002,0.11484
1663390800,2022-09-17 05:00:00,QUICK/USDT,57.64,57.64,57.42,57.42,0.1824,10.512282
1663387200,2022-09-17 04:00:00,QUICK/USDT,57.66,57.66,57.3,57.3,0.0841,4.84329
1663383600,2022-09-17 03:00:00,QUICK/USDT,57.5,57.5,57.5,57.5,0.0065,0.37375
1663380000,2022-09-17 02:00:00,QUICK/USDT,57.48,57.48,57.24,57.31,2.0923,120.062659
1663376400,2022-09-17 01:00:00,QUICK/USDT,57.56,57.72,57.47,57.5,2.9222,168.240112
1663372800,2022-09-17 00:00:00,QUICK/USDT,57.37,57.61,57.27,57.61,1.8505,106.601475
1663369200,2022-09-16 23:00:00,QUICK/USDT,57.37,57.37,57.18,57.18,0.0075,0.4298
1663365600,2022-09-16 22:00:00,QUICK/USDT,57.59,57.66,57.57,57.57,0.0309,1.780486
1663362000,2022-09-16 21:00:00,QUICK/USDT,57.25,57.25,57.25,57.25,0.0018,0.10305
1663358400,2022-09-16 20:00:00,QUICK/USDT,56.83,57.58,56.83,57.25,3.8863,222.62335
1663354800,2022-09-16 19:00:00,QUICK/USDT,56.82,56.83,56.82,56.83,0.0123,0.698989
1663351200,2022-09-16 18:00:00,QUICK/USDT,56.57,56.57,56.42,56.42,3.3429,188.811714
