https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume RBTC,Volume BTC
1663372800,2022-09-17 00:00:00,RBTC/BTC,0.99768005,1.00287998,0.99768005,0.99769006,0.00093401,0.0009351377893743
1663286400,2022-09-16 00:00:00,RBTC/BTC,1.00061042,1.00061042,0.99768001,0.99768002,0.02003899,0.0200186867530533
1663200000,2022-09-15 00:00:00,RBTC/BTC,1.00061042,1.003,1.00061042,1.003,0.18139148,0.1819311685819327
1663113600,2022-09-14 00:00:00,RBTC/BTC,0.997,1.01,0.997,1.00061042,0.27206055,0.2730539824153589
1663027200,2022-09-13 00:00:00,RBTC/BTC,0.99967,0.99967,0.997,0.99967,0.19868649,0.1980960597772843
1662940800,2022-09-12 00:00:00,RBTC/BTC,0.99701,1.0025,0.99530288,0.997,0.3036834,0.3036729194917804
1662854400,2022-09-11 00:00:00,RBTC/BTC,0.99701,1.00060041,0.997,0.99701,0.00801557,0.0080117652951783
1662768000,2022-09-10 00:00:00,RBTC/BTC,0.997,1.00059042,0.997,0.99701,0.00747413,0.0074569653439948
1662681600,2022-09-09 00:00:00,RBTC/BTC,0.99769,0.99769001,0.997,0.997,0.60184634,0.6001481304250359
1662595200,2022-09-08 00:00:00,RBTC/BTC,1.00299,1.003,0.997,0.99769,0.20251449,0.2028522417053536
1662508800,2022-09-07 00:00:00,RBTC/BTC,0.99703732,1.005,0.99700001,0.99768,0.75285769,0.7549417457012398
1662422400,2022-09-06 00:00:00,RBTC/BTC,1.0001,1.003,0.997,0.99703732,1.27523125,1.2734287480162574
1662336000,2022-09-05 00:00:00,RBTC/BTC,0.99701,1.0001,0.997,1.0001,0.09512157,0.094963431405
1662249600,2022-09-04 00:00:00,RBTC/BTC,0.99701,0.99968,0.99565613,0.99701,0.10365543,0.1033482189611188
1662163200,2022-09-03 00:00:00,RBTC/BTC,0.99701,0.99967,0.99565613,0.99701,0.2729066,0.2720729829806264
1662076800,2022-09-02 00:00:00,RBTC/BTC,0.99701,0.9999,0.997,0.9999,0.00614285,0.006128287706
1661990400,2022-09-01 00:00:00,RBTC/BTC,0.997066,0.99991,0.997,0.99701,0.05814285,0.05798309500248
1661904000,2022-08-31 00:00:00,RBTC/BTC,0.997066,0.99991,0.997066,0.99991,0.02608452,0.02606725211536
1661817600,2022-08-30 00:00:00,RBTC/BTC,0.997,0.9999,0.9953,0.997066,0.68095345,0.6798782565334213
1661731200,2022-08-29 00:00:00,RBTC/BTC,0.997,0.99799,0.9929,0.99797,0.08736923,0.0869857732547
1661644800,2022-08-28 00:00:00,RBTC/BTC,0.997,0.99799,0.997,0.997,0.2722475,0.2714521919274
1661558400,2022-08-27 00:00:00,RBTC/BTC,0.997,0.99768,0.997,0.997,0.01674418,0.0166941294416
1661472000,2022-08-26 00:00:00,RBTC/BTC,0.997,0.99768,0.995,0.997,0.24930022,0.248301453536538
1661385600,2022-08-25 00:00:00,RBTC/BTC,0.99257,0.99768,0.99257,0.99768,0.04373493,0.0436200240297267
1661299200,2022-08-24 00:00:00,RBTC/BTC,0.997,0.99768,0.9,0.997,7.93682697,7.6435536761241806
1661212800,2022-08-23 00:00:00,RBTC/BTC,0.997,0.99768,0.997,0.997,0.01880137,0.0187456597348
1661126400,2022-08-22 00:00:00,RBTC/BTC,0.997,0.99768,0.997,0.997,0.00386865,0.0038573242916
1661040000,2022-08-21 00:00:00,RBTC/BTC,0.995355,0.99768,0.995,0.997,0.12563754,0.12505527365025
1660953600,2022-08-20 00:00:00,RBTC/BTC,0.997,1.0025,0.98000001,0.995355,1.35137702,1.3429806365416063
1660867200,2022-08-19 00:00:00,RBTC/BTC,0.997,1.0019,0.997,0.997,0.00281443,0.00281577302557
1660780800,2022-08-18 00:00:00,RBTC/BTC,0.997,1.0025,0.997,0.997,0.17676521,0.1765874419538523
1660694400,2022-08-17 00:00:00,RBTC/BTC,0.99768001,0.998,0.997,0.997,0.15152947,0.151121942036074
1660608000,2022-08-16 00:00:00,RBTC/BTC,0.99701,1.01,0.995001,0.99768001,0.70153345,0.7037833759540178
1660521600,2022-08-15 00:00:00,RBTC/BTC,0.997989,1.0025,0.995,0.99701,0.62766048,0.6267076489657841
1660435200,2022-08-14 00:00:00,RBTC/BTC,0.997,0.997989,0.997,0.997,0.13321886,0.13288577644183
1660348800,2022-08-13 00:00:00,RBTC/BTC,0.99799,0.99799,0.997,0.997,0.0378918,0.0377883163233
1660262400,2022-08-12 00:00:00,RBTC/BTC,0.997,0.99799,0.99,0.997,0.3200556,0.3186158060239
1660176000,2022-08-11 00:00:00,RBTC/BTC,0.997,0.99768,0.997,0.99768,0.04396804,0.043845026404
1660089600,2022-08-10 00:00:00,RBTC/BTC,0.997,0.99768,0.99,0.997,0.58848847,0.5853428229652
1660003200,2022-08-09 00:00:00,RBTC/BTC,1.0019,1.003,0.95,0.997,1.63626748,1.613435507309056
1659916800,2022-08-08 00:00:00,RBTC/BTC,0.997,1.01,0.994,1.003,1.14189481,1.1443543704174174
1659830400,2022-08-07 00:00:00,RBTC/BTC,0.99700066,1.005,0.9951,0.997,1.48217714,1.4793283862854564
1659744000,2022-08-06 00:00:00,RBTC/BTC,0.99700009,0.99700066,0.99700009,0.99700066,0.01046243,0.0104310439092929
1659657600,2022-08-05 00:00:00,RBTC/BTC,0.99799,0.99799,0.99700009,0.99700009,0.00508883,0.0050773495741941
1659571200,2022-08-04 00:00:00,RBTC/BTC,0.997,1.0025,0.997,0.99798,0.03566705,0.0357330352722425
1659484800,2022-08-03 00:00:00,RBTC/BTC,0.99769,1.005,0.997,0.997,0.16646641,0.1662952917681953
1659398400,2022-08-02 00:00:00,RBTC/BTC,0.99701,1.005,0.997,0.99769,0.46317299,0.4643801806221166
1659312000,2022-08-01 00:00:00,RBTC/BTC,0.997,0.99967,0.993,0.99701,0.34035913,0.3390577376231212
1659225600,2022-07-31 00:00:00,RBTC/BTC,0.99959,0.99964999,0.997,0.997,0.02878449,0.028730365578304
1659139200,2022-07-30 00:00:00,RBTC/BTC,0.9996,0.9996,0.99702,0.997021,0.01901923,0.01896517345411
1659052800,2022-07-29 00:00:00,RBTC/BTC,0.997,0.9996,0.997,0.9996,0.04923139,0.0491372219690465
1658966400,2022-07-28 00:00:00,RBTC/BTC,0.99797,1.0000001,0.99471428,0.997,1.18766931,1.1837847754938048
1658880000,2022-07-27 00:00:00,RBTC/BTC,0.99701,1.3,0.995,0.99797,4.81127498,4.8249444426086607
1658793600,2022-07-26 00:00:00,RBTC/BTC,0.99703,0.9999,0.997,0.9999,0.07663765,0.0764974987368
1658707200,2022-07-25 00:00:00,RBTC/BTC,0.997,0.9998,0.99612,0.99703,0.22933958,0.2287735632206
1658620800,2022-07-24 00:00:00,RBTC/BTC,0.997,0.997,0.997,0.997,0.0223926,0.0223254222
1658534400,2022-07-23 00:00:00,RBTC/BTC,0.997,0.99901,0.9951,0.997,0.04594114,0.045783639276
1658448000,2022-07-22 00:00:00,RBTC/BTC,0.99701,0.99999,0.995,0.997,3.01102875,3.0007561319704
1658361600,2022-07-21 00:00:00,RBTC/BTC,0.997,1,0.995,0.99701,0.72275572,0.7219950624174
1658275200,2022-07-20 00:00:00,RBTC/BTC,0.997,0.99768,0.997,0.997,0.0689971,0.0688008595204
1658188800,2022-07-19 00:00:00,RBTC/BTC,0.99999,1,0.99000001,0.997,2.46385932,2.4539391403440401
1658102400,2022-07-18 00:00:00,RBTC/BTC,0.997,1.59999946,0.99000001,1,6.97399265,7.0156657401151657
1658016000,2022-07-17 00:00:00,RBTC/BTC,0.997,0.99767999,0.9901,0.997,0.48069402,0.4786418282734758
1657929600,2022-07-16 00:00:00,RBTC/BTC,0.997,0.99768,0.99000001,0.997,1.13036754,1.1196491671453072
1657843200,2022-07-15 00:00:00,RBTC/BTC,0.997,0.997,0.997,0.997,0.05176478,0.05160948566
1657756800,2022-07-14 00:00:00,RBTC/BTC,0.997,0.99768,0.995,0.99768,0.5134666,0.5117013704756
1657670400,2022-07-13 00:00:00,RBTC/BTC,0.997,0.99768,0.997,0.997,0.02581016,0.0257500628084
1657584000,2022-07-12 00:00:00,RBTC/BTC,0.997,0.99768,0.995,0.997,0.13374661,0.1333374248296
1657497600,2022-07-11 00:00:00,RBTC/BTC,0.995,0.99768,0.995,0.99768,0.02138042,0.021299876868
1657411200,2022-07-10 00:00:00,RBTC/BTC,0.996,0.996,0.995,0.995,0.07792761,0.0775390118
1657324800,2022-07-09 00:00:00,RBTC/BTC,0.995,0.996,0.995,0.995,0.00213271,0.00212325699
1657238400,2022-07-08 00:00:00,RBTC/BTC,0.995,0.996,0.995,0.996,0.00108846,0.00108402171
1657152000,2022-07-07 00:00:00,RBTC/BTC,0.995,0.99612,0.92,0.995,3.41341604,3.365650706423256
1657065600,2022-07-06 00:00:00,RBTC/BTC,0.9949005,0.99501,0.91365306,0.995,2.51883839,2.4871435517505668
1656979200,2022-07-05 00:00:00,RBTC/BTC,0.995,0.995,0.9949005,0.9949005,3.45788677,3.44059542257396
1656892800,2022-07-04 00:00:00,RBTC/BTC,0.99793723,0.99794723,0.9929,0.9929111,6.27285972,6.2418225347532455
1656806400,2022-07-03 00:00:00,RBTC/BTC,0.99402,0.99402,0.9929,0.993011,3.57146179,3.54646443142399
1656720000,2022-07-02 00:00:00,RBTC/BTC,0.99861902,0.99861902,0.99467999,0.99467999,2.39143484,2.3796509197467108
1656633600,2022-07-01 00:00:00,RBTC/BTC,0.99531,0.99872309,0.99530011,0.99860902,0.00709535,0.0070649930389263
1656547200,2022-06-30 00:00:00,RBTC/BTC,0.995311,0.9995,0.99530011,0.995331,0.33181905,0.331536680070128
1656460800,2022-06-29 00:00:00,RBTC/BTC,0.99824001,0.99824001,0.995301,0.99824001,0.00125168,0.0012487451478286
1656374400,2022-06-28 00:00:00,RBTC/BTC,0.99530001,0.999498,0.99530001,0.99531001,0.03431783,0.0342380154521387
1656288000,2022-06-27 00:00:00,RBTC/BTC,0.9953,0.99815,0.9953,0.99530001,0.06343407,0.063161858431753
1656201600,2022-06-26 00:00:00,RBTC/BTC,0.995,0.9995,0.995,0.9953,0.50929909,0.5085289016462377
1656115200,2022-06-25 00:00:00,RBTC/BTC,0.995,0.9950022,0.995,0.995,0.07771718,0.0773287041
1656028800,2022-06-24 00:00:00,RBTC/BTC,0.995022,0.9995,0.995,0.995,0.20297226,0.202534139780604
1655942400,2022-06-23 00:00:00,RBTC/BTC,0.99501,0.995022,0.995,0.995022,0.00770068,0.00766220023086
1655856000,2022-06-22 00:00:00,RBTC/BTC,0.99761936,0.9995,0.995,0.99501,0.28219329,0.2818910144616718
1655769600,2022-06-21 00:00:00,RBTC/BTC,0.9971057,0.99767582,0.99301,0.99501,0.00450775,0.004492596150166
