https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FTM,Volume USDT
1663462800,2022-09-18 01:00:00,FTM/USDT,0.25099,0.2512,0.25082,0.25091,25906.25217293,6500.8751875115128
1663459200,2022-09-18 00:00:00,FTM/USDT,0.25209,0.25232,0.25047,0.25099,271340.4602471,68135.71422483485
1663455600,2022-09-17 23:00:00,FTM/USDT,0.2521,0.25356,0.25153,0.25207,250761.62387915,63316.2086540516568
1663452000,2022-09-17 22:00:00,FTM/USDT,0.25093,0.25209,0.25076,0.25209,149652.34910889,37653.5655161186352
1663448400,2022-09-17 21:00:00,FTM/USDT,0.25048,0.2515,0.25035,0.25074,275468.46687868,69090.5710108197298
1663444800,2022-09-17 20:00:00,FTM/USDT,0.24961,0.25048,0.2493,0.25046,125256.58133815,31297.4576264074873
1663441200,2022-09-17 19:00:00,FTM/USDT,0.24974,0.2498,0.24889,0.24955,185298.67217632,46205.4284176725648
1663437600,2022-09-17 18:00:00,FTM/USDT,0.25051,0.2508,0.24943,0.24991,230098.46863465,57564.9913604882687
1663434000,2022-09-17 17:00:00,FTM/USDT,0.25158,0.2523,0.25032,0.25075,240704.50852549,60459.5928815753954
1663430400,2022-09-17 16:00:00,FTM/USDT,0.25023,0.25231,0.25018,0.25143,554653.63644835,139377.3727849906357
1663426800,2022-09-17 15:00:00,FTM/USDT,0.24907,0.25076,0.24847,0.25021,441610.12928426,110328.7867310330514
1663423200,2022-09-17 14:00:00,FTM/USDT,0.24764,0.24934,0.24762,0.24907,483392.27179665,120189.572266192649
1663419600,2022-09-17 13:00:00,FTM/USDT,0.24736,0.24802,0.24709,0.24762,158076.939006,39132.7851965098239
1663416000,2022-09-17 12:00:00,FTM/USDT,0.24634,0.24735,0.24542,0.24714,295549.42621816,72827.3668037412835
1663412400,2022-09-17 11:00:00,FTM/USDT,0.2469,0.24706,0.24592,0.24637,329307.87397815,81158.7634432601366
1663408800,2022-09-17 10:00:00,FTM/USDT,0.24768,0.24853,0.24641,0.24688,117033.84015817,28955.7148351550295
1663405200,2022-09-17 09:00:00,FTM/USDT,0.24777,0.24857,0.24754,0.24762,142226.32176002,35281.8410850148178
1663401600,2022-09-17 08:00:00,FTM/USDT,0.24804,0.24866,0.24732,0.24785,229142.74185608,56804.7728816060258
1663398000,2022-09-17 07:00:00,FTM/USDT,0.24685,0.24803,0.24644,0.24802,117435.3536105,29002.8486410174161
1663394400,2022-09-17 06:00:00,FTM/USDT,0.24647,0.24689,0.24587,0.24689,128898.03273658,31768.0410296064231
1663390800,2022-09-17 05:00:00,FTM/USDT,0.24806,0.24806,0.24588,0.24632,201008.41065183,49623.7883339257896
1663387200,2022-09-17 04:00:00,FTM/USDT,0.24768,0.25008,0.24768,0.24816,235483.88502529,58644.1375143171836
1663383600,2022-09-17 03:00:00,FTM/USDT,0.24753,0.24802,0.24725,0.24762,142788.13710427,35352.8975134954359
1663380000,2022-09-17 02:00:00,FTM/USDT,0.24828,0.24853,0.24746,0.24757,276652.97536749,68554.9952690345024
1663376400,2022-09-17 01:00:00,FTM/USDT,0.24763,0.24867,0.24718,0.24831,288999.31980557,71620.1396944743162
1663372800,2022-09-17 00:00:00,FTM/USDT,0.24693,0.25027,0.24674,0.24752,812176.77450365,202115.8372549596108
1663369200,2022-09-16 23:00:00,FTM/USDT,0.24574,0.24715,0.24574,0.24691,192161.16652527,47339.2194803830609
1663365600,2022-09-16 22:00:00,FTM/USDT,0.24645,0.24722,0.2456,0.2456,187941.94500911,46286.1482638346982
1663362000,2022-09-16 21:00:00,FTM/USDT,0.24694,0.24783,0.2461,0.2461,334823.89035013,82665.7783258945023
1663358400,2022-09-16 20:00:00,FTM/USDT,0.24447,0.24749,0.24447,0.24675,293235.22785852,72151.8827564714726
1663354800,2022-09-16 19:00:00,FTM/USDT,0.24365,0.24514,0.24345,0.24449,145261.15425899,35511.0606992834775
1663351200,2022-09-16 18:00:00,FTM/USDT,0.24211,0.2448,0.2414,0.24361,367642.72792536,89359.3845263143064
1663347600,2022-09-16 17:00:00,FTM/USDT,0.2433,0.24397,0.24069,0.242,1083531.84572851,262399.5727212420359
1663344000,2022-09-16 16:00:00,FTM/USDT,0.24596,0.24599,0.24011,0.24333,928101.79827882,225406.9207442496075
1663340400,2022-09-16 15:00:00,FTM/USDT,0.24475,0.24829,0.24386,0.24595,605318.26000934,148691.726673375899
1663336800,2022-09-16 14:00:00,FTM/USDT,0.2404,0.24748,0.24019,0.24479,639065.49384746,156317.0554316350789
1663333200,2022-09-16 13:00:00,FTM/USDT,0.24322,0.24363,0.23876,0.24033,432436.38187216,104379.9246329059782
1663329600,2022-09-16 12:00:00,FTM/USDT,0.24506,0.24536,0.2426,0.24317,351872.81690576,85886.6132579984039
1663326000,2022-09-16 11:00:00,FTM/USDT,0.24284,0.2451,0.24248,0.24494,384635.24140683,93631.4754415957383
1663322400,2022-09-16 10:00:00,FTM/USDT,0.24076,0.24322,0.24027,0.2427,208132.85796125,50307.518434712571
1663318800,2022-09-16 09:00:00,FTM/USDT,0.23842,0.24095,0.23834,0.2404,210139.59576391,50445.163048731964
1663315200,2022-09-16 08:00:00,FTM/USDT,0.24138,0.24159,0.2379,0.23841,322050.98415287,77167.9469584772856
1663311600,2022-09-16 07:00:00,FTM/USDT,0.24187,0.24257,0.24104,0.24133,128678.76572614,31105.3123731333883
1663308000,2022-09-16 06:00:00,FTM/USDT,0.24204,0.24293,0.24146,0.24181,219846.15323802,53246.2523504907124
1663304400,2022-09-16 05:00:00,FTM/USDT,0.24203,0.24319,0.24187,0.24209,110735.9369856,26843.1009510939484
1663300800,2022-09-16 04:00:00,FTM/USDT,0.24222,0.24357,0.24178,0.24205,178847.8663574,43423.8642760516024
1663297200,2022-09-16 03:00:00,FTM/USDT,0.24105,0.24243,0.24044,0.24218,213788.64946471,51630.8720074376905
1663293600,2022-09-16 02:00:00,FTM/USDT,0.24244,0.24286,0.23916,0.24113,263847.40991034,63460.4489239848833
1663290000,2022-09-16 01:00:00,FTM/USDT,0.24305,0.24343,0.24122,0.24256,344861.3566466,83564.6320591003589
1663286400,2022-09-16 00:00:00,FTM/USDT,0.24065,0.24335,0.23727,0.24315,644538.531209,154768.4947161124809
1663282800,2022-09-15 23:00:00,FTM/USDT,0.24097,0.24143,0.23882,0.24059,366622.80853605,88060.2333194120005
1663279200,2022-09-15 22:00:00,FTM/USDT,0.24289,0.24301,0.23883,0.24111,548904.51503981,132103.4829680082358
1663275600,2022-09-15 21:00:00,FTM/USDT,0.24353,0.24355,0.24174,0.24266,147074.20912982,35761.954246159353
1663272000,2022-09-15 20:00:00,FTM/USDT,0.24346,0.24411,0.24235,0.24368,300756.8918345,73218.5062782898105
1663268400,2022-09-15 19:00:00,FTM/USDT,0.2429,0.24402,0.2418,0.24328,148611.29878866,36087.1264007400804
1663264800,2022-09-15 18:00:00,FTM/USDT,0.24303,0.2443,0.24224,0.24295,272041.7350945,66160.1196961983078
1663261200,2022-09-15 17:00:00,FTM/USDT,0.24326,0.245,0.24283,0.24315,444458.92064564,108376.2831031593637
1663257600,2022-09-15 16:00:00,FTM/USDT,0.2412,0.24353,0.23999,0.24328,436540.01103903,105509.8387748175358
1663254000,2022-09-15 15:00:00,FTM/USDT,0.24006,0.24174,0.23688,0.2412,1111928.55392624,266593.2655585385368
1663250400,2022-09-15 14:00:00,FTM/USDT,0.24624,0.24657,0.23895,0.24022,1207780.73233882,291219.877841604332
1663246800,2022-09-15 13:00:00,FTM/USDT,0.24617,0.24661,0.24335,0.24616,447178.90241926,109839.0177450593873
1663243200,2022-09-15 12:00:00,FTM/USDT,0.24542,0.24772,0.24448,0.246,524375.84859292,129110.3750198257625
1663239600,2022-09-15 11:00:00,FTM/USDT,0.24433,0.24574,0.2436,0.24533,398000.17657841,97376.6269910706907
1663236000,2022-09-15 10:00:00,FTM/USDT,0.24633,0.2468,0.244,0.24467,315950.57354908,77593.5280295829816
1663232400,2022-09-15 09:00:00,FTM/USDT,0.24683,0.24706,0.24488,0.24631,216852.99786511,53338.6636034612208
1663228800,2022-09-15 08:00:00,FTM/USDT,0.24785,0.24802,0.24468,0.24692,383011.67882432,94166.172188003634
1663225200,2022-09-15 07:00:00,FTM/USDT,0.24656,0.24996,0.24563,0.24787,739595.74307486,183629.6326964368568
1663221600,2022-09-15 06:00:00,FTM/USDT,0.24426,0.24856,0.23876,0.2466,1888685.32827226,459651.3399949095357
1663218000,2022-09-15 05:00:00,FTM/USDT,0.2418,0.24483,0.24164,0.24414,503723.58377962,122620.0126752771574
