https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XTZBULL,Volume USDT
1663545600000.0,2022-09-19 00:00:00,XTZBULL/USDT,1.811e-05,1.824e-05,1.811e-05,1.812e-05,0.0,0.0
1663459200000.0,2022-09-18 00:00:00,XTZBULL/USDT,2.454e-05,2.454e-05,1.811e-05,1.811e-05,60872.44616234125,1.1024
1663372800000.0,2022-09-17 00:00:00,XTZBULL/USDT,2.391e-05,2.454e-05,2.391e-05,2.454e-05,0.0,0.0
1663286400000.0,2022-09-16 00:00:00,XTZBULL/USDT,2.391e-05,2.454e-05,2.295e-05,2.391e-05,0.0,0.0
1663200000000.0,2022-09-15 00:00:00,XTZBULL/USDT,2.604e-05,2.639e-05,2.344e-05,2.391e-05,102584.69259723964,2.4528
1663113600000.0,2022-09-14 00:00:00,XTZBULL/USDT,2.494e-05,2.691e-05,2.409e-05,2.604e-05,1718763.4408602149,44.7566
1663027200000.0,2022-09-13 00:00:00,XTZBULL/USDT,2.938e-05,3.328e-05,2.446e-05,2.494e-05,7543736.968724941,188.1408
1662940800000.0,2022-09-12 00:00:00,XTZBULL/USDT,3.387e-05,3.402e-05,2.862e-05,2.938e-05,7387147.7195371,217.0344
1662854400000.0,2022-09-11 00:00:00,XTZBULL/USDT,3.111e-05,3.482e-05,3.028e-05,3.387e-05,542075.5831118984,18.3601
1662768000000.0,2022-09-10 00:00:00,XTZBULL/USDT,3.08e-05,3.244e-05,2.893e-05,3.111e-05,5563166.18450659,173.0701
1662681600000.0,2022-09-09 00:00:00,XTZBULL/USDT,2.648e-05,3.08e-05,2.647e-05,3.08e-05,3277418.831168831,100.9445
1662595200000.0,2022-09-08 00:00:00,XTZBULL/USDT,2.397e-05,2.679e-05,2.248e-05,2.648e-05,739505.2870090634,19.5821
1662508800000.0,2022-09-07 00:00:00,XTZBULL/USDT,2.127e-05,2.45e-05,2e-05,2.397e-05,2199949.9374217773,52.7328
1662422400000.0,2022-09-06 00:00:00,XTZBULL/USDT,2.512e-05,2.887e-05,2.12e-05,2.127e-05,3863906.911142454,82.1853
1662336000000.0,2022-09-05 00:00:00,XTZBULL/USDT,2.578e-05,2.608e-05,2.432e-05,2.512e-05,5258730.095541401,132.0993
1662249600000.0,2022-09-04 00:00:00,XTZBULL/USDT,2.536e-05,2.578e-05,2.536e-05,2.578e-05,0.0,0.0
1662163200000.0,2022-09-03 00:00:00,XTZBULL/USDT,2.483e-05,2.536e-05,2.382e-05,2.536e-05,6469999.999999999,164.0792
1662076800000.0,2022-09-02 00:00:00,XTZBULL/USDT,2.5e-05,2.615e-05,2.365e-05,2.483e-05,0.0,0.0
1661990400000.0,2022-09-01 00:00:00,XTZBULL/USDT,2.597e-05,2.645e-05,2.409e-05,2.5e-05,20148.0,0.5037
1661904000000.0,2022-08-31 00:00:00,XTZBULL/USDT,2.513e-05,2.889e-05,2.513e-05,2.597e-05,778706.1994609163,20.223
1661817600000.0,2022-08-30 00:00:00,XTZBULL/USDT,2.575e-05,2.718e-05,2.262e-05,2.513e-05,97341.82252288102,2.4462
1661731200000.0,2022-08-29 00:00:00,XTZBULL/USDT,2.235e-05,2.575e-05,2.154e-05,2.575e-05,1089770.8737864078,28.0616
1661644800000.0,2022-08-28 00:00:00,XTZBULL/USDT,2.181e-05,2.411e-05,2.181e-05,2.235e-05,2599780.760626398,58.1051
1661558400000.0,2022-08-27 00:00:00,XTZBULL/USDT,2.496e-05,2.525e-05,2.075e-05,2.181e-05,27782631.820265934,605.9392
1661472000000.0,2022-08-26 00:00:00,XTZBULL/USDT,3.71e-05,3.71e-05,2.392e-05,2.496e-05,3959.1346153846152,0.09882
1661385600000.0,2022-08-25 00:00:00,XTZBULL/USDT,3.412e-05,3.71e-05,3.124e-05,3.71e-05,409403.50404312665,15.18887
1661299200000.0,2022-08-24 00:00:00,XTZBULL/USDT,3.301e-05,3.412e-05,2.802e-05,3.412e-05,378153.5756154748,12.9026
1661212800000.0,2022-08-23 00:00:00,XTZBULL/USDT,2.95e-05,3.301e-05,2.95e-05,3.301e-05,80000.00000000001,2.6408
1661126400000.0,2022-08-22 00:00:00,XTZBULL/USDT,3.538e-05,3.538e-05,2.684e-05,2.95e-05,76464276.94915254,2255.69617
1661040000000.0,2022-08-21 00:00:00,XTZBULL/USDT,2.806e-05,3.538e-05,2.77e-05,3.538e-05,2880866.591294517,101.92506
1660953600000.0,2022-08-20 00:00:00,XTZBULL/USDT,3.221e-05,3.56e-05,2.691e-05,2.806e-05,3870434.782608696,108.6044
1660867200000.0,2022-08-19 00:00:00,XTZBULL/USDT,5.068e-05,5.115e-05,3.07e-05,3.221e-05,2719734.244023595,87.60264
1660780800000.0,2022-08-18 00:00:00,XTZBULL/USDT,5.675e-05,5.711e-05,5.01e-05,5.068e-05,0.0,0.0
