https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume RAD,Volume EUR
1663545600,2022-09-19 00:00:00,RAD/EUR,2.17,2.17,2.17,2.17,0.00,0.0
1663542000,2022-09-18 23:00:00,RAD/EUR,2.17,2.17,2.17,2.17,0.00,0.0
1663538400,2022-09-18 22:00:00,RAD/EUR,2.17,2.17,2.17,2.17,0.00,0.0
1663534800,2022-09-18 21:00:00,RAD/EUR,2.17,2.17,2.17,2.17,0.00,0.0
1663531200,2022-09-18 20:00:00,RAD/EUR,2.17,2.17,2.17,2.17,0.00,0.0
1663527600,2022-09-18 19:00:00,RAD/EUR,2.17,2.17,2.17,2.17,0.00,0.0
1663524000,2022-09-18 18:00:00,RAD/EUR,2.17,2.17,2.17,2.17,0.00,0.0
1663520400,2022-09-18 17:00:00,RAD/EUR,2.17,2.17,2.17,2.17,0.00,0.0
1663516800,2022-09-18 16:00:00,RAD/EUR,2.17,2.17,2.17,2.17,0.00,0.0
1663513200,2022-09-18 15:00:00,RAD/EUR,2.17,2.17,2.17,2.17,53.41,115.8997
1663509600,2022-09-18 14:00:00,RAD/EUR,2.15,2.15,2.15,2.15,0.00,0.0
1663506000,2022-09-18 13:00:00,RAD/EUR,2.15,2.15,2.15,2.15,0.00,0.0
1663502400,2022-09-18 12:00:00,RAD/EUR,2.15,2.15,2.15,2.15,144.41,310.4815
1663498800,2022-09-18 11:00:00,RAD/EUR,2.16,2.16,2.16,2.16,157.96,341.19360000000006
1663495200,2022-09-18 10:00:00,RAD/EUR,2.23,2.23,2.23,2.23,0.00,0.0
1663491600,2022-09-18 09:00:00,RAD/EUR,2.23,2.23,2.23,2.23,0.00,0.0
1663488000,2022-09-18 08:00:00,RAD/EUR,2.23,2.23,2.23,2.23,0.00,0.0
1663484400,2022-09-18 07:00:00,RAD/EUR,2.23,2.23,2.23,2.23,0.00,0.0
1663480800,2022-09-18 06:00:00,RAD/EUR,2.23,2.23,2.23,2.23,0.00,0.0
1663477200,2022-09-18 05:00:00,RAD/EUR,2.23,2.23,2.23,2.23,0.00,0.0
1663473600,2022-09-18 04:00:00,RAD/EUR,2.23,2.23,2.23,2.23,0.00,0.0
1663470000,2022-09-18 03:00:00,RAD/EUR,2.23,2.23,2.23,2.23,0.00,0.0
1663466400,2022-09-18 02:00:00,RAD/EUR,2.23,2.23,2.23,2.23,15.91,35.4793
1663462800,2022-09-18 01:00:00,RAD/EUR,2.18,2.18,2.18,2.18,0.00,0.0
1663459200,2022-09-18 00:00:00,RAD/EUR,2.18,2.18,2.18,2.18,0.00,0.0
1663455600,2022-09-17 23:00:00,RAD/EUR,2.18,2.18,2.18,2.18,0.00,0.0
1663452000,2022-09-17 22:00:00,RAD/EUR,2.18,2.18,2.18,2.18,0.00,0.0
1663448400,2022-09-17 21:00:00,RAD/EUR,2.18,2.18,2.18,2.18,0.00,0.0
1663444800,2022-09-17 20:00:00,RAD/EUR,2.18,2.18,2.18,2.18,0.00,0.0
1663441200,2022-09-17 19:00:00,RAD/EUR,2.18,2.18,2.18,2.18,0.00,0.0
1663437600,2022-09-17 18:00:00,RAD/EUR,2.18,2.18,2.18,2.18,0.00,0.0
1663434000,2022-09-17 17:00:00,RAD/EUR,2.18,2.18,2.18,2.18,52.88,115.27840000000002
1663430400,2022-09-17 16:00:00,RAD/EUR,2.18,2.18,2.17,2.17,167.87,364.2779
1663426800,2022-09-17 15:00:00,RAD/EUR,2.14,2.14,2.14,2.14,0.00,0.0
1663423200,2022-09-17 14:00:00,RAD/EUR,2.14,2.14,2.14,2.14,0.00,0.0
1663419600,2022-09-17 13:00:00,RAD/EUR,2.14,2.14,2.14,2.14,0.00,0.0
1663416000,2022-09-17 12:00:00,RAD/EUR,2.14,2.14,2.14,2.14,0.00,0.0
1663412400,2022-09-17 11:00:00,RAD/EUR,2.14,2.14,2.14,2.14,0.00,0.0
1663408800,2022-09-17 10:00:00,RAD/EUR,2.14,2.14,2.14,2.14,0.00,0.0
1663405200,2022-09-17 09:00:00,RAD/EUR,2.14,2.14,2.14,2.14,0.00,0.0
1663401600,2022-09-17 08:00:00,RAD/EUR,2.14,2.14,2.14,2.14,0.00,0.0
1663398000,2022-09-17 07:00:00,RAD/EUR,2.14,2.14,2.14,2.14,0.00,0.0
1663394400,2022-09-17 06:00:00,RAD/EUR,2.14,2.14,2.14,2.14,0.00,0.0
1663390800,2022-09-17 05:00:00,RAD/EUR,2.14,2.14,2.14,2.14,0.00,0.0
1663387200,2022-09-17 04:00:00,RAD/EUR,2.14,2.14,2.14,2.14,0.00,0.0
1663383600,2022-09-17 03:00:00,RAD/EUR,2.14,2.14,2.14,2.14,0.00,0.0
1663380000,2022-09-17 02:00:00,RAD/EUR,2.14,2.14,2.14,2.14,16.09,34.4326
1663376400,2022-09-17 01:00:00,RAD/EUR,2.12,2.12,2.12,2.12,0.00,0.0
1663372800,2022-09-17 00:00:00,RAD/EUR,2.12,2.12,2.12,2.12,0.00,0.0
1663369200,2022-09-16 23:00:00,RAD/EUR,2.12,2.12,2.12,2.12,0.00,0.0
1663365600,2022-09-16 22:00:00,RAD/EUR,2.12,2.12,2.12,2.12,159.19,337.4828
1663362000,2022-09-16 21:00:00,RAD/EUR,2.23,2.23,2.23,2.23,0.00,0.0
1663358400,2022-09-16 20:00:00,RAD/EUR,2.23,2.23,2.23,2.23,0.00,0.0
1663354800,2022-09-16 19:00:00,RAD/EUR,2.23,2.23,2.23,2.23,0.00,0.0
1663351200,2022-09-16 18:00:00,RAD/EUR,2.23,2.23,2.23,2.23,157.29,350.75669999999997
1663347600,2022-09-16 17:00:00,RAD/EUR,2.27,2.27,2.27,2.27,0.00,0.0
1663344000,2022-09-16 16:00:00,RAD/EUR,2.27,2.27,2.27,2.27,0.00,0.0
1663340400,2022-09-16 15:00:00,RAD/EUR,2.27,2.27,2.27,2.27,0.00,0.0
1663336800,2022-09-16 14:00:00,RAD/EUR,2.27,2.27,2.27,2.27,0.00,0.0
1663333200,2022-09-16 13:00:00,RAD/EUR,2.27,2.27,2.27,2.27,0.00,0.0
1663329600,2022-09-16 12:00:00,RAD/EUR,2.27,2.27,2.27,2.27,145.07,329.3089
1663326000,2022-09-16 11:00:00,RAD/EUR,2.29,2.29,2.29,2.29,94.97,217.4813
1663322400,2022-09-16 10:00:00,RAD/EUR,2.27,2.27,2.27,2.27,0.00,0.0
1663318800,2022-09-16 09:00:00,RAD/EUR,2.27,2.27,2.27,2.27,95.81,217.4887
1663315200,2022-09-16 08:00:00,RAD/EUR,2.19,2.19,2.19,2.19,0.00,0.0
1663311600,2022-09-16 07:00:00,RAD/EUR,2.19,2.19,2.19,2.19,0.00,0.0
1663308000,2022-09-16 06:00:00,RAD/EUR,2.23,2.24,2.19,2.19,147.26,322.4994
1663304400,2022-09-16 05:00:00,RAD/EUR,2.27,2.27,2.27,2.27,0.00,0.0
1663300800,2022-09-16 04:00:00,RAD/EUR,2.27,2.27,2.27,2.27,0.00,0.0
1663297200,2022-09-16 03:00:00,RAD/EUR,2.27,2.27,2.27,2.27,0.00,0.0
1663293600,2022-09-16 02:00:00,RAD/EUR,2.27,2.27,2.27,2.27,0.00,0.0
1663290000,2022-09-16 01:00:00,RAD/EUR,2.27,2.27,2.27,2.27,0.00,0.0
1663286400,2022-09-16 00:00:00,RAD/EUR,2.27,2.27,2.27,2.27,0.00,0.0
1663282800,2022-09-15 23:00:00,RAD/EUR,2.27,2.27,2.27,2.27,0.00,0.0
1663279200,2022-09-15 22:00:00,RAD/EUR,2.27,2.27,2.27,2.27,1222.02,2773.9854
1663275600,2022-09-15 21:00:00,RAD/EUR,2.30,2.30,2.28,2.28,75.76,172.7328
1663272000,2022-09-15 20:00:00,RAD/EUR,2.32,2.32,2.32,2.32,0.00,0.0
1663268400,2022-09-15 19:00:00,RAD/EUR,2.32,2.32,2.32,2.32,0.00,0.0
1663264800,2022-09-15 18:00:00,RAD/EUR,2.32,2.32,2.32,2.32,15.40,35.728
1663261200,2022-09-15 17:00:00,RAD/EUR,2.32,2.32,2.32,2.32,0.00,0.0
1663257600,2022-09-15 16:00:00,RAD/EUR,2.32,2.32,2.32,2.32,0.00,0.0
1663254000,2022-09-15 15:00:00,RAD/EUR,2.32,2.32,2.32,2.32,0.00,0.0
1663250400,2022-09-15 14:00:00,RAD/EUR,2.32,2.32,2.32,2.32,10.19,23.6408
1663246800,2022-09-15 13:00:00,RAD/EUR,2.32,2.32,2.32,2.32,0.00,0.0
1663243200,2022-09-15 12:00:00,RAD/EUR,2.32,2.32,2.32,2.32,0.00,0.0
1663239600,2022-09-15 11:00:00,RAD/EUR,2.32,2.32,2.32,2.32,0.00,0.0
1663236000,2022-09-15 10:00:00,RAD/EUR,2.32,2.32,2.32,2.32,0.00,0.0
