https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume YFI,Volume EUR
1663545600,2022-09-19 00:00:00,YFI/EUR,8324.77,8324.77,8324.77,8324.77,0.01376000,114.5488352
1663459200,2022-09-18 00:00:00,YFI/EUR,9297.01,9297.01,7962.80,8353.06,1.48285904,12386.410532662398
1663372800,2022-09-17 00:00:00,YFI/EUR,8738.14,9367.21,8738.14,9355.03,2.36118311,22088.9388295433
1663286400,2022-09-16 00:00:00,YFI/EUR,8601.30,8809.81,8460.69,8592.72,1.81970792,15636.240638342399
1663200000,2022-09-15 00:00:00,YFI/EUR,8982.83,9123.08,8626.70,8626.70,9.96096198,85930.23071286602
1663113600,2022-09-14 00:00:00,YFI/EUR,9297.33,9297.33,9054.96,9191.11,2.37557294,21834.1522045634
1663027200,2022-09-13 00:00:00,YFI/EUR,9530.05,9912.55,9137.56,9137.56,8.73057120,79776.118174272
1662940800,2022-09-12 00:00:00,YFI/EUR,10093.49,10168.95,9613.35,9730.57,1.79819938,17497.504941046598
1662854400,2022-09-11 00:00:00,YFI/EUR,10392.30,10527.49,9837.36,10073.64,0.83218564,8383.138550529598
1662768000,2022-09-10 00:00:00,YFI/EUR,10395.02,10430.85,10081.17,10430.85,2.15130578,22439.947895313002
1662681600,2022-09-09 00:00:00,YFI/EUR,9318.21,11192.86,9318.21,10407.96,12.68635093,132039.03302540278
1662595200,2022-09-08 00:00:00,YFI/EUR,9288.70,9564.54,9063.51,9248.38,8.03529425,74313.454635815
1662508800,2022-09-07 00:00:00,YFI/EUR,8724.26,9537.27,8638.87,9401.96,6.88468113,64729.49659701479
1662422400,2022-09-06 00:00:00,YFI/EUR,9656.23,9679.01,8728.79,8762.02,6.46258306,56625.2820233812
1662336000,2022-09-05 00:00:00,YFI/EUR,9563.06,9643.94,9365.62,9504.98,3.44001319,32697.2565706862
1662249600,2022-09-04 00:00:00,YFI/EUR,9825.49,9825.49,9382.05,9481.11,3.32867351,31559.5197023961
1662163200,2022-09-03 00:00:00,YFI/EUR,9953.42,9953.42,9514.22,9834.38,2.36233302,23232.0806052276
1662076800,2022-09-02 00:00:00,YFI/EUR,9415.83,10218.43,9212.53,10093.87,4.61289750,46561.987688325
1661990400,2022-09-01 00:00:00,YFI/EUR,8943.43,9223.18,8793.82,9223.18,1.64698282,15190.4190057676
1661904000,2022-08-31 00:00:00,YFI/EUR,9136.64,9227.68,8858.38,9087.52,1.83912700,16713.10339504
1661817600,2022-08-30 00:00:00,YFI/EUR,9017.36,9236.41,8605.06,8961.31,1.59424853,14286.555294374299
1661731200,2022-08-29 00:00:00,YFI/EUR,8536.82,9108.25,8536.82,9039.30,2.11310607,19100.999698551
1661644800,2022-08-28 00:00:00,YFI/EUR,8825.68,9022.62,8741.15,8751.21,2.68181863,23469.1580130423
1661558400,2022-08-27 00:00:00,YFI/EUR,9102.88,9154.77,8690.44,8864.30,2.09258996,18549.345182428002
1661472000,2022-08-26 00:00:00,YFI/EUR,9756.68,9766.74,9007.89,9019.14,4.29365718,38725.0952184252
1661385600,2022-08-25 00:00:00,YFI/EUR,9496.79,10174.18,9485.79,9756.68,6.91808605,67497.551802314
1661299200,2022-08-24 00:00:00,YFI/EUR,9100.06,9559.16,9100.06,9386.57,3.23204278,30337.795797464598
1661212800,2022-08-23 00:00:00,YFI/EUR,9048.31,9315.53,8892.45,9245.54,2.75000406,25425.272536892404
1661126400,2022-08-22 00:00:00,YFI/EUR,8692.93,8913.84,8242.09,8864.87,3.20904666,28447.781464834203
1661040000,2022-08-21 00:00:00,YFI/EUR,8538.59,8869.27,8473.59,8750.57,12.47218236,109138.70479394519
1660953600,2022-08-20 00:00:00,YFI/EUR,8648.50,9093.26,8228.47,8404.14,9.68414915,81386.94523748099
1660867200,2022-08-19 00:00:00,YFI/EUR,10125.72,10125.72,8829.19,8842.70,6.27543817,55491.81710585901
1660780800,2022-08-18 00:00:00,YFI/EUR,10934.06,11000.76,9901.50,10133.58,1.55536745,15761.440483971
1660694400,2022-08-17 00:00:00,YFI/EUR,10926.31,11415.07,10751.73,10972.30,4.30746611,47262.810398753
1660608000,2022-08-16 00:00:00,YFI/EUR,11030.91,11086.72,10700.00,10851.09,1.53435637,16649.4390629433
1660521600,2022-08-15 00:00:00,YFI/EUR,11127.95,11274.79,10779.67,10929.57,2.30920641,25238.633102543696
1660435200,2022-08-14 00:00:00,YFI/EUR,11157.35,11420.05,10766.08,10941.72,4.06338067,44460.3735445524
1660348800,2022-08-13 00:00:00,YFI/EUR,11194.07,11833.62,11061.13,11061.13,4.59637847,50841.1397858711
1660262400,2022-08-12 00:00:00,YFI/EUR,11015.30,11268.20,10806.14,11261.69,3.93741008,44341.8917238352
1660176000,2022-08-11 00:00:00,YFI/EUR,11092.56,11460.50,10885.57,10885.57,5.39619200,58740.62574944
1660089600,2022-08-10 00:00:00,YFI/EUR,10686.62,11599.81,10556.99,11123.00,4.78320681,53203.60934763
1660003200,2022-08-09 00:00:00,YFI/EUR,11165.72,11330.52,10562.91,10979.46,3.70755931,40706.9991417726
1659916800,2022-08-08 00:00:00,YFI/EUR,11236.47,11767.37,11223.84,11253.42,3.18861333,35882.8050200886
1659830400,2022-08-07 00:00:00,YFI/EUR,11476.81,11477.04,11126.06,11223.19,1.29433579,14526.576494970102
1659744000,2022-08-06 00:00:00,YFI/EUR,11949.94,11949.94,11395.07,11538.94,5.41376900,62469.15566486001
1659657600,2022-08-05 00:00:00,YFI/EUR,10500.28,12014.53,10500.28,12014.53,6.85562478,82367.10958805341
1659571200,2022-08-04 00:00:00,YFI/EUR,10603.99,10804.10,10195.21,10317.27,3.79431841,39147.0075019407
1659484800,2022-08-03 00:00:00,YFI/EUR,10548.40,11002.10,10310.31,10567.02,7.69758212,81340.5042136824
1659398400,2022-08-02 00:00:00,YFI/EUR,11262.00,11405.77,10373.83,10715.53,6.96043251,74584.7233738803
1659312000,2022-08-01 00:00:00,YFI/EUR,10945.47,11516.45,10722.29,11419.93,5.81151528,66367.0976915304
1659225600,2022-07-31 00:00:00,YFI/EUR,11375.03,12162.38,10550.00,10648.95,14.70097863,156549.9863819385
1659139200,2022-07-30 00:00:00,YFI/EUR,10577.25,13682.63,10561.02,11499.29,19.54178250,224716.624084425
1659052800,2022-07-29 00:00:00,YFI/EUR,8732.24,11214.20,8551.46,10702.37,11.28663514,120793.74532328181
1658966400,2022-07-28 00:00:00,YFI/EUR,7247.37,9696.13,7128.24,8936.85,17.54652607,156810.6715086795
1658880000,2022-07-27 00:00:00,YFI/EUR,6737.47,7063.90,6550.83,7063.90,1.76795892,12488.685014988
1658793600,2022-07-26 00:00:00,YFI/EUR,6129.72,6701.05,6129.72,6695.71,4.07466044,27282.7446547124
1658707200,2022-07-25 00:00:00,YFI/EUR,6498.68,6547.17,6231.11,6310.14,2.25602369,14235.825327216602
1658620800,2022-07-24 00:00:00,YFI/EUR,6457.81,7250.52,6457.81,6978.52,2.57450926,17966.264361095204
1658534400,2022-07-23 00:00:00,YFI/EUR,6509.11,6538.55,6227.17,6421.18,0.48246366,3097.9860043188
1658448000,2022-07-22 00:00:00,YFI/EUR,6483.65,6708.29,6341.76,6341.80,0.58517570,3711.06725426
1658361600,2022-07-21 00:00:00,YFI/EUR,6370.48,6620.12,6154.13,6549.36,0.61063224,3999.2503673664
1658275200,2022-07-20 00:00:00,YFI/EUR,6564.05,6870.00,6360.77,6360.77,3.57411096,22734.097771039204
1658188800,2022-07-19 00:00:00,YFI/EUR,6513.93,6697.02,6260.15,6560.76,2.20094838,14439.894093568799
1658102400,2022-07-18 00:00:00,YFI/EUR,6219.85,6498.10,6141.38,6492.76,2.35692367,15302.9397276292
1658016000,2022-07-17 00:00:00,YFI/EUR,6282.32,6282.32,6057.07,6079.84,1.44047418,8757.8525385312
1657929600,2022-07-16 00:00:00,YFI/EUR,6086.84,6290.15,5906.49,6135.15,1.16998728,7178.047460891999
1657843200,2022-07-15 00:00:00,YFI/EUR,5940.00,6245.03,5940.00,6106.38,2.90608244,17745.6436899672
1657756800,2022-07-14 00:00:00,YFI/EUR,5798.30,6080.01,5689.03,6015.84,0.80244910,4827.405393744
1657670400,2022-07-13 00:00:00,YFI/EUR,5543.19,5719.34,5344.88,5704.47,0.46839022,2671.9179582834004
1657584000,2022-07-12 00:00:00,YFI/EUR,5647.42,5688.25,5407.15,5407.15,3.96196631,21422.9461331165
1657497600,2022-07-11 00:00:00,YFI/EUR,5850.07,5850.07,5435.00,5435.00,1.00406146,5457.0740350999995
1657411200,2022-07-10 00:00:00,YFI/EUR,6324.49,6324.49,5876.93,5920.47,4.02476754,23828.515477543802
1657324800,2022-07-09 00:00:00,YFI/EUR,6310.46,6404.62,6310.46,6353.52,0.67866368,4311.9032641536005
1657238400,2022-07-08 00:00:00,YFI/EUR,6719.78,6719.78,6228.39,6348.44,1.80578812,11463.9375325328
1657152000,2022-07-07 00:00:00,YFI/EUR,6162.81,6509.08,6123.23,6505.77,2.81291182,18300.1573312014
1657065600,2022-07-06 00:00:00,YFI/EUR,5993.39,6272.16,5906.64,6272.16,2.24849466,14102.9182666656
1656979200,2022-07-05 00:00:00,YFI/EUR,6144.13,6150.66,5772.96,5999.19,3.65435589,21923.1753117291
1656892800,2022-07-04 00:00:00,YFI/EUR,5622.18,6104.02,5356.10,6093.83,3.77558169,23007.752969972702
1656806400,2022-07-03 00:00:00,YFI/EUR,5726.97,5732.46,5361.37,5560.35,0.82498113,4587.1838261955
1656720000,2022-07-02 00:00:00,YFI/EUR,5134.40,5727.57,5088.46,5727.57,1.29260103,7403.462881397099
1656633600,2022-07-01 00:00:00,YFI/EUR,5145.61,5294.81,4987.33,5261.98,1.92526928,10130.728445974399
1656547200,2022-06-30 00:00:00,YFI/EUR,5253.23,5415.34,4875.64,4968.95,5.95102036,29570.322617822
1656460800,2022-06-29 00:00:00,YFI/EUR,5505.97,5521.18,5183.13,5311.98,4.31626527,22927.914788934595
1656374400,2022-06-28 00:00:00,YFI/EUR,5880.77,5912.83,5325.20,5325.20,4.42396101,23558.477170452
1656288000,2022-06-27 00:00:00,YFI/EUR,6173.76,6456.05,5775.86,5966.90,8.26293547,49304.109655943
1656201600,2022-06-26 00:00:00,YFI/EUR,6685.74,6685.74,6102.21,6102.21,2.23528957,13640.2063669497
1656115200,2022-06-25 00:00:00,YFI/EUR,6736.78,6927.27,6267.54,6701.71,11.36598625,76171.54371148751
1656028800,2022-06-24 00:00:00,YFI/EUR,5185.48,7586.99,5094.67,6758.10,22.54863531,152385.93228851102
1655942400,2022-06-23 00:00:00,YFI/EUR,4868.37,5076.57,4717.60,5076.57,1.40439187,7129.493635485899
1655856000,2022-06-22 00:00:00,YFI/EUR,4753.67,5028.35,4753.67,4830.12,1.39045404,6716.0598676848
1655769600,2022-06-21 00:00:00,YFI/EUR,4685.52,5222.92,4685.52,4820.03,2.93991661,14170.4862576983
1655683200,2022-06-20 00:00:00,YFI/EUR,4423.78,4719.47,4352.87,4696.48,2.20076033,10335.8268746384
1655596800,2022-06-19 00:00:00,YFI/EUR,4194.66,4559.56,3954.96,4480.42,0.66686350,2987.8285626700003
1655510400,2022-06-18 00:00:00,YFI/EUR,4432.84,4474.73,3854.81,4067.51,3.92316612,15957.5174247612
1655424000,2022-06-17 00:00:00,YFI/EUR,4386.68,4641.59,4386.68,4592.87,3.38445385,15544.356554049498
1655337600,2022-06-16 00:00:00,YFI/EUR,5132.05,5133.82,4495.93,4499.46,2.21306077,9957.578412184199
1655251200,2022-06-15 00:00:00,YFI/EUR,4619.73,5187.66,4123.77,5036.85,1.64092385,8265.0872938725
