https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FTM3S,Volume USDT
1663459200,2022-09-18 00:00:00,FTM3S/USDT,0.0464,0.0472,0.0464,0.047,44202.9499,2070.52874053
1663372800,2022-09-17 00:00:00,FTM3S/USDT,0.0495,0.0503,0.0459,0.0463,2162008.2897,104012.42968991
1663286400,2022-09-16 00:00:00,FTM3S/USDT,0.0538,0.0565,0.0487,0.0495,5074554.5508,263482.79270363
1663200000,2022-09-15 00:00:00,FTM3S/USDT,0.048,0.0549,0.048,0.0538,3884897.9137,202435.35647067
1663113600,2022-09-14 00:00:00,FTM3S/USDT,0.0494,0.0523,0.0461,0.0478,3878083.755,187582.18562422
1663027200,2022-09-13 00:00:00,FTM3S/USDT,0.0401,0.0505,0.0375,0.0493,7858839.8945,347909.94778422
1662940800,2022-09-12 00:00:00,FTM3S/USDT,0.0388,0.0436,0.0333,0.0399,7210350.1309,274849.26982553
1662854400,2022-09-11 00:00:00,FTM3S/USDT,0.0383,0.0416,0.0357,0.0387,3934485.77,150471.91052242
1662768000,2022-09-10 00:00:00,FTM3S/USDT,0.0385,0.0401,0.0331,0.0383,7651457.3369,285429.85668957
1662681600,2022-09-09 00:00:00,FTM3S/USDT,0.0507,0.0507,0.0369,0.0384,6733922.39422427,286984.442073670216
1662595200,2022-09-08 00:00:00,FTM3S/USDT,0.0503,0.0546,0.0485,0.0508,2744098.12536371,140245.297820168242
1662508800,2022-09-07 00:00:00,FTM3S/USDT,0.0568,0.06,0.0476,0.0504,4422173.1885512,235828.497834646478
1662422400,2022-09-06 00:00:00,FTM3S/USDT,0.0465,0.0582,0.0424,0.0568,7743310.98868433,385777.240233361882
1662336000,2022-09-05 00:00:00,FTM3S/USDT,0.0428,0.0489,0.0408,0.0466,3439110.05596178,159442.88538427544
1662249600,2022-09-04 00:00:00,FTM3S/USDT,0.0459,0.0462,0.0421,0.0428,1596714.2555,70048.72537896
1662163200,2022-09-03 00:00:00,FTM3S/USDT,0.0451,0.0476,0.0442,0.046,2039224.0333,92501.46351099
1662076800,2022-09-02 00:00:00,FTM3S/USDT,0.0434,0.0466,0.0394,0.0449,5916548.9006,255840.60617284
1661990400,2022-09-01 00:00:00,FTM3S/USDT,0.0432,0.0479,0.0418,0.0432,6107262.42250101,274249.25678416661
1661904000,2022-08-31 00:00:00,FTM3S/USDT,0.0429,0.0439,0.038,0.0431,2533450.96000256,102377.691674171927
