https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FET,Volume EUR
1663545600,2022-09-19 00:00:00,FET/EUR,0.08170,0.08170,0.08170,0.08170,0.00000000,0.0
1663542000,2022-09-18 23:00:00,FET/EUR,0.08170,0.08170,0.08170,0.08170,239.92643867,19.601990039339
1663538400,2022-09-18 22:00:00,FET/EUR,0.08240,0.08240,0.08240,0.08240,0.00000000,0.0
1663534800,2022-09-18 21:00:00,FET/EUR,0.08314,0.08314,0.08240,0.08240,28468.48736970,2345.80335926328
1663531200,2022-09-18 20:00:00,FET/EUR,0.08500,0.08500,0.08500,0.08500,0.00000000,0.0
1663527600,2022-09-18 19:00:00,FET/EUR,0.08500,0.08500,0.08500,0.08500,0.00000000,0.0
1663524000,2022-09-18 18:00:00,FET/EUR,0.08500,0.08500,0.08500,0.08500,0.00000000,0.0
1663520400,2022-09-18 17:00:00,FET/EUR,0.08500,0.08500,0.08500,0.08500,0.00000000,0.0
1663516800,2022-09-18 16:00:00,FET/EUR,0.08554,0.08554,0.08477,0.08500,17029.05035029,1447.46927977465
1663513200,2022-09-18 15:00:00,FET/EUR,0.08639,0.08639,0.08639,0.08639,9126.19803976,788.4122486548664
1663509600,2022-09-18 14:00:00,FET/EUR,0.08527,0.08527,0.08527,0.08527,9370.47706300,799.02057916201
1663506000,2022-09-18 13:00:00,FET/EUR,0.08698,0.08698,0.08698,0.08698,1774.94044588,154.3843199826424
1663502400,2022-09-18 12:00:00,FET/EUR,0.08678,0.08678,0.08678,0.08678,1322.39503689,114.7574413013142
1663498800,2022-09-18 11:00:00,FET/EUR,0.08902,0.08902,0.08902,0.08902,0.00000000,0.0
1663495200,2022-09-18 10:00:00,FET/EUR,0.08902,0.08902,0.08902,0.08902,0.00000000,0.0
1663491600,2022-09-18 09:00:00,FET/EUR,0.08902,0.08902,0.08902,0.08902,0.00000000,0.0
1663488000,2022-09-18 08:00:00,FET/EUR,0.08787,0.08902,0.08787,0.08902,4358.17166488,387.96444160761763
1663484400,2022-09-18 07:00:00,FET/EUR,0.08673,0.08673,0.08673,0.08673,0.00000000,0.0
1663480800,2022-09-18 06:00:00,FET/EUR,0.08673,0.08673,0.08673,0.08673,0.00000000,0.0
1663477200,2022-09-18 05:00:00,FET/EUR,0.08673,0.08673,0.08673,0.08673,0.00000000,0.0
1663473600,2022-09-18 04:00:00,FET/EUR,0.08673,0.08673,0.08673,0.08673,0.00000000,0.0
1663470000,2022-09-18 03:00:00,FET/EUR,0.08673,0.08673,0.08673,0.08673,0.00000000,0.0
1663466400,2022-09-18 02:00:00,FET/EUR,0.08673,0.08673,0.08673,0.08673,0.00000000,0.0
1663462800,2022-09-18 01:00:00,FET/EUR,0.08672,0.08673,0.08672,0.08673,1845.07704276,160.0235319185748
1663459200,2022-09-18 00:00:00,FET/EUR,0.08675,0.08675,0.08659,0.08659,3374.72234930,292.217208225887
1663455600,2022-09-17 23:00:00,FET/EUR,0.08981,0.08981,0.08981,0.08981,0.00000000,0.0
1663452000,2022-09-17 22:00:00,FET/EUR,0.08981,0.08981,0.08981,0.08981,0.00000000,0.0
1663448400,2022-09-17 21:00:00,FET/EUR,0.08981,0.08981,0.08981,0.08981,0.00000000,0.0
1663444800,2022-09-17 20:00:00,FET/EUR,0.08981,0.08981,0.08981,0.08981,8697.26908005,781.1017360792905
1663441200,2022-09-17 19:00:00,FET/EUR,0.08980,0.08980,0.08980,0.08980,0.00000000,0.0
1663437600,2022-09-17 18:00:00,FET/EUR,0.08980,0.08980,0.08980,0.08980,0.00000000,0.0
1663434000,2022-09-17 17:00:00,FET/EUR,0.08980,0.08980,0.08980,0.08980,0.00000000,0.0
