https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume ETC
1663545600000,2022-09-19 00:00:00,ETC/BTC,0.0015268,0.0015372,0.0015211,0.0015369,0.05901328098414899,38.39760621
1663459200000,2022-09-18 00:00:00,ETC/BTC,0.0017113,0.0017168,0.0014992,0.0015215,2.530599393665645,1663.22668003
1663372800000,2022-09-17 00:00:00,ETC/BTC,0.0017213,0.0017548,0.0016931,0.0017117,1.1567253285093901,675.7757367
1663286400000,2022-09-16 00:00:00,ETC/BTC,0.0018079,0.0018111,0.0016677,0.0017222,23.953085887277066,13908.42288194
1663200000000,2022-09-15 00:00:00,ETC/BTC,0.0019387,0.00195,0.0017611,0.0018079,7.43530840423855,4112.67680969
1663113600000,2022-09-14 00:00:00,ETC/BTC,0.001745,0.0019616,0.0017437,0.0019414,9.790071846739389,5042.7896604200005
1663027200000,2022-09-13 00:00:00,ETC/BTC,0.0017166,0.0017922,0.0016422,0.0017499,3.5036448884695317,2002.19720468
1662940800000,2022-09-12 00:00:00,ETC/BTC,0.0017616,0.0018275,0.0016844,0.0017162,12.516405010305627,7293.09230294
1662854400000,2022-09-11 00:00:00,ETC/BTC,0.0018138,0.0018191,0.0017507,0.001767,1.1310118214512799,640.07460184
1662768000000,2022-09-10 00:00:00,ETC/BTC,0.0018291,0.0018891,0.0017936,0.0018141,1.2274585301311378,676.62120618
1662681600000,2022-09-09 00:00:00,ETC/BTC,0.0019224,0.0019312,0.0017956,0.0018359,3.5789904746468615,1949.44739618
1662595200000,2022-09-08 00:00:00,ETC/BTC,0.0019429,0.0019539,0.001868,0.0019157,5.206990327523585,2718.06145405
1662508800000,2022-09-07 00:00:00,ETC/BTC,0.0018336,0.0019529,0.0017793,0.0019349,13.849323889519404,7157.64323196
1662422400000,2022-09-06 00:00:00,ETC/BTC,0.0019984,0.0021356,0.0018255,0.0018311,34.201690254228616,18678.22088047
1662336000000,2022-09-05 00:00:00,ETC/BTC,0.0016228,0.002013,0.001609,0.002002,37.555680847624934,18759.08134247
1662249600000,2022-09-04 00:00:00,ETC/BTC,0.0016222,0.0016308,0.0016058,0.0016206,6.000489116809578,3702.63428163
1662163200000,2022-09-03 00:00:00,ETC/BTC,0.0016254,0.0016379,0.0016181,0.0016239,3.9173805666088137,2412.32869426
1662076800000,2022-09-02 00:00:00,ETC/BTC,0.001633,0.0016608,0.0016124,0.0016263,0.784856432381814,482.60249178
1661990400000,2022-09-01 00:00:00,ETC/BTC,0.0016202,0.0016409,0.0015788,0.0016356,0.6095624316098761,372.68429421
1661904000000,2022-08-31 00:00:00,ETC/BTC,0.0016313,0.0016568,0.0016058,0.0016173,0.603122734908792,372.91951704
1661817600000,2022-08-30 00:00:00,ETC/BTC,0.001652,0.0016731,0.0016064,0.0016321,2.699305926923943,1653.88513383
1661731200000,2022-08-29 00:00:00,ETC/BTC,0.0015864,0.001659,0.001553,0.0016536,38.37542074825025,23207.19687243
1661644800000,2022-08-28 00:00:00,ETC/BTC,0.0016533,0.001664,0.0015652,0.0015796,6.171628503633956,3907.08312461
1661558400000,2022-08-27 00:00:00,ETC/BTC,0.0016762,0.0017033,0.0016168,0.0016488,40.61028432244363,24630.20640614
1661472000000,2022-08-26 00:00:00,ETC/BTC,0.001741,0.001754,0.0016675,0.0016737,222.00249454326456,132641.74854709
1661385600000,2022-08-25 00:00:00,ETC/BTC,0.0016539,0.001753,0.0016539,0.001741,202.33135346623067,116215.59647687
1661299200000,2022-08-24 00:00:00,ETC/BTC,0.0015962,0.0016884,0.0015568,0.0016534,3.107071438249156,1879.20130534
1661212800000,2022-08-23 00:00:00,ETC/BTC,0.0015885,0.0016197,0.0015422,0.0015936,0.830809271109888,521.34115908
