https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CARR,Volume USDT
1658880000,2022-07-27 00:00:00,CARR/USDT,0.001202,0.001222,0.001202,0.001222,402227.1414,491.3699211244
1658793600,2022-07-26 00:00:00,CARR/USDT,0.001334,0.001419,0.001172,0.001197,34895273.7439,44345.3943609256
1658707200,2022-07-25 00:00:00,CARR/USDT,0.001315,0.001463,0.00125,0.001333,23446562.8127,32135.0408607206
1658620800,2022-07-24 00:00:00,CARR/USDT,0.001308,0.0014,0.001274,0.001328,18188916.3749,24190.3464942687
1658534400,2022-07-23 00:00:00,CARR/USDT,0.00131,0.00152,0.001246,0.001319,32532859.6049,44483.0489811995
1658448000,2022-07-22 00:00:00,CARR/USDT,0.001531,0.00154,0.00126,0.001321,38554092.2648,54082.8159664951
1658361600,2022-07-21 00:00:00,CARR/USDT,0.001622,0.00166,0.001422,0.001531,11108392.9442,16843.7627324816
1658275200,2022-07-20 00:00:00,CARR/USDT,0.001743,0.001753,0.001611,0.001637,13372844.42294597,22165.80923273408994
1658188800,2022-07-19 00:00:00,CARR/USDT,0.001651,0.00185,0.001612,0.001744,17558654.40366175,30075.83304021562493
1658102400,2022-07-18 00:00:00,CARR/USDT,0.001675,0.001749,0.001612,0.00165,8969119.44315503,15041.20272025354889
1658016000,2022-07-17 00:00:00,CARR/USDT,0.001721,0.00176,0.001621,0.001664,4229182.52380137,7105.61879668987286
1657929600,2022-07-16 00:00:00,CARR/USDT,0.001672,0.001799,0.001622,0.001721,14838873.40285289,25137.18733971522288
1657843200,2022-07-15 00:00:00,CARR/USDT,0.001682,0.001782,0.001671,0.001672,5156113.21707603,8798.39834900840479
1657756800,2022-07-14 00:00:00,CARR/USDT,0.001562,0.001871,0.001513,0.001682,18763055.94825664,32035.64741426711901
1657670400,2022-07-13 00:00:00,CARR/USDT,0.0016,0.001664,0.001521,0.001579,12975511.28933977,20642.30702596000892
1657584000,2022-07-12 00:00:00,CARR/USDT,0.001619,0.001699,0.001563,0.0016,10339084.05197939,16800.15768082951204
1657497600,2022-07-11 00:00:00,CARR/USDT,0.001782,0.002099,0.00162,0.001635,38633307.23654333,72144.43399552763585
1657411200,2022-07-10 00:00:00,CARR/USDT,0.001699,0.001876,0.001667,0.001782,19194162.08118486,33555.29321274119226
1657324800,2022-07-09 00:00:00,CARR/USDT,0.001639,0.001776,0.00162,0.001699,11007460.92748952,18515.67581898343125
1657238400,2022-07-08 00:00:00,CARR/USDT,0.001697,0.001759,0.001575,0.001639,13017186.05181731,21630.53553606186225
1657152000,2022-07-07 00:00:00,CARR/USDT,0.001759,0.00192,0.001658,0.00169,29282727.46114201,51332.65905411926871
1657065600,2022-07-06 00:00:00,CARR/USDT,0.001701,0.001835,0.001616,0.00176,23288132.82836796,39724.0597400986978
1656979200,2022-07-05 00:00:00,CARR/USDT,0.001646,0.002174,0.0016,0.001701,87966518.99526107,161384.22558401690764
1656892800,2022-07-04 00:00:00,CARR/USDT,0.001605,0.001676,0.001506,0.001648,11116204.58965422,17382.0161688824524
1656806400,2022-07-03 00:00:00,CARR/USDT,0.00163,0.001969,0.001576,0.001604,23894983.16658469,41941.90199455890507
1656720000,2022-07-02 00:00:00,CARR/USDT,0.001645,0.001712,0.00163,0.00163,7007028.30780047,11649.45107861882129
1656633600,2022-07-01 00:00:00,CARR/USDT,0.001645,0.001724,0.001607,0.001645,11661803.97758803,19580.15091809157134
1656547200,2022-06-30 00:00:00,CARR/USDT,0.001777,0.001895,0.001526,0.001661,19584792.7658788,33286.62771016338295
1656460800,2022-06-29 00:00:00,CARR/USDT,0.001851,0.001891,0.00175,0.001763,11210722.0523155,20117.24994775592401
1656374400,2022-06-28 00:00:00,CARR/USDT,0.001858,0.00198,0.001851,0.001851,10635721.9842678,20279.81939561225835
1656288000,2022-06-27 00:00:00,CARR/USDT,0.001974,0.002034,0.0018,0.001858,18944252.9363611,36062.65097905872798
1656201600,2022-06-26 00:00:00,CARR/USDT,0.001899,0.002248,0.001869,0.001995,66908806.77389013,136354.69589017249834
1656115200,2022-06-25 00:00:00,CARR/USDT,0.001819,0.002523,0.001762,0.001899,100297116.45893476,215331.42165688989025
1656028800,2022-06-24 00:00:00,CARR/USDT,0.001778,0.001932,0.00176,0.001836,30732022.35847111,55719.09092877815759
1655942400,2022-06-23 00:00:00,CARR/USDT,0.002061,0.00214,0.001758,0.00178,37413489.54716529,71079.53543075483455
1655856000,2022-06-22 00:00:00,CARR/USDT,0.002414,0.002556,0.0017,0.002061,113431609.72608035,220824.47073235909929
1655769600,2022-06-21 00:00:00,CARR/USDT,0.002295,0.00269,0.002134,0.00243,105501063.46667488,252602.53435788258436
1655683200,2022-06-20 00:00:00,CARR/USDT,0.002599,0.0033,0.002223,0.002295,251551665.88855432,710023.61702377650087
1655596800,2022-06-19 00:00:00,CARR/USDT,0.001646,0.0033,0.001412,0.002611,507124318.75057556,1241429.30101368231833
1655510400,2022-06-18 00:00:00,CARR/USDT,0.001417,0.00245,0.001207,0.001646,145184291.30333678,251752.85056000739671
1655424000,2022-06-17 00:00:00,CARR/USDT,0.001315,0.0015,0.001291,0.001417,12878236.04875864,18159.30147350634241
1655337600,2022-06-16 00:00:00,CARR/USDT,0.0014,0.001422,0.00127,0.001325,10595483.37817946,14469.90070171633944
1655251200,2022-06-15 00:00:00,CARR/USDT,0.00141,0.00156,0.001273,0.001422,28722527.2471013,40536.38413377033847
1655164800,2022-06-14 00:00:00,CARR/USDT,0.001272,0.001721,0.001165,0.001408,36334092.29646621,51145.73169467141456
1655078400,2022-06-13 00:00:00,CARR/USDT,0.001531,0.001531,0.001198,0.00127,24252348.16041759,32595.9395180400309
1654992000,2022-06-12 00:00:00,CARR/USDT,0.001686,0.001687,0.0015,0.001535,16245370.52575548,25381.79615385908915
1654905600,2022-06-11 00:00:00,CARR/USDT,0.001805,0.001821,0.001535,0.001686,17318435.2205078,29080.1575831631941
1654819200,2022-06-10 00:00:00,CARR/USDT,0.001884,0.002,0.00176,0.001805,18671427.22348282,33782.97029089574493
1654732800,2022-06-09 00:00:00,CARR/USDT,0.001889,0.001998,0.0018,0.001884,19741931.92963293,37086.44632584399334
1654646400,2022-06-08 00:00:00,CARR/USDT,0.001888,0.00208,0.001759,0.001904,24384617.06655744,46695.24819127742478
1654560000,2022-06-07 00:00:00,CARR/USDT,0.00204,0.002076,0.001721,0.001889,20734745.81279732,40101.21673820419134
1654473600,2022-06-06 00:00:00,CARR/USDT,0.002332,0.002353,0.002009,0.002021,31796960.89060612,69311.17189174373796
1654387200,2022-06-05 00:00:00,CARR/USDT,0.002649,0.0037,0.002201,0.002331,243450685.33922396,713830.09808049165454
1654300800,2022-06-04 00:00:00,CARR/USDT,0.001536,0.0033,0.001523,0.002665,243630863.26213626,566800.29533356451949
1654214400,2022-06-03 00:00:00,CARR/USDT,0.001665,0.001695,0.001508,0.001536,3097664.3900666,4857.36310649870667
1654128000,2022-06-02 00:00:00,CARR/USDT,0.001601,0.001699,0.001554,0.001648,3877906.00110911,6315.96412511360156
1654041600,2022-06-01 00:00:00,CARR/USDT,0.00164,0.001982,0.0016,0.001606,23196401.12993327,40635.41678767919165
1653955200,2022-05-31 00:00:00,CARR/USDT,0.001674,0.001675,0.001506,0.00164,11323400.06100562,18141.15421104737728
1653868800,2022-05-30 00:00:00,CARR/USDT,0.00145,0.0018,0.00139,0.001657,58549209.65131297,94416.04686305121877
1653782400,2022-05-29 00:00:00,CARR/USDT,0.001336,0.001455,0.001317,0.00144,5889878.34790452,8168.31033210769504
1653696000,2022-05-28 00:00:00,CARR/USDT,0.001294,0.00157,0.001251,0.001317,13919987.29906012,19525.99510644026208
1653609600,2022-05-27 00:00:00,CARR/USDT,0.001362,0.001407,0.001257,0.001299,5919342.99184997,7918.32592013567908
