https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EQZ,Volume BTC
1652054400,2022-05-09 00:00:00,EQZ/BTC,0.00000163,0.00000163,0.00000163,0.00000163,14086.8096,0.022961499648
1651968000,2022-05-08 00:00:00,EQZ/BTC,0.00000163,0.0000017,0.00000161,0.00000163,215998.8392,0.355772944625
1651881600,2022-05-07 00:00:00,EQZ/BTC,0.00000159,0.00000168,0.00000159,0.00000162,223076.9495,0.362364984178
1651795200,2022-05-06 00:00:00,EQZ/BTC,0.0000016,0.00000163,0.00000158,0.00000159,168225.8167,0.270315764093
1651708800,2022-05-05 00:00:00,EQZ/BTC,0.0000016,0.00000172,0.00000158,0.00000161,37817.5702,0.061741734946
1651622400,2022-05-04 00:00:00,EQZ/BTC,0.00000156,0.00000163,0.00000154,0.00000161,10675.68837672,0.0170903122412864
1651536000,2022-05-03 00:00:00,EQZ/BTC,0.00000155,0.00000159,0.00000153,0.00000157,6574.602,0.010296459085
1651449600,2022-05-02 00:00:00,EQZ/BTC,0.0000015,0.00000163,0.0000015,0.00000154,98049.8414,0.154491712556
1651363200,2022-05-01 00:00:00,EQZ/BTC,0.00000159,0.00000159,0.00000149,0.00000151,32634.8502849,0.049993006977991
1651276800,2022-04-30 00:00:00,EQZ/BTC,0.0000017,0.0000017,0.00000159,0.00000159,15109.6129,0.024958598043
1651190400,2022-04-29 00:00:00,EQZ/BTC,0.00000188,0.0000019,0.00000171,0.00000171,50159.8749,0.090107472714
1651104000,2022-04-28 00:00:00,EQZ/BTC,0.00000196,0.00000197,0.00000186,0.0000019,18660.3567,0.035656973274
1651017600,2022-04-27 00:00:00,EQZ/BTC,0.000002,0.000002,0.0000019,0.00000197,16276.6108,0.031695024359
1650931200,2022-04-26 00:00:00,EQZ/BTC,0.00000203,0.00000212,0.00000196,0.000002,29593.94740541,0.0602748645100364
1650844800,2022-04-25 00:00:00,EQZ/BTC,0.00000211,0.00000217,0.00000202,0.00000202,22488.32186793,0.0472759607410116
1650758400,2022-04-24 00:00:00,EQZ/BTC,0.00000209,0.00000223,0.00000207,0.00000211,42069.59208379,0.0898701775499596
1650672000,2022-04-23 00:00:00,EQZ/BTC,0.00000207,0.00000212,0.00000205,0.00000208,11564.0924,0.024005425179
1650585600,2022-04-22 00:00:00,EQZ/BTC,0.00000212,0.00000214,0.00000204,0.00000208,21403.3553,0.044706709672
1650499200,2022-04-21 00:00:00,EQZ/BTC,0.00000217,0.0000022,0.00000201,0.00000212,29533.21809723,0.0622866885829891
1650412800,2022-04-20 00:00:00,EQZ/BTC,0.00000214,0.00000227,0.0000021,0.00000216,44695.32029908,0.0972811451599852
1650326400,2022-04-19 00:00:00,EQZ/BTC,0.00000227,0.00000231,0.00000212,0.00000215,21737.79,0.047501431132
1650240000,2022-04-18 00:00:00,EQZ/BTC,0.0000021,0.00000236,0.00000198,0.00000227,120280.9533,0.265318028495
1650153600,2022-04-17 00:00:00,EQZ/BTC,0.00000213,0.00000217,0.00000203,0.00000212,80229.7333,0.165224351262
1650067200,2022-04-16 00:00:00,EQZ/BTC,0.00000218,0.00000224,0.00000208,0.00000212,31595.996,0.068599951354
1649980800,2022-04-15 00:00:00,EQZ/BTC,0.00000229,0.00000232,0.00000208,0.00000218,63353.48230454,0.138744773273988
1649894400,2022-04-14 00:00:00,EQZ/BTC,0.00000237,0.0000024,0.00000225,0.00000228,18544.3174,0.042587624991
1649808000,2022-04-13 00:00:00,EQZ/BTC,0.00000226,0.00000242,0.00000224,0.00000237,19894.9726,0.046439443164
1649721600,2022-04-12 00:00:00,EQZ/BTC,0.00000227,0.00000229,0.00000221,0.00000225,19151.8884,0.043119572173
1649635200,2022-04-11 00:00:00,EQZ/BTC,0.00000222,0.00000228,0.00000214,0.00000228,40811.8676,0.090664297544
1649548800,2022-04-10 00:00:00,EQZ/BTC,0.00000223,0.00000233,0.00000219,0.00000222,108566.0854,0.247954145615
1649462400,2022-04-09 00:00:00,EQZ/BTC,0.00000231,0.00000231,0.00000218,0.00000224,14067.055,0.03146008877
1649376000,2022-04-08 00:00:00,EQZ/BTC,0.00000242,0.00000246,0.0000022,0.00000231,42967.3105,0.098967901891
1649289600,2022-04-07 00:00:00,EQZ/BTC,0.00000255,0.00000259,0.00000232,0.00000241,61083.27601578,0.1505809441639766
1649203200,2022-04-06 00:00:00,EQZ/BTC,0.00000278,0.00000285,0.00000252,0.00000256,52718.95548257,0.1382630965690217
1649116800,2022-04-05 00:00:00,EQZ/BTC,0.00000281,0.00000297,0.00000274,0.00000277,50512.07571743,0.1447868937269783
1649030400,2022-04-04 00:00:00,EQZ/BTC,0.00000291,0.00000293,0.00000274,0.00000282,26470.1352,0.074555455102
1648944000,2022-04-03 00:00:00,EQZ/BTC,0.0000027,0.00000298,0.00000263,0.00000292,83036.29659134,0.2358910795699726
