https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BNX,Volume USDT
1663462800,2022-09-18 01:00:00,BNX/USDT,137.2,137.2,137.2,137.2,0.0013,0.17836
1663459200,2022-09-18 00:00:00,BNX/USDT,135.749,137.921,135.749,137.921,0.1299,17.7580122
1663455600,2022-09-17 23:00:00,BNX/USDT,138.272,138.272,134.837,135.749,6.4318,868.2425849
1663452000,2022-09-17 22:00:00,BNX/USDT,139.374,139.595,136.559,138.272,8.2127,1142.6721797
1663448400,2022-09-17 21:00:00,BNX/USDT,138.999,140.6,134.84,139.374,4.4587,615.6559324
1663444800,2022-09-17 20:00:00,BNX/USDT,138.999,138.999,137.814,138.999,1.6512,229.4638243
1663441200,2022-09-17 19:00:00,BNX/USDT,138.482,138.999,136,138.999,1.1994,164.92828
1663437600,2022-09-17 18:00:00,BNX/USDT,137.2,139.499,137.2,137.903,2.4567,342.6181254
1663434000,2022-09-17 17:00:00,BNX/USDT,138.485,140.399,134.854,136.501,4.0286,557.265715
1663430400,2022-09-17 16:00:00,BNX/USDT,138.485,141.3,137.316,138.485,0.9073,127.1541769
1663426800,2022-09-17 15:00:00,BNX/USDT,137.497,138.485,137.301,138.484,8.2106,1128.9083536
1663423200,2022-09-17 14:00:00,BNX/USDT,138.485,138.485,138.485,138.485,0.0017,0.2354245
1663419600,2022-09-17 13:00:00,BNX/USDT,138.478,138.478,137.3,138.461,0.3065,42.2903246
1663416000,2022-09-17 12:00:00,BNX/USDT,137.212,138.482,131.001,137.3,39.0839,5271.4383327
1663412400,2022-09-17 11:00:00,BNX/USDT,137.787,137.789,137.787,137.789,0.2776,38.2502238
1663408800,2022-09-17 10:00:00,BNX/USDT,135.435,138.173,135.435,136.661,1.0784,148.2346227
1663405200,2022-09-17 09:00:00,BNX/USDT,138.718,138.718,134.443,135.435,0.9923,134.7988986
1663401600,2022-09-17 08:00:00,BNX/USDT,140.183,140.183,135.484,138.668,4.7398,645.0003085
1663398000,2022-09-17 07:00:00,BNX/USDT,140.14,140.499,136.408,139.82,7.1507,993.3684363
