https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume HTR,Volume USDT
1663372800,2022-09-17 00:00:00,HTR/USDT,0.0998,0.1003,0.0997,0.1002,16502.6958,1652.51357443
1663286400,2022-09-16 00:00:00,HTR/USDT,0.0998,0.1035,0.0978,0.1,2212533.1354,220920.60766479
1663200000,2022-09-15 00:00:00,HTR/USDT,0.1015,0.1032,0.0977,0.0998,2976538.65676432,299228.126398451248
1663113600,2022-09-14 00:00:00,HTR/USDT,0.1038,0.1058,0.1,0.1015,2150509.85642911,219706.719102021754
1663027200,2022-09-13 00:00:00,HTR/USDT,0.1131,0.1139,0.1032,0.1039,3569755.0381,383011.89219046
1662940800,2022-09-12 00:00:00,HTR/USDT,0.1092,0.1148,0.1074,0.1131,3082065.5943,342155.94320496
1662854400,2022-09-11 00:00:00,HTR/USDT,0.1119,0.114,0.1075,0.1091,2610034.2138,286342.8812933
1662768000,2022-09-10 00:00:00,HTR/USDT,0.1176,0.1209,0.1056,0.1119,4837586.63490587,540164.106424876245
1662681600,2022-09-09 00:00:00,HTR/USDT,0.1129,0.1227,0.1121,0.1176,3497737.38601026,410079.195242380174
1662595200,2022-09-08 00:00:00,HTR/USDT,0.1048,0.1141,0.103,0.1129,3000615.4087,323712.25332565
1662508800,2022-09-07 00:00:00,HTR/USDT,0.1041,0.1079,0.1015,0.1049,2447035.0852,254510.25776241
1662422400,2022-09-06 00:00:00,HTR/USDT,0.108,0.1144,0.1012,0.1041,3788004.70095017,408132.886512658292
1662336000,2022-09-05 00:00:00,HTR/USDT,0.1047,0.1083,0.1024,0.108,1487799.6025,156755.6190624
1662249600,2022-09-04 00:00:00,HTR/USDT,0.1071,0.1087,0.1,0.1049,2518608.7935,265703.14557697
1662163200,2022-09-03 00:00:00,HTR/USDT,0.107,0.11,0.1048,0.1071,1176301.2832,125730.84106477
1662076800,2022-09-02 00:00:00,HTR/USDT,0.1088,0.1121,0.1043,0.107,3297893.4174,356223.3224274
1661990400,2022-09-01 00:00:00,HTR/USDT,0.1119,0.1124,0.1,0.1088,7318973.93397259,764647.409057244113
1661904000,2022-08-31 00:00:00,HTR/USDT,0.1132,0.1181,0.1115,0.1119,1103018.84219052,125914.902739006096
1661817600,2022-08-30 00:00:00,HTR/USDT,0.117,0.1189,0.1094,0.113,3847301.19270517,441804.326608163621
1661731200,2022-08-29 00:00:00,HTR/USDT,0.118,0.1268,0.11,0.1171,6766935.34135164,789940.522555476607
1661644800,2022-08-28 00:00:00,HTR/USDT,0.1232,0.1264,0.117,0.1175,1616248.31617018,198067.844601612935
1661558400,2022-08-27 00:00:00,HTR/USDT,0.1256,0.134,0.1211,0.1232,3489161.14433936,434982.296289156703
1661472000,2022-08-26 00:00:00,HTR/USDT,0.1386,0.1393,0.124,0.1254,2647290.99157535,345687.003898598743
1661385600,2022-08-25 00:00:00,HTR/USDT,0.1361,0.1398,0.1353,0.1391,1012988.67614693,140023.271452113792
1661299200,2022-08-24 00:00:00,HTR/USDT,0.1395,0.14,0.134,0.1363,1468016.01701068,202182.030551677017
1661212800,2022-08-23 00:00:00,HTR/USDT,0.1376,0.1426,0.1344,0.1392,1763512.59147818,244985.769703241501
1661126400,2022-08-22 00:00:00,HTR/USDT,0.1436,0.1438,0.1313,0.1377,1738073.0475937,238414.842841488161
1661040000,2022-08-21 00:00:00,HTR/USDT,0.1357,0.145,0.1349,0.1436,1362798.61218197,192601.929065045435
1660953600,2022-08-20 00:00:00,HTR/USDT,0.1311,0.1401,0.1309,0.1357,1980251.18621678,270213.076597595801
1660867200,2022-08-19 00:00:00,HTR/USDT,0.1419,0.1424,0.129,0.1314,3650324.65871145,491797.550265653777
1660780800,2022-08-18 00:00:00,HTR/USDT,0.1495,0.1549,0.1412,0.1419,3168524.02373203,472544.89696374793
1660694400,2022-08-17 00:00:00,HTR/USDT,0.1623,0.1692,0.1475,0.1495,3908328.1220868,607131.296144720299
1660608000,2022-08-16 00:00:00,HTR/USDT,0.1646,0.1664,0.1582,0.1626,2818785.11759673,456009.00897575665
1660521600,2022-08-15 00:00:00,HTR/USDT,0.1758,0.1884,0.1621,0.1649,4772733.05171442,824435.775135712777
1660435200,2022-08-14 00:00:00,HTR/USDT,0.1746,0.1898,0.1735,0.1759,4247764.92078487,769643.141170883011
1660348800,2022-08-13 00:00:00,HTR/USDT,0.1771,0.1828,0.1736,0.1748,3938318.47088327,700885.734046309312
1660262400,2022-08-12 00:00:00,HTR/USDT,0.1671,0.1803,0.16,0.1773,5750573.81912059,966823.475322893221
1660176000,2022-08-11 00:00:00,HTR/USDT,0.1598,0.1814,0.1596,0.1671,8267091.58946716,1420360.174533729166
1660089600,2022-08-10 00:00:00,HTR/USDT,0.1555,0.1641,0.149,0.1598,3709334.94031366,582243.007102359396
1660003200,2022-08-09 00:00:00,HTR/USDT,0.1526,0.1564,0.1473,0.1556,3231853.20193223,486878.696381956795
1659916800,2022-08-08 00:00:00,HTR/USDT,0.1405,0.165,0.1396,0.1522,7170416.02520217,1117522.154817549201
1659830400,2022-08-07 00:00:00,HTR/USDT,0.14,0.1429,0.1381,0.1406,1407653.12277698,197268.399334407827
1659744000,2022-08-06 00:00:00,HTR/USDT,0.1417,0.1441,0.1394,0.14,1782972.54002655,251815.210454658414
1659657600,2022-08-05 00:00:00,HTR/USDT,0.1285,0.1436,0.125,0.1419,4889758.75434446,665922.983669961492
1659571200,2022-08-04 00:00:00,HTR/USDT,0.14,0.1458,0.126,0.1284,4183554.17539809,567409.188957431894
1659484800,2022-08-03 00:00:00,HTR/USDT,0.1396,0.1449,0.137,0.14,3037930.21050231,430136.711759803611
1659398400,2022-08-02 00:00:00,HTR/USDT,0.1421,0.1465,0.1355,0.1399,2705144.81709913,379060.534723148633
1659312000,2022-08-01 00:00:00,HTR/USDT,0.1424,0.1468,0.1349,0.1419,5354255.41179191,756066.043984947497
1659225600,2022-07-31 00:00:00,HTR/USDT,0.1538,0.159,0.1399,0.1424,5108274.47130408,762634.975105904553
1659139200,2022-07-30 00:00:00,HTR/USDT,0.1543,0.17,0.151,0.1537,3189298.13987682,504011.712076943793
1659052800,2022-07-29 00:00:00,HTR/USDT,0.1612,0.1677,0.1504,0.1539,3453673.63864153,542304.80269548049
1658966400,2022-07-28 00:00:00,HTR/USDT,0.1497,0.1619,0.145,0.1611,3467166.86293203,529472.787876205524
1658880000,2022-07-27 00:00:00,HTR/USDT,0.1366,0.1525,0.1342,0.1495,3002927.78392166,422794.108481220975
1658793600,2022-07-26 00:00:00,HTR/USDT,0.1309,0.1369,0.13,0.1368,2161448.54440499,285875.028970715368
1658707200,2022-07-25 00:00:00,HTR/USDT,0.1443,0.145,0.1305,0.1308,3696030.895204,503869.648826346224
1658620800,2022-07-24 00:00:00,HTR/USDT,0.1418,0.1479,0.1399,0.1441,2309383.22835645,334839.168321476707
1658534400,2022-07-23 00:00:00,HTR/USDT,0.1485,0.1534,0.1359,0.1419,3071004.97689192,438747.555363743347
1658448000,2022-07-22 00:00:00,HTR/USDT,0.157,0.1634,0.1468,0.1483,3272590.40608633,512950.695276703193
1658361600,2022-07-21 00:00:00,HTR/USDT,0.1502,0.16,0.1425,0.1566,5049571.9110446,765539.719837053453
1658275200,2022-07-20 00:00:00,HTR/USDT,0.1679,0.1749,0.1484,0.1504,5806824.25131583,944511.232431790534
1658188800,2022-07-19 00:00:00,HTR/USDT,0.1681,0.1794,0.1611,0.1678,5657277.20302384,963221.21185226346
1658102400,2022-07-18 00:00:00,HTR/USDT,0.1461,0.1698,0.146,0.1679,4102041.56381465,649957.899764779204
1658016000,2022-07-17 00:00:00,HTR/USDT,0.1558,0.1606,0.1445,0.1463,3539287.50559924,542920.289334608351
1657929600,2022-07-16 00:00:00,HTR/USDT,0.1411,0.165,0.141,0.1564,3830375.30212134,573142.334085000249
1657843200,2022-07-15 00:00:00,HTR/USDT,0.1387,0.1484,0.1321,0.1411,4443042.56332559,618810.854977346583
1657756800,2022-07-14 00:00:00,HTR/USDT,0.1216,0.1407,0.116,0.1383,5025714.01677721,641691.375712691208
1657670400,2022-07-13 00:00:00,HTR/USDT,0.1159,0.1219,0.1121,0.1214,3631984.15999695,423779.858681926069
1657584000,2022-07-12 00:00:00,HTR/USDT,0.1221,0.1237,0.1155,0.116,2628788.39582182,314083.299625407676
1657497600,2022-07-11 00:00:00,HTR/USDT,0.1281,0.131,0.12,0.1219,4687680.75818208,583562.238920818082
1657411200,2022-07-10 00:00:00,HTR/USDT,0.1364,0.141,0.121,0.1281,4684151.9515307,609793.508739947787
1657324800,2022-07-09 00:00:00,HTR/USDT,0.113,0.1366,0.1124,0.1364,5478827.10158412,676249.04089636882
