https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AAVE3S,Volume USDT
1663459200,2022-09-18 00:00:00,AAVE3S/USDT,0.0723,0.0745,0.0723,0.0741,19685.3955,1447.92700373
1663372800,2022-09-17 00:00:00,AAVE3S/USDT,0.0786,0.0792,0.0719,0.0722,399336.7807,29910.36542461
1663286400,2022-09-16 00:00:00,AAVE3S/USDT,0.0811,0.0845,0.0755,0.0785,960378.0772,76556.73952542
1663200000,2022-09-15 00:00:00,AAVE3S/USDT,0.0691,0.0828,0.0676,0.0813,1464489.2033,112297.74954127
1663113600,2022-09-14 00:00:00,AAVE3S/USDT,0.071,0.075,0.0635,0.0691,1017259.7952,69464.35558629
1663027200,2022-09-13 00:00:00,AAVE3S/USDT,0.0557,0.0716,0.0513,0.071,2849897.3122,173432.18324922
1662940800,2022-09-12 00:00:00,AAVE3S/USDT,0.0552,0.0588,0.0459,0.0559,2548574.82213896,136586.432777897864
1662854400,2022-09-11 00:00:00,AAVE3S/USDT,0.053,0.0586,0.0507,0.0552,1585918.6429,86893.05089719
1662768000,2022-09-10 00:00:00,AAVE3S/USDT,0.0558,0.0585,0.0513,0.053,1248660.509,68073.13050937
1662681600,2022-09-09 00:00:00,AAVE3S/USDT,0.062,0.0622,0.0506,0.056,2520423.3295,141733.71469191
1662595200,2022-09-08 00:00:00,AAVE3S/USDT,0.0635,0.0679,0.0584,0.0617,1734250.7601,109263.16115498
1662508800,2022-09-07 00:00:00,AAVE3S/USDT,0.0743,0.0775,0.0596,0.0638,2755273.4233,194187.20410699
1662422400,2022-09-06 00:00:00,AAVE3S/USDT,0.059,0.0748,0.0545,0.0743,2710979.6573,174453.30678982
1662336000,2022-09-05 00:00:00,AAVE3S/USDT,0.0639,0.0689,0.0584,0.059,1538568.2143,99407.38477277
1662249600,2022-09-04 00:00:00,AAVE3S/USDT,0.0682,0.0711,0.0638,0.0642,974846.9034,64937.80158792
1662163200,2022-09-03 00:00:00,AAVE3S/USDT,0.0651,0.0714,0.0648,0.0683,1084632.4942,74125.79110697
1662076800,2022-09-02 00:00:00,AAVE3S/USDT,0.0706,0.0741,0.0571,0.0651,3545758.89843577,237382.619970334163
1661990400,2022-09-01 00:00:00,AAVE3S/USDT,0.0746,0.082,0.069,0.0703,2593861.9178,196296.52705206
