https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume QKC,Volume BTC
1663459200,2022-09-18 00:00:00,QKC/BTC,0.000000689,0.0000006998,0.0000006864,0.0000006864,343662.8388,0.23988990235088
1663455600,2022-09-17 23:00:00,QKC/BTC,0.0000006941,0.0000006998,0.0000006851,0.0000006859,769885.9002,0.53097104460426
1663452000,2022-09-17 22:00:00,QKC/BTC,0.000000701,0.000000725,0.0000006837,0.0000007,2395457.7938,1.70483714391319
1663448400,2022-09-17 21:00:00,QKC/BTC,0.0000007241,0.0000007388,0.0000006854,0.0000007049,4522163.1188,3.23402192171396
1663444800,2022-09-17 20:00:00,QKC/BTC,0.0000006709,0.00000074,0.0000006547,0.000000725,4445306.1873,3.1351580443547
1663441200,2022-09-17 19:00:00,QKC/BTC,0.0000006695,0.000000694,0.00000065,0.00000067,631742.343,0.41627125442279
1663437600,2022-09-17 18:00:00,QKC/BTC,0.0000006656,0.0000006773,0.000000645,0.0000006696,1033236.3296,0.6897170725913
1663434000,2022-09-17 17:00:00,QKC/BTC,0.0000006709,0.0000006801,0.0000006512,0.0000006639,669267.9959,0.44668530251808
1663430400,2022-09-17 16:00:00,QKC/BTC,0.0000006666,0.00000069,0.000000661,0.000000674,540699.5766,0.36577272981061
1663426800,2022-09-17 15:00:00,QKC/BTC,0.00000067,0.00000068,0.000000659,0.000000665,147242.0408,0.0981553512252
1663423200,2022-09-17 14:00:00,QKC/BTC,0.0000006709,0.0000006771,0.000000659,0.0000006709,409098.781,0.27294783503972
1663419600,2022-09-17 13:00:00,QKC/BTC,0.0000006999,0.0000006999,0.000000668,0.000000676,434643.5978,0.29649019452082
1663416000,2022-09-17 12:00:00,QKC/BTC,0.0000006617,0.0000006999,0.0000006611,0.0000006999,1228632.6899,0.84623833820208
1663412400,2022-09-17 11:00:00,QKC/BTC,0.0000006557,0.00000068,0.0000006557,0.0000006619,315880.5371,0.21249958030929
1663408800,2022-09-17 10:00:00,QKC/BTC,0.0000006712,0.0000006927,0.000000651,0.000000651,1818473.1209,1.21588596774005
1663405200,2022-09-17 09:00:00,QKC/BTC,0.0000006833,0.000000722,0.0000006596,0.00000067,1990848.4444,1.38412706781522
1663401600,2022-09-17 08:00:00,QKC/BTC,0.000000733,0.000000753,0.00000068,0.000000687,2885710.8968,2.03929299791882
1663398000,2022-09-17 07:00:00,QKC/BTC,0.000000701,0.00000078,0.0000006835,0.00000073,2069969.9494,1.51691696999287
1663394400,2022-09-17 06:00:00,QKC/BTC,0.000000689,0.0000007096,0.00000068,0.0000007033,1561747.0468,1.08746204751215
1663390800,2022-09-17 05:00:00,QKC/BTC,0.000000753,0.00000078,0.0000006647,0.00000069,2618385.8525,1.8427314786119
1663387200,2022-09-17 04:00:00,QKC/BTC,0.00000069,0.0000008085,0.0000006734,0.0000007557,2269281.3128,1.69421943958294
1663383600,2022-09-17 03:00:00,QKC/BTC,0.0000006712,0.00000069,0.0000006664,0.0000006863,123209.541,0.08423073816824
1663380000,2022-09-17 02:00:00,QKC/BTC,0.000000645,0.0000006848,0.000000642,0.000000673,663264.3772,0.43887662792441
1663376400,2022-09-17 01:00:00,QKC/BTC,0.00000064,0.0000006591,0.0000006252,0.0000006446,84014.4535,0.05358381879531
1663372800,2022-09-17 00:00:00,QKC/BTC,0.0000006729,0.0000006739,0.00000064,0.0000006415,274567.4461,0.18111045851885
1663369200,2022-09-16 23:00:00,QKC/BTC,0.0000006687,0.0000006898,0.000000647,0.0000006688,532089.1906,0.35466523169735
1663365600,2022-09-16 22:00:00,QKC/BTC,0.0000006497,0.0000006724,0.00000064,0.0000006686,437624.535,0.2843107239118
1663362000,2022-09-16 21:00:00,QKC/BTC,0.0000006736,0.0000006756,0.0000006306,0.0000006453,368544.8965,0.24212328965288
1663358400,2022-09-16 20:00:00,QKC/BTC,0.0000006498,0.0000006758,0.0000006383,0.0000006712,1348843.7722,0.88577118244551
1663354800,2022-09-16 19:00:00,QKC/BTC,0.0000006292,0.0000006521,0.0000006029,0.0000006498,863678.3897,0.54428381301848
1663351200,2022-09-16 18:00:00,QKC/BTC,0.000000635,0.0000006464,0.0000006156,0.0000006321,618639.0225,0.38477860768393
1663347600,2022-09-16 17:00:00,QKC/BTC,0.0000006558,0.0000006788,0.0000006138,0.0000006323,1693224.1803,1.07779702603937
1663344000,2022-09-16 16:00:00,QKC/BTC,0.0000006557,0.00000069,0.0000006254,0.000000658,1754051.9524,1.16762833249372
1663340400,2022-09-16 15:00:00,QKC/BTC,0.0000006792,0.000000684,0.0000006219,0.0000006554,2345246.7287,1.5187120294953
1663336800,2022-09-16 14:00:00,QKC/BTC,0.000000714,0.0000007282,0.000000654,0.0000006756,4925225.1536,3.35416548134795
1663333200,2022-09-16 13:00:00,QKC/BTC,0.0000007598,0.00000078,0.0000006803,0.000000714,2747206.313,2.0067000491653
1663329600,2022-09-16 12:00:00,QKC/BTC,0.0000007081,0.00000081,0.00000069,0.0000007598,5372268.7626,3.99590874358621
1663326000,2022-09-16 11:00:00,QKC/BTC,0.000000744,0.00000081,0.0000007,0.00000071,5299558.1743,3.97495492181177
1663322400,2022-09-16 10:00:00,QKC/BTC,0.0000006756,0.00000077,0.0000006704,0.0000007442,10050853.5685,7.21429457711696
1663318800,2022-09-16 09:00:00,QKC/BTC,0.0000006281,0.0000006999,0.0000006281,0.00000067,5542788.6223,3.6184993517593
1663315200,2022-09-16 08:00:00,QKC/BTC,0.0000005904,0.0000006499,0.0000005904,0.0000006253,2274883.6286,1.41159153651266
1663311600,2022-09-16 07:00:00,QKC/BTC,0.0000005981,0.0000006,0.0000005846,0.0000005902,126110.2768,0.07413559189524
1663308000,2022-09-16 06:00:00,QKC/BTC,0.0000005997,0.0000006,0.0000005983,0.0000006,270743.574,0.16244219777119
1663304400,2022-09-16 05:00:00,QKC/BTC,0.0000006017,0.0000006098,0.000000582,0.0000006,1240756.8536,0.73783112223589
1663300800,2022-09-16 04:00:00,QKC/BTC,0.0000006197,0.00000062,0.0000006002,0.0000006033,249376.6055,0.15222529059932
1663297200,2022-09-16 03:00:00,QKC/BTC,0.0000006324,0.0000006499,0.0000006199,0.0000006199,572874.0192,0.36519594872506
1663293600,2022-09-16 02:00:00,QKC/BTC,0.00000063,0.00000064,0.00000061,0.00000063,2512727.0907,1.57247914339857
1663290000,2022-09-16 01:00:00,QKC/BTC,0.0000006252,0.00000067,0.0000006155,0.00000063,1878252.1963,1.20098765636283
1663286400,2022-09-16 00:00:00,QKC/BTC,0.0000006247,0.00000063,0.0000006168,0.0000006252,210183.33,0.1323093430985
1663282800,2022-09-15 23:00:00,QKC/BTC,0.0000006243,0.00000063,0.0000006188,0.0000006247,12635.1343,0.00789534253586
1663279200,2022-09-15 22:00:00,QKC/BTC,0.0000006201,0.0000006498,0.0000006033,0.0000006241,1175895.7401,0.73595947715428
1663275600,2022-09-15 21:00:00,QKC/BTC,0.0000006178,0.0000006263,0.0000006106,0.0000006247,418870.7494,0.26058751878185
1663272000,2022-09-15 20:00:00,QKC/BTC,0.00000063,0.000000633,0.0000006106,0.0000006154,411289.1823,0.25462271406109
1663268400,2022-09-15 19:00:00,QKC/BTC,0.0000006341,0.0000006386,0.0000006014,0.00000063,1336261.6984,0.82918950189597
1663264800,2022-09-15 18:00:00,QKC/BTC,0.0000006529,0.00000067,0.0000006306,0.0000006388,357894.0553,0.23207539524668
1663261200,2022-09-15 17:00:00,QKC/BTC,0.00000066,0.0000006949,0.0000006312,0.0000006553,1802074.616,1.19617141485274
1663257600,2022-09-15 16:00:00,QKC/BTC,0.0000007044,0.00000076,0.0000006153,0.00000066,5805509.1872,4.0201767846529
1663254000,2022-09-15 15:00:00,QKC/BTC,0.00000064,0.0000007397,0.0000006301,0.0000007044,3919015.6436,2.67408183817445
1663250400,2022-09-15 14:00:00,QKC/BTC,0.0000006106,0.00000066,0.0000006063,0.0000006388,2211268.5711,1.42146843178376
1663246800,2022-09-15 13:00:00,QKC/BTC,0.0000005983,0.0000006196,0.0000005804,0.0000006106,421348.6836,0.25184371977122
1663243200,2022-09-15 12:00:00,QKC/BTC,0.0000005999,0.00000061,0.0000005902,0.0000005983,720617.1111,0.43547057804474
1663239600,2022-09-15 11:00:00,QKC/BTC,0.0000006,0.0000006033,0.0000005799,0.0000005999,325239.0816,0.19438118306445
1663236000,2022-09-15 10:00:00,QKC/BTC,0.00000058,0.0000006033,0.0000005701,0.0000006033,401265.9936,0.23500117495906
1663232400,2022-09-15 09:00:00,QKC/BTC,0.0000005921,0.0000005952,0.0000005701,0.0000005828,444926.3118,0.25820030058691
1663228800,2022-09-15 08:00:00,QKC/BTC,0.0000006,0.0000006,0.00000058,0.0000005971,1148891.8894,0.68166932982478
1663225200,2022-09-15 07:00:00,QKC/BTC,0.0000005468,0.00000061,0.0000005468,0.0000006,969036.8067,0.57210686944047
1663221600,2022-09-15 06:00:00,QKC/BTC,0.0000005528,0.0000005571,0.0000005401,0.0000005518,1292707.0105,0.70973856565252
1663218000,2022-09-15 05:00:00,QKC/BTC,0.0000005636,0.0000005707,0.000000551,0.0000005528,751999.4721,0.41899629166781
1663214400,2022-09-15 04:00:00,QKC/BTC,0.0000005889,0.0000005902,0.000000551,0.0000005631,2708095.427,1.53545288165396
1663210800,2022-09-15 03:00:00,QKC/BTC,0.0000005993,0.0000006199,0.00000058,0.0000005889,1237609.7579,0.74031410926464
1663207200,2022-09-15 02:00:00,QKC/BTC,0.0000006098,0.0000006098,0.0000005668,0.0000005999,761950.51,0.44236939581428
1663203600,2022-09-15 01:00:00,QKC/BTC,0.0000005826,0.0000006132,0.00000057,0.0000006129,1098523.7986,0.64246540304729
1663200000,2022-09-15 00:00:00,QKC/BTC,0.0000005952,0.0000005998,0.0000005745,0.0000005827,1379909.2183,0.8117597731969
1663196400,2022-09-14 23:00:00,QKC/BTC,0.0000006014,0.0000006196,0.00000059,0.00000059,1129464.9004,0.67361517555765
1663192800,2022-09-14 22:00:00,QKC/BTC,0.0000006,0.00000063,0.000000597,0.0000006105,1411130.6507,0.86135597278189
1663189200,2022-09-14 21:00:00,QKC/BTC,0.0000006622,0.0000006669,0.0000005925,0.0000006,1871195.423,1.14009378895992
1663185600,2022-09-14 20:00:00,QKC/BTC,0.00000065,0.00000068,0.00000063,0.0000006621,1824528.6762,1.20385110768012
1663182000,2022-09-14 19:00:00,QKC/BTC,0.0000005918,0.00000066,0.0000005918,0.00000065,2976971.411,1.90353306594445
1663178400,2022-09-14 18:00:00,QKC/BTC,0.0000005801,0.0000005996,0.0000005707,0.00000059,532958.9565,0.30975768139772
1663174800,2022-09-14 17:00:00,QKC/BTC,0.0000005651,0.0000005801,0.0000005651,0.0000005801,1058505.3074,0.61078599225935
