https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EDG,Volume USDT
1663459200,2022-09-18 00:00:00,EDG/USDT,0.001199,0.001272,0.001199,0.001272,2531591.9455,3068.0341889357
1663372800,2022-09-17 00:00:00,EDG/USDT,0.001089,0.00125,0.001082,0.001199,16668989.6837,19836.8102979015
1663286400,2022-09-16 00:00:00,EDG/USDT,0.001134,0.001165,0.001079,0.0011,7987277.2792,8895.243753525
1663200000,2022-09-15 00:00:00,EDG/USDT,0.001145,0.001178,0.00111,0.001122,4182746.7176,4737.7595064874
1663113600,2022-09-14 00:00:00,EDG/USDT,0.001101,0.00139,0.001092,0.001146,51767917.1537,63992.5838359457
1663027200,2022-09-13 00:00:00,EDG/USDT,0.001178,0.001237,0.001055,0.001111,25244050.4791,28995.9459571846
1662940800,2022-09-12 00:00:00,EDG/USDT,0.001177,0.001288,0.001153,0.00119,10037042.3932,12059.3617334129
1662854400,2022-09-11 00:00:00,EDG/USDT,0.001197,0.001254,0.001155,0.001178,6064515.8466,7279.6378585135
1662768000,2022-09-10 00:00:00,EDG/USDT,0.001168,0.001257,0.001142,0.001194,13661605.7813,16388.6675823468
1662681600,2022-09-09 00:00:00,EDG/USDT,0.001322,0.001347,0.001057,0.001155,41233301.2527,50221.2049726254
1662595200,2022-09-08 00:00:00,EDG/USDT,0.001308,0.001408,0.001271,0.00132,9758271.7751,13023.158750287
1662508800,2022-09-07 00:00:00,EDG/USDT,0.001163,0.001674,0.001141,0.001308,103695318.7891,143331.647720976
1662422400,2022-09-06 00:00:00,EDG/USDT,0.001314,0.001344,0.001141,0.001175,603617074.5279,766774.5387059736
1662336000,2022-09-05 00:00:00,EDG/USDT,0.001362,0.00138,0.001272,0.001311,321967985.945,435678.6816305938
1662249600,2022-09-04 00:00:00,EDG/USDT,0.001351,0.001409,0.001304,0.001368,220341603.3596,300619.03230743
1662163200,2022-09-03 00:00:00,EDG/USDT,0.001304,0.00138,0.001283,0.001352,122591387.8635,165794.5498691182
