https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FORTH,Volume USDT
1663462800,2022-09-18 01:00:00,FORTH/USDT,4.8489,4.8523,4.8321,4.8321,42.4224,205.48981441
1663459200,2022-09-18 00:00:00,FORTH/USDT,4.8566,4.8678,4.8321,4.8356,92.0908,445.57117122
1663455600,2022-09-17 23:00:00,FORTH/USDT,4.8045,4.8566,4.8023,4.8322,62.2893,301.08008514
1663452000,2022-09-17 22:00:00,FORTH/USDT,4.8204,4.8218,4.8204,4.8218,15.76,75.97859858
1663448400,2022-09-17 21:00:00,FORTH/USDT,4.8121,4.8422,4.8,4.8,271.295,1310.99743405
1663444800,2022-09-17 20:00:00,FORTH/USDT,4.8045,4.8177,4.7823,4.8122,219.096,1050.57287982
1663441200,2022-09-17 19:00:00,FORTH/USDT,4.7463,4.81,4.7463,4.7787,94.0409,449.44645061
1663437600,2022-09-17 18:00:00,FORTH/USDT,4.736,4.7528,4.73,4.7528,21.2738,100.63177236
1663434000,2022-09-17 17:00:00,FORTH/USDT,4.7598,4.7678,4.7524,4.7653,9.8578,46.97922968
1663430400,2022-09-17 16:00:00,FORTH/USDT,4.725,4.7598,4.7236,4.7598,6.6163,31.35349563
1663426800,2022-09-17 15:00:00,FORTH/USDT,4.736,4.7576,4.7253,4.7253,201.8602,955.14717755
1663423200,2022-09-17 14:00:00,FORTH/USDT,4.7443,4.7576,4.7347,4.7574,21.9503,104.08042461
1663419600,2022-09-17 13:00:00,FORTH/USDT,4.73,4.7337,4.73,4.7337,143.5879,679.19233358
1663416000,2022-09-17 12:00:00,FORTH/USDT,4.7928,4.8223,4.6947,4.73,652.2038,3107.06879695
1663412400,2022-09-17 11:00:00,FORTH/USDT,4.7072,4.7877,4.7026,4.7877,257.0582,1223.89285902
1663408800,2022-09-17 10:00:00,FORTH/USDT,4.6965,4.704,4.6656,4.6854,20.4252,95.97418041
1663405200,2022-09-17 09:00:00,FORTH/USDT,4.6865,4.6976,4.6726,4.6726,3.1826,14.93869213
1663401600,2022-09-17 08:00:00,FORTH/USDT,4.684,4.684,4.684,4.684,2.3508,11.0111472
1663398000,2022-09-17 07:00:00,FORTH/USDT,4.6852,4.6852,4.6852,4.6852,0.186,0.8714472
1663394400,2022-09-17 06:00:00,FORTH/USDT,4.6684,4.6684,4.6641,4.6641,0.1969,0.9190437
1663390800,2022-09-17 05:00:00,FORTH/USDT,4.6684,4.6738,4.6684,4.6738,0.0558,0.26065062
1663387200,2022-09-17 04:00:00,FORTH/USDT,4.6872,4.6956,4.6827,4.6827,1.6299,7.64436439
1663383600,2022-09-17 03:00:00,FORTH/USDT,4.6626,4.6856,4.6626,4.6856,26.3573,122.99402406
