https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume IOTA,Volume USDT
1663459200,2022-09-18 00:00:00,IOTA/USDT,0.2704,0.2706,0.2685,0.2688,6387.8456342,1719.029729242591
1663372800,2022-09-17 00:00:00,IOTA/USDT,0.2627,0.2732,0.2627,0.2704,245453.56755595,65573.197182235433
1663286400,2022-09-16 00:00:00,IOTA/USDT,0.2623,0.2711,0.2559,0.2624,230733.54682033,60396.045173135837
1663200000,2022-09-15 00:00:00,IOTA/USDT,0.2719,0.2722,0.258,0.2616,640449.92571516,170055.844860354942
1663113600,2022-09-14 00:00:00,IOTA/USDT,0.2682,0.3003,0.2649,0.2722,646313.2372846,175663.759350932564
1663027200,2022-09-13 00:00:00,IOTA/USDT,0.2916,0.2935,0.2677,0.2685,446062.12785548,124611.63674044281
1662940800,2022-09-12 00:00:00,IOTA/USDT,0.2929,0.2995,0.2867,0.292,435286.35813493,127411.857130423106
1662854400,2022-09-11 00:00:00,IOTA/USDT,0.2953,0.2978,0.287,0.2925,175703.12778651,51446.9045188093
1662768000,2022-09-10 00:00:00,IOTA/USDT,0.2925,0.2999,0.2907,0.2951,256833.83932784,75629.878588224123
1662681600,2022-09-09 00:00:00,IOTA/USDT,0.2799,0.2963,0.2784,0.2925,373460.84999918,108436.674205190888
1662595200,2022-09-08 00:00:00,IOTA/USDT,0.2764,0.2821,0.2685,0.2797,370355.71649857,102029.554241147176
1662508800,2022-09-07 00:00:00,IOTA/USDT,0.2599,0.2796,0.2555,0.2764,271674.5688235,72562.751262655582
1662422400,2022-09-06 00:00:00,IOTA/USDT,0.2823,0.2885,0.2595,0.2599,573831.92258106,157239.153623660966
1662336000,2022-09-05 00:00:00,IOTA/USDT,0.291,0.2949,0.277,0.2824,329409.85249443,93224.490042687323
1662249600,2022-09-04 00:00:00,IOTA/USDT,0.2804,0.2944,0.2804,0.291,212219.64942963,61526.411983790721
1662163200,2022-09-03 00:00:00,IOTA/USDT,0.281,0.2827,0.2776,0.2804,130232.46040515,36445.315411224995
1662076800,2022-09-02 00:00:00,IOTA/USDT,0.2841,0.2875,0.2778,0.2811,108108.47706824,30587.207945740233
1661990400,2022-09-01 00:00:00,IOTA/USDT,0.2812,0.2863,0.2748,0.2841,201437.40518854,56242.936200883588
1661904000,2022-08-31 00:00:00,IOTA/USDT,0.2882,0.2977,0.2795,0.2809,166499.55699432,47896.803795466902
1661817600,2022-08-30 00:00:00,IOTA/USDT,0.2913,0.2961,0.2814,0.2871,178219.54932069,51725.825765005523
1661731200,2022-08-29 00:00:00,IOTA/USDT,0.273,0.2918,0.2695,0.2906,178995.44604784,49555.565019894342
1661644800,2022-08-28 00:00:00,IOTA/USDT,0.28,0.2977,0.2713,0.2727,370014.42441807,104394.91766710127
1661558400,2022-08-27 00:00:00,IOTA/USDT,0.2796,0.2823,0.2732,0.2795,185061.65028044,51621.987251389231
1661472000,2022-08-26 00:00:00,IOTA/USDT,0.3059,0.3083,0.2763,0.2793,278208.20459909,81693.424118552127
1661385600,2022-08-25 00:00:00,IOTA/USDT,0.2989,0.3072,0.2981,0.3063,155563.86090679,47125.529467043573
1661299200,2022-08-24 00:00:00,IOTA/USDT,0.2981,0.3064,0.2911,0.2987,172775.60352209,51922.204581023732
1661212800,2022-08-23 00:00:00,IOTA/USDT,0.2907,0.2991,0.2718,0.297,306386.7295771,88794.389567578031
1661126400,2022-08-22 00:00:00,IOTA/USDT,0.2955,0.2955,0.2775,0.2908,217351.50227279,61790.461146680856
1661040000,2022-08-21 00:00:00,IOTA/USDT,0.2847,0.2985,0.2817,0.2954,291110.39465727,84199.792192477624
1660953600,2022-08-20 00:00:00,IOTA/USDT,0.2833,0.2925,0.2758,0.2849,292480.28623692,83595.539024686231
1660867200,2022-08-19 00:00:00,IOTA/USDT,0.3059,0.3079,0.2794,0.2834,372568.74157378,107850.144963901858
1660780800,2022-08-18 00:00:00,IOTA/USDT,0.3197,0.324,0.3025,0.3059,236096.75244657,74694.5741786406
1660694400,2022-08-17 00:00:00,IOTA/USDT,0.3397,0.3542,0.3169,0.3198,398983.33591618,132827.916221830914
1660608000,2022-08-16 00:00:00,IOTA/USDT,0.3445,0.3469,0.3354,0.3392,225316.84892694,76827.780191458955
1660521600,2022-08-15 00:00:00,IOTA/USDT,0.3466,0.357,0.3389,0.345,357030.30348595,124002.983208403318
1660435200,2022-08-14 00:00:00,IOTA/USDT,0.3598,0.3662,0.3429,0.3469,218066.53032856,77795.658741122011
1660348800,2022-08-13 00:00:00,IOTA/USDT,0.3635,0.3638,0.3533,0.3594,140118.18498157,50296.548876506103
1660262400,2022-08-12 00:00:00,IOTA/USDT,0.3487,0.3651,0.32,0.3635,338257.92265137,119237.20177225979
1660176000,2022-08-11 00:00:00,IOTA/USDT,0.3474,0.3706,0.3474,0.35,402975.5279291,143316.946960512279
1660089600,2022-08-10 00:00:00,IOTA/USDT,0.3284,0.3492,0.3225,0.3483,325317.75234882,109864.73451493117
1660003200,2022-08-09 00:00:00,IOTA/USDT,0.347,0.3488,0.3209,0.3296,472949.05734153,158133.424684937371
