https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SYNR,Volume USDT
1663459200,2022-09-18 00:00:00,SYNR/USDT,0.01231,0.01231,0.01231,0.01231,138259.2659,1701.971563229
1663372800,2022-09-17 00:00:00,SYNR/USDT,0.01239,0.01243,0.01228,0.01231,5929387.1213,73311.283301011
1663286400,2022-09-16 00:00:00,SYNR/USDT,0.01241,0.01275,0.01183,0.01239,8181099.5916,101667.528083402
1663200000,2022-09-15 00:00:00,SYNR/USDT,0.01245,0.01269,0.01235,0.01242,7094717.3873,88422.414308666
1663113600,2022-09-14 00:00:00,SYNR/USDT,0.01264,0.01264,0.01234,0.01243,6267668.0975,78342.25317508
1663027200,2022-09-13 00:00:00,SYNR/USDT,0.01267,0.0129,0.01233,0.01264,6429154.934,81258.983746958
1662940800,2022-09-12 00:00:00,SYNR/USDT,0.01289,0.01292,0.01257,0.01267,7168849.668,91206.416821374
1662854400,2022-09-11 00:00:00,SYNR/USDT,0.0128,0.01308,0.0127,0.01289,7484667.6717,95944.997179778
1662768000,2022-09-10 00:00:00,SYNR/USDT,0.01275,0.01293,0.0127,0.0128,6844864.3378,87995.801527874
1662681600,2022-09-09 00:00:00,SYNR/USDT,0.0133,0.01331,0.01246,0.01275,7796221.3503,99985.137493699
1662595200,2022-09-08 00:00:00,SYNR/USDT,0.01337,0.01388,0.01315,0.01331,7240751.1336,96812.031822915
1662508800,2022-09-07 00:00:00,SYNR/USDT,0.01358,0.01371,0.01328,0.01337,5616241.7139,75906.358667461
1662422400,2022-09-06 00:00:00,SYNR/USDT,0.01348,0.01367,0.01343,0.01358,7270290.8716,98341.563158718
1662336000,2022-09-05 00:00:00,SYNR/USDT,0.01365,0.01384,0.01342,0.01346,7446567.3044,101811.430812947
1662249600,2022-09-04 00:00:00,SYNR/USDT,0.01365,0.01369,0.01364,0.01365,7258320.0307,99181.833183532
1662163200,2022-09-03 00:00:00,SYNR/USDT,0.0137,0.01384,0.01359,0.01368,6879345.139,94402.554010168
