https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GALA,Volume EUR
1663545600,2022-09-19 00:00:00,GALA/EUR,0.04267,0.04267,0.04267,0.04267,0.00000000,0.0
1663459200,2022-09-18 00:00:00,GALA/EUR,0.04835,0.04835,0.03984,0.04267,895744.89045120,38221.434475552705
1663372800,2022-09-17 00:00:00,GALA/EUR,0.04808,0.04850,0.04808,0.04842,124865.89335914,6046.006556449558
1663286400,2022-09-16 00:00:00,GALA/EUR,0.04718,0.04788,0.04708,0.04755,265900.67548684,12643.577119399244
1663200000,2022-09-15 00:00:00,GALA/EUR,0.04701,0.04879,0.04690,0.04714,49308.46617617,2324.401095544654
1663113600,2022-09-14 00:00:00,GALA/EUR,0.04865,0.04884,0.04750,0.04861,35266.46786819,1714.3030030727157
1663027200,2022-09-13 00:00:00,GALA/EUR,0.05020,0.05071,0.04764,0.04764,274368.47907579,13070.914343170634
1662940800,2022-09-12 00:00:00,GALA/EUR,0.05142,0.05225,0.05011,0.05077,279461.24896316,14188.247609859633
1662854400,2022-09-11 00:00:00,GALA/EUR,0.05023,0.05252,0.05023,0.05127,118570.50223618,6079.109649648949
1662768000,2022-09-10 00:00:00,GALA/EUR,0.05223,0.05223,0.05101,0.05193,163854.45710269,8508.961957342692
1662681600,2022-09-09 00:00:00,GALA/EUR,0.04937,0.05221,0.04933,0.05145,478105.91305304,24598.549226578907
1662595200,2022-09-08 00:00:00,GALA/EUR,0.04838,0.04903,0.04781,0.04882,209970.69552020,10250.769355296165
1662508800,2022-09-07 00:00:00,GALA/EUR,0.04791,0.04893,0.04700,0.04882,464205.67733188,22662.521167342384
1662422400,2022-09-06 00:00:00,GALA/EUR,0.05169,0.05169,0.04772,0.04784,173664.72895851,8308.12063337512
1662336000,2022-09-05 00:00:00,GALA/EUR,0.05182,0.05182,0.05047,0.05117,279015.54399589,14277.225386269693
1662249600,2022-09-04 00:00:00,GALA/EUR,0.05046,0.05188,0.05045,0.05188,1349346.29833555,70004.08595764833
1662163200,2022-09-03 00:00:00,GALA/EUR,0.05001,0.05063,0.04983,0.05029,43773.03479801,2201.345919991923
1662076800,2022-09-02 00:00:00,GALA/EUR,0.05091,0.05091,0.04976,0.05004,247828.66654295,12401.346473809219
1661990400,2022-09-01 00:00:00,GALA/EUR,0.04987,0.05081,0.04911,0.05081,221535.54490472,11256.221036608824
1661904000,2022-08-31 00:00:00,GALA/EUR,0.05176,0.05176,0.05035,0.05035,356936.22335530,17971.738845939355
1661817600,2022-08-30 00:00:00,GALA/EUR,0.05278,0.05278,0.04934,0.05093,177330.34277907,9031.434357738035
1661731200,2022-08-29 00:00:00,GALA/EUR,0.04913,0.05192,0.04913,0.05192,231166.95208790,12002.188152403767
1661644800,2022-08-28 00:00:00,GALA/EUR,0.05071,0.05200,0.04982,0.04982,239483.25588018,11931.055807950568
1661558400,2022-08-27 00:00:00,GALA/EUR,0.05019,0.05112,0.04958,0.05112,489407.11338927,25018.49163645948
1661472000,2022-08-26 00:00:00,GALA/EUR,0.05483,0.05483,0.04914,0.04952,662079.96152210,32786.199694574396
1661385600,2022-08-25 00:00:00,GALA/EUR,0.05636,0.05702,0.05422,0.05489,136419.99689933,7488.093629804223
1661299200,2022-08-24 00:00:00,GALA/EUR,0.05410,0.05643,0.05342,0.05636,504718.91088528,28445.95781749438
1661212800,2022-08-23 00:00:00,GALA/EUR,0.05390,0.05466,0.05179,0.05466,389360.08679858,21282.422344410385
1661126400,2022-08-22 00:00:00,GALA/EUR,0.05308,0.05326,0.05101,0.05326,118841.03294336,6329.473414563354
1661040000,2022-08-21 00:00:00,GALA/EUR,0.05227,0.05424,0.05227,0.05405,230762.91954662,12472.735801494811
1660953600,2022-08-20 00:00:00,GALA/EUR,0.05285,0.05386,0.05002,0.05203,197066.52938726,10253.371524019138
1660867200,2022-08-19 00:00:00,GALA/EUR,0.05731,0.05731,0.05078,0.05236,1062837.73195316,55650.18364506745
1660780800,2022-08-18 00:00:00,GALA/EUR,0.06213,0.06229,0.05610,0.05771,1012561.23873510,58434.90908740262
1660694400,2022-08-17 00:00:00,GALA/EUR,0.06928,0.06928,0.06168,0.06168,487866.50221984,30091.60585691973
1660608000,2022-08-16 00:00:00,GALA/EUR,0.06624,0.07037,0.06593,0.06785,832146.01061797,56461.10682042926
1660521600,2022-08-15 00:00:00,GALA/EUR,0.06827,0.07009,0.06547,0.06586,186952.92519312,12312.719653218883
1660435200,2022-08-14 00:00:00,GALA/EUR,0.06689,0.06983,0.06472,0.06950,490114.69956024,34062.971619436685
1660348800,2022-08-13 00:00:00,GALA/EUR,0.06503,0.06757,0.06410,0.06600,654604.61594339,43203.904652263736
1660262400,2022-08-12 00:00:00,GALA/EUR,0.06007,0.06423,0.05999,0.06421,183879.60904848,11806.9096970029
1660176000,2022-08-11 00:00:00,GALA/EUR,0.06255,0.06345,0.06057,0.06072,179090.55502155,10874.378500908517
1660089600,2022-08-10 00:00:00,GALA/EUR,0.05837,0.06180,0.05722,0.06166,344475.68962518,21240.371022288597
1660003200,2022-08-09 00:00:00,GALA/EUR,0.06110,0.06327,0.05722,0.05851,569621.69752982,33328.56552246977
1659916800,2022-08-08 00:00:00,GALA/EUR,0.06001,0.06252,0.06001,0.06031,393402.05231115,23726.077774885456
1659830400,2022-08-07 00:00:00,GALA/EUR,0.05821,0.06042,0.05821,0.05990,117791.09762289,7055.686747611111
1659744000,2022-08-06 00:00:00,GALA/EUR,0.05995,0.06051,0.05907,0.05927,248031.44995800,14700.824039010662
1659657600,2022-08-05 00:00:00,GALA/EUR,0.05751,0.05990,0.05751,0.05965,324631.98228486,19364.2977432919
1659571200,2022-08-04 00:00:00,GALA/EUR,0.05850,0.06005,0.05697,0.05741,118721.17530601,6815.782674318035
1659484800,2022-08-03 00:00:00,GALA/EUR,0.05882,0.06012,0.05675,0.05726,90922.07257680,5206.197875747568
