https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UNI,Volume USDT
1663462800,2022-09-18 01:00:00,UNI/USDT,5.9835,5.9903,5.9799,5.9802,311.07976942,1860.323079995484
1663459200,2022-09-18 00:00:00,UNI/USDT,6.0169,6.0169,5.9559,5.9799,5015.43777842,29999.621016260289
1663455600,2022-09-17 23:00:00,UNI/USDT,5.9926,6.0397,5.9896,6.0142,2135.42556254,12841.739542447834
1663452000,2022-09-17 22:00:00,UNI/USDT,5.9725,5.999,5.9684,5.9919,1754.45357512,10507.451854501876
1663448400,2022-09-17 21:00:00,UNI/USDT,5.9882,5.9933,5.9642,5.9731,870.9419809,5209.888188149343
1663444800,2022-09-17 20:00:00,UNI/USDT,5.9652,5.9916,5.959,5.9916,1075.50566462,6427.129708738038
1663441200,2022-09-17 19:00:00,UNI/USDT,5.9629,5.9707,5.944,5.9634,678.88098156,4043.255014995375
1663437600,2022-09-17 18:00:00,UNI/USDT,5.9718,5.9982,5.9558,5.9621,1334.83007645,7982.541994166275
1663434000,2022-09-17 17:00:00,UNI/USDT,5.9896,6.0156,5.9534,5.976,1881.06345115,11242.775330229685
1663430400,2022-09-17 16:00:00,UNI/USDT,5.9531,6.0188,5.9495,5.9917,6255.23763985,37510.287870112608
1663426800,2022-09-17 15:00:00,UNI/USDT,5.9635,5.968,5.9332,5.9557,5585.78061032,33221.813574220891
1663423200,2022-09-17 14:00:00,UNI/USDT,5.9101,5.9625,5.9068,5.9625,1169.63248219,6947.741784492891
1663419600,2022-09-17 13:00:00,UNI/USDT,5.9411,5.944,5.9037,5.911,1905.05461839,11300.142412445705
1663416000,2022-09-17 12:00:00,UNI/USDT,5.8555,5.9412,5.8555,5.9377,4041.87521452,23892.920199883039
1663412400,2022-09-17 11:00:00,UNI/USDT,5.8828,5.8828,5.8549,5.8549,1198.0797,7030.06102556
1663408800,2022-09-17 10:00:00,UNI/USDT,5.9045,5.9217,5.844,5.8806,1424.22980921,8365.118087854198
1663405200,2022-09-17 09:00:00,UNI/USDT,5.8907,5.9155,5.8861,5.9016,1258.7331101,7425.728925496127
1663401600,2022-09-17 08:00:00,UNI/USDT,5.9056,5.9136,5.8881,5.8907,615.08693228,3633.896105394292
1663398000,2022-09-17 07:00:00,UNI/USDT,5.8926,5.9121,5.8844,5.91,620.19919198,3656.951274895764
1663394400,2022-09-17 06:00:00,UNI/USDT,5.8755,5.8955,5.8674,5.8955,976.92949075,5749.425644974522
1663390800,2022-09-17 05:00:00,UNI/USDT,5.9172,5.9173,5.8383,5.8759,5905.91100926,34658.944221068364
1663387200,2022-09-17 04:00:00,UNI/USDT,5.9045,5.974,5.9045,5.9234,5504.11250603,32749.17157196157
1663383600,2022-09-17 03:00:00,UNI/USDT,5.8934,5.9174,5.8812,5.9059,2978.3272275,17575.141559315941
