https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MFT,Volume USDT
1663459200,2022-09-18 00:00:00,MFT/USDT,0.00578,0.00586,0.00578,0.00583,886827.4277,5177.054639009
1663372800,2022-09-17 00:00:00,MFT/USDT,0.00577,0.00584,0.00562,0.00581,6507106.0545,37458.933806153
1663286400,2022-09-16 00:00:00,MFT/USDT,0.00749,0.00798,0.00553,0.00575,32382086.9049,196165.384002927
1663200000,2022-09-15 00:00:00,MFT/USDT,0.00711,0.00885,0.00685,0.00752,45485571.4545,349421.468799633
1663113600,2022-09-14 00:00:00,MFT/USDT,0.00653,0.01074,0.0065,0.00707,97137657.8495,811869.376631415
1663027200,2022-09-13 00:00:00,MFT/USDT,0.0063,0.00799,0.00605,0.00652,25324787.6307,178195.050122116
1662940800,2022-09-12 00:00:00,MFT/USDT,0.00654,0.00687,0.00622,0.00627,2785118.2651,18210.805059636
1662854400,2022-09-11 00:00:00,MFT/USDT,0.00694,0.00694,0.00648,0.00655,3206101.4601,21441.162816181
1662768000,2022-09-10 00:00:00,MFT/USDT,0.007,0.00745,0.00688,0.00693,7523449.1373,53659.068937028
1662681600,2022-09-09 00:00:00,MFT/USDT,0.00646,0.014,0.00634,0.007,71438052.6786315,617838.042092031871
1662595200,2022-09-08 00:00:00,MFT/USDT,0.00641,0.00675,0.0061,0.00646,11294128.1337,73081.710524188
1662508800,2022-09-07 00:00:00,MFT/USDT,0.00612,0.00666,0.006,0.00638,10509643.124,66764.435406733
1662422400,2022-09-06 00:00:00,MFT/USDT,0.00581,0.00704,0.00581,0.00615,24287912.4387,157363.133411095
1662336000,2022-09-05 00:00:00,MFT/USDT,0.00565,0.0062,0.00554,0.00581,6433318.6782,37989.731838105
1662249600,2022-09-04 00:00:00,MFT/USDT,0.00574,0.00574,0.00554,0.00564,2030786.1648,11330.540742294
1662163200,2022-09-03 00:00:00,MFT/USDT,0.0056,0.00606,0.0056,0.00575,4056505.4305,23882.761872639
