https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume UST
1653436800,2022-05-25 00:00:00,BTC/UST,427108.8,436511.9,426252.2,432283.2,0.20318255,87898.306431529
1653350400,2022-05-24 00:00:00,BTC/UST,422281.8,487136.2,410000,428821.6,16.56833827,7405329.336821229
1653264000,2022-05-23 00:00:00,BTC/UST,475747.5,486593,387790.6,422284.3,18.34522491,8097734.352694938
1653177600,2022-05-22 00:00:00,BTC/UST,513263.6,528459,394928.4,472390.7,23.27582356,10692002.600548908
1653091200,2022-05-21 00:00:00,BTC/UST,453482.1,614013.1,449853,513263.7,21.86499093,11690485.608762251
1653004800,2022-05-20 00:00:00,BTC/UST,405956.4,500000,387978.4,453025.8,27.79847544,12226424.154041347
1652918400,2022-05-19 00:00:00,BTC/UST,309657.7,409896,306556.6,409896,53.92162833,19588189.512848945
1652832000,2022-05-18 00:00:00,BTC/UST,344546.2,365189.7,223339.8,309969.5,94.33111705,26884023.451250027
1652745600,2022-05-17 00:00:00,BTC/UST,296541.6,370000,239356.6,345562.1,92.22384598,27917719.971246915
1652659200,2022-05-16 00:00:00,BTC/UST,211223.4,567328,181477.7,297649.2,210.25307601,69517385.615080575
1652572800,2022-05-15 00:00:00,BTC/UST,199438.2,229317.9,124107.6,211223.4,166.94133795,29407774.763904321
1652486400,2022-05-14 00:00:00,BTC/UST,366051.3,403940.7,150000,199438.1,131.28898909,27592954.830837647
1652400000,2022-05-13 00:00:00,BTC/UST,95442.2,800000,95282.8,366053,105.94513171,36607969.462117798
1652313600,2022-05-12 00:00:00,BTC/UST,46082.3,120000,40000,95524.7,834.41546882,49442374.379778873
1652227200,2022-05-11 00:00:00,BTC/UST,38852.5,145001.9,36800,45961.4,1395.49913185,87588132.557804923
1652140800,2022-05-10 00:00:00,BTC/UST,39665.5,50179.4,34000,38852.5,1338.25970374,51466851.399276948
1652054400,2022-05-09 00:00:00,BTC/UST,34285,43465.4,31627.9,39586.5,715.58632628,24089348.116188331
1651968000,2022-05-08 00:00:00,BTC/UST,35676.8,35766.2,33856.7,34246.4,373.5187022,12961402.547887395
1651881600,2022-05-07 00:00:00,BTC/UST,36051.7,36148.1,35111,35676.8,120.70733409,4311052.453334615
1651795200,2022-05-06 00:00:00,BTC/UST,36565,36664,35307.5,36034.6,160.86669833,5789528.409923794
1651708800,2022-05-05 00:00:00,BTC/UST,39697.3,39823.7,35627.2,36581,174.97754474,6491234.412112183
1651622400,2022-05-04 00:00:00,BTC/UST,37722.6,40000,37682,39697.5,68.85437782,2687271.758024296
