https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume NEXO,Volume EUR
1663545600,2022-09-19 00:00:00,NEXO/EUR,0.88,0.88,0.88,0.88,0.00,0.0
1663459200,2022-09-18 00:00:00,NEXO/EUR,0.93,0.94,0.87,0.88,1145.92,1008.4096000000001
1663372800,2022-09-17 00:00:00,NEXO/EUR,0.89,0.92,0.89,0.92,725.49,667.4508000000001
1663286400,2022-09-16 00:00:00,NEXO/EUR,0.90,0.91,0.88,0.89,707.95,630.0755
1663200000,2022-09-15 00:00:00,NEXO/EUR,0.90,0.90,0.86,0.86,752.45,647.1070000000001
1663113600,2022-09-14 00:00:00,NEXO/EUR,0.91,0.92,0.90,0.92,1932.79,1778.1668
1663027200,2022-09-13 00:00:00,NEXO/EUR,0.95,0.97,0.92,0.92,1704.69,1568.3148
1662940800,2022-09-12 00:00:00,NEXO/EUR,0.97,0.97,0.94,0.95,1900.70,1805.665
1662854400,2022-09-11 00:00:00,NEXO/EUR,0.95,0.95,0.95,0.95,0.00,0.0
1662768000,2022-09-10 00:00:00,NEXO/EUR,0.96,0.97,0.95,0.95,1677.59,1593.7105
1662681600,2022-09-09 00:00:00,NEXO/EUR,0.91,0.95,0.91,0.95,2206.82,2096.4790000000003
1662595200,2022-09-08 00:00:00,NEXO/EUR,0.89,0.91,0.89,0.89,1079.78,961.0042
1662508800,2022-09-07 00:00:00,NEXO/EUR,0.91,0.91,0.84,0.88,1975.07,1738.0616
1662422400,2022-09-06 00:00:00,NEXO/EUR,1.01,1.01,0.87,0.90,1918.81,1726.929
1662336000,2022-09-05 00:00:00,NEXO/EUR,1.04,1.04,1.04,1.04,0.00,0.0
1662249600,2022-09-04 00:00:00,NEXO/EUR,1.04,1.04,1.04,1.04,70.18,72.98720000000002
1662163200,2022-09-03 00:00:00,NEXO/EUR,1.02,1.03,1.02,1.03,74.41,76.64229999999999
1662076800,2022-09-02 00:00:00,NEXO/EUR,1.07,1.09,1.06,1.07,429.29,459.34030000000007
1661990400,2022-09-01 00:00:00,NEXO/EUR,1.03,1.05,1.01,1.05,734.61,771.3405
1661904000,2022-08-31 00:00:00,NEXO/EUR,1.02,1.20,1.02,1.09,8175.47,8911.2623
1661817600,2022-08-30 00:00:00,NEXO/EUR,1.01,1.04,0.98,1.02,3240.61,3305.4222
1661731200,2022-08-29 00:00:00,NEXO/EUR,0.93,0.98,0.93,0.97,872.25,846.0825
1661644800,2022-08-28 00:00:00,NEXO/EUR,0.92,0.92,0.92,0.92,0.00,0.0
1661558400,2022-08-27 00:00:00,NEXO/EUR,0.92,0.92,0.92,0.92,2452.73,2256.5116000000003
1661472000,2022-08-26 00:00:00,NEXO/EUR,0.96,0.96,0.95,0.95,240.69,228.6555
1661385600,2022-08-25 00:00:00,NEXO/EUR,0.99,1.00,0.99,1.00,3085.70,3085.7
1661299200,2022-08-24 00:00:00,NEXO/EUR,1.05,1.05,0.97,0.97,2951.10,2862.567
