https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LINK3S,Volume USDT
1663459200,2022-09-18 00:00:00,LINK3S/USDT,0.4616,0.4785,0.4537,0.4785,9047.2231,4167.01274348
1663372800,2022-09-17 00:00:00,LINK3S/USDT,0.553,0.5531,0.4537,0.4576,85367.9797,41905.92744674
1663286400,2022-09-16 00:00:00,LINK3S/USDT,0.585,0.6121,0.526,0.5587,93688.0468,53430.77266023
1663200000,2022-09-15 00:00:00,LINK3S/USDT,0.6153,0.7099,0.5739,0.5811,179191.1832,116442.0157586
1663113600,2022-09-14 00:00:00,LINK3S/USDT,0.738,0.75,0.59,0.6102,155445.8796,100336.36267802
1663027200,2022-09-13 00:00:00,LINK3S/USDT,0.5741,0.738,0.536,0.7346,182324.7326,116489.50375947
1662940800,2022-09-12 00:00:00,LINK3S/USDT,0.5266,0.6099,0.4798,0.5748,141533.6806,76049.85884559
1662854400,2022-09-11 00:00:00,LINK3S/USDT,0.5492,0.5817,0.5,0.5237,84148.3202,45437.68011084
1662768000,2022-09-10 00:00:00,LINK3S/USDT,0.5879,0.6158,0.5275,0.552,85170.7042,48005.20587661
1662681600,2022-09-09 00:00:00,LINK3S/USDT,0.6782,0.6808,0.4934,0.5865,224067.0119,126602.58406744
1662595200,2022-09-08 00:00:00,LINK3S/USDT,0.7778,0.84,0.6418,0.6794,126803.3552,92500.41227509
1662508800,2022-09-07 00:00:00,LINK3S/USDT,0.9723,0.9955,0.7629,0.7864,69907.182,62842.363083
1662422400,2022-09-06 00:00:00,LINK3S/USDT,0.7465,0.985,0.6872,0.972,130524.34365455,107939.41154021879
1662336000,2022-09-05 00:00:00,LINK3S/USDT,0.8285,0.8532,0.7412,0.7458,117389.56004184,94225.735239864184
1662249600,2022-09-04 00:00:00,LINK3S/USDT,0.9495,0.9755,0.7882,0.8285,62392.9243,51971.64586577
1662163200,2022-09-03 00:00:00,LINK3S/USDT,0.92,1.001,0.9063,0.9524,25373.3043,23809.14824383
1662076800,2022-09-02 00:00:00,LINK3S/USDT,0.9253,0.9758,0.8009,0.9271,69525.5579,62530.26666999
1661990400,2022-09-01 00:00:00,LINK3S/USDT,1.0794,1.1474,0.9135,0.9296,50634.6461,54295.08714925
1661904000,2022-08-31 00:00:00,LINK3S/USDT,1.0921,1.1071,0.9469,1.0671,29340.75593339,29928.351275999722
1661817600,2022-08-30 00:00:00,LINK3S/USDT,1.0527,1.2106,0.9733,1.105,52106.7885274,57643.096873550558
1661731200,2022-08-29 00:00:00,LINK3S/USDT,1.331,1.3593,1.0249,1.0469,49730.57873374,61565.116860278079
1661644800,2022-08-28 00:00:00,LINK3S/USDT,1.1825,1.3467,1.1204,1.3227,24592.89791269,29906.002336401975
1661558400,2022-08-27 00:00:00,LINK3S/USDT,1.1889,1.2375,1.1317,1.1766,37420.55468629,44090.721146438965
1661472000,2022-08-26 00:00:00,LINK3S/USDT,0.9752,1.239,0.9228,1.198,47922.50391087,52051.310149305217
1661385600,2022-08-25 00:00:00,LINK3S/USDT,0.9543,0.9999,0.8599,0.9545,36771.00814989,33802.550036124743
1661299200,2022-08-24 00:00:00,LINK3S/USDT,0.9216,1,0.8611,0.9629,67873.1724994,64076.587258373105
1661212800,2022-08-23 00:00:00,LINK3S/USDT,1.0065,1.1277,0.8758,0.9204,82555.39980395,79872.376635576594
1661126400,2022-08-22 00:00:00,LINK3S/USDT,0.9998,1.1549,0.9997,1.007,42056.88937399,45524.000394746044
1661040000,2022-08-21 00:00:00,LINK3S/USDT,1.1036,1.107,0.9495,0.9937,137768.16662144,140662.271266703804
1660953600,2022-08-20 00:00:00,LINK3S/USDT,1.073,1.1899,0.941,1.0821,70566.72629453,75845.410662464518
1660867200,2022-08-19 00:00:00,LINK3S/USDT,0.8452,1.097,0.8286,1.0836,91026.73288318,91517.834979201732
1660780800,2022-08-18 00:00:00,LINK3S/USDT,0.7311,0.8619,0.6779,0.8306,54263.98274057,39588.999863429967
1660694400,2022-08-17 00:00:00,LINK3S/USDT,0.6443,0.7499,0.5767,0.7412,70665.3673701,47732.335212789427
1660608000,2022-08-16 00:00:00,LINK3S/USDT,0.5997,0.6552,0.5665,0.6375,59831.61746492,37063.697573099098
1660521600,2022-08-15 00:00:00,LINK3S/USDT,0.5881,0.6292,0.5193,0.6042,109982.46595655,65076.542231158149
1660435200,2022-08-14 00:00:00,LINK3S/USDT,0.5148,0.5971,0.4776,0.5792,99171.60399905,53826.432113853697
1660348800,2022-08-13 00:00:00,LINK3S/USDT,0.4844,0.5276,0.465,0.515,127362.8397699,63488.815097214243
1660262400,2022-08-12 00:00:00,LINK3S/USDT,0.5515,0.5814,0.4669,0.4881,200533.31616759,101544.183289274906
1660176000,2022-08-11 00:00:00,LINK3S/USDT,0.5341,0.5886,0.5078,0.5619,97835.04082285,53199.465564827419
1660089600,2022-08-10 00:00:00,LINK3S/USDT,0.604,0.7173,0.4901,0.5379,186954.22293394,113171.513807834542
1660003200,2022-08-09 00:00:00,LINK3S/USDT,0.626,0.7117,0.564,0.6043,190684.04277459,120646.264110020348
1659916800,2022-08-08 00:00:00,LINK3S/USDT,0.7082,0.7269,0.6,0.6215,174578.4137627,112811.991579162114
1659830400,2022-08-07 00:00:00,LINK3S/USDT,0.8814,0.9267,0.6975,0.6975,65637.0421406,51938.042154229987
1659744000,2022-08-06 00:00:00,LINK3S/USDT,0.8585,0.8992,0.7898,0.8825,32052.73913288,27124.536095253536
1659657600,2022-08-05 00:00:00,LINK3S/USDT,1.0777,1.0838,0.8494,0.8524,64241.15094513,59444.047681156909
1659571200,2022-08-04 00:00:00,LINK3S/USDT,1.1202,1.1589,0.9974,1.0789,30070.17697705,32380.075357247441
1659484800,2022-08-03 00:00:00,LINK3S/USDT,1.1661,1.2229,0.9571,1.1194,63922.29689531,68849.348048276672
1659398400,2022-08-02 00:00:00,LINK3S/USDT,0.9909,1.22,0.9656,1.1654,45878.77021409,52305.482216119108
1659312000,2022-08-01 00:00:00,LINK3S/USDT,0.97,1.0652,0.8823,1.0089,46588.76483737,45826.989856164394
1659225600,2022-07-31 00:00:00,LINK3S/USDT,0.9144,0.9969,0.8141,0.9647,57700.03554158,52190.269512018575
1659139200,2022-07-30 00:00:00,LINK3S/USDT,0.8945,0.9643,0.7884,0.9179,123868.66663269,111174.597846425621
1659052800,2022-07-29 00:00:00,LINK3S/USDT,1.2426,1.3067,0.8,0.897,196783.42403869,184588.049866783242
1658966400,2022-07-28 00:00:00,LINK3S/USDT,1.4893,1.6264,1.2,1.2427,15668.62901467,22019.543131879322
1658880000,2022-07-27 00:00:00,LINK3S/USDT,1.9748,2.1188,1.4869,1.4908,44435.61711413,77995.07338829473
1658793600,2022-07-26 00:00:00,LINK3S/USDT,1.89,2.1794,1.8843,1.958,20347.41111971,41012.48514497565
1658707200,2022-07-25 00:00:00,LINK3S/USDT,1.4853,1.89,1.4498,1.89,42462.40055509,71162.175972827101
1658620800,2022-07-24 00:00:00,LINK3S/USDT,1.6225,1.656,1.3532,1.4687,39966.4431238,59754.994710204783
1658534400,2022-07-23 00:00:00,LINK3S/USDT,1.7119,1.8337,1.5366,1.6493,27144.02059261,46361.870644728803
1658448000,2022-07-22 00:00:00,LINK3S/USDT,1.5547,1.7421,1.3645,1.7033,29303.82792826,45129.637809283023
1658361600,2022-07-21 00:00:00,LINK3S/USDT,1.6342,1.792,1.5177,1.5535,23877.57430911,40357.533096116131
1658275200,2022-07-20 00:00:00,LINK3S/USDT,1.4187,1.6639,1.2244,1.6408,48841.11907552,70101.14357649003
1658188800,2022-07-19 00:00:00,LINK3S/USDT,1.5566,1.7496,1.3467,1.4064,55223.70834503,84074.101076495744
1658102400,2022-07-18 00:00:00,LINK3S/USDT,2.2859,2.2996,1.4651,1.5533,51107.12149858,90372.972418763125
1658016000,2022-07-17 00:00:00,LINK3S/USDT,2.0596,2.3195,1.9303,2.2859,13968.44676912,30202.028917737129
