https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EUR,Volume EOS
1663549200000,2022-09-19 01:00:00,EOS/EUR,1.300807,1.305775,1.288033,1.299083,58.1989184,44.8
1663545600000,2022-09-19 00:00:00,EOS/EUR,1.28692,1.305576,1.279113,1.288067,189.60346239999998,147.2
1663542000000,2022-09-18 23:00:00,EOS/EUR,1.286199,1.30299,1.282384,1.291009,189.64922210000003,146.9
1663538400000,2022-09-18 22:00:00,EOS/EUR,1.318297,1.318297,1.275811,1.3028,201.15232,154.4
1663534800000,2022-09-18 21:00:00,EOS/EUR,1.374971,1.375421,1.25,1.303169,684.687362347668,525.40181845
1663531200000,2022-09-18 20:00:00,EOS/EUR,1.374287,1.376192,1.362202,1.364151,183.3418944,134.4
1663527600000,2022-09-18 19:00:00,EOS/EUR,1.373986,1.380439,1.366081,1.378272,194.74983360000002,141.3
1663524000000,2022-09-18 18:00:00,EOS/EUR,1.372559,1.381,1.365378,1.377941,188.777917,137.0
1663520400000,2022-09-18 17:00:00,EOS/EUR,1.417131,1.417797,1.366971,1.371507,196.73066583217053,143.44124079
1663516800000,2022-09-18 16:00:00,EOS/EUR,1.411664,1.425016,1.389362,1.409636,235.55017559999996,167.1
1663513200000,2022-09-18 15:00:00,EOS/EUR,1.426033,1.429046,1.408953,1.414622,184.89109539999998,130.7
1663509600000,2022-09-18 14:00:00,EOS/EUR,1.447618,1.448016,1.414407,1.41531,200.12483400000002,141.4
1663506000000,2022-09-18 13:00:00,EOS/EUR,1.444435,1.450566,1.428122,1.446886,227.5951678,157.3
1663502400000,2022-09-18 12:00:00,EOS/EUR,1.444998,1.451455,1.427818,1.443092,227.71991760000003,157.8
1663498800000,2022-09-18 11:00:00,EOS/EUR,1.443457,1.450958,1.423456,1.440673,216.67721920000002,150.4
1663495200000,2022-09-18 10:00:00,EOS/EUR,1.438077,1.448686,1.42688,1.434598,207.5863306,144.7
1663491600000,2022-09-18 09:00:00,EOS/EUR,1.453098,1.457194,1.421839,1.440796,174.9126344,121.4
1663488000000,2022-09-18 08:00:00,EOS/EUR,1.44455,1.455835,1.419374,1.455128,195.2781776,134.2
1663484400000,2022-09-18 07:00:00,EOS/EUR,1.453087,1.453883,1.419301,1.440446,211.88960659999998,147.1
1663480800000,2022-09-18 06:00:00,EOS/EUR,1.464345,1.471163,1.421558,1.452982,228.118174,157.0
1663477200000,2022-09-18 05:00:00,EOS/EUR,1.456962,1.464688,1.448102,1.463552,224.9479424,153.7
1663473600000,2022-09-18 04:00:00,EOS/EUR,1.454526,1.463819,1.425655,1.444945,222.08804649999996,153.7
1663470000000,2022-09-18 03:00:00,EOS/EUR,1.459576,1.464826,1.444,1.458514,245.6137576,168.4
1663466400000,2022-09-18 02:00:00,EOS/EUR,1.460769,1.463407,1.442848,1.458844,201.02870320000002,137.8
1663462800000,2022-09-18 01:00:00,EOS/EUR,1.472047,1.476211,1.431274,1.463258,240.38348804373848,164.27963356
1663459200000,2022-09-18 00:00:00,EOS/EUR,1.478795,1.479265,1.456808,1.463336,249.93778880000002,170.8
1663455600000,2022-09-17 23:00:00,EOS/EUR,1.480396,1.480834,1.466829,1.472705,234.30736549999997,159.1
1663452000000,2022-09-17 22:00:00,EOS/EUR,1.491365,1.497967,1.459863,1.479729,210.56543670000002,142.3
1663448400000,2022-09-17 21:00:00,EOS/EUR,1.460544,1.495931,1.458787,1.47829,235.8417356631336,159.53685384
1663444800000,2022-09-17 20:00:00,EOS/EUR,1.475797,1.475797,1.434658,1.469477,261.71385369999996,178.1
1663441200000,2022-09-17 19:00:00,EOS/EUR,1.455069,1.509991,1.431606,1.473498,229.63875724005135,155.84599181
1663437600000,2022-09-17 18:00:00,EOS/EUR,1.468243,1.472605,1.438646,1.468594,204.2814254,139.1
1663434000000,2022-09-17 17:00:00,EOS/EUR,1.468786,1.474925,1.460065,1.465764,201.98227920000002,137.8
1663430400000,2022-09-17 16:00:00,EOS/EUR,1.465959,1.470498,1.432691,1.465616,223.7995632,152.7
1663426800000,2022-09-17 15:00:00,EOS/EUR,1.462702,1.471757,1.429565,1.463063,219.6057563,150.1
1663423200000,2022-09-17 14:00:00,EOS/EUR,1.451175,1.495187,1.424128,1.46858,191.355974,130.3
1663419600000,2022-09-17 13:00:00,EOS/EUR,1.432047,1.440292,1.414039,1.440292,248.8824576,172.8
1663416000000,2022-09-17 12:00:00,EOS/EUR,1.41996,1.434112,1.414348,1.428994,228.63904000000002,160.0
1663412400000,2022-09-17 11:00:00,EOS/EUR,1.418091,1.434822,1.414414,1.430085,249.26381550000002,174.3
1663408800000,2022-09-17 10:00:00,EOS/EUR,1.440292,1.440292,1.41165,1.420096,219.6888512,154.7
1663405200000,2022-09-17 09:00:00,EOS/EUR,1.430203,1.448248,1.417777,1.424457,243.0123642,170.6
1663401600000,2022-09-17 08:00:00,EOS/EUR,1.441063,1.449418,1.41377,1.429898,224.6369758,157.1
1663398000000,2022-09-17 07:00:00,EOS/EUR,1.423421,1.447782,1.415009,1.426463,217.10766859999998,152.2
1663394400000,2022-09-17 06:00:00,EOS/EUR,1.426566,1.446043,1.402535,1.422663,196.8977696443603,138.40085083
1663390800000,2022-09-17 05:00:00,EOS/EUR,1.426327,1.449378,1.393658,1.421459,202.1314698,142.2
1663387200000,2022-09-17 04:00:00,EOS/EUR,1.429747,1.449666,1.419357,1.432475,199.8302625,139.5
1663383600000,2022-09-17 03:00:00,EOS/EUR,1.432797,1.432797,1.417136,1.4288,227.60784000000004,159.3
1663380000000,2022-09-17 02:00:00,EOS/EUR,1.429971,1.446826,1.424876,1.431981,218.61462256794476,152.66586817
1663376400000,2022-09-17 01:00:00,EOS/EUR,1.4323,1.435271,1.393877,1.423268,217.760004,153.0
1663372800000,2022-09-17 00:00:00,EOS/EUR,1.41837,1.438662,1.400044,1.433314,266.8816082596736,186.1989824
