https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CREAM,Volume BTC
1663459200,2022-09-18 00:00:00,CREAM/BTC,0.000902,0.000902,0.0008771,0.0008771,2.8905,0.00256434476
1663372800,2022-09-17 00:00:00,CREAM/BTC,0.0008205,0.0009099,0.0008157,0.0009021,126.3309,0.10763004781
1663286400,2022-09-16 00:00:00,CREAM/BTC,0.0008369,0.0008491,0.0008202,0.0008213,19.1943,0.01608844699
1663200000,2022-09-15 00:00:00,CREAM/BTC,0.0008176,0.0008794,0.0007945,0.0008369,744.9598,0.61077654374
1663113600,2022-09-14 00:00:00,CREAM/BTC,0.000845,0.000845,0.0008121,0.0008124,38.1326,0.03165223274
1663027200,2022-09-13 00:00:00,CREAM/BTC,0.0008263,0.000851,0.0007827,0.0008454,955.9624,0.77151922245
1662940800,2022-09-12 00:00:00,CREAM/BTC,0.0008813,0.0010442,0.0008258,0.0008278,1725.4641,1.5643996063
1662854400,2022-09-11 00:00:00,CREAM/BTC,0.0008285,0.0010666,0.00082,0.0008762,604.2949,0.58794161135
1662768000,2022-09-10 00:00:00,CREAM/BTC,0.0008465,0.0008695,0.0008232,0.0008274,11.6673,0.00986255827
1662681600,2022-09-09 00:00:00,CREAM/BTC,0.0008893,0.0009167,0.0008323,0.000852,192.7664,0.16649419763
1662595200,2022-09-08 00:00:00,CREAM/BTC,0.0008607,0.0010173,0.0008473,0.0008893,309.4525,0.28214418344
1662508800,2022-09-07 00:00:00,CREAM/BTC,0.000852,0.0008673,0.0008162,0.0008607,63.1223,0.05300790104
1662422400,2022-09-06 00:00:00,CREAM/BTC,0.000846,0.0008608,0.0008419,0.0008526,30.7935,0.0261951982
1662336000,2022-09-05 00:00:00,CREAM/BTC,0.0008597,0.0008644,0.0008465,0.0008499,5.4532,0.00467098026
1662249600,2022-09-04 00:00:00,CREAM/BTC,0.0008563,0.0008683,0.0008505,0.0008552,12.7921,0.01094225246
1662163200,2022-09-03 00:00:00,CREAM/BTC,0.0008538,0.0008603,0.0008442,0.0008526,10.858,0.00926502375
1662076800,2022-09-02 00:00:00,CREAM/BTC,0.0008285,0.000875,0.0008229,0.0008533,53.6969,0.04577956361
1661990400,2022-09-01 00:00:00,CREAM/BTC,0.0008394,0.0008428,0.0008227,0.0008299,18.1252,0.01507626731
1661904000,2022-08-31 00:00:00,CREAM/BTC,0.0008384,0.0008742,0.0008222,0.0008426,215.2479,0.18294967265
1661817600,2022-08-30 00:00:00,CREAM/BTC,0.0008303,0.0008576,0.0008176,0.0008432,110.1071,0.0918530926
1661731200,2022-08-29 00:00:00,CREAM/BTC,0.0008189,0.0008554,0.0008169,0.0008303,90.9607,0.07637939159
1661644800,2022-08-28 00:00:00,CREAM/BTC,0.0008222,0.0008408,0.0008176,0.0008236,49.1684,0.04069734161
1661558400,2022-08-27 00:00:00,CREAM/BTC,0.0008201,0.0008358,0.0008158,0.0008222,83.569,0.06859750205
1661472000,2022-08-26 00:00:00,CREAM/BTC,0.000833,0.0008584,0.0008001,0.0008183,223.8078,0.18732178996
