https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AURORA,Volume USDT
1663462800,2022-09-18 01:00:00,AURORA/USDT,1.28,1.28,1.263,1.2746,447.4352,566.55212515
1663459200,2022-09-18 00:00:00,AURORA/USDT,1.2809,1.29,1.2693,1.2693,972.7751,1241.43294356
1663455600,2022-09-17 23:00:00,AURORA/USDT,1.2812,1.2942,1.2809,1.2942,318.2195,409.97162104
1663452000,2022-09-17 22:00:00,AURORA/USDT,1.2792,1.2818,1.2613,1.2818,2210.335,2821.11666256
1663448400,2022-09-17 21:00:00,AURORA/USDT,1.28,1.2964,1.2654,1.2791,1036.2801,1327.99203471
1663444800,2022-09-17 20:00:00,AURORA/USDT,1.2796,1.2964,1.2641,1.2795,1609.1871,2058.06390476
1663441200,2022-09-17 19:00:00,AURORA/USDT,1.2647,1.2946,1.2457,1.2795,2721.5148,3443.69251038
1663437600,2022-09-17 18:00:00,AURORA/USDT,1.2699,1.27,1.2467,1.2665,997.4584,1254.49290812
1663434000,2022-09-17 17:00:00,AURORA/USDT,1.2725,1.2847,1.2558,1.2558,2741.4144,3465.85502965
1663430400,2022-09-17 16:00:00,AURORA/USDT,1.24,1.2816,1.24,1.26,4326.2371,5460.13877325
1663426800,2022-09-17 15:00:00,AURORA/USDT,1.226,1.24,1.2158,1.2313,611.6957,754.62628712
1663423200,2022-09-17 14:00:00,AURORA/USDT,1.2194,1.2247,1.2,1.2247,2131.5015,2599.65493447
1663419600,2022-09-17 13:00:00,AURORA/USDT,1.2137,1.2275,1.2054,1.2054,992.7816,1207.23112224
1663416000,2022-09-17 12:00:00,AURORA/USDT,1.2188,1.2188,1.1988,1.2001,334.9275,403.72274477
1663412400,2022-09-17 11:00:00,AURORA/USDT,1.2184,1.2184,1.2053,1.2113,47.3452,57.41091976
1663408800,2022-09-17 10:00:00,AURORA/USDT,1.2102,1.22,1.2,1.2188,1318.1283,1591.38173284
1663405200,2022-09-17 09:00:00,AURORA/USDT,1.1974,1.2134,1.1945,1.2031,105.0753,127.21787254
1663401600,2022-09-17 08:00:00,AURORA/USDT,1.197,1.21,1.1914,1.2095,264.3854,318.90895504
1663398000,2022-09-17 07:00:00,AURORA/USDT,1.1934,1.1934,1.1903,1.1903,29.442,35.11229474
1663394400,2022-09-17 06:00:00,AURORA/USDT,1.1936,1.1936,1.1934,1.1934,17.3298,20.68365806
1663390800,2022-09-17 05:00:00,AURORA/USDT,1.2002,1.2033,1.1891,1.2033,1854.3021,2210.52944819
1663387200,2022-09-17 04:00:00,AURORA/USDT,1.2005,1.2137,1.2005,1.2028,122.317,147.27722175
1663383600,2022-09-17 03:00:00,AURORA/USDT,1.2053,1.2167,1.2,1.2,218.7903,264.14882321
1663380000,2022-09-17 02:00:00,AURORA/USDT,1.2053,1.2167,1.2,1.2167,52.183,63.22373776
1663376400,2022-09-17 01:00:00,AURORA/USDT,1.2,1.2167,1.2,1.2167,219.0193,264.59597981
1663372800,2022-09-17 00:00:00,AURORA/USDT,1.1899,1.2026,1.1886,1.2026,2383.5749,2849.67574439
1663369200,2022-09-16 23:00:00,AURORA/USDT,1.1801,1.1899,1.18,1.1899,176.4165,208.4461381
1663365600,2022-09-16 22:00:00,AURORA/USDT,1.1899,1.1899,1.1899,1.1899,0,0
1663362000,2022-09-16 21:00:00,AURORA/USDT,1.18,1.1899,1.1771,1.1899,89.6069,106.10746781
1663358400,2022-09-16 20:00:00,AURORA/USDT,1.1802,1.188,1.1675,1.18,405.7863,476.88852421
1663354800,2022-09-16 19:00:00,AURORA/USDT,1.1871,1.1954,1.1871,1.1914,342.1056,408.26749854
1663351200,2022-09-16 18:00:00,AURORA/USDT,1.192,1.1958,1.1712,1.1869,1226.7899,1448.42707703
1663347600,2022-09-16 17:00:00,AURORA/USDT,1.2053,1.2053,1.19,1.1957,936.6156,1119.01524071
1663344000,2022-09-16 16:00:00,AURORA/USDT,1.2137,1.2157,1.2053,1.2053,33.926,41.0727412
1663340400,2022-09-16 15:00:00,AURORA/USDT,1.21,1.2137,1.199,1.2137,102.9758,124.44151675
1663336800,2022-09-16 14:00:00,AURORA/USDT,1.1997,1.21,1.1919,1.21,641.1465,769.03079948
1663333200,2022-09-16 13:00:00,AURORA/USDT,1.22,1.2366,1.1901,1.21,1536.2759,1854.38070431
1663329600,2022-09-16 12:00:00,AURORA/USDT,1.2143,1.2297,1.2033,1.22,194.6208,235.98635578
1663326000,2022-09-16 11:00:00,AURORA/USDT,1.2137,1.244,1.2125,1.2146,1294.8934,1593.08323452
1663322400,2022-09-16 10:00:00,AURORA/USDT,1.2273,1.2299,1.2137,1.2138,233.0415,284.07391532
1663318800,2022-09-16 09:00:00,AURORA/USDT,1.216,1.2218,1.2157,1.2195,263,319.83209165
1663315200,2022-09-16 08:00:00,AURORA/USDT,1.2137,1.226,1.2137,1.2152,201.6686,245.42940966
1663311600,2022-09-16 07:00:00,AURORA/USDT,1.2122,1.2137,1.2122,1.2137,125.7235,152.41259646
1663308000,2022-09-16 06:00:00,AURORA/USDT,1.2053,1.2122,1.2011,1.2013,376.2995,454.78501846
1663304400,2022-09-16 05:00:00,AURORA/USDT,1.2053,1.2098,1.2053,1.2054,21.3208,25.78643442
1663300800,2022-09-16 04:00:00,AURORA/USDT,1.2098,1.2098,1.2049,1.2098,95.4438,115.42233689
1663297200,2022-09-16 03:00:00,AURORA/USDT,1.2099,1.21,1.2049,1.2098,46.6746,56.42947613
1663293600,2022-09-16 02:00:00,AURORA/USDT,1.2138,1.2138,1.21,1.21,109.6338,132.84839136
1663290000,2022-09-16 01:00:00,AURORA/USDT,1.2306,1.2306,1.2138,1.2138,249.4535,303.17457612
1663286400,2022-09-16 00:00:00,AURORA/USDT,1.224,1.2364,1.2222,1.2222,310.6447,383.09102619
1663282800,2022-09-15 23:00:00,AURORA/USDT,1.2208,1.2387,1.22,1.2348,609.7546,750.24494443
1663279200,2022-09-15 22:00:00,AURORA/USDT,1.2221,1.23,1.2138,1.2294,366.0907,448.82475489
1663275600,2022-09-15 21:00:00,AURORA/USDT,1.222,1.2346,1.21,1.2137,1170.2369,1430.43379799
1663272000,2022-09-15 20:00:00,AURORA/USDT,1.247,1.2491,1.1965,1.222,4936.3419,5971.18175129
1663268400,2022-09-15 19:00:00,AURORA/USDT,1.24,1.25,1.2324,1.2324,215.7533,268.3063466
1663264800,2022-09-15 18:00:00,AURORA/USDT,1.2389,1.2538,1.23,1.24,738.9877,923.37687248
1663261200,2022-09-15 17:00:00,AURORA/USDT,1.2307,1.25,1.23,1.2389,522.5094,650.11350371
1663257600,2022-09-15 16:00:00,AURORA/USDT,1.2353,1.24,1.2299,1.2326,135.3955,167.08827499
1663254000,2022-09-15 15:00:00,AURORA/USDT,1.2557,1.2557,1.2252,1.2318,526.2388,650.39241579
1663250400,2022-09-15 14:00:00,AURORA/USDT,1.2641,1.2801,1.244,1.2557,1017.8813,1285.73679325
1663246800,2022-09-15 13:00:00,AURORA/USDT,1.2694,1.2763,1.2594,1.2763,347.0517,438.72574764
1663243200,2022-09-15 12:00:00,AURORA/USDT,1.29,1.2948,1.2694,1.2694,494.3164,632.05023359
1663239600,2022-09-15 11:00:00,AURORA/USDT,1.2746,1.29,1.2746,1.29,373.0907,478.207991
1663236000,2022-09-15 10:00:00,AURORA/USDT,1.2758,1.2794,1.2601,1.2771,244.2083,309.90347928
1663232400,2022-09-15 09:00:00,AURORA/USDT,1.27,1.2753,1.2599,1.2753,238.7549,303.18912982
1663228800,2022-09-15 08:00:00,AURORA/USDT,1.2673,1.2799,1.26,1.2715,919.4227,1170.09884249
1663225200,2022-09-15 07:00:00,AURORA/USDT,1.28,1.2947,1.2571,1.2571,1685.0043,2143.15255557
1663221600,2022-09-15 06:00:00,AURORA/USDT,1.311,1.3117,1.2732,1.28,1695.0466,2193.49523617
1663218000,2022-09-15 05:00:00,AURORA/USDT,1.3149,1.3149,1.3149,1.3149,3.1993,4.20675957
1663214400,2022-09-15 04:00:00,AURORA/USDT,1.31,1.3197,1.3,1.3165,661.8881,862.51949142
1663210800,2022-09-15 03:00:00,AURORA/USDT,1.3145,1.3218,1.3101,1.3115,226.9999,299.62256223
1663207200,2022-09-15 02:00:00,AURORA/USDT,1.3156,1.3265,1.3145,1.3145,23.1706,30.66809881
1663203600,2022-09-15 01:00:00,AURORA/USDT,1.32,1.32,1.3104,1.3104,57.3161,75.59861542
1663200000,2022-09-15 00:00:00,AURORA/USDT,1.3134,1.33,1.3,1.32,645.4011,852.68752964
1663196400,2022-09-14 23:00:00,AURORA/USDT,1.3144,1.3144,1.3144,1.3144,3.8009,4.99590296
1663192800,2022-09-14 22:00:00,AURORA/USDT,1.3104,1.3297,1.3029,1.3057,2016.7909,2643.13402516
1663189200,2022-09-14 21:00:00,AURORA/USDT,1.3174,1.3174,1.3056,1.3056,495.1306,648.23383352
1663185600,2022-09-14 20:00:00,AURORA/USDT,1.32,1.32,1.3185,1.3185,1314.4815,1735.11434205
1663182000,2022-09-14 19:00:00,AURORA/USDT,1.3275,1.3323,1.32,1.32,190.6966,252.16025039
1663178400,2022-09-14 18:00:00,AURORA/USDT,1.3265,1.33,1.3265,1.33,57.2643,76.12922556
