https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UNIC,Volume USDT
1663459200,2022-09-18 00:00:00,UNIC/USDT,6.28,6.28,6.15,6.19,598.8106,3720.567146
1663372800,2022-09-17 00:00:00,UNIC/USDT,6.14,8.89,5.86,6.27,20277.92,139810.177724
1663286400,2022-09-16 00:00:00,UNIC/USDT,6.28,6.48,5.85,6.13,6517.8082,40090.65588
1663200000,2022-09-15 00:00:00,UNIC/USDT,6.7,6.74,6.18,6.33,14857.9382,96746.358374
1663113600,2022-09-14 00:00:00,UNIC/USDT,6.16,6.99,6.13,6.7,24450.2597,160929.621293
1663027200,2022-09-13 00:00:00,UNIC/USDT,6.49,6.8,6.16,6.16,17919.5654,114312.781139
1662940800,2022-09-12 00:00:00,UNIC/USDT,6.49,6.62,6.33,6.46,17816.1371,115262.107378
1662854400,2022-09-11 00:00:00,UNIC/USDT,6.96,6.96,6.36,6.49,14347.6724,95253.752674
1662768000,2022-09-10 00:00:00,UNIC/USDT,6.67,7.21,6.51,6.97,27636.6226,187599.757923
1662681600,2022-09-09 00:00:00,UNIC/USDT,6.19,12.7,5.84,6.67,98601.9206,776997.082899
1662595200,2022-09-08 00:00:00,UNIC/USDT,5.73,6.33,5.64,6.18,22772.4926,134115.767676
1662508800,2022-09-07 00:00:00,UNIC/USDT,5.65,5.81,5.5,5.73,19905.5024,111881.741678
1662422400,2022-09-06 00:00:00,UNIC/USDT,6.05,6.12,5.64,5.67,20042.4685,116719.862585
1662336000,2022-09-05 00:00:00,UNIC/USDT,6.08,6.12,5.73,6.06,21657.7698,128908.272206
1662249600,2022-09-04 00:00:00,UNIC/USDT,5.98,7.35,5.95,6.08,27234.2133,175259.921042
1662163200,2022-09-03 00:00:00,UNIC/USDT,6.14,6.27,5.96,5.98,2604.3117,15805.065416
1662076800,2022-09-02 00:00:00,UNIC/USDT,6.09,6.42,5.87,6.14,11557.2269,70126.619091
