https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LOVE,Volume USDT
1663459200,2022-09-18 00:00:00,LOVE/USDT,0.00337,0.003475,0.003326,0.003475,628753.6661,2116.8447690687
1663372800,2022-09-17 00:00:00,LOVE/USDT,0.003545,0.004,0.003301,0.003405,16426838.8789,58592.4545149187
1663286400,2022-09-16 00:00:00,LOVE/USDT,0.00351,0.00444,0.003308,0.003543,27813251.2667,105560.7544722085
1663200000,2022-09-15 00:00:00,LOVE/USDT,0.00366,0.003849,0.003349,0.003499,12608002.5672,45535.9272007735
1663113600,2022-09-14 00:00:00,LOVE/USDT,0.003853,0.003948,0.003609,0.00369,12648670.3171,47930.9353733664
1663027200,2022-09-13 00:00:00,LOVE/USDT,0.004103,0.004268,0.0037,0.003853,20835819.4645,83067.0888099396
1662940800,2022-09-12 00:00:00,LOVE/USDT,0.00411,0.005,0.003932,0.004074,64514952.4897,283669.0995557327
1662854400,2022-09-11 00:00:00,LOVE/USDT,0.00403,0.004175,0.003885,0.00408,11294004.7226,45444.1397631436
1662768000,2022-09-10 00:00:00,LOVE/USDT,0.003886,0.0042,0.00368,0.004005,18181740.4855,72309.614427589
1662681600,2022-09-09 00:00:00,LOVE/USDT,0.00419,0.004326,0.0037,0.003885,23224580.5829,94963.6704921762
1662595200,2022-09-08 00:00:00,LOVE/USDT,0.003814,0.00535,0.00381,0.004221,69255451.1242,315240.6334819466
1662508800,2022-09-07 00:00:00,LOVE/USDT,0.003905,0.00448,0.003401,0.003814,31298163.8943,120206.3039231393
1662422400,2022-09-06 00:00:00,LOVE/USDT,0.00429,0.0045,0.00384,0.003905,17408304.2461,73496.7991948995
1662336000,2022-09-05 00:00:00,LOVE/USDT,0.00459,0.004607,0.004204,0.004312,11047137.2487,49139.4774334293
1662249600,2022-09-04 00:00:00,LOVE/USDT,0.004585,0.004701,0.004384,0.00461,11543385.1147,52521.4238476731
1662163200,2022-09-03 00:00:00,LOVE/USDT,0.004784,0.004818,0.004485,0.004584,12024443.4205,55669.8831332415
1662076800,2022-09-02 00:00:00,LOVE/USDT,0.00461,0.00536,0.00455,0.004784,35389348.3741,172324.3526103825
1661990400,2022-09-01 00:00:00,LOVE/USDT,0.00469,0.00496,0.004103,0.004632,21108265.07748338,95889.7795795054763
1661904000,2022-08-31 00:00:00,LOVE/USDT,0.004606,0.004989,0.0045,0.004722,18935580.5624,89525.3269082049
1661817600,2022-08-30 00:00:00,LOVE/USDT,0.00488,0.005,0.00444,0.004607,23973589.9249,113846.4894134021
1661731200,2022-08-29 00:00:00,LOVE/USDT,0.004796,0.005468,0.004652,0.00488,28507572.6355,143089.0250789726
1661644800,2022-08-28 00:00:00,LOVE/USDT,0.004848,0.005103,0.004642,0.004802,16897318.0038,81775.9976700573
1661558400,2022-08-27 00:00:00,LOVE/USDT,0.00463,0.0055,0.00451,0.00485,38931893.0285,193161.0675554779
1661472000,2022-08-26 00:00:00,LOVE/USDT,0.004596,0.005524,0.004429,0.004605,46753749.9819,228411.6824078641
1661385600,2022-08-25 00:00:00,LOVE/USDT,0.005493,0.005992,0.0042,0.004598,74988989.4045,395575.3177928248
