https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MFT,Volume USDT
1663376400,2022-09-17 01:00:00,MFT/USDT,0.0058,0.00584,0.0058,0.00584,87701.7338,511.420479595
1663372800,2022-09-17 00:00:00,MFT/USDT,0.00577,0.00584,0.00575,0.00578,530539.9209,3077.478589765
1663369200,2022-09-16 23:00:00,MFT/USDT,0.00579,0.00579,0.00571,0.00575,239211.8815,1373.747238824
1663365600,2022-09-16 22:00:00,MFT/USDT,0.00576,0.00582,0.00575,0.00579,878137.778,5080.74104284
1663362000,2022-09-16 21:00:00,MFT/USDT,0.00578,0.00582,0.00553,0.00575,4740331.0623,27019.159567129
1663358400,2022-09-16 20:00:00,MFT/USDT,0.0058,0.00582,0.00572,0.00577,1103522.4925,6354.665018122
1663354800,2022-09-16 19:00:00,MFT/USDT,0.00571,0.00592,0.00569,0.0058,1570255.3537,9112.32824656
1663351200,2022-09-16 18:00:00,MFT/USDT,0.0057,0.00572,0.00567,0.0057,433606.4756,2477.305793076
1663347600,2022-09-16 17:00:00,MFT/USDT,0.00566,0.0057,0.0056,0.0057,540500.2847,3056.177062558
1663344000,2022-09-16 16:00:00,MFT/USDT,0.00571,0.00573,0.00565,0.00569,276666.888,1569.95795781
1663340400,2022-09-16 15:00:00,MFT/USDT,0.00569,0.00574,0.00569,0.0057,1102986.6558,6304.236960246
1663336800,2022-09-16 14:00:00,MFT/USDT,0.00567,0.00574,0.00565,0.00573,1424440.2486,8115.947682039
1663333200,2022-09-16 13:00:00,MFT/USDT,0.00574,0.00577,0.00565,0.00566,1127121.1288,6451.580438502
1663329600,2022-09-16 12:00:00,MFT/USDT,0.0058,0.00582,0.00574,0.00574,469499.3601,2721.014835054
1663326000,2022-09-16 11:00:00,MFT/USDT,0.00575,0.00583,0.00575,0.00581,541423.5078,3127.69422447
1663322400,2022-09-16 10:00:00,MFT/USDT,0.00575,0.00579,0.00573,0.00577,90232.2523,518.821611309
1663318800,2022-09-16 09:00:00,MFT/USDT,0.00573,0.00578,0.0057,0.00576,157315.733,901.165137442
1663315200,2022-09-16 08:00:00,MFT/USDT,0.00581,0.00586,0.00567,0.00573,668162.9138,3836.294597857
1663311600,2022-09-16 07:00:00,MFT/USDT,0.00582,0.00588,0.00578,0.00578,516449.2829,3011.014165414
1663308000,2022-09-16 06:00:00,MFT/USDT,0.00579,0.00583,0.00567,0.00581,1589266.1281,9172.420361789
1663304400,2022-09-16 05:00:00,MFT/USDT,0.00588,0.00592,0.00571,0.0058,1825017.8392,10635.467058104
1663300800,2022-09-16 04:00:00,MFT/USDT,0.00719,0.00721,0.00581,0.00589,9530894.6686,58257.081373751
1663297200,2022-09-16 03:00:00,MFT/USDT,0.00742,0.00742,0.00717,0.00722,639697.716,4667.474539525
1663293600,2022-09-16 02:00:00,MFT/USDT,0.00749,0.0076,0.0074,0.0074,248238.8473,1849.669646978
1663290000,2022-09-16 01:00:00,MFT/USDT,0.00781,0.00784,0.00746,0.00749,1076982.1068,8240.187260484
1663286400,2022-09-16 00:00:00,MFT/USDT,0.00749,0.00798,0.0074,0.00778,1592126.2995,12311.232183044
1663282800,2022-09-15 23:00:00,MFT/USDT,0.00751,0.00753,0.00742,0.00752,183715.7481,1371.872141358
1663279200,2022-09-15 22:00:00,MFT/USDT,0.00759,0.00759,0.00743,0.0075,157410.5707,1178.661924453
1663275600,2022-09-15 21:00:00,MFT/USDT,0.00773,0.00773,0.0075,0.00763,164137.9954,1247.421678098
1663272000,2022-09-15 20:00:00,MFT/USDT,0.00761,0.00801,0.00761,0.00775,1768830.9229,13758.733549183
1663268400,2022-09-15 19:00:00,MFT/USDT,0.00757,0.00777,0.00749,0.00758,1667597.1555,12764.508204353
1663264800,2022-09-15 18:00:00,MFT/USDT,0.00717,0.00764,0.00717,0.00755,2589447.8716,19009.468933637
1663261200,2022-09-15 17:00:00,MFT/USDT,0.00715,0.00718,0.00711,0.00718,740428.825,5279.216248476
1663257600,2022-09-15 16:00:00,MFT/USDT,0.0071,0.00724,0.00706,0.00714,224015.8313,1603.440986133
1663254000,2022-09-15 15:00:00,MFT/USDT,0.00704,0.00719,0.00702,0.00705,259403.7754,1844.17045286
1663250400,2022-09-15 14:00:00,MFT/USDT,0.00721,0.00724,0.007,0.00705,248636.098,1763.335601561
1663246800,2022-09-15 13:00:00,MFT/USDT,0.0072,0.00726,0.00711,0.00718,1987680.0048,14393.752143023
1663243200,2022-09-15 12:00:00,MFT/USDT,0.00726,0.00745,0.00717,0.00718,1359760.9161,9877.644169356
1663239600,2022-09-15 11:00:00,MFT/USDT,0.00739,0.00739,0.00721,0.00723,343296.9265,2490.580908489
1663236000,2022-09-15 10:00:00,MFT/USDT,0.00734,0.00747,0.00734,0.00743,282885.7852,2094.685994057
1663232400,2022-09-15 09:00:00,MFT/USDT,0.0076,0.0076,0.0073,0.00734,498004.3965,3667.221052435
1663228800,2022-09-15 08:00:00,MFT/USDT,0.00757,0.00768,0.0074,0.00759,3156384.7001,23799.662779317
1663225200,2022-09-15 07:00:00,MFT/USDT,0.00782,0.0079,0.00748,0.00755,2397634.875,18345.980516083
1663221600,2022-09-15 06:00:00,MFT/USDT,0.00801,0.00807,0.00777,0.00782,2150827.1491,17017.685214437
1663218000,2022-09-15 05:00:00,MFT/USDT,0.00824,0.00885,0.00784,0.00799,9283579.2168,77196.13935998
1663214400,2022-09-15 04:00:00,MFT/USDT,0.00746,0.00845,0.00738,0.00824,5718092.2992,45555.288840571
1663210800,2022-09-15 03:00:00,MFT/USDT,0.00765,0.0078,0.00707,0.00744,3843124.2999,28280.387915742
1663207200,2022-09-15 02:00:00,MFT/USDT,0.00701,0.0078,0.007,0.00761,4792469.1296,35226.382145848
1663203600,2022-09-15 01:00:00,MFT/USDT,0.00699,0.00703,0.00685,0.00699,816675.9951,5675.691957018
1663200000,2022-09-15 00:00:00,MFT/USDT,0.00711,0.00718,0.00693,0.00704,851530.9667,5979.536083165
1663196400,2022-09-14 23:00:00,MFT/USDT,0.00735,0.00735,0.00699,0.00707,3051853.8348,21720.27744737
1663192800,2022-09-14 22:00:00,MFT/USDT,0.00704,0.00751,0.00699,0.00736,4922812.9949,36033.395685297
1663189200,2022-09-14 21:00:00,MFT/USDT,0.00705,0.00708,0.00688,0.00702,1534079.8169,10742.2098687
1663185600,2022-09-14 20:00:00,MFT/USDT,0.00717,0.00725,0.00692,0.00704,2530202.9587,18020.403429621
1663182000,2022-09-14 19:00:00,MFT/USDT,0.00733,0.00733,0.00713,0.00715,1515907.0875,10948.00811734
1663178400,2022-09-14 18:00:00,MFT/USDT,0.00748,0.00748,0.00717,0.00733,2855985.7773,21000.931040225
1663174800,2022-09-14 17:00:00,MFT/USDT,0.00765,0.00785,0.00743,0.00748,1515308.174,11563.605821764
1663171200,2022-09-14 16:00:00,MFT/USDT,0.00808,0.00819,0.00752,0.00764,4481833.8953,34975.030259919
1663167600,2022-09-14 15:00:00,MFT/USDT,0.00827,0.00859,0.00807,0.00808,4300641.3525,35824.251665101
1663164000,2022-09-14 14:00:00,MFT/USDT,0.00805,0.00834,0.008,0.00826,3031004.3028,24744.787369638
1663160400,2022-09-14 13:00:00,MFT/USDT,0.00822,0.00827,0.00796,0.00803,1465156.9081,11899.64615221
1663156800,2022-09-14 12:00:00,MFT/USDT,0.00881,0.00882,0.0079,0.00821,5300728.7856,43573.629932604
1663153200,2022-09-14 11:00:00,MFT/USDT,0.00866,0.00908,0.00844,0.00883,4149273.2811,36338.788884259
1663149600,2022-09-14 10:00:00,MFT/USDT,0.00932,0.00935,0.00837,0.00867,4729820.5351,41569.880902929
1663146000,2022-09-14 09:00:00,MFT/USDT,0.00885,0.01074,0.00884,0.00933,14793812.6526,142935.362755289
1663142400,2022-09-14 08:00:00,MFT/USDT,0.01,0.01074,0.00843,0.00885,13728545.3529,126259.815246171
1663138800,2022-09-14 07:00:00,MFT/USDT,0.00719,0.01,0.00711,0.01,12787273.2288,111138.682340756
1663135200,2022-09-14 06:00:00,MFT/USDT,0.00688,0.00733,0.00688,0.00718,2501317.7572,17811.168362454
1663131600,2022-09-14 05:00:00,MFT/USDT,0.0068,0.00715,0.00675,0.00691,2003181.3269,14003.965517278
1663128000,2022-09-14 04:00:00,MFT/USDT,0.00669,0.00694,0.0066,0.00682,1227575.2101,8405.809528327
1663124400,2022-09-14 03:00:00,MFT/USDT,0.00658,0.00689,0.00657,0.00668,390215.7404,2648.30509326
1663120800,2022-09-14 02:00:00,MFT/USDT,0.00676,0.00694,0.00653,0.00657,420117.8911,2786.795980075
1663117200,2022-09-14 01:00:00,MFT/USDT,0.0067,0.00735,0.00664,0.00677,3246657.3737,22609.181411425
1663113600,2022-09-14 00:00:00,MFT/USDT,0.00653,0.00678,0.0065,0.00666,654351.6112,4315.443819403
1663110000,2022-09-13 23:00:00,MFT/USDT,0.00642,0.00652,0.00636,0.00652,516180.7474,3305.884443061
1663106400,2022-09-13 22:00:00,MFT/USDT,0.00651,0.00659,0.00643,0.00643,293072.2236,1904.046184584
1663102800,2022-09-13 21:00:00,MFT/USDT,0.00669,0.0067,0.00646,0.0065,993210.3728,6525.905362428
1663099200,2022-09-13 20:00:00,MFT/USDT,0.00696,0.00722,0.00658,0.00666,3773323.435,25920.178585614
1663095600,2022-09-13 19:00:00,MFT/USDT,0.00676,0.00799,0.00676,0.00692,15887269.6085,115721.920317461
1663092000,2022-09-13 18:00:00,MFT/USDT,0.00625,0.00682,0.00624,0.00672,2109413.9732,13961.604035654
1663088400,2022-09-13 17:00:00,MFT/USDT,0.0062,0.00627,0.0062,0.00627,8707.1715,54.372568438
1663084800,2022-09-13 16:00:00,MFT/USDT,0.00625,0.00626,0.00617,0.00617,38702.4629,241.975951097
1663081200,2022-09-13 15:00:00,MFT/USDT,0.00611,0.00624,0.0061,0.00623,776375.2276,4754.970050622
1663077600,2022-09-13 14:00:00,MFT/USDT,0.00613,0.00616,0.00608,0.00612,80205.4471,490.911083592
1663074000,2022-09-13 13:00:00,MFT/USDT,0.00611,0.00614,0.00605,0.0061,118980.5492,724.452633161
1663070400,2022-09-13 12:00:00,MFT/USDT,0.00638,0.00638,0.00607,0.00611,101947.5354,635.558878868
1663066800,2022-09-13 11:00:00,MFT/USDT,0.00634,0.00637,0.00634,0.00634,23295.8982,147.727406451
1663063200,2022-09-13 10:00:00,MFT/USDT,0.00631,0.00633,0.00631,0.00633,2446.4072,15.463060239
1663059600,2022-09-13 09:00:00,MFT/USDT,0.00628,0.00632,0.00626,0.00626,58717.9245,369.584441808
1663056000,2022-09-13 08:00:00,MFT/USDT,0.00634,0.00635,0.00624,0.00625,144483.884,905.712872496
1663052400,2022-09-13 07:00:00,MFT/USDT,0.00635,0.00636,0.00628,0.00634,117467.734,746.209022943
1663048800,2022-09-13 06:00:00,MFT/USDT,0.00632,0.00637,0.00632,0.00635,132880.4739,844.625573825
1663045200,2022-09-13 05:00:00,MFT/USDT,0.00629,0.00633,0.00628,0.00633,21419.0644,135.346521367
1663041600,2022-09-13 04:00:00,MFT/USDT,0.00627,0.00628,0.00626,0.00626,1492.8696,9.373962806
1663038000,2022-09-13 03:00:00,MFT/USDT,0.00624,0.00626,0.00621,0.00626,38620.4885,240.932162279
1663034400,2022-09-13 02:00:00,MFT/USDT,0.00619,0.00625,0.00619,0.00625,34613.6023,215.977606332
1663030800,2022-09-13 01:00:00,MFT/USDT,0.00618,0.00623,0.00617,0.00623,6059.3308,37.565977252
1663027200,2022-09-13 00:00:00,MFT/USDT,0.0063,0.0063,0.00619,0.00621,45901.1991,284.751419738
1663023600,2022-09-12 23:00:00,MFT/USDT,0.0063,0.00632,0.00627,0.00627,161276.7032,1015.585618583
1663020000,2022-09-12 22:00:00,MFT/USDT,0.00636,0.00639,0.00631,0.00631,3427.7357,21.759062238
1663016400,2022-09-12 21:00:00,MFT/USDT,0.00635,0.00635,0.00632,0.00635,38836.9785,246.593903841
1663012800,2022-09-12 20:00:00,MFT/USDT,0.00633,0.00638,0.00633,0.00638,10337.9683,65.940011864
