https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume SGD
1663473600000,2022-09-18 04:00:00,BTC/SGD,28176.41,28374.18,27350.0,27532.82,5.6534622,155655.757129404
1663387200000,2022-09-17 04:00:00,BTC/SGD,28057.43,28495.28,27945.02,28176.41,4.95308199,139560.0689138559
1663300800000,2022-09-16 04:00:00,BTC/SGD,27903.06,28300.0,27338.4,28057.43,5.70626419,160103.1080724317
1663214400000,2022-09-15 04:00:00,BTC/SGD,28255.32,29200.0,27589.0,27903.06,28.98809325,808856.505240345
1663128000000,2022-09-14 04:00:00,BTC/SGD,28658.69,28658.69,27704.21,28255.32,8.36314038,236303.20764182162
1663041600000,2022-09-13 04:00:00,BTC/SGD,31064.53,31827.34,28093.0,28658.69,67.06148406,1921894.2826154812
1662955200000,2022-09-12 04:00:00,BTC/SGD,30291.09,31400.0,30291.09,31064.53,24.38072849,757375.8715994597
1662868800000,2022-09-11 04:00:00,BTC/SGD,30239.69,31300.0,30000.0,30291.09,31.52490296,954923.6728026264
1662782400000,2022-09-10 04:00:00,BTC/SGD,29913.83,30562.0,29738.38,30239.69,24.72386339,747641.9645159491
1662696000000,2022-09-09 04:00:00,BTC/SGD,27890.0,30256.0,27890.0,29913.83,57.3911879,1716790.238338657
1662609600000,2022-09-08 04:00:00,BTC/SGD,27103.19,27890.0,26863.84,27890.0,31.82169677,887507.1229153
1662523200000,2022-09-07 04:00:00,BTC/SGD,26508.42,27378.45,26508.42,27103.19,6.20674375,168222.5551375625
1662436800000,2022-09-06 04:00:00,BTC/SGD,27808.3,28184.85,26196.26,26508.42,46.2746984,1226669.1405605278
1662350400000,2022-09-05 04:00:00,BTC/SGD,28014.93,28318.78,27673.35,27808.3,13.94328899,387739.163220617
1662264000000,2022-09-04 04:00:00,BTC/SGD,27772.8,28172.49,27557.03,28014.93,9.41010009,263623.2953143437
1662177600000,2022-09-03 04:00:00,BTC/SGD,27987.76,28065.56,27643.84,27772.8,7.06281222,196154.071223616
1662091200000,2022-09-02 04:00:00,BTC/SGD,28345.58,28647.46,27799.03,27987.76,13.31567441,372675.89962522156
1662004800000,2022-09-01 04:00:00,BTC/SGD,28148.14,28419.18,27523.79,28345.58,15.96685045,452589.63677851105
1661918400000,2022-08-31 04:00:00,BTC/SGD,28543.61,28543.61,27873.58,28148.14,5.66535959,159469.3348896626
1661832000000,2022-08-30 04:00:00,BTC/SGD,28390.52,28793.63,27468.0,28543.61,26.53187952,757315.6215858673
1661745600000,2022-08-29 04:00:00,BTC/SGD,27847.88,28557.35,27718.21,28390.52,24.0731969,683450.578053388
1661659200000,2022-08-28 04:00:00,BTC/SGD,27964.5,28205.98,27387.2,27847.88,23.01834813,641012.1965224644
