https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOT3L,Volume USDT
1663459200,2022-09-18 00:00:00,DOT3L/USDT,0.001434,0.001434,0.001397,0.001409,1139266.2996,1599.7245280651
1663372800,2022-09-17 00:00:00,DOT3L/USDT,0.001339,0.001495,0.001339,0.001434,29412538.6146,41861.0490164206
1663286400,2022-09-16 00:00:00,DOT3L/USDT,0.001353,0.001449,0.001232,0.001345,33869900.2979,44671.1208322466
1663200000,2022-09-15 00:00:00,DOT3L/USDT,0.001545,0.001551,0.00133,0.001347,29814464.4604,42188.4318775061
1663113600,2022-09-14 00:00:00,DOT3L/USDT,0.00145,0.001684,0.001424,0.001531,42151785.7903,64051.3625708952
1663027200,2022-09-13 00:00:00,DOT3L/USDT,0.001865,0.002071,0.001408,0.001445,64180515.718,109523.7362904593
1662940800,2022-09-12 00:00:00,DOT3L/USDT,0.001892,0.002162,0.001813,0.001859,53394135.3039,103704.3986337835
1662854400,2022-09-11 00:00:00,DOT3L/USDT,0.001971,0.002038,0.0018,0.001909,23931665.9102,46181.3642396571
1662768000,2022-09-10 00:00:00,DOT3L/USDT,0.001947,0.00202,0.001836,0.001963,29741757.0527,56766.4433841072
1662681600,2022-09-09 00:00:00,DOT3L/USDT,0.001698,0.002068,0.001677,0.001948,65771386.501,122227.9042254696
1662595200,2022-09-08 00:00:00,DOT3L/USDT,0.001563,0.001741,0.001475,0.001698,58421075.6308,93477.78953925
1662508800,2022-09-07 00:00:00,DOT3L/USDT,0.001387,0.001628,0.001326,0.001563,79226227.0267,118445.7618876825
1662422400,2022-09-06 00:00:00,DOT3L/USDT,0.001722,0.001929,0.001355,0.001379,76784583.8866,130573.8030879254
1662336000,2022-09-05 00:00:00,DOT3L/USDT,0.001715,0.001888,0.001638,0.001722,66777046.54810981,116581.39482515380135
1662249600,2022-09-04 00:00:00,DOT3L/USDT,0.001647,0.001727,0.001569,0.001714,32359898.0724,53143.3357547109
1662163200,2022-09-03 00:00:00,DOT3L/USDT,0.001645,0.001665,0.001579,0.001637,16612696.8511,27164.4887165572
1662076800,2022-09-02 00:00:00,DOT3L/USDT,0.001585,0.001833,0.001542,0.001655,40534687.43507129,68229.44342684024237
1661990400,2022-09-01 00:00:00,DOT3L/USDT,0.001488,0.001592,0.001369,0.001592,34019953.0483,50184.1171848784
1661904000,2022-08-31 00:00:00,DOT3L/USDT,0.001469,0.001649,0.001454,0.001484,21582694.91985389,33274.51022716458755
1661817600,2022-08-30 00:00:00,DOT3L/USDT,0.001646,0.00171,0.00139,0.001469,52019047.84809416,80589.67406712263363
1661731200,2022-08-29 00:00:00,DOT3L/USDT,0.001388,0.00168,0.001355,0.00165,27580117.7269676,41879.13257954801363
1661644800,2022-08-28 00:00:00,DOT3L/USDT,0.001504,0.00157,0.001367,0.001381,25083532.43302914,37264.40934505750178
1661558400,2022-08-27 00:00:00,DOT3L/USDT,0.001423,0.001637,0.001358,0.001505,28172459.31138424,41646.11608592375804
1661472000,2022-08-26 00:00:00,DOT3L/USDT,0.001922,0.00198,0.001376,0.001432,64406807.14838524,110060.78814478168065
1661385600,2022-08-25 00:00:00,DOT3L/USDT,0.001907,0.00205,0.001836,0.001929,44181571.57363246,86378.62308119201124
1661299200,2022-08-24 00:00:00,DOT3L/USDT,0.001955,0.00205,0.001797,0.001907,115830385.78985285,223147.54918648393597
1661212800,2022-08-23 00:00:00,DOT3L/USDT,0.001793,0.002023,0.00165,0.001955,98873620.98347781,188363.79318702077737
1661126400,2022-08-22 00:00:00,DOT3L/USDT,0.001811,0.001811,0.001505,0.001786,27637260.51568032,45935.23187960824309
1661040000,2022-08-21 00:00:00,DOT3L/USDT,0.001661,0.00187,0.001612,0.001811,24050320.72815042,42687.175574486123
1660953600,2022-08-20 00:00:00,DOT3L/USDT,0.001724,0.001897,0.001517,0.001661,38519708.95421936,66846.7874022300001
1660867200,2022-08-19 00:00:00,DOT3L/USDT,0.002411,0.002412,0.001666,0.001726,91848267.94399642,180124.50599878942527
1660780800,2022-08-18 00:00:00,DOT3L/USDT,0.002674,0.002883,0.00239,0.002412,38123632.85238126,102193.06026271098252
1660694400,2022-08-17 00:00:00,DOT3L/USDT,0.003156,0.003527,0.002622,0.002669,70308091.70278992,210947.96472811938231
1660608000,2022-08-16 00:00:00,DOT3L/USDT,0.003086,0.003266,0.002945,0.003157,42184458.43874296,131317.84134429434748
1660521600,2022-08-15 00:00:00,DOT3L/USDT,0.003277,0.003722,0.002928,0.00309,50272637.35775841,160879.50506533976495
1660435200,2022-08-14 00:00:00,DOT3L/USDT,0.003661,0.003982,0.003136,0.003255,36555776.142898,129935.33531677231603
1660348800,2022-08-13 00:00:00,DOT3L/USDT,0.003883,0.004026,0.003637,0.003678,14747955.75079499,57111.43460419610839
1660262400,2022-08-12 00:00:00,DOT3L/USDT,0.003577,0.003899,0.003392,0.003883,18600729.25708612,67867.25168820909469
1660176000,2022-08-11 00:00:00,DOT3L/USDT,0.003973,0.004057,0.003508,0.003577,30971415.31871925,117518.53573424425871
1660089600,2022-08-10 00:00:00,DOT3L/USDT,0.003266,0.004097,0.002885,0.00397,63834577.9420255,214322.55177556565461
1660003200,2022-08-09 00:00:00,DOT3L/USDT,0.003589,0.003818,0.003001,0.003289,53520915.91009109,177166.54310356323465
1659916800,2022-08-08 00:00:00,DOT3L/USDT,0.003046,0.0038,0.003042,0.003567,67156075.39744545,238104.18726200287979
1659830400,2022-08-07 00:00:00,DOT3L/USDT,0.00294,0.003332,0.002761,0.003063,54679897.2098511,166160.7868041346773
1659744000,2022-08-06 00:00:00,DOT3L/USDT,0.003256,0.003319,0.002915,0.002921,54766036.46792644,170137.40219767586826
1659657600,2022-08-05 00:00:00,DOT3L/USDT,0.002564,0.003258,0.002546,0.003242,113404099.97698675,329096.1749798374752
1659571200,2022-08-04 00:00:00,DOT3L/USDT,0.002488,0.002738,0.002402,0.002573,90611227.87055495,233094.44190495687681
1659484800,2022-08-03 00:00:00,DOT3L/USDT,0.002442,0.002913,0.00223,0.002496,128224348.53222175,335589.78470186833215
1659398400,2022-08-02 00:00:00,DOT3L/USDT,0.002658,0.002752,0.002193,0.002439,223593120.72098336,534767.77268911640882
1659312000,2022-08-01 00:00:00,DOT3L/USDT,0.003181,0.003564,0.002524,0.002662,114729002.2867421,334545.03065923338477
1659225600,2022-07-31 00:00:00,DOT3L/USDT,0.002761,0.00368,0.002663,0.003182,96167541.1820808,311900.50293747352323
1659139200,2022-07-30 00:00:00,DOT3L/USDT,0.002751,0.003429,0.002733,0.002766,106302964.50029861,326098.1155973872759
1659052800,2022-07-29 00:00:00,DOT3L/USDT,0.002478,0.003011,0.002384,0.002748,105274434.39645836,282500.52435620896597
1658966400,2022-07-28 00:00:00,DOT3L/USDT,0.002329,0.002678,0.002125,0.002481,67902060.49951897,163818.00405735282511
1658880000,2022-07-27 00:00:00,DOT3L/USDT,0.001665,0.002373,0.00157,0.002329,111601407.60540205,200329.6079374208281
1658793600,2022-07-26 00:00:00,DOT3L/USDT,0.001635,0.001664,0.00146,0.001664,90626866.93166695,142434.4221889568939
1658707200,2022-07-25 00:00:00,DOT3L/USDT,0.002216,0.002259,0.001633,0.001634,123552951.3671685,238268.10333438419723
1658620800,2022-07-24 00:00:00,DOT3L/USDT,0.00218,0.00248,0.002143,0.002217,109755107.03656848,248780.58662901097889
1658534400,2022-07-23 00:00:00,DOT3L/USDT,0.002133,0.002342,0.001951,0.002175,69936797.56402792,151302.47377820601967
1658448000,2022-07-22 00:00:00,DOT3L/USDT,0.002364,0.002676,0.002047,0.002124,133498753.80431776,317660.98762533393186
1658361600,2022-07-21 00:00:00,DOT3L/USDT,0.00232,0.002539,0.002047,0.002375,108749025.13370095,245901.84960829285103
1658275200,2022-07-20 00:00:00,DOT3L/USDT,0.002649,0.002981,0.002216,0.002302,124363109.87204605,325146.65756478598466
1658188800,2022-07-19 00:00:00,DOT3L/USDT,0.002516,0.002886,0.002371,0.002649,103573136.53789528,274020.54042044496745
1658102400,2022-07-18 00:00:00,DOT3L/USDT,0.001911,0.002595,0.001894,0.002499,161833666.36219472,375999.25026517447504
