https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EUR,Volume IOT
1652486400000,2022-05-14 00:00:00,IOT/EUR,0.30504,0.31668,0.30504,0.31668,2628.8152515516526,8301.17232396
1652400000000,2022-05-13 00:00:00,IOT/EUR,0.28408,0.34584,0.28408,0.30355,42103.83054074284,138704.76211742
1652313600000,2022-05-12 00:00:00,IOT/EUR,0.29238,0.29887,0.22577,0.28668,57055.73685440039,199022.38333473
1652227200000,2022-05-11 00:00:00,IOT/EUR,0.37227,0.3782,0.26,0.28196,67598.64337025964,239745.50776798
1652140800000,2022-05-10 00:00:00,IOT/EUR,0.36802,0.41636,0.35653,0.37252,48531.228862283315,130278.18335199
1652054400000,2022-05-09 00:00:00,IOT/EUR,0.44306,0.45102,0.3662,0.36769,99761.90949948832,271320.70358043
1651968000000,2022-05-08 00:00:00,IOT/EUR,0.45206,0.45746,0.43645,0.4412,8109.029310575247,18379.48619804
1651881600000,2022-05-07 00:00:00,IOT/EUR,0.4655,0.47307,0.44123,0.45341,13740.919903335653,30305.727494619998
1651795200000,2022-05-06 00:00:00,IOT/EUR,0.47178,0.47969,0.45072,0.46908,16833.68280257766,35886.59248439
1651708800000,2022-05-05 00:00:00,IOT/EUR,0.52375534,0.52723,0.46248,0.47304,37272.87072549042,78794.33182287
1651622400000,2022-05-04 00:00:00,IOT/EUR,0.47747,0.52466014,0.47737,0.51957,32416.151822117357,62390.34552056
1651536000000,2022-05-03 00:00:00,IOT/EUR,0.5072,0.5211,0.46,0.47702,24585.67946794488,51540.14395192
1651449600000,2022-05-02 00:00:00,IOT/EUR,0.5175,0.52529,0.48738,0.51078,41237.35809935626,80734.08923481
1651363200000,2022-05-01 00:00:00,IOT/EUR,0.50392,0.52129,0.49065,0.51825,23456.562763143756,45261.09553911
1651276800000,2022-04-30 00:00:00,IOT/EUR,0.54377,0.55361,0.48726,0.49894,64391.55690092227,129056.7140356
1651190400000,2022-04-29 00:00:00,IOT/EUR,0.58693,0.58693,0.53477,0.54303,36276.064415223154,66803.05768599
1651104000000,2022-04-28 00:00:00,IOT/EUR,0.58324,0.5971,0.5772,0.5837,9847.739785470547,16871.23485604
1651017600000,2022-04-27 00:00:00,IOT/EUR,0.56397,0.58596,0.5551,0.58434,31781.07726247998,54387.98860677
1650931200000,2022-04-26 00:00:00,IOT/EUR,0.60885,0.60983,0.55766,0.56288,11688.316383330635,20765.20107897
1650844800000,2022-04-25 00:00:00,IOT/EUR,0.60886,0.60887,0.56747,0.60749,26372.449996366307,43412.15492661
