https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume KLV,Volume BTC
1663459200,2022-09-18 00:00:00,KLV/BTC,0.0000002391,0.0000002392,0.000000239,0.0000002392,31715.6659,0.00758350414779
1663372800,2022-09-17 00:00:00,KLV/BTC,0.0000002392,0.0000002397,0.0000002344,0.000000237,3755236.0525,0.89012210434498
1663286400,2022-09-16 00:00:00,KLV/BTC,0.0000002487,0.0000002492,0.000000238,0.0000002405,6298498.0522,1.52928688230985
1663200000,2022-09-15 00:00:00,KLV/BTC,0.0000002387,0.0000002532,0.000000237,0.0000002497,10536789.4861,2.5910037840338
1663113600,2022-09-14 00:00:00,KLV/BTC,0.0000002268,0.0000002441,0.0000002251,0.0000002397,11637742.461,2.74458814848885
1663027200,2022-09-13 00:00:00,KLV/BTC,0.0000002274,0.0000002304,0.0000002153,0.0000002258,9714866.0195,2.19718188322098
1662940800,2022-09-12 00:00:00,KLV/BTC,0.0000002376,0.0000002469,0.0000002271,0.0000002284,4629979.3769,1.0891142452958
1662854400,2022-09-11 00:00:00,KLV/BTC,0.0000002666,0.0000002679,0.0000002324,0.0000002377,6178014.105,1.54262478646171
1662768000,2022-09-10 00:00:00,KLV/BTC,0.0000002707,0.0000002739,0.0000002639,0.0000002669,6893589.9776,1.85637613000599
1662681600,2022-09-09 00:00:00,KLV/BTC,0.0000002925,0.0000002925,0.0000002682,0.0000002708,4144475.1702,1.15265666592387
1662595200,2022-09-08 00:00:00,KLV/BTC,0.0000002842,0.000000303,0.00000028,0.0000002942,10116120.4157,2.9985050361269
1662508800,2022-09-07 00:00:00,KLV/BTC,0.0000002942,0.0000002973,0.0000002493,0.0000002847,15484619.4114,4.28611610876539
1662422400,2022-09-06 00:00:00,KLV/BTC,0.0000002982,0.0000003006,0.000000294,0.0000002942,6532735.8049,1.94323322946462
1662336000,2022-09-05 00:00:00,KLV/BTC,0.0000003302,0.0000003321,0.0000002981,0.0000002985,9046805.0344,2.85097272236293
