https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ENJ,Volume EUR
1663545600,2022-09-19 00:00:00,ENJ/EUR,0.46799,0.46799,0.46799,0.46799,118.89558656,55.6419455542144
1663459200,2022-09-18 00:00:00,ENJ/EUR,0.51000,0.51708,0.46671,0.46671,107039.01628272,49956.17928930825
1663372800,2022-09-17 00:00:00,ENJ/EUR,0.49956,0.51202,0.49740,0.50711,7325.95075968,3715.0628897413244
1663286400,2022-09-16 00:00:00,ENJ/EUR,0.49161,0.49931,0.49161,0.49596,17726.09801543,8791.435571732663
1663200000,2022-09-15 00:00:00,ENJ/EUR,0.49655,0.50029,0.49237,0.49423,18638.88352250,9211.895403325176
1663113600,2022-09-14 00:00:00,ENJ/EUR,0.49887,0.50608,0.49887,0.50154,4720.15605705,2367.347068852857
1663027200,2022-09-13 00:00:00,ENJ/EUR,0.53100,0.53860,0.49215,0.49219,34182.90416824,16824.483602566044
1662940800,2022-09-12 00:00:00,ENJ/EUR,0.54749,0.55297,0.53152,0.53638,102251.31337881,54845.5594701261
1662854400,2022-09-11 00:00:00,ENJ/EUR,0.54733,0.55332,0.53119,0.53400,105891.95416612,56546.303524708084
1662768000,2022-09-10 00:00:00,ENJ/EUR,0.53549,0.54649,0.53478,0.54332,143038.36691830,77715.60551405075
1662681600,2022-09-09 00:00:00,ENJ/EUR,0.53084,0.55026,0.52975,0.54382,66964.33264915,36416.54338126075
1662595200,2022-09-08 00:00:00,ENJ/EUR,0.52742,0.52742,0.51188,0.51931,4200.92192143,2181.5807630178138
1662508800,2022-09-07 00:00:00,ENJ/EUR,0.48000,0.52445,0.48000,0.52445,9329.17989622,4892.688396572578
1662422400,2022-09-06 00:00:00,ENJ/EUR,0.54819,0.54828,0.48920,0.49164,67448.16698754,33160.21681775417
1662336000,2022-09-05 00:00:00,ENJ/EUR,0.54011,0.54011,0.52369,0.53271,12254.65597502,6528.177784452904
1662249600,2022-09-04 00:00:00,ENJ/EUR,0.52811,0.53641,0.52249,0.53641,52008.41024074,27897.831337235344
1662163200,2022-09-03 00:00:00,ENJ/EUR,0.51108,0.52278,0.50594,0.52277,9882.07030484,5166.049893261206
1662076800,2022-09-02 00:00:00,ENJ/EUR,0.51841,0.52746,0.50517,0.51066,14023.69221044,7161.33866418329
1661990400,2022-09-01 00:00:00,ENJ/EUR,0.51939,0.51939,0.49845,0.50973,59360.09173158,30257.619558338276
1661904000,2022-08-31 00:00:00,ENJ/EUR,0.52541,0.52866,0.51252,0.51273,9877.43135991,5064.455381166655
1661817600,2022-08-30 00:00:00,ENJ/EUR,0.52553,0.53385,0.50313,0.51385,5766.82735981,2963.2842388383688
1661731200,2022-08-29 00:00:00,ENJ/EUR,0.48836,0.51987,0.48836,0.51945,54354.40616230,28234.396281006735
1661644800,2022-08-28 00:00:00,ENJ/EUR,0.51322,0.51658,0.50000,0.50000,1104.72812187,552.364060935
1661558400,2022-08-27 00:00:00,ENJ/EUR,0.51124,0.51720,0.50262,0.50836,16960.06963315,8621.820998708135
1661472000,2022-08-26 00:00:00,ENJ/EUR,0.57202,0.57599,0.50647,0.50652,33197.78457415,16815.341842498456
1661385600,2022-08-25 00:00:00,ENJ/EUR,0.57168,0.57724,0.56294,0.56804,6192.39571543,3517.5284621928568
1661299200,2022-08-24 00:00:00,ENJ/EUR,0.56313,0.57631,0.56287,0.56287,7649.66167202,4305.765065329897
1661212800,2022-08-23 00:00:00,ENJ/EUR,0.55884,0.57029,0.55702,0.56795,17649.51750486,10024.043466885236
1661126400,2022-08-22 00:00:00,ENJ/EUR,0.56278,0.56279,0.53452,0.54731,32247.70068398,17649.489061349093
1661040000,2022-08-21 00:00:00,ENJ/EUR,0.55617,0.57277,0.55617,0.57205,4476.05960657,2560.5298979383683
1660953600,2022-08-20 00:00:00,ENJ/EUR,0.56909,0.57143,0.54000,0.54621,1848.63227840,1009.7414367848639
1660867200,2022-08-19 00:00:00,ENJ/EUR,0.60000,0.60000,0.55113,0.55113,29911.15730604,16484.936126077824
1660780800,2022-08-18 00:00:00,ENJ/EUR,0.62564,0.64446,0.61475,0.61475,18207.79050156,11193.23921083401
1660694400,2022-08-17 00:00:00,ENJ/EUR,0.67182,0.67408,0.62886,0.62886,29480.87700137,18539.34431108154
1660608000,2022-08-16 00:00:00,ENJ/EUR,0.66566,0.67929,0.65535,0.66267,15288.65961233,10131.336065302721
1660521600,2022-08-15 00:00:00,ENJ/EUR,0.69588,0.69588,0.66073,0.67492,19281.40278554,13013.404368016658
1660435200,2022-08-14 00:00:00,ENJ/EUR,0.68676,0.72931,0.67233,0.68193,18571.33531015,12664.35068805059
1660348800,2022-08-13 00:00:00,ENJ/EUR,0.68534,0.69758,0.67953,0.68659,23065.55754261,15836.581153180601
1660262400,2022-08-12 00:00:00,ENJ/EUR,0.66801,0.68666,0.65999,0.68666,7930.85668556,5445.80205170663
1660176000,2022-08-11 00:00:00,ENJ/EUR,0.68546,0.68976,0.66745,0.67126,9328.36252548,6261.7566288537055
1660089600,2022-08-10 00:00:00,ENJ/EUR,0.65304,0.67997,0.64500,0.67997,40208.72441186,27340.726338332443
1660003200,2022-08-09 00:00:00,ENJ/EUR,0.68439,0.68903,0.64583,0.65443,24700.98587301,16165.066184873933
1659916800,2022-08-08 00:00:00,ENJ/EUR,0.67257,0.71798,0.67257,0.68000,13740.97634878,9343.8639171704
1659830400,2022-08-07 00:00:00,ENJ/EUR,0.66603,0.67930,0.66263,0.67103,9138.80460922,6132.412056924897
1659744000,2022-08-06 00:00:00,ENJ/EUR,0.68780,0.68780,0.67244,0.67476,10627.58113763,7171.06664842722
1659657600,2022-08-05 00:00:00,ENJ/EUR,0.66053,0.69260,0.65968,0.69211,23716.92082862,16414.71807469619
1659571200,2022-08-04 00:00:00,ENJ/EUR,0.62105,0.70801,0.62105,0.66478,61382.62044988,40805.93842267123
1659484800,2022-08-03 00:00:00,ENJ/EUR,0.59708,0.64366,0.58479,0.63414,29294.71550295,18576.950889040712
1659398400,2022-08-02 00:00:00,ENJ/EUR,0.63022,0.63022,0.58560,0.60429,74805.34887183,45204.124269758155
1659312000,2022-08-01 00:00:00,ENJ/EUR,0.61305,0.69731,0.60353,0.62891,38625.08907369,24291.704769334374
1659225600,2022-07-31 00:00:00,ENJ/EUR,0.60981,0.63384,0.59790,0.60444,26704.41062423,16141.21395770958
1659139200,2022-07-30 00:00:00,ENJ/EUR,0.59632,0.69169,0.59632,0.61800,76386.38611884,47206.78662144312
1659052800,2022-07-29 00:00:00,ENJ/EUR,0.61208,0.61772,0.58145,0.59733,4056.23240332,2422.9093014751356
1658966400,2022-07-28 00:00:00,ENJ/EUR,0.57542,0.61634,0.57129,0.60646,13412.62214176,8134.21882409177
1658880000,2022-07-27 00:00:00,ENJ/EUR,0.52906,0.58241,0.52906,0.58241,24276.75254166,14139.0234477882
1658793600,2022-07-26 00:00:00,ENJ/EUR,0.51630,0.53423,0.51020,0.53178,10168.36385990,5407.3325334176225
1658707200,2022-07-25 00:00:00,ENJ/EUR,0.54368,0.55193,0.52296,0.52296,37212.65575657,19460.730454455846
1658620800,2022-07-24 00:00:00,ENJ/EUR,0.58828,0.59095,0.57460,0.58092,9392.84922487,5456.49397171148
1658534400,2022-07-23 00:00:00,ENJ/EUR,0.59292,0.60016,0.56480,0.58262,3159.07772140,1840.541862042068
1658448000,2022-07-22 00:00:00,ENJ/EUR,0.60000,0.62799,0.57263,0.58080,31485.27276764,18286.646423445312
1658361600,2022-07-21 00:00:00,ENJ/EUR,0.60138,0.60726,0.56239,0.59901,13154.36400380,7879.595581916238
1658275200,2022-07-20 00:00:00,ENJ/EUR,0.61028,0.64967,0.59613,0.59775,45157.61083109,26992.96187428405
1658188800,2022-07-19 00:00:00,ENJ/EUR,0.56300,0.62023,0.54131,0.61299,32710.51098495,20051.216128664502
1658102400,2022-07-18 00:00:00,ENJ/EUR,0.49628,0.56571,0.49628,0.56571,31867.72105522,18027.888478148507
1658016000,2022-07-17 00:00:00,ENJ/EUR,0.50929,0.52237,0.49546,0.49546,33067.40829842,16383.578115535174
1657929600,2022-07-16 00:00:00,ENJ/EUR,0.49125,0.51271,0.48556,0.50801,18109.40662007,9199.75965706176
1657843200,2022-07-15 00:00:00,ENJ/EUR,0.50347,0.51175,0.49560,0.50153,11225.10010210,5629.724454206213
1657756800,2022-07-14 00:00:00,ENJ/EUR,0.47876,0.49859,0.46878,0.49859,8638.41518786,4307.027428515117
1657670400,2022-07-13 00:00:00,ENJ/EUR,0.47446,0.47917,0.45000,0.47539,10764.49034627,5117.331065713295
1657584000,2022-07-12 00:00:00,ENJ/EUR,0.48527,0.48527,0.47014,0.47014,7721.38810446,3630.1334034308247
1657497600,2022-07-11 00:00:00,ENJ/EUR,0.51105,0.51143,0.47323,0.47610,19934.42072339,9490.777706405981
1657411200,2022-07-10 00:00:00,ENJ/EUR,0.54676,0.54676,0.51500,0.51976,3876.11950121,2014.6518719489097
1657324800,2022-07-09 00:00:00,ENJ/EUR,0.53661,0.55564,0.53661,0.55213,4272.50792013,2358.9797979413765
1657238400,2022-07-08 00:00:00,ENJ/EUR,0.54434,0.54434,0.52032,0.53401,11383.44525295,6078.873599527829
1657152000,2022-07-07 00:00:00,ENJ/EUR,0.52801,0.55720,0.52801,0.54444,14097.23209489,7675.097041741912
1657065600,2022-07-06 00:00:00,ENJ/EUR,0.51383,0.53223,0.51383,0.52720,13594.97700159,7167.271875238248
1656979200,2022-07-05 00:00:00,ENJ/EUR,0.51939,0.54688,0.50572,0.52834,28172.02036109,14884.40523757829
1656892800,2022-07-04 00:00:00,ENJ/EUR,0.45100,0.49893,0.45100,0.49838,9856.67766252,4912.371013446717
1656806400,2022-07-03 00:00:00,ENJ/EUR,0.45047,0.46407,0.44603,0.45662,5979.45795564,2730.3400917043373
1656720000,2022-07-02 00:00:00,ENJ/EUR,0.44994,0.46552,0.44074,0.45892,4323.08815481,1983.951616005405
1656633600,2022-07-01 00:00:00,ENJ/EUR,0.49141,0.49141,0.45647,0.45647,9109.48003695,4158.204352466567
1656547200,2022-06-30 00:00:00,ENJ/EUR,0.48659,0.48659,0.44609,0.48569,22205.09118019,10784.790735306482
1656460800,2022-06-29 00:00:00,ENJ/EUR,0.50128,0.51210,0.48702,0.49503,5992.46456188,2966.4497320674564
1656374400,2022-06-28 00:00:00,ENJ/EUR,0.56008,0.56008,0.49609,0.50440,72071.12158648,36352.673728220514
1656288000,2022-06-27 00:00:00,ENJ/EUR,0.52093,0.57720,0.52011,0.54961,133267.37517956,73245.08207243799
1656201600,2022-06-26 00:00:00,ENJ/EUR,0.57086,0.57086,0.52517,0.53004,59954.39507591,31778.227566035333
1656115200,2022-06-25 00:00:00,ENJ/EUR,0.51363,0.58708,0.51138,0.55280,49586.09176095,27411.19152545316
1656028800,2022-06-24 00:00:00,ENJ/EUR,0.49637,0.52019,0.49389,0.52019,5344.08979570,2779.9420708251832
1655942400,2022-06-23 00:00:00,ENJ/EUR,0.44623,0.50883,0.44623,0.49595,33589.73623103,16658.829683779328
1655856000,2022-06-22 00:00:00,ENJ/EUR,0.43706,0.45081,0.42896,0.44311,20822.09893484,9226.480259016953
1655769600,2022-06-21 00:00:00,ENJ/EUR,0.44277,0.47014,0.44277,0.44459,27524.42318165,12237.083302329773
1655683200,2022-06-20 00:00:00,ENJ/EUR,0.42111,0.44003,0.41268,0.43254,4191.02001246,1812.7837961894481
1655596800,2022-06-19 00:00:00,ENJ/EUR,0.39542,0.42268,0.38613,0.41867,4644.37754977,1944.4615487622057
1655510400,2022-06-18 00:00:00,ENJ/EUR,0.41111,0.41610,0.36543,0.37035,19529.11921855,7232.609302589993
1655424000,2022-06-17 00:00:00,ENJ/EUR,0.40986,0.42477,0.40986,0.41574,5762.34255202,2395.636292576795
1655337600,2022-06-16 00:00:00,ENJ/EUR,0.45754,0.46656,0.40338,0.40338,8545.80519986,3447.206901519527
1655251200,2022-06-15 00:00:00,ENJ/EUR,0.40500,0.45234,0.38649,0.45147,25992.44467390,11734.808996925633
1655164800,2022-06-14 00:00:00,ENJ/EUR,0.40000,0.46635,0.40000,0.43618,36705.28445206,16010.11097229953
1655078400,2022-06-13 00:00:00,ENJ/EUR,0.45829,0.45829,0.39313,0.43022,34970.72361176,15045.104712251386
1654992000,2022-06-12 00:00:00,ENJ/EUR,0.47001,0.51098,0.46800,0.46800,42762.41534136,20012.81037975648
1654905600,2022-06-11 00:00:00,ENJ/EUR,0.56535,0.56535,0.50000,0.52044,12748.51632630,6634.837836859572
1654819200,2022-06-10 00:00:00,ENJ/EUR,0.57963,0.58402,0.54741,0.55812,3586.48737048,2001.6903312122975
1654732800,2022-06-09 00:00:00,ENJ/EUR,0.58170,0.60382,0.57447,0.58947,9076.10466011,5350.091413995043
1654646400,2022-06-08 00:00:00,ENJ/EUR,0.58395,0.58730,0.57100,0.57940,8452.89875980,4897.609541428121
1654560000,2022-06-07 00:00:00,ENJ/EUR,0.58633,0.59989,0.57243,0.58982,27013.70804351,15933.225278223068
1654473600,2022-06-06 00:00:00,ENJ/EUR,0.59794,0.61983,0.59578,0.60436,6760.54094480,4085.800525399328
1654387200,2022-06-05 00:00:00,ENJ/EUR,0.57466,0.59888,0.57411,0.59093,7802.04830398,4610.4644042709015
1654300800,2022-06-04 00:00:00,ENJ/EUR,0.56890,0.57668,0.56890,0.57640,1449.31623421,835.385877398644
1654214400,2022-06-03 00:00:00,ENJ/EUR,0.59863,0.59863,0.56629,0.57476,10457.91182382,6010.789399858784
1654128000,2022-06-02 00:00:00,ENJ/EUR,0.59006,0.60219,0.59006,0.60145,17220.56111535,10357.306482827258
1654041600,2022-06-01 00:00:00,ENJ/EUR,0.63438,0.64281,0.58972,0.59727,10143.38160332,6058.337530214936
1653955200,2022-05-31 00:00:00,ENJ/EUR,0.63000,0.66735,0.62857,0.64069,25361.27732230,16248.716767624386
1653868800,2022-05-30 00:00:00,ENJ/EUR,0.58498,0.62602,0.58335,0.62400,23773.32583595,14834.555321632799
1653782400,2022-05-29 00:00:00,ENJ/EUR,0.54837,0.56587,0.54837,0.56587,6029.29367218,3411.7964102764963
1653696000,2022-05-28 00:00:00,ENJ/EUR,0.56088,0.56411,0.54594,0.56067,11797.27155725,6614.376244003358
1653609600,2022-05-27 00:00:00,ENJ/EUR,0.58658,0.59206,0.54446,0.55664,21561.07911408,12001.759078061492
1653523200,2022-05-26 00:00:00,ENJ/EUR,0.65100,0.66020,0.56700,0.59648,13471.42112083,8035.433270152679
1653436800,2022-05-25 00:00:00,ENJ/EUR,0.62739,0.63587,0.61473,0.63324,13911.71876786,8809.456792559668
1653350400,2022-05-24 00:00:00,ENJ/EUR,0.64133,0.64685,0.60000,0.63281,17175.19282999,10868.633774745971
1653264000,2022-05-23 00:00:00,ENJ/EUR,0.68330,0.69681,0.62786,0.63260,34104.11636356,21574.26401158806
