https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SLP,Volume EUR
1663545600,2022-09-19 00:00:00,SLP/EUR,0.00345,0.00345,0.00345,0.00345,0,0.0
1663542000,2022-09-18 23:00:00,SLP/EUR,0.00345,0.00345,0.00345,0.00345,0,0.0
1663538400,2022-09-18 22:00:00,SLP/EUR,0.00345,0.00345,0.00345,0.00345,0,0.0
1663534800,2022-09-18 21:00:00,SLP/EUR,0.00357,0.00357,0.00345,0.00345,29412,101.4714
1663531200,2022-09-18 20:00:00,SLP/EUR,0.00353,0.00355,0.00353,0.00355,199574,708.4877
1663527600,2022-09-18 19:00:00,SLP/EUR,0.00351,0.00351,0.00349,0.00349,207414,723.87486
1663524000,2022-09-18 18:00:00,SLP/EUR,0.00353,0.00353,0.00352,0.00352,92682,326.24064
1663520400,2022-09-18 17:00:00,SLP/EUR,0.00355,0.00355,0.00355,0.00355,7000,24.85
1663516800,2022-09-18 16:00:00,SLP/EUR,0.00356,0.00356,0.00356,0.00356,13342,47.497519999999994
1663513200,2022-09-18 15:00:00,SLP/EUR,0.00355,0.00355,0.00355,0.00355,15000,53.25
1663509600,2022-09-18 14:00:00,SLP/EUR,0.00359,0.00359,0.00355,0.00355,16553,58.76315
1663506000,2022-09-18 13:00:00,SLP/EUR,0.00357,0.00357,0.00357,0.00357,0,0.0
1663502400,2022-09-18 12:00:00,SLP/EUR,0.00357,0.00357,0.00357,0.00357,20000,71.39999999999999
1663498800,2022-09-18 11:00:00,SLP/EUR,0.00358,0.00358,0.00358,0.00358,0,0.0
1663495200,2022-09-18 10:00:00,SLP/EUR,0.00361,0.00361,0.00357,0.00358,61165,218.9707
1663491600,2022-09-18 09:00:00,SLP/EUR,0.00367,0.00372,0.00364,0.00364,165272,601.5900800000001
1663488000,2022-09-18 08:00:00,SLP/EUR,0.00365,0.00365,0.00365,0.00365,15364,56.0786
1663484400,2022-09-18 07:00:00,SLP/EUR,0.00365,0.00365,0.00365,0.00365,34102,124.4723
1663480800,2022-09-18 06:00:00,SLP/EUR,0.00365,0.00365,0.00365,0.00365,0,0.0
1663477200,2022-09-18 05:00:00,SLP/EUR,0.00365,0.00365,0.00365,0.00365,0,0.0
1663473600,2022-09-18 04:00:00,SLP/EUR,0.00365,0.00365,0.00365,0.00365,0,0.0
