https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume VSYS,Volume USDT
1663459200,2022-09-18 00:00:00,VSYS/USDT,0.001485,0.001485,0.001468,0.001481,891.2376,1.321181553
1663372800,2022-09-17 00:00:00,VSYS/USDT,0.001468,0.00165,0.00142,0.001493,3114939.1119,4679.8869759031
1663286400,2022-09-16 00:00:00,VSYS/USDT,0.001442,0.001499,0.001378,0.001455,2163131.4873,3098.7907491574
1663200000,2022-09-15 00:00:00,VSYS/USDT,0.001539,0.001539,0.001422,0.001455,1831132.2678,2688.5926498697
1663113600,2022-09-14 00:00:00,VSYS/USDT,0.001544,0.001585,0.001501,0.00153,918121.6196,1413.9977602374
1663027200,2022-09-13 00:00:00,VSYS/USDT,0.001647,0.00175,0.001523,0.001531,5999543.9355,9928.1186107209
1662940800,2022-09-12 00:00:00,VSYS/USDT,0.001612,0.00175,0.001575,0.001651,3040687.6979,4987.5695860309
1662854400,2022-09-11 00:00:00,VSYS/USDT,0.001624,0.001663,0.001481,0.001636,3174247.1524,5044.4679874126
1662768000,2022-09-10 00:00:00,VSYS/USDT,0.001624,0.00174,0.00156,0.001601,2353008.3314,3831.8076877735
1662681600,2022-09-09 00:00:00,VSYS/USDT,0.00151,0.001755,0.00151,0.001624,5104303.6464,8177.4264490778
1662595200,2022-09-08 00:00:00,VSYS/USDT,0.00154,0.00156,0.001461,0.00152,3244274.1549,4891.0868639306
1662508800,2022-09-07 00:00:00,VSYS/USDT,0.00148,0.001563,0.001456,0.001547,2388070.1466,3614.0108515831
1662422400,2022-09-06 00:00:00,VSYS/USDT,0.001481,0.001517,0.001433,0.001469,778199.2357,1156.5115811278
1662336000,2022-09-05 00:00:00,VSYS/USDT,0.00152,0.001548,0.001458,0.001468,1720055.6571,2588.6678429059
1662249600,2022-09-04 00:00:00,VSYS/USDT,0.001482,0.001845,0.001417,0.00152,16487756.5088,26202.6346764763
1662163200,2022-09-03 00:00:00,VSYS/USDT,0.00154,0.00154,0.00145,0.001499,1406089.2551,2084.3013732968
1662076800,2022-09-02 00:00:00,VSYS/USDT,0.001535,0.001598,0.001485,0.001528,2947244.4475,4529.0393064152
1661990400,2022-09-01 00:00:00,VSYS/USDT,0.001569,0.001715,0.0015,0.001534,4900664.961,7612.8927330626
1661904000,2022-08-31 00:00:00,VSYS/USDT,0.00148,0.001884,0.001473,0.00156,17165739.7896,27378.6697651801
1661817600,2022-08-30 00:00:00,VSYS/USDT,0.001529,0.001549,0.00147,0.001486,1990097.0219,3026.742604889
1661731200,2022-08-29 00:00:00,VSYS/USDT,0.00149,0.001557,0.00144,0.001529,1950933.2334,2905.1586731493
1661644800,2022-08-28 00:00:00,VSYS/USDT,0.001462,0.00156,0.00146,0.001503,1963450.7289,2936.0168423983
1661558400,2022-08-27 00:00:00,VSYS/USDT,0.001485,0.001489,0.001427,0.001454,4414791.5414,6470.5735526501
1661472000,2022-08-26 00:00:00,VSYS/USDT,0.00161,0.00161,0.001476,0.001486,2179629.0161,3358.817124695
1661385600,2022-08-25 00:00:00,VSYS/USDT,0.001601,0.001629,0.00156,0.001597,3348197.1375,5339.4147528795
1661299200,2022-08-24 00:00:00,VSYS/USDT,0.001584,0.00165,0.00158,0.0016,9423414.0809,15252.8454591281
1661212800,2022-08-23 00:00:00,VSYS/USDT,0.001779,0.001822,0.001517,0.001585,33364642.838,53698.4484182211
1661126400,2022-08-22 00:00:00,VSYS/USDT,0.001501,0.0025,0.001476,0.001778,142900494.626,266146.538105648
1661040000,2022-08-21 00:00:00,VSYS/USDT,0.001469,0.00153,0.001424,0.001501,5162309.9957,7680.0918644748
1660953600,2022-08-20 00:00:00,VSYS/USDT,0.00148,0.001576,0.00143,0.001446,14255425.6544,21173.2167700131
1660867200,2022-08-19 00:00:00,VSYS/USDT,0.001683,0.001683,0.001479,0.001479,4522211.3761,7007.7212438976
1660780800,2022-08-18 00:00:00,VSYS/USDT,0.001692,0.00173,0.001626,0.0017,6778385.2747,11401.6087589639
1660694400,2022-08-17 00:00:00,VSYS/USDT,0.001761,0.001821,0.001658,0.00168,8544649.1464,14835.2029967541
1660608000,2022-08-16 00:00:00,VSYS/USDT,0.00178,0.001837,0.00176,0.001761,7205409.572,12808.2256357739
1660521600,2022-08-15 00:00:00,VSYS/USDT,0.001795,0.00199,0.001721,0.001789,24458555.5235,44920.2816454055
1660435200,2022-08-14 00:00:00,VSYS/USDT,0.001743,0.00185,0.001734,0.001792,2968840.2761,5331.4206728626
1660348800,2022-08-13 00:00:00,VSYS/USDT,0.001714,0.00218,0.00171,0.001748,5479362.5013,9549.9236008104
1660262400,2022-08-12 00:00:00,VSYS/USDT,0.001711,0.00174,0.00166,0.001706,1728533.938,2953.5937798692
1660176000,2022-08-11 00:00:00,VSYS/USDT,0.001758,0.00179,0.0017,0.001703,6709003.2047,11702.442515777
1660089600,2022-08-10 00:00:00,VSYS/USDT,0.001637,0.00182,0.001617,0.001757,5601141.0147,9586.1957714247
1660003200,2022-08-09 00:00:00,VSYS/USDT,0.00175,0.00178,0.001633,0.001657,6594943.5296,11149.9118445931
