https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume JST
1663545600000,2022-09-19 00:00:00,JST/BTC,1.28e-06,1.28e-06,1.27e-06,1.28e-06,0.0023058305116544,1801.43008723
1663542000000,2022-09-18 23:00:00,JST/BTC,1.28e-06,1.28e-06,1.27e-06,1.28e-06,0.001288349339648,1006.5229216
1663538400000,2022-09-18 22:00:00,JST/BTC,1.29e-06,1.29e-06,1.27e-06,1.27e-06,0.0022500462554992,1771.68996496
1663534800000,2022-09-18 21:00:00,JST/BTC,1.3e-06,1.3e-06,1.28e-06,1.28e-06,0.0701543729281152,54808.10385009
1663531200000,2022-09-18 20:00:00,JST/BTC,1.31e-06,1.31e-06,1.3e-06,1.3e-06,0.005941884080106,4570.68006162
1663527600000,2022-09-18 19:00:00,JST/BTC,1.31e-06,1.32e-06,1.3e-06,1.31e-06,0.0033342451623749,2545.22531479
1663524000000,2022-09-18 18:00:00,JST/BTC,1.31e-06,1.32e-06,1.3e-06,1.31e-06,0.0081344572117545,6209.50932195
1663520400000,2022-09-18 17:00:00,JST/BTC,1.32e-06,1.32e-06,1.3e-06,1.31e-06,0.0032935859474696,2514.18774616
1663516800000,2022-09-18 16:00:00,JST/BTC,1.32e-06,1.33e-06,1.31e-06,1.32e-06,0.009611137287972,7281.164612099999
1663513200000,2022-09-18 15:00:00,JST/BTC,1.32e-06,1.33e-06,1.31e-06,1.32e-06,0.0030466630837764,2308.07809377
1663509600000,2022-09-18 14:00:00,JST/BTC,1.31e-06,1.32e-06,1.31e-06,1.31e-06,0.0025862956142899,1974.27146129
1663506000000,2022-09-18 13:00:00,JST/BTC,1.32e-06,1.32e-06,1.31e-06,1.31e-06,0.0025434740198112997,1941.58322123
1663502400000,2022-09-18 12:00:00,JST/BTC,1.31e-06,1.32e-06,1.31e-06,1.32e-06,0.0022720801700652003,1721.27285611
1663498800000,2022-09-18 11:00:00,JST/BTC,1.31e-06,1.32e-06,1.3e-06,1.32e-06,0.005925967858549201,4489.36958981
1663495200000,2022-09-18 10:00:00,JST/BTC,1.31e-06,1.32e-06,1.3e-06,1.31e-06,0.007944996317441699,6064.88268507
1663491600000,2022-09-18 09:00:00,JST/BTC,1.32e-06,1.32e-06,1.3e-06,1.3e-06,0.001976329566744,1520.25351288
1663488000000,2022-09-18 08:00:00,JST/BTC,1.32e-06,1.32e-06,1.31e-06,1.32e-06,0.0028560973196712,2163.71009066
1663484400000,2022-09-18 07:00:00,JST/BTC,1.32e-06,1.32e-06,1.31e-06,1.32e-06,0.006343947396336,4806.0207548
1663480800000,2022-09-18 06:00:00,JST/BTC,1.32e-06,1.32e-06,1.32e-06,1.32e-06,0.0009970332570528,755.32822504
1663477200000,2022-09-18 05:00:00,JST/BTC,1.32e-06,1.32e-06,1.31e-06,1.31e-06,0.0014848729124072998,1133.49077283
1663473600000,2022-09-18 04:00:00,JST/BTC,1.32e-06,1.32e-06,1.31e-06,1.32e-06,0.0008502778757088,644.14990584
1663470000000,2022-09-18 03:00:00,JST/BTC,1.32e-06,1.32e-06,1.31e-06,1.32e-06,0.0015189054096348,1150.6859163899999
1663466400000,2022-09-18 02:00:00,JST/BTC,1.32e-06,1.33e-06,1.32e-06,1.32e-06,0.0019522913011668,1479.00856149
1663462800000,2022-09-18 01:00:00,JST/BTC,1.33e-06,1.33e-06,1.32e-06,1.33e-06,0.0028308761255803,2128.47828991
1663459200000,2022-09-18 00:00:00,JST/BTC,1.32e-06,1.33e-06,1.32e-06,1.32e-06,0.007687926122514001,5824.18645645
1663455600000,2022-09-17 23:00:00,JST/BTC,1.32e-06,1.33e-06,1.31e-06,1.32e-06,0.0022611157225404,1712.96645647
1663452000000,2022-09-17 22:00:00,JST/BTC,1.32e-06,1.32e-06,1.31e-06,1.32e-06,0.005592368558568001,4236.6428474
