https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume STORJ,Volume EUR
1663545600,2022-09-19 00:00:00,STORJ/EUR,0.46487,0.46487,0.46487,0.46487,0.00000000,0.0
1663459200,2022-09-18 00:00:00,STORJ/EUR,0.46843,0.46843,0.46487,0.46487,653.68772150,303.879811093705
1663372800,2022-09-17 00:00:00,STORJ/EUR,0.50018,0.50547,0.49822,0.50547,2504.96149038,1266.1828845423786
1663286400,2022-09-16 00:00:00,STORJ/EUR,0.49834,0.50262,0.49619,0.49728,3056.36818669,1519.8707718772032
1663200000,2022-09-15 00:00:00,STORJ/EUR,0.51703,0.51703,0.49310,0.49310,642.18708419,316.66245121408895
1663113600,2022-09-14 00:00:00,STORJ/EUR,0.51368,0.51628,0.50500,0.50567,7049.30542367,3564.6222735872084
1663027200,2022-09-13 00:00:00,STORJ/EUR,0.55443,0.55706,0.51475,0.51475,2545.05656554,1310.067867111715
1662940800,2022-09-12 00:00:00,STORJ/EUR,0.55081,0.57068,0.54428,0.55527,2265.90013853,1258.186369921553
1662854400,2022-09-11 00:00:00,STORJ/EUR,0.55769,0.56036,0.53972,0.55052,1737.10584441,956.3115094645932
1662768000,2022-09-10 00:00:00,STORJ/EUR,0.56147,0.56147,0.54484,0.55487,2331.97095642,1293.9407245887655
1662681600,2022-09-09 00:00:00,STORJ/EUR,0.53578,0.56000,0.53578,0.55678,3857.73778999,2147.9112467106324
1662595200,2022-09-08 00:00:00,STORJ/EUR,0.51778,0.53462,0.50876,0.52222,9153.26112602,4780.016025230164
1662508800,2022-09-07 00:00:00,STORJ/EUR,0.50000,0.51956,0.49923,0.51956,696.71671656,361.9861372559136
1662422400,2022-09-06 00:00:00,STORJ/EUR,0.56226,0.56226,0.51286,0.51289,2622.51273260,1345.060555423214
1662336000,2022-09-05 00:00:00,STORJ/EUR,0.56051,0.56051,0.54684,0.54684,1915.07977986,1047.2422268186424
1662249600,2022-09-04 00:00:00,STORJ/EUR,0.55007,0.56428,0.54876,0.55935,1903.30400213,1064.6130935914155
1662163200,2022-09-03 00:00:00,STORJ/EUR,0.54269,0.54291,0.54242,0.54291,601.93085504,326.7942805097664
1662076800,2022-09-02 00:00:00,STORJ/EUR,0.55164,0.55191,0.53761,0.53761,708.03460767,380.6464854294687
1661990400,2022-09-01 00:00:00,STORJ/EUR,0.54518,0.55051,0.53810,0.55051,1135.85417228,625.299080381863
1661904000,2022-08-31 00:00:00,STORJ/EUR,0.54409,0.55453,0.54343,0.54773,2580.27449173,1413.2937473552731
1661817600,2022-08-30 00:00:00,STORJ/EUR,0.55294,0.56318,0.52919,0.53992,2652.00972846,1431.8730925901232
1661731200,2022-08-29 00:00:00,STORJ/EUR,0.52509,0.55237,0.52379,0.55237,2546.08015222,1406.3782936817615
1661644800,2022-08-28 00:00:00,STORJ/EUR,0.55024,0.55631,0.52912,0.52912,4774.69205515,2526.385060220968
1661558400,2022-08-27 00:00:00,STORJ/EUR,0.55866,0.55866,0.53985,0.54505,4190.25979468,2283.901101090334
1661472000,2022-08-26 00:00:00,STORJ/EUR,0.61754,0.63473,0.56247,0.56247,5711.44853305,3212.5184563846337
1661385600,2022-08-25 00:00:00,STORJ/EUR,0.58947,0.64700,0.58947,0.60624,7169.46193622,4346.414604214013
1661299200,2022-08-24 00:00:00,STORJ/EUR,0.57244,0.61017,0.56225,0.58943,2534.21419556,1493.7418732889307
1661212800,2022-08-23 00:00:00,STORJ/EUR,0.58111,0.58111,0.55823,0.57488,4293.00146541,2467.9606824349003
1661126400,2022-08-22 00:00:00,STORJ/EUR,0.58821,0.58821,0.55353,0.56197,6280.45607951,3529.4279030022344
1661040000,2022-08-21 00:00:00,STORJ/EUR,0.58054,0.58590,0.57556,0.57729,1207.84704722,697.2780218896337
1660953600,2022-08-20 00:00:00,STORJ/EUR,0.56631,0.58144,0.55802,0.56645,6594.48023464,3735.4433289118283
1660867200,2022-08-19 00:00:00,STORJ/EUR,0.62382,0.70377,0.55850,0.56268,17601.32943614,9903.916047127255
1660780800,2022-08-18 00:00:00,STORJ/EUR,0.65292,0.65399,0.65292,0.65399,381.03056608,249.1901799106592
1660694400,2022-08-17 00:00:00,STORJ/EUR,0.68603,0.70338,0.65027,0.70338,6626.93211559,4661.251511463694
1660608000,2022-08-16 00:00:00,STORJ/EUR,0.70113,0.70656,0.68000,0.68209,6100.49856760,4161.089067974283
1660521600,2022-08-15 00:00:00,STORJ/EUR,0.70765,0.74025,0.68000,0.70428,2348.85689943,1654.2529371305604
1660435200,2022-08-14 00:00:00,STORJ/EUR,0.70776,0.73229,0.68923,0.68923,2012.92700188,1387.3696775057524
1660348800,2022-08-13 00:00:00,STORJ/EUR,0.70870,0.71577,0.69623,0.70238,1856.06659644,1303.6640560075273
1660262400,2022-08-12 00:00:00,STORJ/EUR,0.69260,0.73148,0.68000,0.70787,3935.57163679,2785.8730945345374
1660176000,2022-08-11 00:00:00,STORJ/EUR,0.68933,0.73785,0.68412,0.69523,11255.03650676,7824.839030594755
1660089600,2022-08-10 00:00:00,STORJ/EUR,0.64744,0.72959,0.63738,0.69491,16046.35781585,11150.774509812325
1660003200,2022-08-09 00:00:00,STORJ/EUR,0.68411,0.68434,0.64350,0.64771,3714.14107408,2405.686315092357
1659916800,2022-08-08 00:00:00,STORJ/EUR,0.67818,0.70000,0.67818,0.68650,4507.76511221,3094.5807495321646
1659830400,2022-08-07 00:00:00,STORJ/EUR,0.67102,0.68570,0.66888,0.68570,1075.73216391,737.629544793087
1659744000,2022-08-06 00:00:00,STORJ/EUR,0.67920,0.69095,0.67920,0.68736,3708.81552726,2549.291440817434
1659657600,2022-08-05 00:00:00,STORJ/EUR,0.65643,0.67855,0.65643,0.67855,2254.14019374,1529.546828462277
1659571200,2022-08-04 00:00:00,STORJ/EUR,0.65548,0.66242,0.63587,0.65020,5700.75524626,3706.6310611182516
1659484800,2022-08-03 00:00:00,STORJ/EUR,0.63513,0.66587,0.62947,0.63870,7030.17444424,4490.172417536089
1659398400,2022-08-02 00:00:00,STORJ/EUR,0.69764,0.70204,0.63454,0.65360,8236.42019271,5383.324237955256
1659312000,2022-08-01 00:00:00,STORJ/EUR,0.69513,0.73886,0.67488,0.69566,11395.63330889,7927.486267662416
1659225600,2022-07-31 00:00:00,STORJ/EUR,0.67659,0.75512,0.65142,0.67300,12255.99578885,8248.28516589605
1659139200,2022-07-30 00:00:00,STORJ/EUR,0.66274,0.71358,0.65171,0.65693,9541.14756813,6267.866071931641
1659052800,2022-07-29 00:00:00,STORJ/EUR,0.66713,0.67143,0.63760,0.66538,10482.56592776,6974.889717012949
1658966400,2022-07-28 00:00:00,STORJ/EUR,0.63799,0.66762,0.62612,0.66416,11722.81849325,7785.8271304769205
1658880000,2022-07-27 00:00:00,STORJ/EUR,0.59706,0.63630,0.58124,0.63581,2420.91666138,1539.2430224720176
1658793600,2022-07-26 00:00:00,STORJ/EUR,0.58017,0.59661,0.57156,0.59639,5138.22732770,3064.387395967003
1658707200,2022-07-25 00:00:00,STORJ/EUR,0.63780,0.63780,0.59913,0.59913,10292.50890274,6166.550858898618
1658620800,2022-07-24 00:00:00,STORJ/EUR,0.64219,0.65933,0.64219,0.64616,2201.85075265,1422.7478823323238
1658534400,2022-07-23 00:00:00,STORJ/EUR,0.64579,0.66126,0.63901,0.65698,3025.78791357,1987.8821434572187
1658448000,2022-07-22 00:00:00,STORJ/EUR,0.66128,0.67068,0.62904,0.62904,6849.25172153,4308.453302911232
1658361600,2022-07-21 00:00:00,STORJ/EUR,0.64318,0.66645,0.62083,0.64727,7256.41873263,4696.86215306942
1658275200,2022-07-20 00:00:00,STORJ/EUR,0.71131,0.73700,0.65570,0.66591,6406.34977377,4266.052377851181
1658188800,2022-07-19 00:00:00,STORJ/EUR,0.67487,0.70282,0.65658,0.68902,10827.23065112,7460.178463234703
1658102400,2022-07-18 00:00:00,STORJ/EUR,0.68154,0.68998,0.66161,0.68494,6319.47229116,4328.459351107131
1658016000,2022-07-17 00:00:00,STORJ/EUR,0.68866,0.70578,0.65836,0.66193,2907.38825923,1924.487510432114
1657929600,2022-07-16 00:00:00,STORJ/EUR,0.67494,0.67956,0.64875,0.67956,3911.87442159,2658.353381935701
1657843200,2022-07-15 00:00:00,STORJ/EUR,0.65240,0.70360,0.65240,0.67745,2263.30639443,1533.2769169066037
1657756800,2022-07-14 00:00:00,STORJ/EUR,0.62864,0.64488,0.60920,0.64382,5490.93299556,3535.1724812014386
1657670400,2022-07-13 00:00:00,STORJ/EUR,0.60651,0.63036,0.58010,0.63036,8679.15689440,5470.993339953984
1657584000,2022-07-12 00:00:00,STORJ/EUR,0.63804,0.64261,0.61988,0.61988,2815.82515843,1745.4736992075884
1657497600,2022-07-11 00:00:00,STORJ/EUR,0.66366,0.70193,0.62796,0.63352,14241.67217311,9022.384155108648
1657411200,2022-07-10 00:00:00,STORJ/EUR,0.71672,0.71672,0.66681,0.67168,8327.64890636,5593.515217423886
1657324800,2022-07-09 00:00:00,STORJ/EUR,0.73423,0.73931,0.70203,0.72134,8846.04332498,6381.004892041074
1657238400,2022-07-08 00:00:00,STORJ/EUR,0.79238,0.79238,0.73054,0.73211,15995.77755333,11710.668704568427
1657152000,2022-07-07 00:00:00,STORJ/EUR,0.69501,0.79238,0.69501,0.79238,15824.51980785,12539.033005344183
1657065600,2022-07-06 00:00:00,STORJ/EUR,0.62352,0.68978,0.62352,0.68956,4753.40344007,3277.7568761346693
1656979200,2022-07-05 00:00:00,STORJ/EUR,0.64986,0.68436,0.61521,0.62523,5390.84635293,3370.5188652424235
1656892800,2022-07-04 00:00:00,STORJ/EUR,0.60001,0.64630,0.59254,0.64252,4264.78915335,2740.2123268104415
1656806400,2022-07-03 00:00:00,STORJ/EUR,0.62741,0.63381,0.61804,0.63094,936.78730128,591.0565798696031
1656720000,2022-07-02 00:00:00,STORJ/EUR,0.63775,0.67496,0.61786,0.66922,6572.45836290,4398.420585619938
1656633600,2022-07-01 00:00:00,STORJ/EUR,0.66010,0.66010,0.61866,0.63513,1833.35125329,1164.4163815020777
1656547200,2022-06-30 00:00:00,STORJ/EUR,0.66593,0.66654,0.61857,0.66351,3338.02940746,2214.815892143785
1656460800,2022-06-29 00:00:00,STORJ/EUR,0.70819,0.78999,0.68093,0.69375,7172.03106295,4975.596549921563
1656374400,2022-06-28 00:00:00,STORJ/EUR,0.75626,0.79386,0.69000,0.70832,4298.10803775,3044.43588529908
