https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ACE,Volume USDT
1663459200,2022-09-18 00:00:00,ACE/USDT,0.01623,0.01624,0.01619,0.01619,5359598.6915,86924.21620416
1663372800,2022-09-17 00:00:00,ACE/USDT,0.0164,0.0169,0.01609,0.01622,121686459.9571,1986025.286387619
1663286400,2022-09-16 00:00:00,ACE/USDT,0.01642,0.01692,0.01619,0.01644,121311331.6299,1989765.062282418
1663200000,2022-09-15 00:00:00,ACE/USDT,0.01647,0.01793,0.01636,0.01641,124782524.1467,2063794.143408295
1663113600,2022-09-14 00:00:00,ACE/USDT,0.01671,0.01699,0.01637,0.01647,109785299.7641,1825035.864074005
1663027200,2022-09-13 00:00:00,ACE/USDT,0.01662,0.01928,0.016,0.01671,87496169.0089,1503924.736719599
1662940800,2022-09-12 00:00:00,ACE/USDT,0.01697,0.01748,0.01642,0.01662,83004871.691,1384199.327480012
1662854400,2022-09-11 00:00:00,ACE/USDT,0.01574,0.01742,0.0157,0.01696,86918581.5275,1389837.984928791
1662768000,2022-09-10 00:00:00,ACE/USDT,0.01544,0.01654,0.01511,0.01574,74766362.4882,1167611.455220825
1662681600,2022-09-09 00:00:00,ACE/USDT,0.01502,0.01625,0.01492,0.01544,66137502.5577,1016485.721341021
1662595200,2022-09-08 00:00:00,ACE/USDT,0.01451,0.01778,0.01414,0.01502,52633435.5362,787051.104246884
1662508800,2022-09-07 00:00:00,ACE/USDT,0.01453,0.0195,0.01356,0.01451,51641988.0096,798559.410631443
1662422400,2022-09-06 00:00:00,ACE/USDT,0.01435,0.01521,0.01367,0.01449,35467535.5933,510694.211795758
1662336000,2022-09-05 00:00:00,ACE/USDT,0.01492,0.01594,0.01433,0.01435,17246483.7004,262071.864031485
1662249600,2022-09-04 00:00:00,ACE/USDT,0.01461,0.01496,0.01435,0.01492,17159530.4571,250606.642455982
1662163200,2022-09-03 00:00:00,ACE/USDT,0.01466,0.01505,0.01432,0.01461,15188771.3876,223617.221370493
1662076800,2022-09-02 00:00:00,ACE/USDT,0.01504,0.01526,0.01452,0.01463,14944144.6017,222980.527968161
1661990400,2022-09-01 00:00:00,ACE/USDT,0.01579,0.01623,0.01458,0.01504,17859982.6476,268483.582625038
1661904000,2022-08-31 00:00:00,ACE/USDT,0.01475,0.0169,0.01451,0.01579,17545168.9134,271509.071928729
1661817600,2022-08-30 00:00:00,ACE/USDT,0.01427,0.018,0.01405,0.01476,15778040.6856,249423.955075391
1661731200,2022-08-29 00:00:00,ACE/USDT,0.01407,0.01437,0.01368,0.01426,14028855.9402,195761.964083995
1661644800,2022-08-28 00:00:00,ACE/USDT,0.01368,0.01439,0.01346,0.01404,14475084.4318,199630.428683199
1661558400,2022-08-27 00:00:00,ACE/USDT,0.01426,0.01521,0.01368,0.01368,12226319.7686,174927.893198809
1661472000,2022-08-26 00:00:00,ACE/USDT,0.0155,0.01555,0.014,0.01426,14042107.9191,210130.796648369
1661385600,2022-08-25 00:00:00,ACE/USDT,0.01551,0.01689,0.01533,0.01549,13987335.1877,219685.218850118
1661299200,2022-08-24 00:00:00,ACE/USDT,0.01557,0.01594,0.01515,0.01563,14799325,229713.758626841
1661212800,2022-08-23 00:00:00,ACE/USDT,0.01582,0.01622,0.01531,0.01558,13624818.8147,213634.661371311
1661126400,2022-08-22 00:00:00,ACE/USDT,0.01642,0.01758,0.01543,0.01583,15088380.5376,241619.552865186
1661040000,2022-08-21 00:00:00,ACE/USDT,0.01644,0.01667,0.01585,0.01643,15097339.5298,244999.992414385
1660953600,2022-08-20 00:00:00,ACE/USDT,0.0157,0.01957,0.01533,0.01644,17625643.363,285549.093346989
1660867200,2022-08-19 00:00:00,ACE/USDT,0.01737,0.01737,0.01519,0.0157,17399300.9925,278100.66291127
1660780800,2022-08-18 00:00:00,ACE/USDT,0.01575,0.01824,0.01575,0.01734,13778402.4562,226380.792482317
1660694400,2022-08-17 00:00:00,ACE/USDT,0.01792,0.02,0.01552,0.01575,17317547.7725,299495.958377026
