https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume GBP
1663545600,2022-09-19 00:00:00,ETH/GBP,1166.7,1171.1,1166.7,1167.6,2.49556906,2913.8264344559993
1663542000,2022-09-18 23:00:00,ETH/GBP,1175.2,1184.8,1165.6,1167.9,11.81774586,13801.945389894001
1663538400,2022-09-18 22:00:00,ETH/GBP,1167.0,1174.8,1165.7,1173.5,38.63298521,45335.808143935
1663534800,2022-09-18 21:00:00,ETH/GBP,1202.1,1202.1,1163.5,1172.7,69.08774747,81019.201458069
1663531200,2022-09-18 20:00:00,ETH/GBP,1209.6,1209.6,1199.3,1200.6,8.06138918,9678.503849508
1663527600,2022-09-18 19:00:00,ETH/GBP,1199.5,1214.3,1199.5,1210.4,33.96534987,41111.659482648
1663524000,2022-09-18 18:00:00,ETH/GBP,1213.9,1213.9,1200.0,1204.3,11.42858963,13763.450491409
1663520400,2022-09-18 17:00:00,ETH/GBP,1222.1,1223.6,1203.6,1203.6,44.63086297,53717.706670692
1663516800,2022-09-18 16:00:00,ETH/GBP,1243.4,1245.5,1217.2,1222.7,86.38121678,105618.313756906
1663513200,2022-09-18 15:00:00,ETH/GBP,1244.8,1246.6,1238.0,1242.0,12.87659024,15992.72507808
1663509600,2022-09-18 14:00:00,ETH/GBP,1252.7,1253.7,1234.5,1242.0,21.15057137,26269.00964154
1663506000,2022-09-18 13:00:00,ETH/GBP,1260.4,1260.4,1255.6,1257.1,109.25879846,137349.23554406597
1663502400,2022-09-18 12:00:00,ETH/GBP,1257.2,1259.8,1250.9,1259.8,2.46529321,3105.776385958
1663498800,2022-09-18 11:00:00,ETH/GBP,1254.4,1256.9,1254.2,1256.3,6.66365543,8371.550316709001
1663495200,2022-09-18 10:00:00,ETH/GBP,1246.9,1262.2,1246.9,1253.2,2.49805521,3130.562789172
1663491600,2022-09-18 09:00:00,ETH/GBP,1277.7,1277.7,1248.6,1251.7,7.09493768,8880.733494056001
1663488000,2022-09-18 08:00:00,ETH/GBP,1274.0,1277.1,1273.0,1274.8,9.28263960,11833.508962079999
1663484400,2022-09-18 07:00:00,ETH/GBP,1274.3,1276.2,1272.4,1273.4,11.38006465,14491.37432531
1663480800,2022-09-18 06:00:00,ETH/GBP,1277.3,1277.3,1272.4,1272.5,0.49979801,635.992967725
1663477200,2022-09-18 05:00:00,ETH/GBP,1273.0,1275.8,1273.0,1275.8,0.28650461,365.522581438
1663473600,2022-09-18 04:00:00,ETH/GBP,1269.8,1274.4,1269.8,1274.4,1.68745234,2150.4892620960004
1663470000,2022-09-18 03:00:00,ETH/GBP,1270.1,1270.9,1267.5,1267.5,3.90320000,4947.306
1663466400,2022-09-18 02:00:00,ETH/GBP,1273.5,1275.5,1273.1,1274.1,0.63082168,803.729902488
1663462800,2022-09-18 01:00:00,ETH/GBP,1270.6,1275.0,1270.6,1275.0,0.33564300,427.94482500000004
1663459200,2022-09-18 00:00:00,ETH/GBP,1284.2,1284.2,1270.8,1272.1,5.51871826,7020.361498546
1663455600,2022-09-17 23:00:00,ETH/GBP,1282.4,1290.1,1281.0,1288.5,0.58933795,759.361948575
1663452000,2022-09-17 22:00:00,ETH/GBP,1279.0,1283.6,1276.2,1283.2,7.52373795,9654.46053744
1663448400,2022-09-17 21:00:00,ETH/GBP,1280.8,1280.8,1269.8,1271.0,3.00882100,3824.211491
1663444800,2022-09-17 20:00:00,ETH/GBP,1282.9,1282.9,1280.7,1281.2,0.72863159,933.522793108
1663441200,2022-09-17 19:00:00,ETH/GBP,1285.2,1285.3,1277.3,1283.1,2.57291796,3301.3110344759993
1663437600,2022-09-17 18:00:00,ETH/GBP,1291.0,1291.5,1286.3,1288.2,6.10434461,7863.616726602
1663434000,2022-09-17 17:00:00,ETH/GBP,1284.1,1290.2,1282.9,1288.4,37.04028392,47722.701802528005
1663430400,2022-09-17 16:00:00,ETH/GBP,1262.1,1286.2,1262.1,1283.3,130.54388420,167526.96659386
1663426800,2022-09-17 15:00:00,ETH/GBP,1264.5,1269.7,1259.7,1264.3,62.02333382,78416.100948626
1663423200,2022-09-17 14:00:00,ETH/GBP,1247.1,1262.8,1246.3,1262.6,51.94899435,65590.80026630999
1663419600,2022-09-17 13:00:00,ETH/GBP,1248.0,1248.8,1243.2,1244.4,48.35880172,60177.692860368006
1663416000,2022-09-17 12:00:00,ETH/GBP,1243.1,1247.4,1235.7,1247.1,3.70683019,4622.787929949
1663412400,2022-09-17 11:00:00,ETH/GBP,1248.8,1248.8,1242.5,1243.4,47.54787137,59121.02326145801
1663408800,2022-09-17 10:00:00,ETH/GBP,1253.5,1255.0,1241.8,1248.2,65.31112112,81521.34138198399
1663405200,2022-09-17 09:00:00,ETH/GBP,1254.8,1255.6,1251.4,1253.7,51.31648086,64335.472054182
1663401600,2022-09-17 08:00:00,ETH/GBP,1253.4,1255.1,1251.8,1254.0,150.77799696,189075.60818784
1663398000,2022-09-17 07:00:00,ETH/GBP,1254.0,1254.0,1251.0,1252.4,277.46242598,347493.942297352
1663394400,2022-09-17 06:00:00,ETH/GBP,1253.5,1254.5,1251.5,1253.7,1.20665393,1512.782032041
1663390800,2022-09-17 05:00:00,ETH/GBP,1256.4,1258.6,1249.7,1253.5,10.83667395,13583.770796325
1663387200,2022-09-17 04:00:00,ETH/GBP,1261.4,1266.1,1261.4,1262.8,20.64794200,26074.2211576
1663383600,2022-09-17 03:00:00,ETH/GBP,1261.9,1261.9,1260.5,1260.8,0.48789656,615.1399828479999
1663380000,2022-09-17 02:00:00,ETH/GBP,1263.1,1263.8,1260.0,1261.7,0.62942145,794.141043465
1663376400,2022-09-17 01:00:00,ETH/GBP,1265.0,1266.0,1260.6,1264.1,1.06833771,1350.4856992109999
1663372800,2022-09-17 00:00:00,ETH/GBP,1260.8,1274.1,1259.0,1262.6,5.84624346,7381.466992596
1663369200,2022-09-16 23:00:00,ETH/GBP,1253.4,1254.5,1251.9,1254.5,1.89361574,2375.54094583
