https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDTHALF,Volume USD
1663545600000.0,2022-09-19 00:00:00,USDTHALF/USD,6160.5,6160.5,6159.25,6159.75,0.0,0.0
1663459200000.0,2022-09-18 00:00:00,USDTHALF/USD,6160.0,6160.75,6159.25,6160.5,0.0,0.0
1663372800000.0,2022-09-17 00:00:00,USDTHALF/USD,6159.5,6160.5,6159.25,6160.0,0.0,0.0
1663286400000.0,2022-09-16 00:00:00,USDTHALF/USD,6159.25,6159.75,6159.25,6159.5,0.0,0.0
1663200000000.0,2022-09-15 00:00:00,USDTHALF/USD,6159.25,6160.75,6159.25,6159.25,0.0,0.0
1663113600000.0,2022-09-14 00:00:00,USDTHALF/USD,6158.75,6160.0,6158.75,6159.25,0.0032400000000000003,19.95597
1663027200000.0,2022-09-13 00:00:00,USDTHALF/USD,6159.5,6161.0,6158.75,6158.75,0.0,0.0
1662940800000.0,2022-09-12 00:00:00,USDTHALF/USD,6171.0,6171.0,6158.75,6159.5,0.003062373569283221,18.86269
1662854400000.0,2022-09-11 00:00:00,USDTHALF/USD,6159.25,6171.5,6158.25,6171.0,0.0004700056716901637,2.900405
1662768000000.0,2022-09-10 00:00:00,USDTHALF/USD,6157.75,6160.0,6154.25,6159.25,0.0,0.0
1662681600000.0,2022-09-09 00:00:00,USDTHALF/USD,6157.0,6158.5,6154.25,6157.75,0.0,0.0
1662595200000.0,2022-09-08 00:00:00,USDTHALF/USD,6158.0,6159.0,6154.25,6157.0,0.0,0.0
1662508800000.0,2022-09-07 00:00:00,USDTHALF/USD,6167.5,6173.25,6154.25,6158.0,0.0016190134784020785,9.969885
1662422400000.0,2022-09-06 00:00:00,USDTHALF/USD,6167.75,6173.25,6167.0,6167.5,0.0,0.0
1662336000000.0,2022-09-05 00:00:00,USDTHALF/USD,6169.0,6173.25,6167.25,6167.75,0.0,0.0
1662249600000.0,2022-09-04 00:00:00,USDTHALF/USD,6169.5,6173.25,6168.0,6169.0,0.0,0.0
1662163200000.0,2022-09-03 00:00:00,USDTHALF/USD,6170.25,6173.25,6168.25,6169.5,0.0,0.0
1662076800000.0,2022-09-02 00:00:00,USDTHALF/USD,6169.5,6180.0,6169.25,6170.25,0.003243347514282241,20.012265
1661990400000.0,2022-09-01 00:00:00,USDTHALF/USD,6170.25,6176.5,6169.25,6169.5,0.0,0.0
1661904000000.0,2022-08-31 00:00:00,USDTHALF/USD,6171.5,6176.5,6170.0,6170.25,0.0,0.0
1661817600000.0,2022-08-30 00:00:00,USDTHALF/USD,6171.75,6176.5,6170.5,6171.5,0.0,0.0
1661731200000.0,2022-08-29 00:00:00,USDTHALF/USD,6171.0,6176.5,6170.75,6171.75,0.0,0.0
1661644800000.0,2022-08-28 00:00:00,USDTHALF/USD,6171.25,6176.5,6170.75,6171.0,0.0,0.0
1661558400000.0,2022-08-27 00:00:00,USDTHALF/USD,6171.25,6176.5,6170.25,6171.25,0.0,0.0
1661472000000.0,2022-08-26 00:00:00,USDTHALF/USD,6171.5,6176.5,6170.75,6171.25,0.0,0.0
1661385600000.0,2022-08-25 00:00:00,USDTHALF/USD,6176.5,6176.5,6170.5,6171.5,0.0,0.0
1661299200000.0,2022-08-24 00:00:00,USDTHALF/USD,6176.5,6176.5,6169.75,6176.5,0.0,0.0
1661212800000.0,2022-08-23 00:00:00,USDTHALF/USD,6176.5,6176.5,6169.75,6176.5,0.0,0.0
1661126400000.0,2022-08-22 00:00:00,USDTHALF/USD,6172.25,6176.5,6170.0,6176.5,0.0,0.0
1661040000000.0,2022-08-21 00:00:00,USDTHALF/USD,6172.75,6176.5,6171.0,6172.25,0.0,0.0
1660953600000.0,2022-08-20 00:00:00,USDTHALF/USD,6173.0,6176.5,6172.0,6172.75,0.0,0.0
1660867200000.0,2022-08-19 00:00:00,USDTHALF/USD,6173.25,6176.5,6172.0,6173.0,0.0,0.0
1660780800000.0,2022-08-18 00:00:00,USDTHALF/USD,6173.25,6176.5,6171.25,6176.0,0.0,0.0
1660694400000.0,2022-08-17 00:00:00,USDTHALF/USD,6172.75,6176.5,6172.5,6173.25,0.0,0.0
1660608000000.0,2022-08-16 00:00:00,USDTHALF/USD,6172.75,6176.5,6172.25,6172.75,0.0,0.0
1660521600000.0,2022-08-15 00:00:00,USDTHALF/USD,6173.0,6176.5,6172.25,6172.75,0.0,0.0
1660435200000.0,2022-08-14 00:00:00,USDTHALF/USD,6173.25,6176.5,6172.0,6173.0,0.0,0.0
1660348800000.0,2022-08-13 00:00:00,USDTHALF/USD,6173.0,6176.5,6172.75,6173.25,0.0,0.0
1660262400000.0,2022-08-12 00:00:00,USDTHALF/USD,6173.5,6176.5,6172.5,6173.0,0.0,0.0
1660176000000.0,2022-08-11 00:00:00,USDTHALF/USD,6172.5,6176.5,6171.25,6173.5,0.0,0.0
1660089600000.0,2022-08-10 00:00:00,USDTHALF/USD,6172.25,6176.5,6171.25,6172.5,0.0,0.0
1660003200000.0,2022-08-09 00:00:00,USDTHALF/USD,6172.5,6176.5,6170.25,6172.25,0.0,0.0
1659916800000.0,2022-08-08 00:00:00,USDTHALF/USD,6172.5,6176.5,6171.75,6172.5,0.0,0.0
1659830400000.0,2022-08-07 00:00:00,USDTHALF/USD,6173.0,6176.5,6171.25,6172.5,0.0,0.0
1659744000000.0,2022-08-06 00:00:00,USDTHALF/USD,6172.75,6176.5,6172.0,6173.0,0.0,0.0
1659657600000.0,2022-08-05 00:00:00,USDTHALF/USD,6173.5,6176.5,6171.25,6172.75,0.0,0.0
1659571200000.0,2022-08-04 00:00:00,USDTHALF/USD,6174.0,6176.5,6172.75,6173.5,0.0,0.0
1659484800000.0,2022-08-03 00:00:00,USDTHALF/USD,6174.25,6176.5,6173.25,6174.0,0.0,0.0
1659398400000.0,2022-08-02 00:00:00,USDTHALF/USD,6174.5,6176.5,6173.75,6174.25,0.0,0.0
1659312000000.0,2022-08-01 00:00:00,USDTHALF/USD,6174.5,6176.5,6174.25,6174.5,0.0,0.0
1659225600000.0,2022-07-31 00:00:00,USDTHALF/USD,6175.0,6176.5,6174.5,6174.5,0.0,0.0
1659139200000.0,2022-07-30 00:00:00,USDTHALF/USD,6175.75,6176.5,6174.5,6175.0,0.0,0.0
1659052800000.0,2022-07-29 00:00:00,USDTHALF/USD,6176.0,6176.5,6175.25,6175.75,0.0,0.0
1658966400000.0,2022-07-28 00:00:00,USDTHALF/USD,6164.25,6176.5,6161.25,6176.0,0.0016201311528497408,10.00593
1658880000000.0,2022-07-27 00:00:00,USDTHALF/USD,6161.75,6164.25,6161.25,6164.25,0.0,0.0
1658793600000.0,2022-07-26 00:00:00,USDTHALF/USD,6162.25,6162.25,6161.25,6161.75,0.0,0.0
1658707200000.0,2022-07-25 00:00:00,USDTHALF/USD,6161.75,6162.25,6160.5,6162.25,0.0015897419773621647,9.7963875
1658620800000.0,2022-07-24 00:00:00,USDTHALF/USD,6171.75,6172.25,6160.5,6161.75,0.0029121937761187977,17.94421
1658534400000.0,2022-07-23 00:00:00,USDTHALF/USD,6171.75,6171.75,6171.75,6171.75,0.0,0.0
1658448000000.0,2022-07-22 00:00:00,USDTHALF/USD,6171.75,6171.75,6171.75,6171.75,0.0,0.0
1658361600000.0,2022-07-21 00:00:00,USDTHALF/USD,6171.75,6171.75,6171.75,6171.75,0.0,0.0
1658275200000.0,2022-07-20 00:00:00,USDTHALF/USD,6171.75,6171.75,6171.75,6171.75,0.0,0.0
1658188800000.0,2022-07-19 00:00:00,USDTHALF/USD,6171.75,6171.75,6171.5,6171.75,0.0,0.0
1658102400000.0,2022-07-18 00:00:00,USDTHALF/USD,6161.75,6171.75,6161.0,6171.75,0.00159,9.8130825
1658016000000.0,2022-07-17 00:00:00,USDTHALF/USD,6161.5,6162.0,6161.0,6161.75,0.0,0.0
1657929600000.0,2022-07-16 00:00:00,USDTHALF/USD,6159.75,6162.0,6155.5,6161.5,0.024498011847764345,150.9445
