https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume PAXG,Volume BTC
1663459200,2022-09-18 00:00:00,PAXG/BTC,0.083091,0.083338,0.083081,0.083196,0.0546,0.0045455962
1663372800,2022-09-17 00:00:00,PAXG/BTC,0.084128,0.084498,0.082643,0.082773,6.8356,0.5726029162
1663286400,2022-09-16 00:00:00,PAXG/BTC,0.084094,0.085889,0.083084,0.084152,6.7122,0.5654773192
1663200000,2022-09-15 00:00:00,PAXG/BTC,0.083586,0.084828,0.082568,0.083843,86.6992,7.2449336544
1663113600,2022-09-14 00:00:00,PAXG/BTC,0.08401,0.086,0.082654,0.08352,25.1542,2.1207532649
1663027200,2022-09-13 00:00:00,PAXG/BTC,0.076702,0.084863,0.075803,0.083846,48.5662,3.919410339
1662940800,2022-09-12 00:00:00,PAXG/BTC,0.078568,0.079212,0.076482,0.076923,20.7378,1.611691364
1662854400,2022-09-11 00:00:00,PAXG/BTC,0.079154,0.079951,0.078505,0.078579,7.6279,0.604714355
1662768000,2022-09-10 00:00:00,PAXG/BTC,0.080154,0.0814,0.078505,0.079104,11.5183,0.9232897598
1662681600,2022-09-09 00:00:00,PAXG/BTC,0.087987,0.088574,0.079482,0.079915,31.6406,2.6355752908
1662595200,2022-09-08 00:00:00,PAXG/BTC,0.088609,0.089591,0.087731,0.088252,5.7172,0.5075264715
1662508800,2022-09-07 00:00:00,PAXG/BTC,0.090011,0.090835,0.088048,0.088698,20.8839,1.8785074517
1662422400,2022-09-06 00:00:00,PAXG/BTC,0.086233,0.090221,0.085133,0.090074,105.2986,9.3992643796
1662336000,2022-09-05 00:00:00,PAXG/BTC,0.085353,0.087104,0.085227,0.086147,4.8929,0.4221373645
1662249600,2022-09-04 00:00:00,PAXG/BTC,0.08597,0.0868,0.085353,0.085353,5.9618,0.5140673781
1662163200,2022-09-03 00:00:00,PAXG/BTC,0.085437,0.086791,0.085125,0.085976,13.8339,1.190600589
1662076800,2022-09-02 00:00:00,PAXG/BTC,0.084347,0.086185,0.08343,0.085202,9.8914,0.8376333848
1661990400,2022-09-01 00:00:00,PAXG/BTC,0.084923,0.086216,0.083934,0.084262,11.0276,0.936801498
1661904000,2022-08-31 00:00:00,PAXG/BTC,0.08641,0.08641,0.0837,0.084861,14.2074,1.2074249399
1661817600,2022-08-30 00:00:00,PAXG/BTC,0.085285,0.087891,0.083927,0.086669,34.3251,2.9156110577
1661731200,2022-08-29 00:00:00,PAXG/BTC,0.087811,0.088253,0.084951,0.08503,5.2194,0.4501724779
1661644800,2022-08-28 00:00:00,PAXG/BTC,0.086493,0.08814,0.085529,0.08814,18.6369,1.6073814531
1661558400,2022-08-27 00:00:00,PAXG/BTC,0.085545,0.087,0.084996,0.086493,7.0209,0.6059744223
1661472000,2022-08-26 00:00:00,PAXG/BTC,0.081365,0.085716,0.07971,0.08532,33.1856,2.7553674068
1661385600,2022-08-25 00:00:00,PAXG/BTC,0.081542,0.08206,0.08052,0.081122,4.6222,0.3760371775
1661299200,2022-08-24 00:00:00,PAXG/BTC,0.081122,0.082222,0.0801,0.081517,5.9346,0.4822317939
1661212800,2022-08-23 00:00:00,PAXG/BTC,0.081122,0.082656,0.080462,0.08088,6.9514,0.5649058445
1661126400,2022-08-22 00:00:00,PAXG/BTC,0.080878,0.082533,0.080069,0.08086,31.0553,2.5163423564
1661040000,2022-08-21 00:00:00,PAXG/BTC,0.082019,0.0824,0.080044,0.080859,9.644,0.7825566717
1660953600,2022-08-20 00:00:00,PAXG/BTC,0.083407,0.0837,0.073784,0.082321,61.4481,4.9106641141
1660867200,2022-08-19 00:00:00,PAXG/BTC,0.075695,0.08352,0.075695,0.08352,63.1184,5.023959984
1660780800,2022-08-18 00:00:00,PAXG/BTC,0.07529,0.07569,0.074178,0.075425,20.9749,1.5659276623
1660694400,2022-08-17 00:00:00,PAXG/BTC,0.073869,0.07573,0.072624,0.075236,27.0415,1.9967444298
1660608000,2022-08-16 00:00:00,PAXG/BTC,0.073682,0.074589,0.071557,0.074327,16.1308,1.1749799282
1660521600,2022-08-15 00:00:00,PAXG/BTC,0.07396,0.074417,0.071191,0.07359,11.0136,0.8031999869
1660435200,2022-08-14 00:00:00,PAXG/BTC,0.073478,0.074128,0.071787,0.07396,10.2761,0.7504032502
1660348800,2022-08-13 00:00:00,PAXG/BTC,0.073515,0.073651,0.072238,0.073346,9.0928,0.6609275009
1660262400,2022-08-12 00:00:00,PAXG/BTC,0.074483,0.075307,0.073416,0.073793,5.2428,0.3903917784
1660176000,2022-08-11 00:00:00,PAXG/BTC,0.07452,0.074788,0.072036,0.074262,9.4959,0.6959136636
1660089600,2022-08-10 00:00:00,PAXG/BTC,0.077386,0.078767,0.073924,0.074546,11.6509,0.889298329
1660003200,2022-08-09 00:00:00,PAXG/BTC,0.074888,0.078,0.074334,0.077043,16.9119,1.3002920413
1659916800,2022-08-08 00:00:00,PAXG/BTC,0.076092,0.076201,0.0732,0.074667,13.6325,1.0130470582
1659830400,2022-08-07 00:00:00,PAXG/BTC,0.07686,0.077221,0.075698,0.076492,11.004,0.8385011587
1659744000,2022-08-06 00:00:00,PAXG/BTC,0.076061,0.077,0.075308,0.077,7.7434,0.5887601397
1659657600,2022-08-05 00:00:00,PAXG/BTC,0.078851,0.08,0.076001,0.076495,14.175,1.0982917339
1659571200,2022-08-04 00:00:00,PAXG/BTC,0.076828,0.079595,0.075975,0.07884,13.4155,1.0490833494
1659484800,2022-08-03 00:00:00,PAXG/BTC,0.076049,0.07736,0.074585,0.076851,67.1842,5.0771816558
1659398400,2022-08-02 00:00:00,PAXG/BTC,0.076201,0.078581,0.074331,0.076058,24.8348,1.8947256307
1659312000,2022-08-01 00:00:00,PAXG/BTC,0.07558,0.077116,0.075057,0.076201,8.844,0.6734551513
1659225600,2022-07-31 00:00:00,PAXG/BTC,0.074841,0.075851,0.06815,0.075418,30.4735,2.2369091214
1659139200,2022-07-30 00:00:00,PAXG/BTC,0.07433,0.074876,0.07143,0.074564,8.8941,0.649977796
