https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume TONE,Volume USDT
1663459200,2022-09-18 00:00:00,TONE/USDT,0.01638,0.0166,0.01612,0.01629,23951.5889,390.472486842
1663372800,2022-09-17 00:00:00,TONE/USDT,0.01665,0.01724,0.01612,0.01634,497899.3258,8221.037458426
1663286400,2022-09-16 00:00:00,TONE/USDT,0.01746,0.01753,0.01608,0.0165,1127067.6408,18951.92275526
1663200000,2022-09-15 00:00:00,TONE/USDT,0.01824,0.01881,0.017,0.01734,1756542.4973,31415.713577698
1663113600,2022-09-14 00:00:00,TONE/USDT,0.01719,0.01859,0.0159,0.01828,2236960.111,38998.007329064
1663027200,2022-09-13 00:00:00,TONE/USDT,0.01955,0.01979,0.01681,0.01719,2512224.4953,45948.756393995
1662940800,2022-09-12 00:00:00,TONE/USDT,0.02361,0.024,0.01889,0.01968,5048714.4034,105042.714705933
1662854400,2022-09-11 00:00:00,TONE/USDT,0.01692,0.0252,0.01692,0.02361,21637856.5881,484968.11902691
1662768000,2022-09-10 00:00:00,TONE/USDT,0.01616,0.01701,0.015,0.01692,1344223.6233,21253.528498475
1662681600,2022-09-09 00:00:00,TONE/USDT,0.01571,0.01714,0.01526,0.01604,1033771.335,17064.292989147
1662595200,2022-09-08 00:00:00,TONE/USDT,0.01603,0.01633,0.01514,0.01559,849244.6007,13217.477102868
1662508800,2022-09-07 00:00:00,TONE/USDT,0.01539,0.01657,0.01496,0.01603,710328.1237,11149.635485459
1662422400,2022-09-06 00:00:00,TONE/USDT,0.01649,0.01715,0.01479,0.01539,1570228.7233,24915.757458257
1662336000,2022-09-05 00:00:00,TONE/USDT,0.01649,0.01677,0.01617,0.01649,596545.6557,9710.358087496
1662249600,2022-09-04 00:00:00,TONE/USDT,0.01664,0.0168,0.01618,0.01649,354138.1067,5822.900045507
1662163200,2022-09-03 00:00:00,TONE/USDT,0.01663,0.018,0.01615,0.01664,1580789.3372,26667.667305781
1662076800,2022-09-02 00:00:00,TONE/USDT,0.01656,0.02039,0.01603,0.01647,3201449.5253,56311.103919096
1661990400,2022-09-01 00:00:00,TONE/USDT,0.01674,0.0175,0.01604,0.01646,745571.6547,12390.311035421
1661904000,2022-08-31 00:00:00,TONE/USDT,0.01674,0.01939,0.01656,0.01675,1730147.6407,30454.92816418
1661817600,2022-08-30 00:00:00,TONE/USDT,0.01881,0.01881,0.01643,0.01666,1602114.33,27715.017163251
1661731200,2022-08-29 00:00:00,TONE/USDT,0.01769,0.01889,0.01645,0.01881,2606923.89443886,45418.092552584335
1661644800,2022-08-28 00:00:00,TONE/USDT,0.01827,0.01851,0.01772,0.01772,322240.6496,5848.820365329
1661558400,2022-08-27 00:00:00,TONE/USDT,0.0183,0.02114,0.01801,0.01842,2022700.4619,39300.762918923
1661472000,2022-08-26 00:00:00,TONE/USDT,0.01981,0.0202,0.0182,0.0183,1849423.4613,35063.489602024
1661385600,2022-08-25 00:00:00,TONE/USDT,0.02039,0.02124,0.0193,0.01981,1751471.5323,35409.908439696
1661299200,2022-08-24 00:00:00,TONE/USDT,0.01902,0.02139,0.01876,0.02039,1315234.7335,26299.635903488
1661212800,2022-08-23 00:00:00,TONE/USDT,0.02014,0.023,0.01846,0.019,6347843.0824,130839.042050651
1661126400,2022-08-22 00:00:00,TONE/USDT,0.02124,0.02264,0.02009,0.02014,2187954.7696,46187.476178163
1661040000,2022-08-21 00:00:00,TONE/USDT,0.02089,0.03,0.02051,0.02124,21033067.2882,520434.405066476
1660953600,2022-08-20 00:00:00,TONE/USDT,0.01946,0.0257,0.01944,0.02089,5450036.3452,121495.611138174
1660867200,2022-08-19 00:00:00,TONE/USDT,0.02114,0.02114,0.01936,0.01946,1855688.5187,37491.030968221
1660780800,2022-08-18 00:00:00,TONE/USDT,0.022,0.02449,0.02106,0.02114,3408789.4901,76770.351068758
1660694400,2022-08-17 00:00:00,TONE/USDT,0.02273,0.0288,0.02153,0.02186,7261225.0142,177335.702206161
1660608000,2022-08-16 00:00:00,TONE/USDT,0.02317,0.02364,0.022,0.02275,1538482.0798,34901.767732689
1660521600,2022-08-15 00:00:00,TONE/USDT,0.02373,0.02474,0.02301,0.02316,799734.0359,19109.025888202
1660435200,2022-08-14 00:00:00,TONE/USDT,0.02527,0.0256,0.02321,0.02354,557099.8406,13531.941260725
1660348800,2022-08-13 00:00:00,TONE/USDT,0.02541,0.02599,0.0244,0.02539,1834641.8825,45842.554238133
1660262400,2022-08-12 00:00:00,TONE/USDT,0.02534,0.02635,0.02501,0.02535,832923.0671,21425.568333025
1660176000,2022-08-11 00:00:00,TONE/USDT,0.02733,0.02748,0.02501,0.02534,737945.7064,19329.752288682
1660089600,2022-08-10 00:00:00,TONE/USDT,0.0252,0.02772,0.02459,0.02733,1491770.2733,39338.165352976
1660003200,2022-08-09 00:00:00,TONE/USDT,0.02684,0.02709,0.0246,0.0252,4038928.9025,102485.607179347
1659916800,2022-08-08 00:00:00,TONE/USDT,0.02781,0.02894,0.02661,0.02681,1898873.666,52446.898708691
1659830400,2022-08-07 00:00:00,TONE/USDT,0.02772,0.02839,0.0255,0.02775,3104699.989,84245.813498162
1659744000,2022-08-06 00:00:00,TONE/USDT,0.0304,0.03141,0.02759,0.02775,1281151.8963,37717.103605148
1659657600,2022-08-05 00:00:00,TONE/USDT,0.02635,0.0325,0.02581,0.03037,9501171.1989,281614.596176427
1659571200,2022-08-04 00:00:00,TONE/USDT,0.02741,0.02852,0.02474,0.02624,9527867.9799,249575.77699886
1659484800,2022-08-03 00:00:00,TONE/USDT,0.03179,0.03284,0.02659,0.02734,14159224.3232,414125.985188163
1659398400,2022-08-02 00:00:00,TONE/USDT,0.03519,0.0359,0.02489,0.03181,38424708.7655,1208546.364876043
1659312000,2022-08-01 00:00:00,TONE/USDT,0.03453,0.03928,0.03107,0.0352,26220478.5456,921848.34682247
1659225600,2022-07-31 00:00:00,TONE/USDT,0.03089,0.03497,0.02998,0.03465,4820157.7762,155739.082428473
1659139200,2022-07-30 00:00:00,TONE/USDT,0.03168,0.03312,0.03,0.03089,3374996.2879,104007.083234637
1659052800,2022-07-29 00:00:00,TONE/USDT,0.03029,0.03383,0.03009,0.03169,2522427.8463,81625.597542498
1658966400,2022-07-28 00:00:00,TONE/USDT,0.0313,0.03419,0.02965,0.03029,5683339.587,176836.82851036
1658880000,2022-07-27 00:00:00,TONE/USDT,0.0336,0.03789,0.0305,0.0313,8101800.4374,263132.633457405
1658793600,2022-07-26 00:00:00,TONE/USDT,0.03546,0.03742,0.0316,0.03366,9364189.3753,317153.948158299
1658707200,2022-07-25 00:00:00,TONE/USDT,0.03627,0.03809,0.03364,0.03525,6504212.9831,229324.051990556
1658620800,2022-07-24 00:00:00,TONE/USDT,0.0356,0.0381,0.0353,0.03631,2720812.8246,100505.809011293
1658534400,2022-07-23 00:00:00,TONE/USDT,0.03299,0.03672,0.03242,0.0356,3468165.5186,119066.399538954
1658448000,2022-07-22 00:00:00,TONE/USDT,0.03276,0.03555,0.032,0.03299,3679771.10961254,126047.2133955639
1658361600,2022-07-21 00:00:00,TONE/USDT,0.02815,0.0346,0.02815,0.03288,3384255.6256,107110.488938651
1658275200,2022-07-20 00:00:00,TONE/USDT,0.03082,0.03162,0.02706,0.028,1927128.72180109,55990.3080244393936
1658188800,2022-07-19 00:00:00,TONE/USDT,0.02985,0.03299,0.0291,0.03082,1011025.90207793,31447.0593749251825
1658102400,2022-07-18 00:00:00,TONE/USDT,0.0322,0.03285,0.02939,0.03,1303654.85580354,40380.12165448623
1658016000,2022-07-17 00:00:00,TONE/USDT,0.02819,0.03285,0.02789,0.03222,2182836.94599926,67633.9484693601598
1657929600,2022-07-16 00:00:00,TONE/USDT,0.027,0.02969,0.02642,0.02819,2334312.16569938,65384.7383987508897
1657843200,2022-07-15 00:00:00,TONE/USDT,0.02544,0.027,0.02434,0.027,796862.49474778,20647.8531107629141
1657756800,2022-07-14 00:00:00,TONE/USDT,0.02616,0.02691,0.02353,0.02545,2828211.87354878,69848.6561785198303
1657670400,2022-07-13 00:00:00,TONE/USDT,0.02624,0.027,0.02416,0.02616,4808814.93008374,122745.4193854758948
1657584000,2022-07-12 00:00:00,TONE/USDT,0.02659,0.02696,0.02501,0.0262,2372999.33484521,60961.6599307383456
1657497600,2022-07-11 00:00:00,TONE/USDT,0.02523,0.02888,0.02481,0.02661,1784167.23096224,47510.3158522898284
1657411200,2022-07-10 00:00:00,TONE/USDT,0.0242,0.027,0.0239,0.02541,1263955.21146346,31949.2093375792054
1657324800,2022-07-09 00:00:00,TONE/USDT,0.02361,0.0245,0.02353,0.0242,778012.00153585,18556.2605329869437
1657238400,2022-07-08 00:00:00,TONE/USDT,0.02616,0.02625,0.0228,0.02376,1638195.1941434,39382.6146123730596
1657152000,2022-07-07 00:00:00,TONE/USDT,0.02565,0.02743,0.02547,0.02616,1081587.86580645,28433.1733612221712
1657065600,2022-07-06 00:00:00,TONE/USDT,0.02485,0.02699,0.02397,0.02551,2684684.63026488,68621.3793624404133
