https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ROSN,Volume USDT
1663459200,2022-09-18 00:00:00,ROSN/USDT,0.02458,0.02508,0.02453,0.02504,175872.1583,4362.32126723
1663372800,2022-09-17 00:00:00,ROSN/USDT,0.02535,0.02535,0.0236,0.02457,13104028.8905,321265.094993397
1663286400,2022-09-16 00:00:00,ROSN/USDT,0.02364,0.0258,0.02281,0.02535,16020846.757,392851.094628741
1663200000,2022-09-15 00:00:00,ROSN/USDT,0.02124,0.027,0.02092,0.02366,16894631.6619,392841.686885417
1663113600,2022-09-14 00:00:00,ROSN/USDT,0.02137,0.02237,0.021,0.02125,14436478.8174,310864.360073856
1663027200,2022-09-13 00:00:00,ROSN/USDT,0.02202,0.0247,0.02071,0.0214,15056830.501,335827.534579918
1662940800,2022-09-12 00:00:00,ROSN/USDT,0.01934,0.03,0.0191,0.02202,24465600.4486,560331.568407978
1662854400,2022-09-11 00:00:00,ROSN/USDT,0.01936,0.0214,0.0192,0.01941,15945986.827,316505.265540956
1662768000,2022-09-10 00:00:00,ROSN/USDT,0.01944,0.01989,0.0188,0.01935,15829307.2787,305364.810551298
1662681600,2022-09-09 00:00:00,ROSN/USDT,0.01783,0.01999,0.01761,0.01944,17238438.7055,324069.340446718
1662595200,2022-09-08 00:00:00,ROSN/USDT,0.01752,0.0186,0.0173,0.01785,16364485.2905,293617.754098782
1662508800,2022-09-07 00:00:00,ROSN/USDT,0.01883,0.01948,0.01633,0.01752,17577919.1991,316482.994120269
1662422400,2022-09-06 00:00:00,ROSN/USDT,0.01895,0.01979,0.0188,0.01884,16494881.7971,316328.264169348
1662336000,2022-09-05 00:00:00,ROSN/USDT,0.01732,0.02097,0.01724,0.01894,19980862.5463,368614.617244573
1662249600,2022-09-04 00:00:00,ROSN/USDT,0.01717,0.0179,0.01661,0.01732,18008688.6698,308950.698721949
1662163200,2022-09-03 00:00:00,ROSN/USDT,0.0171,0.0174,0.01651,0.01722,17591024.64,296628.071837385
1662076800,2022-09-02 00:00:00,ROSN/USDT,0.01654,0.01741,0.0159,0.01708,18687264.6088,310313.850392888
1661990400,2022-09-01 00:00:00,ROSN/USDT,0.01811,0.01819,0.01635,0.01642,19528198.9207,331537.820934472
1661904000,2022-08-31 00:00:00,ROSN/USDT,0.01968,0.02018,0.01763,0.01811,17592001.5002,334493.059023025
1661817600,2022-08-30 00:00:00,ROSN/USDT,0.02045,0.02099,0.01951,0.01965,14969206.1836,302481.504447168
1661731200,2022-08-29 00:00:00,ROSN/USDT,0.02022,0.0215,0.02,0.02045,15526431.1647,322872.446671561
1661644800,2022-08-28 00:00:00,ROSN/USDT,0.02066,0.0241,0.02,0.02021,17811656.6165,377293.983900496
1661558400,2022-08-27 00:00:00,ROSN/USDT,0.02092,0.02129,0.01999,0.02066,15091350.9786,312428.19908639
1661472000,2022-08-26 00:00:00,ROSN/USDT,0.0234,0.02402,0.02003,0.02092,14363187.216,321381.834860691
1661385600,2022-08-25 00:00:00,ROSN/USDT,0.02337,0.02622,0.02312,0.02339,14752882.1454,355360.866001849
1661299200,2022-08-24 00:00:00,ROSN/USDT,0.02499,0.02546,0.02312,0.02335,13522259.1433452,330912.88055944428
1661212800,2022-08-23 00:00:00,ROSN/USDT,0.02722,0.0282,0.02434,0.02486,14684519.1965,380590.280435573
1661126400,2022-08-22 00:00:00,ROSN/USDT,0.02964,0.03402,0.02647,0.02741,17057133.5477,494316.836486942
1661040000,2022-08-21 00:00:00,ROSN/USDT,0.02583,0.032,0.0246,0.02971,19439123.5223,533004.048780437
1660953600,2022-08-20 00:00:00,ROSN/USDT,0.03109,0.0349,0.02401,0.02585,22031709.6064,601368.878315439
1660867200,2022-08-19 00:00:00,ROSN/USDT,0.02409,0.042,0.0231,0.03112,39755760.85262894,1227275.8928540087678
1660780800,2022-08-18 00:00:00,ROSN/USDT,0.02338,0.02569,0.0223,0.02411,14789958.2156,347959.137881285
1660694400,2022-08-17 00:00:00,ROSN/USDT,0.02222,0.02612,0.02119,0.02337,20063281.3943,462529.677507059
1660608000,2022-08-16 00:00:00,ROSN/USDT,0.02399,0.02602,0.0206,0.02219,17618455.8712,398144.156068049
1660521600,2022-08-15 00:00:00,ROSN/USDT,0.02055,0.03149,0.0204,0.02404,28326325.8853,680618.235036138
1660435200,2022-08-14 00:00:00,ROSN/USDT,0.0217,0.02283,0.02023,0.02055,14067785.9274,301375.11628206
1660348800,2022-08-13 00:00:00,ROSN/USDT,0.02011,0.026,0.02006,0.02169,18575253.7816,402699.752105867
1660262400,2022-08-12 00:00:00,ROSN/USDT,0.02096,0.02101,0.01986,0.02011,15482279.8226,314226.923088574
1660176000,2022-08-11 00:00:00,ROSN/USDT,0.01996,0.02179,0.01994,0.02095,14777580.5257,307263.305390939
1660089600,2022-08-10 00:00:00,ROSN/USDT,0.01904,0.02036,0.01871,0.01995,16006923.1908,310541.098225543
1660003200,2022-08-09 00:00:00,ROSN/USDT,0.02077,0.02085,0.0189,0.01904,14943478.828,296954.238625746
1659916800,2022-08-08 00:00:00,ROSN/USDT,0.02035,0.02145,0.02022,0.02075,15257961.4938,317138.927950598
1659830400,2022-08-07 00:00:00,ROSN/USDT,0.02121,0.02139,0.02025,0.02036,14751093.7337,305091.513984522
1659744000,2022-08-06 00:00:00,ROSN/USDT,0.02131,0.0221,0.02094,0.0212,15073283.4616,320352.155352874
1659657600,2022-08-05 00:00:00,ROSN/USDT,0.02171,0.0225,0.02116,0.02131,14120825.2736,305205.606243567
1659571200,2022-08-04 00:00:00,ROSN/USDT,0.02064,0.023,0.0201,0.02167,14539264.5787,313196.26896375
1659484800,2022-08-03 00:00:00,ROSN/USDT,0.02286,0.02484,0.02,0.02066,16425439.9659,343612.945122589
1659398400,2022-08-02 00:00:00,ROSN/USDT,0.01896,0.025,0.01841,0.02294,16510744.0688,332034.304230538
1659312000,2022-08-01 00:00:00,ROSN/USDT,0.0194,0.0206,0.01811,0.01898,16024487.4069,305507.747933216
1659225600,2022-07-31 00:00:00,ROSN/USDT,0.01938,0.0209,0.01903,0.01939,14563641.5873,288967.966525646
1659139200,2022-07-30 00:00:00,ROSN/USDT,0.01983,0.02079,0.01938,0.01939,15009199.8255,303458.898010499
