https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume BTC,tradecount
1663545600000,2022-09-19 00:00:00,LTC/BTC,0.00271200,0.00272600,0.00271100,0.00272100,5559.07100000,15.12572614,519
1663459200000,2022-09-18 00:00:00,LTC/BTC,0.00287500,0.00287600,0.00269300,0.00271100,88380.23300000,247.49112939,28453
1663372800000,2022-09-17 00:00:00,LTC/BTC,0.00282400,0.00291200,0.00280500,0.00287500,69751.03700000,199.71542540,21869
1663286400000,2022-09-16 00:00:00,LTC/BTC,0.00286000,0.00288600,0.00279100,0.00282500,75386.21800000,213.14719608,24821
1663200000000,2022-09-15 00:00:00,LTC/BTC,0.00297500,0.00299700,0.00284300,0.00286000,101896.28700000,298.81727683,35727
1663113600000,2022-09-14 00:00:00,LTC/BTC,0.00292900,0.00301400,0.00288800,0.00297500,96140.40300000,283.98620529,34930
1663027200000,2022-09-13 00:00:00,LTC/BTC,0.00274000,0.00304300,0.00271600,0.00292900,217311.60100000,632.07967850,68800
1662940800000,2022-09-12 00:00:00,LTC/BTC,0.00284800,0.00285800,0.00272400,0.00274000,103002.53800000,286.80376942,33540
1662854400000,2022-09-11 00:00:00,LTC/BTC,0.00292400,0.00299500,0.00284800,0.00284800,68513.94500000,199.49632746,25217
1662768000000,2022-09-10 00:00:00,LTC/BTC,0.00286200,0.00304300,0.00284500,0.00292300,107849.70700000,317.36623185,35595
1662681600000,2022-09-09 00:00:00,LTC/BTC,0.00299900,0.00303200,0.00284300,0.00286200,118374.92600000,346.11023796,33064
1662595200000,2022-09-08 00:00:00,LTC/BTC,0.00297100,0.00302100,0.00292900,0.00299900,82239.36300000,244.43349234,25877
1662508800000,2022-09-07 00:00:00,LTC/BTC,0.00287900,0.00301300,0.00284300,0.00297100,120494.48800000,350.53564686,32115
1662422400000,2022-09-06 00:00:00,LTC/BTC,0.00305000,0.00312300,0.00287000,0.00288000,130459.88700000,389.66684666,40363
1662336000000,2022-09-05 00:00:00,LTC/BTC,0.00304300,0.00309100,0.00300900,0.00305000,73177.17100000,222.44706265,24154
1662249600000,2022-09-04 00:00:00,LTC/BTC,0.00303400,0.00306100,0.00297300,0.00304500,82238.30200000,247.47551715,24876
1662163200000,2022-09-03 00:00:00,LTC/BTC,0.00305500,0.00311800,0.00300500,0.00303400,89923.38000000,275.48777312,31374
1662076800000,2022-09-02 00:00:00,LTC/BTC,0.00286100,0.00312000,0.00282500,0.00305700,169603.64500000,506.59679327,51823
1661990400000,2022-09-01 00:00:00,LTC/BTC,0.00268400,0.00289000,0.00266800,0.00286100,127004.90500000,354.67265460,42172
1661904000000,2022-08-31 00:00:00,LTC/BTC,0.00267700,0.00274100,0.00265800,0.00268500,76275.19100000,204.88130821,22077
1661817600000,2022-08-30 00:00:00,LTC/BTC,0.00274900,0.00275000,0.00264400,0.00267500,79052.47800000,212.93342926,25129
1661731200000,2022-08-29 00:00:00,LTC/BTC,0.00273200,0.00281500,0.00268400,0.00274900,102778.50300000,282.76420532,34886
1661644800000,2022-08-28 00:00:00,LTC/BTC,0.00264600,0.00279500,0.00263100,0.00273100,123405.36800000,334.87076714,35095
1661558400000,2022-08-27 00:00:00,LTC/BTC,0.00260300,0.00266300,0.00258900,0.00264500,67620.21000000,177.21764949,18410
1661472000000,2022-08-26 00:00:00,LTC/BTC,0.00262700,0.00267200,0.00258300,0.00260300,97847.31600000,256.01131611,28922
1661385600000,2022-08-25 00:00:00,LTC/BTC,0.00264100,0.00265100,0.00259100,0.00262700,78911.45500000,207.01356692,22148
1661299200000,2022-08-24 00:00:00,LTC/BTC,0.00265300,0.00265500,0.00261100,0.00264200,67566.80700000,177.96616314,20557
1661212800000,2022-08-23 00:00:00,LTC/BTC,0.00267400,0.00268600,0.00257100,0.00265200,89081.67400000,234.73071249,26233
1661126400000,2022-08-22 00:00:00,LTC/BTC,0.00258700,0.00269200,0.00249600,0.00267300,185625.41500000,482.86522554,42200
