https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EUR,Volume ETH
1663545600000,2022-09-19 00:00:00,ETH/EUR,1332.181815,1350.6007427,1330.02750579,1342.5685416,150175.63811190997,111.85696183
1663542000000,2022-09-18 23:00:00,ETH/EUR,1339.2326048,1351.3,1327.7,1332.5809706,365318.5531669254,274.14360645
1663538400000,2022-09-18 22:00:00,ETH/EUR,1330.8769482,1340.9,1325.56548434,1338.5,371747.1881512,277.7341712
1663534800000,2022-09-18 21:00:00,ETH/EUR,1370.0672679,1370.0672679,1324.0,1334.2,452797.4762302181,339.37751179
1663531200000,2022-09-18 20:00:00,ETH/EUR,1378.1540892,1379.2,1368.5,1369.1687322,29246.6822864599,21.36090432
1663527600000,2022-09-18 19:00:00,ETH/EUR,1371.3,1385.0428629,1367.5713354,1379.3521368,58425.649133555264,42.35731223
1663524000000,2022-09-18 18:00:00,ETH/EUR,1374.4601091,1384.8,1365.0,1372.7,385540.065089697,280.86258111
1663520400000,2022-09-18 17:00:00,ETH/EUR,1393.76902641,1395.9251286,1370.766129,1375.62575553,239035.90742523415,173.76521664
1663516800000,2022-09-18 16:00:00,ETH/EUR,1414.6,1422.0825012,1385.0,1393.8285453,844669.0137136945,606.00639624
1663513200000,2022-09-18 15:00:00,ETH/EUR,1418.5133533,1423.75358705,1410.1020252,1414.7,174026.81181249002,123.0132267
1663509600000,2022-09-18 14:00:00,ETH/EUR,1432.7,1432.7650923,1409.0,1418.6,55299.813591332,38.98196362
1663506000000,2022-09-18 13:00:00,ETH/EUR,1436.5589097,1436.6,1431.0,1432.7,14634.674316453,10.21475139
1663502400000,2022-09-18 12:00:00,ETH/EUR,1433.3641161,1437.7569573,1425.2,1435.9,28397.662111046004,19.77690794
1663498800000,2022-09-18 11:00:00,ETH/EUR,1430.3,1433.5,1428.9712749,1431.666882,29917.12543067455,20.89670845
1663495200000,2022-09-18 10:00:00,ETH/EUR,1420.3993027,1439.14490145,1415.6,1430.2,88668.388517832,61.99719516
1663491600000,2022-09-18 09:00:00,ETH/EUR,1453.3961185,1455.9,1421.7014118,1422.2821758,150801.82556178165,106.028064
1663488000000,2022-09-18 08:00:00,ETH/EUR,1451.97149275,1457.2,1450.9,1453.3,40715.430822958,28.015847259999997
1663484400000,2022-09-18 07:00:00,ETH/EUR,1453.1319015,1455.60369161,1451.4,1451.9,8941.079226142,6.1581921799999995
1663480800000,2022-09-18 06:00:00,ETH/EUR,1456.0,1457.61447874,1448.94973878,1452.3,7268.499606740999,5.00481967
1663477200000,2022-09-18 05:00:00,ETH/EUR,1451.7,1457.8,1450.5,1456.72129126,6800.096798636056,4.66808362
