https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume JPY,Volume BTC
1663545600000,2022-09-19 00:00:00,BTC/JPY,2771200.00000035,2785799.99999935,2768800.00000023,2785699.99999953,281881411.09184146,101.18871777
1663459200000,2022-09-18 00:00:00,BTC/JPY,2876399.9999997,2876399.9999997,2766100.0000002,2771200.00000035,1224731955.9194508,441.95004183000003
1663372800000,2022-09-17 00:00:00,BTC/JPY,2831400.0000004,2888699.99999966,2825000.00000011,2877000.00000009,7316317844.415109,2543.03713744
1663286400000,2022-09-16 00:00:00,BTC/JPY,2828600.00000054,2845201.20119402,2769215.75689579,2827700.00000004,2912572260.1866527,1030.01459143
1663200000000,2022-09-15 00:00:00,BTC/JPY,2891513.172737,2921907.234723,2798700.00000011,2826399.99999984,1532326979.814065,542.14795493
1663113600000,2022-09-14 00:00:00,BTC/JPY,2913999.99999975,2963269.69715998,2809935.41713499,2891100.00000039,8917867279.615402,3084.59315818
1663027200000,2022-09-13 00:00:00,BTC/JPY,3194300.00000003,3234314.13306601,2876110.80293402,2917200.0000004,7606468952.391923,2607.4554204
1662940800000,2022-09-12 00:00:00,BTC/JPY,3113200.00000058,3209844.62011851,3080299.99999941,3192399.99999943,2544707524.931658,797.11424788
1662854400000,2022-09-11 00:00:00,BTC/JPY,3089900.00000067,3114999.99999945,3043907.65439998,3113700.00000034,557007006.0828757,178.88910495
1662768000000,2022-09-10 00:00:00,BTC/JPY,3044533.68829213,3106182.35687998,3012999.99999991,3084000.00000024,469177880.8087565,152.13290558
1662681600000,2022-09-09 00:00:00,BTC/JPY,2778999.99999952,3076399.99999942,2776399.99999996,3047013.48875528,9578264422.285978,3143.49262241
1662595200000,2022-09-08 00:00:00,BTC/JPY,2781800.00000031,2801451.53610001,2741299.99999938,2778600.00000061,8345027713.068866,3003.32099369
1662508800000,2022-09-07 00:00:00,BTC/JPY,2690500.00000064,2797235.76065602,2660899.99999942,2781399.99999991,2399377806.6716127,862.6511133500001
1662422400000,2022-09-06 00:00:00,BTC/JPY,2778900.00000048,2837340.80365202,2667299.99999985,2688199.99999999,4722018363.883465,1756.57256301
1662336000000,2022-09-05 00:00:00,BTC/JPY,2810699.99999938,2815700.00000062,2759870.54313792,2777900.00000022,256374438.1734253,92.29073695
1662249600000,2022-09-04 00:00:00,BTC/JPY,2781500.00000022,2811000.0000002,2748200.00000065,2810070.99900202,441865398.31665355,157.24349971
1662163200000,2022-09-03 00:00:00,BTC/JPY,2798331.93632001,2813100.00000038,2754799.99999974,2781800.00000011,210877105.93071634,75.80599106
1662076800000,2022-09-02 00:00:00,BTC/JPY,2820600.0000006,2865500.00000005,2769423.06638459,2799999.99999936,3870133957.6751156,1382.19069917
1661990400000,2022-09-01 00:00:00,BTC/JPY,2795225.90836463,2829500.00000056,2742300.00000051,2820800.00000064,2572818438.9317675,912.08821573
1661904000000,2022-08-31 00:00:00,BTC/JPY,2752155.75816001,2837317.59348998,2751099.9999996,2794099.99999943,1723996941.1894393,617.01332851
1661817600000,2022-08-30 00:00:00,BTC/JPY,2813589.46274399,2851899.9999995,2715318.463576,2748964.45075201,728056706.9532368,264.84762535
1661731200000,2022-08-29 00:00:00,BTC/JPY,2703099.99999996,2834700.00000056,2703099.99999996,2814975.67226399,986371602.3719372,350.40146602
1661644800000,2022-08-28 00:00:00,BTC/JPY,2757299.99999989,2772623.3812,2702600.00000049,2702600.00000049,391173568.8395789,144.73972058
1661558400000,2022-08-27 00:00:00,BTC/JPY,2785699.99999941,2805700.00000043,2722000.00000045,2756200.0000004,283130988.2847511,102.72512455
1661472000000,2022-08-26 00:00:00,BTC/JPY,2943830.266608,2987436.86236299,2771737.12353602,2789699.99999962,9520019147.088911,3412.56018464
1661385600000,2022-08-25 00:00:00,BTC/JPY,2929700.00000026,2977400.00000063,2922199.99999937,2950300.00000046,736875429.1420499,249.76288145
1661299200000,2022-08-24 00:00:00,BTC/JPY,2944899.99999936,2997577.55126999,2896499.99999974,2929600.0000004,2350405534.251985,802.29571759
1661212800000,2022-08-23 00:00:00,BTC/JPY,2943399.99999937,2969914.42198,2872100.00000005,2943346.84137366,2292782607.0017033,778.97126318
1661126400000,2022-08-22 00:00:00,BTC/JPY,2947108.3234934,2962695.62612801,2861099.99999948,2944100.00000052,690690792.48638,234.60167538
1661040000000,2022-08-21 00:00:00,BTC/JPY,2896499.99999932,2982246.95791398,2886136.425328,2947799.99999934,188613699.32149178,63.98456453
1660953600000,2022-08-20 00:00:00,BTC/JPY,2853499.99999965,2924699.99999933,2843300.00000019,2895582.560104,135267499.36094972,46.71512435
1660867200000,2022-08-19 00:00:00,BTC/JPY,3148200.00000048,3149379.50263198,2849572.55378401,2851488.60084001,1628375142.5978422,571.06142459
