https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SWP,Volume USDT
1663459200,2022-09-18 00:00:00,SWP/USDT,0.2283,0.2283,0.2261,0.2278,93641.9252,21333.15598202
1663372800,2022-09-17 00:00:00,SWP/USDT,0.2349,0.2363,0.2222,0.2285,1911777.6855,437918.77279243
1663286400,2022-09-16 00:00:00,SWP/USDT,0.2716,0.2734,0.2315,0.2347,1510532.4566,379044.62319331
1663200000,2022-09-15 00:00:00,SWP/USDT,0.3185,0.3243,0.2612,0.2716,1387508.3274,420407.47173492
1663113600,2022-09-14 00:00:00,SWP/USDT,0.3151,0.3213,0.3116,0.3183,1433774.7754,455807.60259735
1663027200,2022-09-13 00:00:00,SWP/USDT,0.325,0.3251,0.3149,0.3152,1222478.0098,391029.04822714
1662940800,2022-09-12 00:00:00,SWP/USDT,0.3247,0.3339,0.3229,0.3253,1370597.171,446803.77895595
1662854400,2022-09-11 00:00:00,SWP/USDT,0.3275,0.3316,0.3224,0.3246,1139854.7887,371465.00640032
1662768000,2022-09-10 00:00:00,SWP/USDT,0.3253,0.331,0.3224,0.3276,1321775.1446,431005.97583899
1662681600,2022-09-09 00:00:00,SWP/USDT,0.3262,0.3263,0.3185,0.3249,1676956.6673,540953.00882685
1662595200,2022-09-08 00:00:00,SWP/USDT,0.3263,0.3266,0.3262,0.3262,291103.8881,95010.53709638
1662508800,2022-09-07 00:00:00,SWP/USDT,0.326,0.3266,0.3255,0.3263,839627.5383,274049.82084189
1662422400,2022-09-06 00:00:00,SWP/USDT,0.3272,0.3284,0.3246,0.3261,1334073.6083,434760.59596154
1662336000,2022-09-05 00:00:00,SWP/USDT,0.3411,0.3438,0.3183,0.3271,1230787.8688,407344.09729707
1662249600,2022-09-04 00:00:00,SWP/USDT,0.3581,0.45,0.01,0.3411,1315683.7136,455115.40717695
1662163200,2022-09-03 00:00:00,SWP/USDT,0.3611,0.3613,0.3563,0.358,1194856.1692,428015.04609994
1662076800,2022-09-02 00:00:00,SWP/USDT,0.3573,0.3625,0.3545,0.361,1153205.8436,413527.17877779
1661990400,2022-09-01 00:00:00,SWP/USDT,0.3633,0.3636,0.3559,0.3574,1225383.5983,441390.20133086
1661904000,2022-08-31 00:00:00,SWP/USDT,0.3656,0.3676,0.3599,0.3631,1227688.0042,446304.98706718
1661817600,2022-08-30 00:00:00,SWP/USDT,0.3663,0.3676,0.3603,0.3655,1152955.958,419926.29270913
1661731200,2022-08-29 00:00:00,SWP/USDT,0.3662,0.3676,0.3629,0.3665,1190306.5988,435792.11973691
1661644800,2022-08-28 00:00:00,SWP/USDT,0.3764,0.3766,0.3641,0.3664,1162750.633,427375.32419987
1661558400,2022-08-27 00:00:00,SWP/USDT,0.3783,0.3783,0.3758,0.3765,1140412.9664,429192.58902646
1661472000,2022-08-26 00:00:00,SWP/USDT,0.3702,0.4547,0.3635,0.3786,1271075.1188,476644.36739228
