https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETHBULL,Volume USD
1663545600000.0,2022-09-19 00:00:00,ETHBULL/USD,4.678,4.735,4.655,4.655,3243.1868249194413,15097.03467
1663459200000.0,2022-09-18 00:00:00,ETHBULL/USD,6.4325,6.435,4.575,4.678,191363.17660324927,895196.94015
1663372800000.0,2022-09-17 00:00:00,ETHBULL/USD,5.96,6.495,5.6675,6.4325,85915.61838709677,552652.215275
1663286400000.0,2022-09-16 00:00:00,ETHBULL/USD,6.4725,6.61,5.5975,5.965,203577.9233864208,1214342.313
1663200000000.0,2022-09-15 00:00:00,ETHBULL/USD,8.98,9.5,6.21,6.475,378919.3724749035,2453502.936775
1663113600000.0,2022-09-14 00:00:00,ETHBULL/USD,7.98,9.0775,7.6375,8.98,82951.30050668151,744902.67855
1663027200000.0,2022-09-13 00:00:00,ETHBULL/USD,10.6275,11.495,7.75,7.98,408299.28974310774,3258228.33215
1662940800000.0,2022-09-12 00:00:00,ETHBULL/USD,11.585,11.9,10.17,10.6275,130346.8409174312,1385261.05185
1662854400000.0,2022-09-11 00:00:00,ETHBULL/USD,11.75,12.02,10.635,11.585,54994.2377557186,637108.2444
1662768000000.0,2022-09-10 00:00:00,ETHBULL/USD,10.695,12.0,10.48,11.75,66246.87378936169,778400.767025
1662681600000.0,2022-09-09 00:00:00,ETHBULL/USD,9.2725,11.125,9.1825,10.695,113178.96775829827,1210449.060175
1662595200000.0,2022-09-08 00:00:00,ETHBULL/USD,9.16,9.7425,8.57,9.2725,98154.50128336478,910137.61315
1662508800000.0,2022-09-07 00:00:00,ETHBULL/USD,8.0575,9.575,7.015,9.16,120549.72078875545,1104235.442425
1662422400000.0,2022-09-06 00:00:00,ETHBULL/USD,9.045,10.22,8.0,8.0575,206437.8952435619,1663373.340925
1662336000000.0,2022-09-05 00:00:00,ETHBULL/USD,8.425,9.255,8.08,9.045,50326.181495301265,455200.311625
1662249600000.0,2022-09-04 00:00:00,ETHBULL/USD,8.065,8.47,7.8225,8.425,40788.62571216617,343644.171625
1662163200000.0,2022-09-03 00:00:00,ETHBULL/USD,8.37,8.4525,7.72,8.065,42309.61233415995,341227.023475
1662076800000.0,2022-09-02 00:00:00,ETHBULL/USD,8.5225,9.54,7.9075,8.37,141886.66111409798,1187591.353525
1661990400000.0,2022-09-01 00:00:00,ETHBULL/USD,8.03,8.715,7.41,8.5225,96296.93452332061,820690.624475
1661904000000.0,2022-08-31 00:00:00,ETHBULL/USD,7.565,9.0,7.565,8.03,123772.89104607722,993896.3151
1661817600000.0,2022-08-30 00:00:00,ETHBULL/USD,7.98,8.8,6.77,7.565,190939.31073033708,1444455.885675
1661731200000.0,2022-08-29 00:00:00,ETHBULL/USD,6.2875,8.075,6.23,7.98,137921.4301879699,1100613.0129
1661644800000.0,2022-08-28 00:00:00,ETHBULL/USD,7.22,7.485,6.26,6.2875,103682.27705367793,651902.316975
1661558400000.0,2022-08-27 00:00:00,ETHBULL/USD,7.465,7.605,6.555,7.22,112631.47513504156,813199.250475
1661472000000.0,2022-08-26 00:00:00,ETHBULL/USD,11.17,11.395,7.185,7.48,299672.2035929144,2241548.082875
1661385600000.0,2022-08-25 00:00:00,ETHBULL/USD,10.445,11.67,10.24,11.17,72612.72512533572,811084.13965
1661299200000.0,2022-08-24 00:00:00,ETHBULL/USD,10.575,11.14,9.46,10.445,92177.25890617521,962791.469275
1661212800000.0,2022-08-23 00:00:00,ETHBULL/USD,9.865,10.77,8.7775,10.575,113990.82079196218,1205452.929875
1661126400000.0,2022-08-22 00:00:00,ETHBULL/USD,9.7225,9.9125,8.17,9.865,96627.8288241257,953233.53135
1661040000000.0,2022-08-21 00:00:00,ETHBULL/USD,9.0,10.205,8.765,9.7225,62770.3655386989,610284.87895
1660953600000.0,2022-08-20 00:00:00,ETHBULL/USD,9.605,10.43,8.07,9.0,94475.52988888888,850279.769
1660867200000.0,2022-08-19 00:00:00,ETHBULL/USD,15.23,15.27,9.46,9.605,197178.51557782403,1893899.642125
1660780800000.0,2022-08-18 00:00:00,ETHBULL/USD,14.915,16.08,14.575,15.23,68210.56314510833,1038846.8767
1660694400000.0,2022-08-17 00:00:00,ETHBULL/USD,16.055,18.08,14.565,14.915,85029.06849145157,1268208.55655
1660608000000.0,2022-08-16 00:00:00,ETHBULL/USD,16.66,17.015,15.405,16.055,40883.218206166304,656380.0683
1660521600000.0,2022-08-15 00:00:00,ETHBULL/USD,17.675,19.69,15.95,16.66,94553.06771608643,1575254.10815
1660435200000.0,2022-08-14 00:00:00,ETHBULL/USD,19.05,20.375,16.83,17.675,64414.97185997171,1138534.627625
1660348800000.0,2022-08-13 00:00:00,ETHBULL/USD,18.38,20.06,18.045,19.05,57295.94839107612,1091487.81685
1660262400000.0,2022-08-12 00:00:00,ETHBULL/USD,16.35,18.63,15.65,18.38,48343.12028699674,888546.550875
1660176000000.0,2022-08-11 00:00:00,ETHBULL/USD,15.68,17.86,15.59,16.35,82979.88478134556,1356721.116175
1660089600000.0,2022-08-10 00:00:00,ETHBULL/USD,12.38,16.355,11.38,15.68,173656.3636208546,2722931.781575
