https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume PLN,Volume USDT
1663545600000,2022-09-19 00:00:00,USDT/PLN,4.712157,4.714093,4.706274,4.706274,1543.6578719999998,328.0
1663459200000,2022-09-18 00:00:00,USDT/PLN,4.726347,4.75078,4.703006,4.714366,55473.8499673449,11766.97990087
1663372800000,2022-09-17 00:00:00,USDT/PLN,4.717458,4.75078,4.697674,4.713247,51925.9820239294,11017.02966637
1663286400000,2022-09-16 00:00:00,USDT/PLN,4.739083,4.771513,4.684052,4.725158,56799.55753366682,12020.66841652
1663200000000,2022-09-15 00:00:00,USDT/PLN,4.769382,4.79746,4.716803,4.743332,60815.39331458177,12821.23901818
1663113600000,2022-09-14 00:00:00,USDT/PLN,4.715724,4.77268,4.685013,4.754819,51364.56872262633,10802.63385896
1663027200000,2022-09-13 00:00:00,USDT/PLN,4.638667,4.813472,4.620001,4.764198,125463.99979550502,26334.75766446
1662940800000,2022-09-12 00:00:00,USDT/PLN,4.667353,4.70987,4.609633,4.641023,55192.89865680596,11892.39929576
1662854400000,2022-09-11 00:00:00,USDT/PLN,4.682533,4.711424,4.662728,4.678061,53683.1604263929,11475.5152672
1662768000000,2022-09-10 00:00:00,USDT/PLN,4.690142,4.7,4.658565,4.684931,53460.216988303466,11411.10018233
1662681600000,2022-09-09 00:00:00,USDT/PLN,4.723258,4.744676,4.658978,4.691967,59762.5871194845,12737.2138635
1662595200000,2022-09-08 00:00:00,USDT/PLN,4.724255,4.773305,4.717516,4.723044,53830.72829069165,11397.46491684
1662508800000,2022-09-07 00:00:00,USDT/PLN,4.811497,4.830824,4.710718,4.735075,53872.113171777135,11377.24601443
1662422400000,2022-09-06 00:00:00,USDT/PLN,4.749914,4.824805,4.710718,4.811497,57611.58180632957,11973.73329056
1662336000000,2022-09-05 00:00:00,USDT/PLN,4.766892,4.818946,4.736503,4.742333,62127.36231420308,13100.59042969
1662249600000,2022-09-04 00:00:00,USDT/PLN,4.749917,4.823879,4.719432,4.767623,84358.03722630581,17693.94040307
1662163200000,2022-09-03 00:00:00,USDT/PLN,4.745816,4.800961,4.725516,4.761694,70473.70619270351,14800.13335437
1662076800000,2022-09-02 00:00:00,USDT/PLN,4.754396,4.782139,4.682591,4.751891,53047.95425003632,11163.54610197
1661990400000,2022-09-01 00:00:00,USDT/PLN,4.716615,4.798283,4.684386,4.748067,72630.29076724674,15296.81252755
1661904000000,2022-08-31 00:00:00,USDT/PLN,4.717556,4.775143,4.676431,4.712959,58209.41285618617,12350.92706221
1661817600000,2022-08-30 00:00:00,USDT/PLN,4.742074,4.771645,4.694204,4.729475,67807.22248632392,14337.1563411
1661731200000,2022-08-29 00:00:00,USDT/PLN,4.792517,4.813219,4.720363,4.747355,94709.13726537458,19949.87467029
1661644800000,2022-08-28 00:00:00,USDT/PLN,4.76046,4.814932,4.739927,4.79477,64578.24873610137,13468.47684792
1661558400000,2022-08-27 00:00:00,USDT/PLN,4.775868,4.821151,4.746468,4.766048,75860.12538701779,15916.77746154
1661472000000,2022-08-26 00:00:00,USDT/PLN,4.762871,4.852718,4.703401,4.765834,125331.15271104094,26297.84266742
1661385600000,2022-08-25 00:00:00,USDT/PLN,4.786712,4.802671,4.742411,4.755227,64125.48501571295,13485.26264166
