https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LINK3S,Volume USDT
1663462800,2022-09-18 01:00:00,LINK3S/USDT,0.4727,0.4793,0.4657,0.4764,5959.031,2812.22440361
1663459200,2022-09-18 00:00:00,LINK3S/USDT,0.4616,0.4785,0.4537,0.4727,9145.8405,4213.71159092
1663455600,2022-09-17 23:00:00,LINK3S/USDT,0.467,0.4704,0.4537,0.4576,10340.7429,4767.37567334
1663452000,2022-09-17 22:00:00,LINK3S/USDT,0.4932,0.4949,0.4677,0.4677,688.7847,331.62901014
1663448400,2022-09-17 21:00:00,LINK3S/USDT,0.47,0.4947,0.4696,0.4947,3291.8639,1593.20006057
1663444800,2022-09-17 20:00:00,LINK3S/USDT,0.4771,0.4794,0.4684,0.47,3677.6854,1740.44447328
1663441200,2022-09-17 19:00:00,LINK3S/USDT,0.4907,0.4931,0.4769,0.4769,1254.2719,611.60391678
1663437600,2022-09-17 18:00:00,LINK3S/USDT,0.492,0.495,0.4847,0.4885,2994.7257,1467.34499306
1663434000,2022-09-17 17:00:00,LINK3S/USDT,0.4817,0.4907,0.4671,0.4879,6728.1564,3213.98602448
1663430400,2022-09-17 16:00:00,LINK3S/USDT,0.5066,0.5074,0.4801,0.4867,7635.9557,3747.71606358
1663426800,2022-09-17 15:00:00,LINK3S/USDT,0.4937,0.5066,0.4861,0.5066,3111.682,1535.31396912
1663423200,2022-09-17 14:00:00,LINK3S/USDT,0.5082,0.5082,0.4896,0.4938,2901.1662,1431.90756081
1663419600,2022-09-17 13:00:00,LINK3S/USDT,0.5167,0.5167,0.516,0.5165,155.3802,80.23948251
1663416000,2022-09-17 12:00:00,LINK3S/USDT,0.5164,0.5244,0.4991,0.512,2647.24,1350.03031342
1663412400,2022-09-17 11:00:00,LINK3S/USDT,0.5065,0.5164,0.5038,0.5038,1400.5682,718.97992056
1663408800,2022-09-17 10:00:00,LINK3S/USDT,0.4886,0.5095,0.4886,0.5065,1491.7826,754.78891001
1663405200,2022-09-17 09:00:00,LINK3S/USDT,0.4974,0.5022,0.48,0.4836,6974.0285,3400.55320966
1663401600,2022-09-17 08:00:00,LINK3S/USDT,0.4832,0.4937,0.477,0.489,851.9174,411.06992128
1663398000,2022-09-17 07:00:00,LINK3S/USDT,0.489,0.4959,0.4717,0.4838,6571.6482,3145.58212903
1663394400,2022-09-17 06:00:00,LINK3S/USDT,0.4869,0.4957,0.485,0.4957,6806.1539,3322.78652098
1663390800,2022-09-17 05:00:00,LINK3S/USDT,0.5135,0.5273,0.4868,0.4886,5614.3833,2801.34548387
1663387200,2022-09-17 04:00:00,LINK3S/USDT,0.5226,0.5239,0.5145,0.5207,2424.1413,1259.19353043
1663383600,2022-09-17 03:00:00,LINK3S/USDT,0.5291,0.5293,0.5256,0.5256,105.2386,55.6974751
1663380000,2022-09-17 02:00:00,LINK3S/USDT,0.5298,0.5341,0.5229,0.532,1802.938,949.17170404
1663376400,2022-09-17 01:00:00,LINK3S/USDT,0.5507,0.5531,0.5313,0.5313,849.525,462.99093119
