https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ANT,Volume USDT
1663462800,2022-09-18 01:00:00,ANT/USDT,1.7403,1.7417,1.7403,1.7417,146.89304889,255.773623251713
1663459200,2022-09-18 00:00:00,ANT/USDT,1.7499,1.7523,1.7359,1.741,528.55815408,920.903331699345
1663455600,2022-09-17 23:00:00,ANT/USDT,1.7423,1.7546,1.7415,1.7519,445.56610741,779.822244825305
1663452000,2022-09-17 22:00:00,ANT/USDT,1.7405,1.7421,1.7386,1.7409,356.0719,619.54883467
1663448400,2022-09-17 21:00:00,ANT/USDT,1.7373,1.7444,1.7369,1.7423,403.73655396,702.747140936884
1663444800,2022-09-17 20:00:00,ANT/USDT,1.733,1.7375,1.7321,1.7375,35.7075,61.97558224
1663441200,2022-09-17 19:00:00,ANT/USDT,1.7311,1.7338,1.7248,1.7338,541.89260288,936.51076146362
1663437600,2022-09-17 18:00:00,ANT/USDT,1.7331,1.7362,1.7326,1.733,390.60353214,677.304840677379
1663434000,2022-09-17 17:00:00,ANT/USDT,1.739,1.7456,1.7302,1.734,407.91670776,709.597059953112
1663430400,2022-09-17 16:00:00,ANT/USDT,1.7337,1.7444,1.7337,1.7391,1313.4419515,2286.526748621935
1663426800,2022-09-17 15:00:00,ANT/USDT,1.73,1.734,1.7255,1.734,663.5346,1147.06222562
1663423200,2022-09-17 14:00:00,ANT/USDT,1.7221,1.73,1.7221,1.73,2046.71144082,3537.134658608368
1663419600,2022-09-17 13:00:00,ANT/USDT,1.7133,1.7218,1.7133,1.7176,891.3928,1532.30695293
1663416000,2022-09-17 12:00:00,ANT/USDT,1.7119,1.7134,1.7061,1.7134,880.38664856,1505.979015716451
1663412400,2022-09-17 11:00:00,ANT/USDT,1.706,1.7135,1.7036,1.7128,158.04086741,270.163815053479
1663408800,2022-09-17 10:00:00,ANT/USDT,1.7129,1.7129,1.7005,1.7049,609.6449,1040.7641718
1663405200,2022-09-17 09:00:00,ANT/USDT,1.718,1.7191,1.7132,1.7138,313.1477,538.08420168
1663401600,2022-09-17 08:00:00,ANT/USDT,1.7115,1.721,1.7105,1.7179,496.28445883,851.781110952122
1663398000,2022-09-17 07:00:00,ANT/USDT,1.7175,1.7175,1.7088,1.7088,566.82636518,971.216108592277
1663394400,2022-09-17 06:00:00,ANT/USDT,1.7181,1.7191,1.7138,1.716,550.54051666,944.384641152773
1663390800,2022-09-17 05:00:00,ANT/USDT,1.719,1.721,1.7126,1.7186,2709.86062493,4651.099237180386
1663387200,2022-09-17 04:00:00,ANT/USDT,1.7213,1.7263,1.7213,1.723,668.47137704,1152.279608883284
1663383600,2022-09-17 03:00:00,ANT/USDT,1.7206,1.7244,1.7181,1.7214,760.40547464,1307.851590326667
1663380000,2022-09-17 02:00:00,ANT/USDT,1.7284,1.7284,1.7194,1.7194,274.41860289,473.22637075525
1663376400,2022-09-17 01:00:00,ANT/USDT,1.7221,1.7298,1.7221,1.7279,270.50628985,467.512199483995
1663372800,2022-09-17 00:00:00,ANT/USDT,1.7197,1.7399,1.7197,1.7219,2271.67839075,3928.562894874329
1663369200,2022-09-16 23:00:00,ANT/USDT,1.7166,1.722,1.716,1.722,163.75396873,281.196243927471
1663365600,2022-09-16 22:00:00,ANT/USDT,1.7213,1.7261,1.7192,1.7194,269.80820279,464.021129141919
1663362000,2022-09-16 21:00:00,ANT/USDT,1.7192,1.7263,1.7192,1.7263,111.91477606,192.714630252486
1663358400,2022-09-16 20:00:00,ANT/USDT,1.7152,1.7233,1.7125,1.7208,1172.20585864,2012.1919071485
1663354800,2022-09-16 19:00:00,ANT/USDT,1.7084,1.7132,1.706,1.7116,831.79983521,1421.777325503
1663351200,2022-09-16 18:00:00,ANT/USDT,1.7121,1.7157,1.6975,1.7052,1522.64598758,2601.777538060781
1663347600,2022-09-16 17:00:00,ANT/USDT,1.7073,1.7193,1.6899,1.7108,947.63867217,1616.542480242055
1663344000,2022-09-16 16:00:00,ANT/USDT,1.715,1.7173,1.6808,1.7095,3137.40846369,5351.462092992526
1663340400,2022-09-16 15:00:00,ANT/USDT,1.7272,1.7412,1.7092,1.7182,2786.6752,4811.73710594
1663336800,2022-09-16 14:00:00,ANT/USDT,1.6933,1.743,1.6873,1.7273,2355.68828714,4070.071686603265
1663333200,2022-09-16 13:00:00,ANT/USDT,1.702,1.7168,1.6824,1.69,2126.69012002,3619.482005957412
1663329600,2022-09-16 12:00:00,ANT/USDT,1.704,1.7051,1.6946,1.7043,1408.92243744,2393.993215895632
1663326000,2022-09-16 11:00:00,ANT/USDT,1.6961,1.7102,1.6933,1.7064,2198.99428917,3747.678540689606
1663322400,2022-09-16 10:00:00,ANT/USDT,1.6715,1.698,1.6714,1.6949,1774.46568768,2986.131340739632
1663318800,2022-09-16 09:00:00,ANT/USDT,1.6514,1.6736,1.6514,1.672,1206.11987535,2008.924212889148
1663315200,2022-09-16 08:00:00,ANT/USDT,1.6711,1.6711,1.6478,1.6521,1200.68341574,1990.38489754142
1663311600,2022-09-16 07:00:00,ANT/USDT,1.6711,1.6729,1.6671,1.6671,504.992,843.82099855
