https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MV,Volume USDT
1663462800,2022-09-18 01:00:00,MV/USDT,0.21538,0.21538,0.21537,0.21537,4603.6209,991.481837962
1663459200,2022-09-18 00:00:00,MV/USDT,0.21581,0.21667,0.2155,0.2155,1446.7545,311.984711118
1663455600,2022-09-17 23:00:00,MV/USDT,0.21594,0.21693,0.21583,0.21583,591.9312,127.902523833
1663452000,2022-09-17 22:00:00,MV/USDT,0.21626,0.21697,0.21556,0.21691,9831.9593,2123.608719146
1663448400,2022-09-17 21:00:00,MV/USDT,0.21723,0.21723,0.21626,0.21626,1380.9598,299.216165591
1663444800,2022-09-17 20:00:00,MV/USDT,0.21704,0.21723,0.21594,0.21723,542.853,117.578532659
1663441200,2022-09-17 19:00:00,MV/USDT,0.21705,0.21705,0.21594,0.21704,1012.9846,219.482306316
1663437600,2022-09-17 18:00:00,MV/USDT,0.2168,0.21705,0.21576,0.21673,1736.5195,376.539819236
1663434000,2022-09-17 17:00:00,MV/USDT,0.21676,0.21678,0.21568,0.21668,657.7193,142.399985176
1663430400,2022-09-17 16:00:00,MV/USDT,0.21673,0.21683,0.21583,0.21598,604.7779,130.845980459
1663426800,2022-09-17 15:00:00,MV/USDT,0.21673,0.21673,0.21604,0.21673,537.0114,116.266121388
1663423200,2022-09-17 14:00:00,MV/USDT,0.21673,0.21673,0.21566,0.2162,482.1257,104.14847886
1663419600,2022-09-17 13:00:00,MV/USDT,0.21682,0.21688,0.21569,0.21626,583.3044,126.155220914
1663416000,2022-09-17 12:00:00,MV/USDT,0.21723,0.21735,0.21682,0.21682,6663.9388,1447.507420972
1663412400,2022-09-17 11:00:00,MV/USDT,0.21723,0.21744,0.21722,0.21722,7673.4506,1667.806730277
1663408800,2022-09-17 10:00:00,MV/USDT,0.21862,0.21862,0.21723,0.21723,1478.3242,322.426580947
1663405200,2022-09-17 09:00:00,MV/USDT,0.21971,0.21987,0.21876,0.21894,1893.358,415.565569304
1663401600,2022-09-17 08:00:00,MV/USDT,0.21856,0.21973,0.21855,0.21861,400459.766,87540.763216879
1663398000,2022-09-17 07:00:00,MV/USDT,0.21902,0.21971,0.21855,0.21943,2073.2427,454.022096413
1663394400,2022-09-17 06:00:00,MV/USDT,0.2196,0.22029,0.21911,0.21911,300547.3619,65988.232299111
1663390800,2022-09-17 05:00:00,MV/USDT,0.22066,0.22066,0.21939,0.21943,567.8645,124.738258795
1663387200,2022-09-17 04:00:00,MV/USDT,0.2211,0.2211,0.22019,0.22031,696.8234,153.681922315
1663383600,2022-09-17 03:00:00,MV/USDT,0.22036,0.22163,0.22036,0.22163,394.1793,87.149274902
1663380000,2022-09-17 02:00:00,MV/USDT,0.22143,0.22143,0.22036,0.22036,574.4583,126.791037269
1663376400,2022-09-17 01:00:00,MV/USDT,0.22136,0.22143,0.22055,0.22071,603.7995,133.386904973
1663372800,2022-09-17 00:00:00,MV/USDT,0.22,0.22132,0.21969,0.22132,598.9629,131.928316453
1663369200,2022-09-16 23:00:00,MV/USDT,0.22087,0.22088,0.21976,0.21994,808.9891,178.268916985
1663365600,2022-09-16 22:00:00,MV/USDT,0.2216,0.22198,0.22086,0.22101,945.5826,209.443605612
1663362000,2022-09-16 21:00:00,MV/USDT,0.22121,0.22138,0.22086,0.22086,436.9493,96.53958103
1663358400,2022-09-16 20:00:00,MV/USDT,0.22086,0.22153,0.22086,0.22087,843.5516,186.533450486
1663354800,2022-09-16 19:00:00,MV/USDT,0.22146,0.22146,0.22086,0.22086,596.3976,131.838934732
1663351200,2022-09-16 18:00:00,MV/USDT,0.22074,0.22181,0.22068,0.22088,600648.1442,132659.462536887
1663347600,2022-09-16 17:00:00,MV/USDT,0.22066,0.22181,0.22061,0.22088,800.5319,177.105285882
1663344000,2022-09-16 16:00:00,MV/USDT,0.22064,0.22182,0.21981,0.22067,41454.8659,9167.563095733
1663340400,2022-09-16 15:00:00,MV/USDT,0.22044,0.2205,0.21933,0.21971,2152.489,474.280311632
1663336800,2022-09-16 14:00:00,MV/USDT,0.21887,0.22047,0.21883,0.2204,7821.3932,1722.947780108
1663333200,2022-09-16 13:00:00,MV/USDT,0.21908,0.22124,0.21853,0.2187,24982.6085,5493.39772863
1663329600,2022-09-16 12:00:00,MV/USDT,0.2175,0.21904,0.2171,0.21904,7686.4859,1681.55398275
