https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MTV,Volume USDT
1663462800,2022-09-18 01:00:00,MTV/USDT,0.0014356,0.0014562,0.001434,0.0014447,750800.95,1085.40454732457
1663459200,2022-09-18 00:00:00,MTV/USDT,0.0014676,0.0015138,0.0014221,0.001441,53012919.9134,77678.8714375278
1663455600,2022-09-17 23:00:00,MTV/USDT,0.0015177,0.0015425,0.0014104,0.0014688,102503052.1214,149757.06593522237
1663452000,2022-09-17 22:00:00,MTV/USDT,0.0014111,0.00157,0.0013942,0.0015177,76320155.0233,114990.83640854611
1663448400,2022-09-17 21:00:00,MTV/USDT,0.0013239,0.0014404,0.0013239,0.0014113,64016601.0708,89335.12621614688
1663444800,2022-09-17 20:00:00,MTV/USDT,0.0013002,0.0013748,0.0012973,0.0013206,33309243.4988,43899.82875201651
1663441200,2022-09-17 19:00:00,MTV/USDT,0.001296,0.0013076,0.001287,0.0013002,3587832.316,4649.13044496542
1663437600,2022-09-17 18:00:00,MTV/USDT,0.0013498,0.001375,0.0012885,0.0012902,34978593.7553,46155.55842504695
1663434000,2022-09-17 17:00:00,MTV/USDT,0.001326,0.0013747,0.0012845,0.001344,73749566.6979,97938.01583364715
1663430400,2022-09-17 16:00:00,MTV/USDT,0.0012845,0.0013585,0.0012827,0.00132,9338982.7596,12257.53847269149
1663426800,2022-09-17 15:00:00,MTV/USDT,0.001287,0.0013347,0.001278,0.0012909,12925146.6218,16805.68058715455
1663423200,2022-09-17 14:00:00,MTV/USDT,0.0013665,0.0014008,0.0012801,0.0012804,51410883.9569,67995.1635914768
1663419600,2022-09-17 13:00:00,MTV/USDT,0.001365,0.0014437,0.0013401,0.0013665,27456996.5335,38465.92154428653
1663416000,2022-09-17 12:00:00,MTV/USDT,0.0015126,0.0015889,0.00136,0.0013634,166255901.5098,241004.31774285418
1663412400,2022-09-17 11:00:00,MTV/USDT,0.0014266,0.0015759,0.0014001,0.0015126,81335227.8853,122018.71093943598
1663408800,2022-09-17 10:00:00,MTV/USDT,0.0015924,0.0016135,0.0013449,0.0014229,140592921.8909,200895.45154105907
1663405200,2022-09-17 09:00:00,MTV/USDT,0.0014398,0.0016499,0.0014001,0.0015924,101223688.4792,158333.40566435171
1663401600,2022-09-17 08:00:00,MTV/USDT,0.001346,0.0015688,0.0013459,0.0014399,134438881.73748698,197047.138178426790537
1663398000,2022-09-17 07:00:00,MTV/USDT,0.001296,0.0013527,0.0012801,0.0013527,15606888.7282,20405.68269849093
1663394400,2022-09-17 06:00:00,MTV/USDT,0.001278,0.00136,0.0012732,0.0012885,31004233.0188,40322.52654915516
1663390800,2022-09-17 05:00:00,MTV/USDT,0.00122,0.0012999,0.0012143,0.001278,50171425.4418,64087.00656159043
1663387200,2022-09-17 04:00:00,MTV/USDT,0.0011479,0.0012363,0.0011479,0.00122,53649572.4243,64237.34569886357
1663383600,2022-09-17 03:00:00,MTV/USDT,0.0012026,0.0012119,0.0011386,0.0011479,86526278.9687,101851.09273713432
1663380000,2022-09-17 02:00:00,MTV/USDT,0.0011253,0.0012026,0.0011253,0.0012026,113527621.7794,133465.22897237667
1663376400,2022-09-17 01:00:00,MTV/USDT,0.0011227,0.0011308,0.0011175,0.0011253,949506.4889,1069.1280180501
1663372800,2022-09-17 00:00:00,MTV/USDT,0.0011199,0.0011232,0.0011132,0.0011232,631595.8434,707.73154365046
1663369200,2022-09-16 23:00:00,MTV/USDT,0.0011232,0.0011232,0.0011132,0.0011167,763582.5805,852.48636019648
1663365600,2022-09-16 22:00:00,MTV/USDT,0.0011234,0.0011235,0.001115,0.0011232,1854781.1887,2082.58957113396
1663362000,2022-09-16 21:00:00,MTV/USDT,0.0011155,0.0011244,0.00111,0.0011234,761810.969,852.46552000693
1663358400,2022-09-16 20:00:00,MTV/USDT,0.0011107,0.0011155,0.001105,0.001115,260873.7556,290.02519973087
1663354800,2022-09-16 19:00:00,MTV/USDT,0.0011019,0.0011132,0.0010973,0.0011132,1533561.8963,1686.0645539292
1663351200,2022-09-16 18:00:00,MTV/USDT,0.0010988,0.0011132,0.0010981,0.0011,1328655.8781,1467.15202007053
1663347600,2022-09-16 17:00:00,MTV/USDT,0.0011068,0.0011076,0.0010985,0.0010988,465848.9412,512.24140048813
1663344000,2022-09-16 16:00:00,MTV/USDT,0.0011291,0.0011375,0.0010994,0.0011068,1731217.1424,1933.09244696715
1663340400,2022-09-16 15:00:00,MTV/USDT,0.0011098,0.0011356,0.0011098,0.00113,3676194.4598,4123.54753264198
1663336800,2022-09-16 14:00:00,MTV/USDT,0.0011017,0.0011132,0.001097,0.0011029,731668.9731,808.45861053043
1663333200,2022-09-16 13:00:00,MTV/USDT,0.0011119,0.0011211,0.0011018,0.0011018,960721.3581,1066.44735347997
1663329600,2022-09-16 12:00:00,MTV/USDT,0.0011247,0.0011247,0.001112,0.001112,740923.4461,827.66386569604
1663326000,2022-09-16 11:00:00,MTV/USDT,0.0011188,0.0011247,0.0011136,0.0011247,369836.1017,414.67612439712
1663322400,2022-09-16 10:00:00,MTV/USDT,0.001118,0.0011188,0.0011077,0.0011188,1537508.226,1715.24915712259
1663318800,2022-09-16 09:00:00,MTV/USDT,0.0011178,0.001118,0.0011132,0.001118,216935.6838,242.47838130314
1663315200,2022-09-16 08:00:00,MTV/USDT,0.00112,0.00112,0.0011132,0.0011178,201007.6977,224.6341283745
1663311600,2022-09-16 07:00:00,MTV/USDT,0.0011076,0.00112,0.0011076,0.00112,425264.1772,474.73983745956
1663308000,2022-09-16 06:00:00,MTV/USDT,0.0011081,0.0011355,0.0011047,0.0011127,2287462.1996,2565.9888295071
1663304400,2022-09-16 05:00:00,MTV/USDT,0.0011421,0.0011424,0.0011002,0.0011048,6249778.8557,6995.31349713093
1663300800,2022-09-16 04:00:00,MTV/USDT,0.0011415,0.00115,0.0011415,0.0011421,72151.2356,82.86267404491
1663297200,2022-09-16 03:00:00,MTV/USDT,0.0011415,0.00115,0.00114,0.0011422,1386523.8536,1584.77859342748
1663293600,2022-09-16 02:00:00,MTV/USDT,0.001146,0.0011537,0.0011188,0.0011415,3152189.5815,3586.5560283041
