https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume POND,Volume USDT
1663459200,2022-09-18 00:00:00,POND/USDT,0.01279,0.01279,0.01252,0.01262,594501.82946202,7486.3143565676103
1663372800,2022-09-17 00:00:00,POND/USDT,0.01187,0.01319,0.01185,0.01276,12154788.48215838,149828.8409911613927
1663286400,2022-09-16 00:00:00,POND/USDT,0.01169,0.01274,0.01155,0.01187,30004758.40171689,363868.8271681046388
1663200000,2022-09-15 00:00:00,POND/USDT,0.01128,0.0138,0.01111,0.0117,59761038.56500198,719401.8540014585066
1663113600,2022-09-14 00:00:00,POND/USDT,0.01093,0.01181,0.01071,0.01126,14145260.75007412,158432.9695600785105
1663027200,2022-09-13 00:00:00,POND/USDT,0.01205,0.01246,0.01087,0.01094,21750875.24804555,252832.6446754905564
1662940800,2022-09-12 00:00:00,POND/USDT,0.01136,0.0149,0.01109,0.01205,100222135.14899689,1326999.5580762556726
1662854400,2022-09-11 00:00:00,POND/USDT,0.01092,0.01508,0.0108,0.01139,49398279.94489532,624436.1898587947776
1662768000,2022-09-10 00:00:00,POND/USDT,0.01103,0.01117,0.0108,0.01089,3455200.14586594,37892.4970014309001
1662681600,2022-09-09 00:00:00,POND/USDT,0.01046,0.01128,0.01046,0.01103,9350367.79984429,101250.1161871753249
1662595200,2022-09-08 00:00:00,POND/USDT,0.01039,0.01111,0.01024,0.01047,6748462.78342039,71150.9558921067038
1662508800,2022-09-07 00:00:00,POND/USDT,0.00999,0.01054,0.00987,0.01039,4038930.61686166,40890.0927380442702
1662422400,2022-09-06 00:00:00,POND/USDT,0.01058,0.01082,0.00995,0.01,5791219.40820947,59964.3169639577233
1662336000,2022-09-05 00:00:00,POND/USDT,0.0108,0.01085,0.01043,0.01055,1642999.29468716,17364.3064871452436
1662249600,2022-09-04 00:00:00,POND/USDT,0.01075,0.01096,0.01068,0.01081,2780094.77575993,30138.3186682003126
1662163200,2022-09-03 00:00:00,POND/USDT,0.01071,0.01077,0.0105,0.0107,2552711.24994605,27165.6005051590652
1662076800,2022-09-02 00:00:00,POND/USDT,0.01066,0.011,0.01052,0.0107,5020279.71785871,53803.0330957117523
1661990400,2022-09-01 00:00:00,POND/USDT,0.01047,0.01136,0.01021,0.01067,13088604.26712635,141063.0636961091499
1661904000,2022-08-31 00:00:00,POND/USDT,0.01042,0.0107,0.0103,0.01041,5271301.0665857,55477.5836172047969
1661817600,2022-08-30 00:00:00,POND/USDT,0.01057,0.01138,0.0103,0.01039,9924636.2440466,107363.9910106025383
1661731200,2022-08-29 00:00:00,POND/USDT,0.01007,0.01057,0.01001,0.01057,4017792.33775948,41440.3381822829638
1661644800,2022-08-28 00:00:00,POND/USDT,0.01067,0.01089,0.01001,0.01001,7273381.47705701,76124.9910969969797
1661558400,2022-08-27 00:00:00,POND/USDT,0.01024,0.01084,0.0102,0.01066,7453864.68661718,78514.8540702149679
1661472000,2022-08-26 00:00:00,POND/USDT,0.01146,0.01146,0.01025,0.01027,5739583.52434304,62216.7899736737558
1661385600,2022-08-25 00:00:00,POND/USDT,0.01126,0.01165,0.01119,0.01147,5378759.49632992,61686.5247968847272
1661299200,2022-08-24 00:00:00,POND/USDT,0.01123,0.01245,0.0109,0.01126,10516207.55682153,122014.1514047017831
1661212800,2022-08-23 00:00:00,POND/USDT,0.01133,0.01138,0.01088,0.01122,5021823.27867766,56041.0620048714702
1661126400,2022-08-22 00:00:00,POND/USDT,0.01105,0.01141,0.01057,0.0114,8771733.20336941,95409.2712353144059
1661040000,2022-08-21 00:00:00,POND/USDT,0.01218,0.01228,0.01088,0.01105,24942865.94760338,281698.4926398793653
1660953600,2022-08-20 00:00:00,POND/USDT,0.01001,0.01354,0.01001,0.01222,85651542.94642032,1019230.941268516948
1660867200,2022-08-19 00:00:00,POND/USDT,0.01136,0.01141,0.00979,0.00998,13215857.18767379,136750.8980125993462
1660780800,2022-08-18 00:00:00,POND/USDT,0.0119,0.01223,0.01137,0.01137,4851110.92603519,58006.0305416662546
1660694400,2022-08-17 00:00:00,POND/USDT,0.01253,0.01293,0.01172,0.01187,7253741.83084488,89062.9232810329724
1660608000,2022-08-16 00:00:00,POND/USDT,0.01264,0.0131,0.01218,0.01247,7399296.36562379,93045.4770345395492
1660521600,2022-08-15 00:00:00,POND/USDT,0.013,0.01334,0.01196,0.01263,35127733.88617363,434400.697046842451
1660435200,2022-08-14 00:00:00,POND/USDT,0.01382,0.01406,0.01298,0.01303,6699587.4647563,91576.7917947971457
1660348800,2022-08-13 00:00:00,POND/USDT,0.01418,0.01449,0.01377,0.01382,5210982.1658978,73632.4892705826373
1660262400,2022-08-12 00:00:00,POND/USDT,0.01417,0.01436,0.01398,0.01417,3506859.74500811,49501.9933500075974
1660176000,2022-08-11 00:00:00,POND/USDT,0.0144,0.01472,0.01403,0.01418,9169168.03617761,132389.0625751844842
1660089600,2022-08-10 00:00:00,POND/USDT,0.01454,0.01513,0.01394,0.01448,12807674.62609299,185176.8101403682346
1660003200,2022-08-09 00:00:00,POND/USDT,0.01385,0.01485,0.01376,0.01447,15642091.58874132,222931.4266358432386
1659916800,2022-08-08 00:00:00,POND/USDT,0.01385,0.01463,0.01382,0.01389,9292028.82488692,131222.5843021459632
1659830400,2022-08-07 00:00:00,POND/USDT,0.01371,0.01394,0.01331,0.01385,8194483.59723635,111772.3727882911132
1659744000,2022-08-06 00:00:00,POND/USDT,0.01377,0.01424,0.0137,0.01373,8959721.83785618,124727.9919508586504
1659657600,2022-08-05 00:00:00,POND/USDT,0.01327,0.01407,0.01319,0.0138,14839550.61436138,204731.2487074355684
1659571200,2022-08-04 00:00:00,POND/USDT,0.01346,0.01375,0.01304,0.01327,12207241.6420007,163159.9704397922264
1659484800,2022-08-03 00:00:00,POND/USDT,0.0138,0.01412,0.01329,0.01346,13271317.84240004,181586.0602215071808
1659398400,2022-08-02 00:00:00,POND/USDT,0.01378,0.01428,0.01286,0.01377,19714636.9028996,266299.4048731667968
1659312000,2022-08-01 00:00:00,POND/USDT,0.01459,0.01493,0.01331,0.01376,25795752.60798924,369348.2550446208677
1659225600,2022-07-31 00:00:00,POND/USDT,0.01447,0.01589,0.01441,0.01461,25330458.1519127,380605.527075254544
1659139200,2022-07-30 00:00:00,POND/USDT,0.0149,0.0155,0.01437,0.01447,15035455.34221703,226133.4916451875389
