https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EGLD,Volume BTC
1663459200,2022-09-18 00:00:00,EGLD/BTC,0.002545,0.002551,0.002544,0.002551,1.659,0.0042271918
1663372800,2022-09-17 00:00:00,EGLD/BTC,0.002485,0.002562,0.002485,0.002549,154.3535,0.3908972268
1663286400,2022-09-16 00:00:00,EGLD/BTC,0.002467,0.002502,0.002455,0.002481,69.4682,0.1721438624
1663200000,2022-09-15 00:00:00,EGLD/BTC,0.002455,0.002477,0.002419,0.002466,176.4498,0.4313578395
1663113600,2022-09-14 00:00:00,EGLD/BTC,0.002419,0.00249,0.002414,0.002464,151.1764,0.3690832732
1663027200,2022-09-13 00:00:00,EGLD/BTC,0.002306,0.002455,0.002271,0.002428,910.4314,2.1015963742
1662940800,2022-09-12 00:00:00,EGLD/BTC,0.002419,0.002435,0.00231,0.002311,252.0848,0.5967305686
1662854400,2022-09-11 00:00:00,EGLD/BTC,0.002481,0.002521,0.002236,0.002425,405.0341,0.9997223377
1662768000,2022-09-10 00:00:00,EGLD/BTC,0.002512,0.002558,0.002473,0.002478,229.4231,0.5742082933
1662681600,2022-09-09 00:00:00,EGLD/BTC,0.002741,0.002773,0.002513,0.00252,314.6691,0.82897229
1662595200,2022-09-08 00:00:00,EGLD/BTC,0.002646,0.002755,0.002634,0.002738,182.4306,0.4890904528
1662508800,2022-09-07 00:00:00,EGLD/BTC,0.002595,0.002661,0.002574,0.00265,365.3938,0.9518818826
1662422400,2022-09-06 00:00:00,EGLD/BTC,0.002594,0.002651,0.002555,0.002585,312.2961,0.8158474704
1662336000,2022-09-05 00:00:00,EGLD/BTC,0.002584,0.002607,0.002573,0.002592,162.7956,0.4214130673
1662249600,2022-09-04 00:00:00,EGLD/BTC,0.002571,0.002598,0.002556,0.002577,100.5873,0.2598433858
1662163200,2022-09-03 00:00:00,EGLD/BTC,0.002616,0.002634,0.00257,0.002579,102.1852,0.2666921484
1662076800,2022-09-02 00:00:00,EGLD/BTC,0.002623,0.002639,0.002587,0.002615,54.2433,0.1416107841
1661990400,2022-09-01 00:00:00,EGLD/BTC,0.002617,0.002632,0.002587,0.002628,165.3518,0.4321027354
1661904000,2022-08-31 00:00:00,EGLD/BTC,0.002746,0.002787,0.002621,0.002621,97.3991,0.2614803771
1661817600,2022-08-30 00:00:00,EGLD/BTC,0.002612,0.002763,0.002612,0.002731,241.8747,0.6488416554
1661731200,2022-08-29 00:00:00,EGLD/BTC,0.002542,0.00261,0.002524,0.00261,514.2953,1.3231164265
1661644800,2022-08-28 00:00:00,EGLD/BTC,0.002587,0.002626,0.002527,0.002539,157.3771,0.404625145
1661558400,2022-08-27 00:00:00,EGLD/BTC,0.002552,0.002623,0.002545,0.002598,231.3693,0.6019428891
1661472000,2022-08-26 00:00:00,EGLD/BTC,0.002661,0.00276,0.002526,0.002556,1126.3612,2.8991571067
1661385600,2022-08-25 00:00:00,EGLD/BTC,0.002584,0.00267,0.002584,0.002661,351.9095,0.9306851308
1661299200,2022-08-24 00:00:00,EGLD/BTC,0.002513,0.00259,0.00249,0.002575,320.7129,0.8223130942
1661212800,2022-08-23 00:00:00,EGLD/BTC,0.002522,0.002563,0.002489,0.002514,286.5779,0.7202813485
1661126400,2022-08-22 00:00:00,EGLD/BTC,0.002543,0.002591,0.002478,0.002523,141.6012,0.36008174
1661040000,2022-08-21 00:00:00,EGLD/BTC,0.00249,0.002556,0.002479,0.002546,130.0152,0.3273146114
1660953600,2022-08-20 00:00:00,EGLD/BTC,0.002514,0.002542,0.002448,0.002486,241.2289,0.6083506074
1660867200,2022-08-19 00:00:00,EGLD/BTC,0.002367,0.002528,0.002326,0.002517,312.7654,0.7620990616
1660780800,2022-08-18 00:00:00,EGLD/BTC,0.002449,0.002495,0.002359,0.002368,184.2547,0.4508015215
1660694400,2022-08-17 00:00:00,EGLD/BTC,0.002531,0.00257,0.002448,0.002458,221.6333,0.5566001726
1660608000,2022-08-16 00:00:00,EGLD/BTC,0.002515,0.00257,0.002494,0.002532,429.2495,1.0872263753
