https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume TAUM,Volume USDT
1663459200,2022-09-18 00:00:00,TAUM/USDT,0.00122,0.00132,0.00121,0.00121,3557701.2917,4435.86635884
1663372800,2022-09-17 00:00:00,TAUM/USDT,0.00118,0.00129,0.00116,0.0012,19996411.3635,24395.369746969
1663286400,2022-09-16 00:00:00,TAUM/USDT,0.00116,0.00144,0.00112,0.00117,43681924.6557,54544.095004004
1663200000,2022-09-15 00:00:00,TAUM/USDT,0.00129,0.00131,0.00112,0.00117,20365149.0599,24731.323185828
1663113600,2022-09-14 00:00:00,TAUM/USDT,0.00137,0.00138,0.00125,0.00128,11877751.5289,15504.711498924
1663027200,2022-09-13 00:00:00,TAUM/USDT,0.00145,0.00149,0.00122,0.00135,23253642.0864,32158.89125636
1662940800,2022-09-12 00:00:00,TAUM/USDT,0.00154,0.00154,0.00141,0.00144,19971336.3408,29202.65243264
1662854400,2022-09-11 00:00:00,TAUM/USDT,0.0015,0.00162,0.00146,0.00154,24735221.8479,37658.952726159
1662768000,2022-09-10 00:00:00,TAUM/USDT,0.00152,0.00184,0.00144,0.00151,80429711.7458,129533.007149998
1662681600,2022-09-09 00:00:00,TAUM/USDT,0.00143,0.00169,0.0014,0.00152,49543162.1687,75590.788269552
1662595200,2022-09-08 00:00:00,TAUM/USDT,0.00149,0.00151,0.00139,0.00142,31390696.7461,45315.387187633
1662508800,2022-09-07 00:00:00,TAUM/USDT,0.00138,0.00178,0.00135,0.00148,112667536.755,176029.79619526
1662422400,2022-09-06 00:00:00,TAUM/USDT,0.00143,0.00152,0.00132,0.00138,10328355.6717,14891.180181333
1662336000,2022-09-05 00:00:00,TAUM/USDT,0.00164,0.00164,0.0014,0.00142,6982916.2358,10448.019577919
1662249600,2022-09-04 00:00:00,TAUM/USDT,0.00168,0.00175,0.00142,0.00165,63277837.4434,99230.703941107
1662163200,2022-09-03 00:00:00,TAUM/USDT,0.00157,0.00205,0.00155,0.00168,76345544.3495,131539.856997259
1662076800,2022-09-02 00:00:00,TAUM/USDT,0.00155,0.00164,0.00152,0.00156,2465387.5282,3916.833915751
1661990400,2022-09-01 00:00:00,TAUM/USDT,0.00165,0.00168,0.00144,0.00156,10182795.572,16004.066502104
1661904000,2022-08-31 00:00:00,TAUM/USDT,0.00164,0.00169,0.00158,0.00166,8769736.6604,14345.152793423
1661817600,2022-08-30 00:00:00,TAUM/USDT,0.00171,0.00243,0.00159,0.00164,66651609.20332503,120500.303273446551
1661731200,2022-08-29 00:00:00,TAUM/USDT,0.00168,0.00185,0.00154,0.00172,11876010.5832,19480.871400298
1661644800,2022-08-28 00:00:00,TAUM/USDT,0.00169,0.00217,0.00165,0.00168,30811669.4277,58751.301762679
1661558400,2022-08-27 00:00:00,TAUM/USDT,0.00177,0.00177,0.00154,0.00169,7635912.1205,12566.666840033
1661472000,2022-08-26 00:00:00,TAUM/USDT,0.00193,0.00193,0.00166,0.00177,17682381.5243,31399.149130592
1661385600,2022-08-25 00:00:00,TAUM/USDT,0.002,0.00204,0.0019,0.00196,5962282.8688,11682.335895875
1661299200,2022-08-24 00:00:00,TAUM/USDT,0.00209,0.00215,0.00189,0.00201,7383925.4971,14811.310128479
1661212800,2022-08-23 00:00:00,TAUM/USDT,0.00203,0.00221,0.00198,0.00209,15944381.7816,33134.279329093
1661126400,2022-08-22 00:00:00,TAUM/USDT,0.00249,0.00253,0.00201,0.00205,21935810.1164,50395.331903505
1661040000,2022-08-21 00:00:00,TAUM/USDT,0.00197,0.0026,0.00197,0.00249,45295211.2338,106398.828400324
1660953600,2022-08-20 00:00:00,TAUM/USDT,0.00225,0.00238,0.00188,0.00198,16052854.314,33918.183431076
1660867200,2022-08-19 00:00:00,TAUM/USDT,0.00286,0.00286,0.00206,0.00226,41367378.65071161,97105.223200018703
1660780800,2022-08-18 00:00:00,TAUM/USDT,0.003,0.00329,0.00284,0.00285,28238964.3424,85274.792261977
1660694400,2022-08-17 00:00:00,TAUM/USDT,0.003,0.0034,0.00282,0.00301,38718118.4409,119219.492555683
