https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AXS,Volume USDT
1663462800,2022-09-18 01:00:00,AXS/USDT,13.095,13.115,13.086,13.101,1.5245,19.9670077
1663459200,2022-09-18 00:00:00,AXS/USDT,13.165,13.17,13.086,13.086,178.12485321,2337.29855476286
1663455600,2022-09-17 23:00:00,AXS/USDT,13.114,13.218,13.113,13.151,175.4717775,2309.789252395
1663452000,2022-09-17 22:00:00,AXS/USDT,13.046,13.13,13.042,13.117,209.7113,2740.7893328
1663448400,2022-09-17 21:00:00,AXS/USDT,13.07,13.08,13.024,13.046,70.2786,915.8828217
1663444800,2022-09-17 20:00:00,AXS/USDT,13.058,13.109,13.05,13.074,652.06347018,8536.44066108602
1663441200,2022-09-17 19:00:00,AXS/USDT,13.062,13.062,12.956,13.052,653.28615378,8506.36233344091
1663437600,2022-09-17 18:00:00,AXS/USDT,13.063,13.084,13.036,13.058,832.68909027,10874.89716802969
1663434000,2022-09-17 17:00:00,AXS/USDT,13.093,13.194,13.028,13.04,485.98389091,6377.09529920081
1663430400,2022-09-17 16:00:00,AXS/USDT,13.026,13.103,13.024,13.095,777.42409191,10166.44611157019
1663426800,2022-09-17 15:00:00,AXS/USDT,13.048,13.085,12.982,13.04,1025.52580916,13362.16496088853
1663423200,2022-09-17 14:00:00,AXS/USDT,12.938,13.069,12.938,13.053,1177.15398455,15292.32986760806
1663419600,2022-09-17 13:00:00,AXS/USDT,12.91,12.945,12.864,12.94,664.34037768,8581.22713064378
1663416000,2022-09-17 12:00:00,AXS/USDT,12.926,12.945,12.895,12.91,243.85192825,3152.4744188635
1663412400,2022-09-17 11:00:00,AXS/USDT,12.924,12.988,12.917,12.926,240.01473074,3109.12276395331
1663408800,2022-09-17 10:00:00,AXS/USDT,12.919,12.935,12.894,12.92,178.3139562,2302.6170242222
1663405200,2022-09-17 09:00:00,AXS/USDT,12.911,12.956,12.9,12.923,139.30893938,1800.2161448537
1663401600,2022-09-17 08:00:00,AXS/USDT,12.916,12.935,12.869,12.91,187.268,2413.2809433
1663398000,2022-09-17 07:00:00,AXS/USDT,12.854,12.915,12.853,12.914,19.06457866,245.69697089688
