https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BOND,Volume USDT
1663462800,2022-09-18 01:00:00,BOND/USDT,5.909,5.909,5.909,5.909,39.2913,232.1722917
1663459200,2022-09-18 00:00:00,BOND/USDT,5.926,5.926,5.886,5.9,615.5471,3628.7217765
1663455600,2022-09-17 23:00:00,BOND/USDT,5.911,5.929,5.911,5.925,46.7271,276.6271135
1663452000,2022-09-17 22:00:00,BOND/USDT,5.925,5.959,5.909,5.91,588.3278,3489.0468395
1663448400,2022-09-17 21:00:00,BOND/USDT,5.936,5.95,5.921,5.921,184.5753,1095.8747466
1663444800,2022-09-17 20:00:00,BOND/USDT,5.901,5.948,5.901,5.937,266.0929,1578.4939282
1663441200,2022-09-17 19:00:00,BOND/USDT,5.921,5.921,5.902,5.911,209.1527,1235.0022152
1663437600,2022-09-17 18:00:00,BOND/USDT,5.941,5.941,5.924,5.933,67.5165,400.2002458
1663434000,2022-09-17 17:00:00,BOND/USDT,5.935,5.945,5.931,5.942,220.056,1305.8051747
1663430400,2022-09-17 16:00:00,BOND/USDT,5.932,5.96,5.907,5.94,938.3524,5568.4608925
1663426800,2022-09-17 15:00:00,BOND/USDT,5.925,5.935,5.925,5.935,5.3336,31.6496914
1663423200,2022-09-17 14:00:00,BOND/USDT,5.913,5.94,5.907,5.909,170.5497,1009.1829653
1663419600,2022-09-17 13:00:00,BOND/USDT,5.934,5.944,5.91,5.916,359.7382,2134.3167771
1663416000,2022-09-17 12:00:00,BOND/USDT,5.889,5.944,5.871,5.923,436.5337,2581.9643171
1663412400,2022-09-17 11:00:00,BOND/USDT,5.92,5.936,5.89,5.89,292.0909,1726.4046352
1663408800,2022-09-17 10:00:00,BOND/USDT,5.924,5.93,5.859,5.919,327.6984,1936.2833121
1663405200,2022-09-17 09:00:00,BOND/USDT,5.902,5.964,5.902,5.929,576.2758,3425.986952
1663401600,2022-09-17 08:00:00,BOND/USDT,5.859,5.907,5.859,5.896,403.212,2372.7474742
1663398000,2022-09-17 07:00:00,BOND/USDT,5.864,5.885,5.849,5.854,563.7711,3303.0042463
1663394400,2022-09-17 06:00:00,BOND/USDT,5.872,5.877,5.847,5.865,581.4216,3408.1926444
1663390800,2022-09-17 05:00:00,BOND/USDT,5.88,5.88,5.865,5.869,126.3605,741.5095706
1663387200,2022-09-17 04:00:00,BOND/USDT,5.892,5.896,5.867,5.887,719.6527,4235.1127188
1663383600,2022-09-17 03:00:00,BOND/USDT,5.9,5.904,5.891,5.892,260.2309,1533.3405564
1663380000,2022-09-17 02:00:00,BOND/USDT,5.94,5.97,5.895,5.904,351.6242,2077.7717455
1663376400,2022-09-17 01:00:00,BOND/USDT,5.907,5.978,5.899,5.94,598.8204,3547.7274597
1663372800,2022-09-17 00:00:00,BOND/USDT,5.892,5.942,5.892,5.902,778.7704,4593.7051168
1663369200,2022-09-16 23:00:00,BOND/USDT,5.878,5.938,5.878,5.905,1280.7511,7561.5606232
1663365600,2022-09-16 22:00:00,BOND/USDT,5.863,5.9,5.857,5.869,460.0552,2701.0028597
1663362000,2022-09-16 21:00:00,BOND/USDT,5.852,5.885,5.832,5.878,1607.3868,9435.4336913
1663358400,2022-09-16 20:00:00,BOND/USDT,5.831,5.883,5.831,5.859,330.4027,1935.3857317
1663354800,2022-09-16 19:00:00,BOND/USDT,5.804,5.859,5.804,5.831,1735.4561,10096.3659786
1663351200,2022-09-16 18:00:00,BOND/USDT,5.802,5.81,5.781,5.781,74.8018,433.7131558
