https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GST,Volume USDT
1663462800,2022-09-18 01:00:00,GST/USDT,0.0335,0.0335,0.0335,0.0335,156.3003,5.23606005
1663459200,2022-09-18 00:00:00,GST/USDT,0.0341,0.0341,0.0333,0.0335,21958.1557,736.39311237
1663455600,2022-09-17 23:00:00,GST/USDT,0.0335,0.0341,0.0334,0.0341,47951.1424,1617.34880898
1663452000,2022-09-17 22:00:00,GST/USDT,0.0335,0.0337,0.0335,0.0335,1814.2624,61.10264399
1663448400,2022-09-17 21:00:00,GST/USDT,0.0336,0.0338,0.0334,0.0334,60913.3115,2045.21891282
1663444800,2022-09-17 20:00:00,GST/USDT,0.0337,0.0338,0.0334,0.0335,139005.0215,4659.16284131
1663441200,2022-09-17 19:00:00,GST/USDT,0.0343,0.0347,0.0335,0.0337,30701.5822,1042.99841653
1663437600,2022-09-17 18:00:00,GST/USDT,0.0339,0.0347,0.0339,0.0343,67595.9172,2308.65647961
1663434000,2022-09-17 17:00:00,GST/USDT,0.0336,0.0339,0.0336,0.0339,58189.5983,1968.0251989
1663430400,2022-09-17 16:00:00,GST/USDT,0.0339,0.034,0.0336,0.0337,51308.1198,1738.17359707
1663426800,2022-09-17 15:00:00,GST/USDT,0.0337,0.034,0.0337,0.034,39034.8044,1322.47879492
1663423200,2022-09-17 14:00:00,GST/USDT,0.0331,0.0338,0.033,0.0336,41242.5739,1379.92427586
1663419600,2022-09-17 13:00:00,GST/USDT,0.0333,0.0333,0.033,0.0331,13137.1492,436.28837341
1663416000,2022-09-17 12:00:00,GST/USDT,0.0336,0.0339,0.0331,0.0333,70803.1486,2366.99285158
1663412400,2022-09-17 11:00:00,GST/USDT,0.034,0.034,0.0335,0.0336,31596.0992,1063.98001623
1663408800,2022-09-17 10:00:00,GST/USDT,0.0339,0.034,0.0335,0.034,87922.3692,2974.6952858
1663405200,2022-09-17 09:00:00,GST/USDT,0.0337,0.0339,0.0336,0.0339,57962.1144,1957.82273821
1663401600,2022-09-17 08:00:00,GST/USDT,0.0338,0.0338,0.0336,0.0336,65806.206,2211.6095572
1663398000,2022-09-17 07:00:00,GST/USDT,0.0337,0.034,0.0336,0.0336,42276.2869,1428.35685163
1663394400,2022-09-17 06:00:00,GST/USDT,0.0337,0.0341,0.0336,0.0336,89186.4645,3026.76727733
1663390800,2022-09-17 05:00:00,GST/USDT,0.034,0.034,0.0337,0.0338,21080.2099,712.17256129
1663387200,2022-09-17 04:00:00,GST/USDT,0.0338,0.0342,0.0337,0.034,105385.8556,3582.28374479
1663383600,2022-09-17 03:00:00,GST/USDT,0.0334,0.0368,0.0334,0.0338,292317.4112,10141.64756071
1663380000,2022-09-17 02:00:00,GST/USDT,0.0336,0.0336,0.0335,0.0335,13117.1761,439.8609001
1663376400,2022-09-17 01:00:00,GST/USDT,0.0336,0.0337,0.0336,0.0337,9878.1472,331.90712927
1663372800,2022-09-17 00:00:00,GST/USDT,0.0334,0.0337,0.0334,0.0337,16141.8187,542.0214507
1663369200,2022-09-16 23:00:00,GST/USDT,0.0333,0.0333,0.0333,0.0333,18.3212,0.61009596
1663365600,2022-09-16 22:00:00,GST/USDT,0.0335,0.0335,0.0332,0.0332,20280.3679,677.86813334
1663362000,2022-09-16 21:00:00,GST/USDT,0.0334,0.0335,0.0334,0.0334,4277.309,143.26121274
1663358400,2022-09-16 20:00:00,GST/USDT,0.0333,0.0334,0.0331,0.0333,49843.566,1655.81756946
1663354800,2022-09-16 19:00:00,GST/USDT,0.0342,0.0342,0.0333,0.0333,118416.896,4027.57306337
1663351200,2022-09-16 18:00:00,GST/USDT,0.0344,0.0349,0.0342,0.0342,121627.7904,4207.45293078
1663347600,2022-09-16 17:00:00,GST/USDT,0.0358,0.0359,0.034,0.0344,320868.5969,11143.23417661
1663344000,2022-09-16 16:00:00,GST/USDT,0.0336,0.0382,0.0336,0.0358,750576.8966,26473.8916289
1663340400,2022-09-16 15:00:00,GST/USDT,0.0331,0.0338,0.0331,0.0336,77161.6292,2588.49634004
1663336800,2022-09-16 14:00:00,GST/USDT,0.0335,0.0336,0.033,0.0331,91957.7705,3052.5177618
1663333200,2022-09-16 13:00:00,GST/USDT,0.0336,0.0337,0.0332,0.0335,27038.6862,903.11701292
1663329600,2022-09-16 12:00:00,GST/USDT,0.0337,0.0338,0.0328,0.0336,58146.3412,1941.65621748
1663326000,2022-09-16 11:00:00,GST/USDT,0.0332,0.0338,0.0332,0.0337,89280.8069,2994.89013162
1663322400,2022-09-16 10:00:00,GST/USDT,0.0334,0.0335,0.0332,0.0332,24761.1058,828.83278309
1663318800,2022-09-16 09:00:00,GST/USDT,0.0334,0.0338,0.0329,0.0336,82217.6401,2752.65014417
1663315200,2022-09-16 08:00:00,GST/USDT,0.0336,0.0337,0.0333,0.0333,46840.9536,1570.53445474
1663311600,2022-09-16 07:00:00,GST/USDT,0.0335,0.0336,0.0334,0.0336,7830.7572,262.09610387
1663308000,2022-09-16 06:00:00,GST/USDT,0.0334,0.0335,0.0334,0.0334,2634.9038,88.00609698
1663304400,2022-09-16 05:00:00,GST/USDT,0.0334,0.0337,0.0333,0.0334,11719.8708,391.40854176
1663300800,2022-09-16 04:00:00,GST/USDT,0.0336,0.034,0.0334,0.0334,128235.7943,4318.08400511
1663297200,2022-09-16 03:00:00,GST/USDT,0.0334,0.0336,0.0334,0.0336,4368.7394,146.77089531
1663293600,2022-09-16 02:00:00,GST/USDT,0.034,0.034,0.033,0.0334,114682.6001,3811.07523506
1663290000,2022-09-16 01:00:00,GST/USDT,0.0339,0.0341,0.0332,0.0341,35234.7653,1190.23542219
1663286400,2022-09-16 00:00:00,GST/USDT,0.0335,0.034,0.0333,0.034,25796.9095,870.31121861
1663282800,2022-09-15 23:00:00,GST/USDT,0.0337,0.0339,0.0333,0.0334,38620.9101,1295.42329452
1663279200,2022-09-15 22:00:00,GST/USDT,0.0335,0.0338,0.0335,0.0335,32112.3052,1080.75920975
1663275600,2022-09-15 21:00:00,GST/USDT,0.0337,0.0338,0.0335,0.0335,31264.601,1050.47471519
1663272000,2022-09-15 20:00:00,GST/USDT,0.0337,0.0339,0.0335,0.0337,16296.5005,550.44020965
1663268400,2022-09-15 19:00:00,GST/USDT,0.033,0.0338,0.0327,0.0338,54629.8167,1815.97360327
1663264800,2022-09-15 18:00:00,GST/USDT,0.0328,0.0333,0.0326,0.033,165091.4854,5450.18768795
1663261200,2022-09-15 17:00:00,GST/USDT,0.0328,0.033,0.0326,0.0329,52974.686,1738.37246104
1663257600,2022-09-15 16:00:00,GST/USDT,0.0327,0.0337,0.0324,0.0327,166672.0287,5461.53788458
1663254000,2022-09-15 15:00:00,GST/USDT,0.0333,0.0334,0.0324,0.0328,108999.7474,3587.02801344
1663250400,2022-09-15 14:00:00,GST/USDT,0.0336,0.0337,0.0331,0.0332,57847.6504,1929.32649274
1663246800,2022-09-15 13:00:00,GST/USDT,0.0338,0.0339,0.0333,0.0337,33048.4919,1108.36882167
1663243200,2022-09-15 12:00:00,GST/USDT,0.0337,0.0343,0.0334,0.0339,98957.976,3345.57014564
1663239600,2022-09-15 11:00:00,GST/USDT,0.0335,0.0337,0.0334,0.0337,37521.5525,1260.65009284
1663236000,2022-09-15 10:00:00,GST/USDT,0.0334,0.0335,0.0331,0.0335,11451.7144,382.06564489
1663232400,2022-09-15 09:00:00,GST/USDT,0.0333,0.0335,0.0332,0.0333,42237.4315,1409.2637189
1663228800,2022-09-15 08:00:00,GST/USDT,0.0336,0.0336,0.0333,0.0334,11765.4024,392.98716563
1663225200,2022-09-15 07:00:00,GST/USDT,0.0335,0.0335,0.0327,0.0335,120558.6451,4006.66955919
1663221600,2022-09-15 06:00:00,GST/USDT,0.0333,0.0337,0.0333,0.0336,62318.5702,2089.20863396
1663218000,2022-09-15 05:00:00,GST/USDT,0.0332,0.0335,0.0332,0.0335,27542.7025,920.64579556
1663214400,2022-09-15 04:00:00,GST/USDT,0.0333,0.0335,0.0332,0.0334,92535.5236,3088.60259736
1663210800,2022-09-15 03:00:00,GST/USDT,0.0335,0.0336,0.0332,0.0333,13305.9155,444.39004672
1663207200,2022-09-15 02:00:00,GST/USDT,0.0333,0.0335,0.0331,0.0334,33597.2921,1121.84456746
1663203600,2022-09-15 01:00:00,GST/USDT,0.0345,0.0345,0.0333,0.0334,150021.289,5117.08736897
1663200000,2022-09-15 00:00:00,GST/USDT,0.0333,0.0345,0.0333,0.0343,75826.0777,2573.74020056
1663196400,2022-09-14 23:00:00,GST/USDT,0.0335,0.0335,0.0333,0.0333,20224.4875,676.64642004
1663192800,2022-09-14 22:00:00,GST/USDT,0.0334,0.0336,0.0333,0.0336,52994.1582,1775.02811643
1663189200,2022-09-14 21:00:00,GST/USDT,0.0334,0.0334,0.0327,0.0333,67357.0876,2234.94036733
1663185600,2022-09-14 20:00:00,GST/USDT,0.0333,0.0334,0.0331,0.0334,20136.8898,671.76425202
1663182000,2022-09-14 19:00:00,GST/USDT,0.0332,0.0333,0.0331,0.0332,26702.1545,885.64143536
1663178400,2022-09-14 18:00:00,GST/USDT,0.0342,0.0342,0.0329,0.0333,79069.5937,2636.79412544
1663174800,2022-09-14 17:00:00,GST/USDT,0.0341,0.0343,0.0341,0.0342,15459.5679,529.03399636
1663171200,2022-09-14 16:00:00,GST/USDT,0.0341,0.0341,0.0339,0.0341,70791.2816,2409.31481037
1663167600,2022-09-14 15:00:00,GST/USDT,0.0343,0.0343,0.034,0.034,51886.3101,1766.5483037
1663164000,2022-09-14 14:00:00,GST/USDT,0.0343,0.0344,0.0343,0.0343,12318.3741,422.99841329
1663160400,2022-09-14 13:00:00,GST/USDT,0.0343,0.035,0.034,0.0343,78648.9677,2714.16608363
1663156800,2022-09-14 12:00:00,GST/USDT,0.0349,0.035,0.0341,0.0341,45165.878,1559.83599007
1663153200,2022-09-14 11:00:00,GST/USDT,0.0349,0.0352,0.0349,0.0349,5148.7011,180.1843257
1663149600,2022-09-14 10:00:00,GST/USDT,0.0351,0.0354,0.0348,0.035,41664.5039,1460.23216314
1663146000,2022-09-14 09:00:00,GST/USDT,0.0349,0.0354,0.034,0.035,42678.485,1485.47772446
